Date,Open,High,Low,Close,Volume,OpenInt
20070925,14.75,14.831,14.144,14.741,244376,0
20070926,14.741,15.59,14.669,15.42,196095,0
20070927,15.517,15.759,15.478,15.752,66484,0
20070928,15.703,15.946,15.703,15.921,66365,0
20071001,15.921,15.946,15.517,15.517,35961,0
20071002,15.558,15.719,15.517,15.517,103940,0
20071003,15.283,15.662,15.283,15.558,21565,0
20071004,15.364,15.598,15.355,15.574,58543,0
20071005,15.355,15.517,15.355,15.517,8414,0
20071008,15.468,15.598,15.404,15.598,21396,0
20071009,15.639,15.759,15.517,15.759,50970,0
20071010,15.759,15.759,15.639,15.759,16162,0
20071011,15.759,15.921,15.678,15.904,7706,0
20071012,15.904,15.904,15.841,15.897,884,0
20071015,15.841,15.888,15.678,15.888,6165,0
20071016,15.719,15.759,15.719,15.759,4577,0
20071017,15.759,15.759,15.759,15.759,1114,0
20071018,15.769,15.881,15.769,15.841,329,0
20071019,15.8,15.841,15.8,15.841,674,0
20071022,15.719,15.719,15.364,15.371,1484,0
20071023,15.759,15.759,15.719,15.759,796,0
20071024,15.687,15.832,15.687,15.832,3273,0
20071025,15.517,15.921,15.517,15.921,7477,0
20071026,15.857,15.881,15.639,15.881,12942,0
20071029,15.962,16.155,15.962,16.155,1287,0
20071030,16.487,16.487,15.355,15.841,7279,0
20071031,15.316,16.042,15.316,16.042,21811,0
20071102,15.759,15.841,15.759,15.841,3681,0
20071105,15.436,15.445,15.436,15.445,8191,0
20071106,15.436,15.598,15.436,15.598,10418,0
20071107,15.598,15.598,15.348,15.348,8250,0
20071108,14.831,15.194,14.831,15.194,931,0
20071109,14.951,15.194,14.951,15.154,6831,0
20071112,15.154,15.154,14.564,14.564,16379,0
20071113,14.709,14.709,14.564,14.588,6003,0
20071114,15.962,15.962,15.525,15.671,13232,0
20071115,14.831,14.951,14.831,14.831,3255,0
20071116,14.628,15.558,14.628,15.355,15032,0
20071119,15.678,15.678,14.992,15.355,1340,0
20071120,15.639,15.639,14.789,14.789,330,0
20071121,14.709,15.517,14.709,15.355,8672,0
20071122,15.355,15.759,15.316,15.759,7486,0
20071123,15.678,15.678,15.517,15.639,1167,0
20071126,14.637,15.759,14.637,15.671,3788,0
20071128,15.598,16.164,15.598,15.759,18750,0
20071129,15.759,15.759,15.759,15.759,63,0
20071130,15.678,15.759,15.639,15.759,1378,0
20071203,15.678,15.678,15.678,15.678,87,0
20071206,15.355,15.355,15.355,15.355,247,0
20071207,15.355,15.355,15.113,15.113,1231,0
20071210,15.032,15.032,15.032,15.032,11,0
20071211,14.789,14.789,14.789,14.789,944,0
20071213,14.548,14.548,14.548,14.548,123,0
20071214,14.548,14.548,14.466,14.466,263,0
20071217,14.264,15.186,13.342,15.186,831,0
20071218,15.194,15.194,15.194,15.194,2475,0
20071219,15.194,15.678,15.194,15.678,5765,0
20071220,14.951,15.678,14.548,15.678,2884,0
20071221,15.355,15.355,14.144,15.355,8537,0
20071227,14.555,15.355,14.466,15.355,2660,0
20071228,14.523,15.678,14.523,15.678,2626,0
20080102,15.678,15.678,14.548,14.871,2220,0
20080103,14.871,14.951,14.134,14.951,8416,0
