Date,Open,High,Low,Close,Volume,OpenInt
20151214,15.833,15.932,13.359,13.676,42674,0
20151215,13.755,14.003,13.557,13.943,1752,0
20151216,13.953,13.983,13.854,13.854,70036,0
20151217,13.805,13.943,13.805,13.943,9051,0
20151218,13.943,13.943,13.854,13.854,441,0
20151221,13.854,13.854,12.479,13.755,5057,0
20151222,12.766,13.953,12.766,13.34,10200,0
20151223,13.854,13.953,13.468,13.953,15038,0
20151228,13.211,14.349,13.211,14.25,7782,0
20151229,13.726,14.547,13.726,14.151,8273,0
20151230,13.775,14.695,13.775,14.695,7506,0
20160104,14.685,14.685,14.25,14.25,132,0
20160105,13.854,14.349,13.854,14.349,166,0
20160107,13.874,14.25,13.854,14.25,753,0
20160108,14.25,14.25,13.933,13.953,301,0
20160111,13.904,13.953,13.775,13.775,2108,0
20160112,13.775,13.775,12.924,13.706,454,0
20160113,13.656,13.656,13.656,13.656,699,0
20160114,13.854,13.854,13.755,13.755,960,0
20160118,13.834,13.834,13.755,13.815,292,0
20160119,13.755,13.755,13.755,13.755,262,0
20160120,13.824,13.824,13.399,13.508,314,0
20160121,13.508,13.508,13.072,13.399,120,0
20160122,13.419,13.419,13.112,13.132,634,0
20160125,13.34,13.34,12.865,13.241,91,0
20160126,13.201,13.201,12.429,13.023,498,0
20160127,12.855,12.865,12.716,12.716,1061,0
20160128,12.756,12.865,12.37,12.489,6741,0
20160129,12.855,12.855,12.37,12.528,11124,0
20160201,12.528,12.548,12.37,12.528,1087,0
20160202,12.548,12.756,12.37,12.756,515,0
20160203,13.755,13.755,12.449,13.656,726,0
20160204,13.656,13.656,13.656,13.656,1,0
20160205,12.855,12.855,12.528,12.845,562,0
20160208,12.835,12.835,12.795,12.795,1012,0
20160209,12.855,12.855,12.518,12.518,754,0
20160210,12.855,12.855,12.281,12.716,297,0
20160211,12.716,12.716,12.716,12.716,1,0
20160212,12.756,12.756,12.756,12.756,1,0
20160215,12.607,12.855,12.34,12.37,32025,0
20160216,12.37,12.756,12.271,12.756,225,0
20160217,13.755,13.755,12.756,12.756,157,0
20160218,13.745,13.745,12.766,13.092,417,0
20160219,13.082,13.745,12.073,13.745,4291,0
20160222,13.745,13.745,13.745,13.745,1,0
20160223,13.745,13.745,13.745,13.745,1,0
20160224,13.745,13.745,13.745,13.745,1,0
20160225,13.706,13.706,13.706,13.706,1,0
20160226,13.706,13.706,13.3,13.3,41,0
20160229,13.706,13.706,13.706,13.706,1,0
20160301,13.676,13.676,12.983,13.676,3,0
20160302,13.676,13.676,12.825,13.359,37,0
20160303,13.29,13.29,12.667,13.251,330,0
20160304,13.31,13.31,13.161,13.161,28,0
20160307,12.964,13.409,12.756,13.409,1578,0
20160308,13.834,13.834,13.359,13.359,29,0
20160309,13.656,13.656,13.597,13.597,15,0
20160310,13.597,13.597,13.112,13.112,179,0
20160311,13.557,13.557,12.934,12.934,655,0
20160314,13.557,13.557,12.617,12.617,1219,0
20160315,12.964,12.964,12.716,12.855,97,0
20160316,13.062,13.062,13.062,13.062,1,0
20160317,12.865,12.865,12.766,12.766,27,0
20160318,12.766,12.766,12.568,12.568,465,0
20160321,12.558,12.657,12.419,12.419,1214,0
20160322,13.003,14.052,13.003,13.359,18129,0
20160323,13.458,13.468,12.865,13.132,15177,0
20160324,13.468,13.904,12.914,13.854,143964,0
20160329,13.894,13.894,13.854,13.884,259,0
20160330,13.854,13.854,13.409,13.745,162,0
20160331,13.854,13.983,13.221,13.983,8319,0
20160401,14.003,14.844,13.963,14.844,2701,0
20160404,14.131,14.398,13.221,13.646,4082,0
20160405,13.646,14.082,13.221,13.854,769,0
20160406,14.003,14.003,13.458,13.458,92,0
20160407,13.953,14.003,13.854,14.003,18360,0
20160408,13.993,14.003,13.488,13.656,551,0
20160411,14.003,14.844,13.815,14.596,5436,0
20160412,14.567,15.329,14.171,15.052,5239,0
20160413,14.943,16.922,14.547,16.328,147087,0
20160414,16.328,16.526,15.645,16.477,1845,0
20160415,16.576,16.576,16.021,16.576,3339,0
20160418,16.576,16.625,16.576,16.625,606,0
20160419,16.744,19.772,16.744,18.505,34857,0
20160420,18.505,18.505,16.971,16.981,4463,0
20160421,16.952,17.812,16.18,17.516,2617,0
20160422,18.802,18.802,16.981,16.981,446,0
20160425,17.812,17.812,16.823,16.922,1322,0
20160426,17.812,17.812,16.823,16.823,113,0
20160427,16.823,17.793,16.823,17.318,1865,0
20160428,17.793,18.258,16.932,18.248,67436,0
20160429,18.307,18.802,18.06,18.802,42405,0
20160502,18.703,18.703,18.307,18.703,14,0
20160504,19.782,20.385,19.386,20.286,2137,0
20160505,20.286,20.286,19.505,20.187,1854,0
20160506,20.187,20.187,18.852,19.495,1434,0
20160509,19.891,19.891,19.495,19.792,926,0
20160510,19.792,19.792,19.297,19.792,911,0
20160511,19.792,19.792,19.683,19.693,1877,0
20160512,19.693,19.693,19.297,19.297,1071,0
20160513,19.5938,19.5938,19.2969,19.2969,154,0
20160516,19.6927,19.6927,19.1979,19.1979,143,0
20160517,18.8021,19.5938,18.8021,19.3958,443,0
20160518,19.6927,19.6927,19.0495,19.0495,1129,0
20160519,19.6927,19.6927,19.099,19.099,5061,0
20160520,19,19,19,19,2,0
20160523,19,19,19,19,61,0
20160524,19,19,19,19,32,0
20160525,19,19,18.4,18.9,1784,0
20160527,18.9,19.02,18,19.02,1560,0
20160530,19.02,19.29,18.8,19.29,2557,0
20160531,19.28,19.28,18.7,19,27834,0
20160601,19.29,19.3,18.8,19,2861,0
20160602,19.3,19.3,18.8,19,22635,0
20160603,19.3,19.94,19.15,19.8,83226,0
20160606,19.75,19.75,19.75,19.75,255,0
20160607,19.75,20.6,19.75,20.5,36364,0
20160608,20.5,20.5,20,20.5,791,0
20160609,20.5,20.5,20.2,20.2,155,0
20160610,20.4,20.68,20.4,20.5,44354,0
20160613,20.5,20.5,19.7,19.7,4313,0
20160614,19.69,19.69,19.11,19.49,40263,0
20160615,19.1,19.2,19.1,19.2,58022,0
20160616,19.5,19.5,19.5,19.5,2,0
20160617,19.35,20.16,18.85,20.16,2012,0
20160620,20.15,20.5,20.15,20.5,13268,0
20160621,20.48,20.48,20.01,20.45,4907,0
20160622,20.4,20.5,20,20.11,6878,0
20160623,20.48,20.8,20.25,20.8,2321,0
20160624,19.5,20.8,19.5,20.8,3055,0
20160627,20,20.96,18.8,20.96,12981,0
20160628,20,21,20,21,2191,0
20160629,22,22,21.05,22,2177,0
20160630,22.34,22.5,21.5,22.5,2400,0
20160701,21.5,22.1,21.5,21.81,766,0
20160704,21.76,22,21.5,21.94,5320,0
20160705,21.94,21.94,21.9,21.94,1031,0
20160706,22,22,21.06,22,5174,0
20160707,21.07,22,21.07,21.7,254,0
20160708,21.9,21.9,21.7,21.7,3,0
20160711,22,22,21.05,22,1653,0
