Date,Open,High,Low,Close,Volume,OpenInt
20070511,67.262,85.259,66.262,83.168,1046567,0
20070514,93.621,97.16,87.258,97.16,265457,0
20070515,95.436,95.436,90.439,92.712,86278,0
20070516,88.166,91.803,86.349,88.894,58620,0
20070517,88.166,90.894,84.712,88.894,41981,0
20070518,87.713,88.076,85.077,87.258,32934,0
20070521,87.258,94.078,87.258,91.803,32977,0
20070522,92.62,93.621,90.894,92.712,48282,0
20070523,92.712,93.621,91.528,93.621,33031,0
20070524,93.984,93.984,89.984,93.162,13220,0
20070525,89.258,92.252,89.258,89.984,13777,0
20070528,89.166,90.802,87.439,89.984,13204,0
20070529,90.712,90.712,87.258,88.894,9490,0
20070530,87.713,87.713,84.712,87.713,13461,0
20070531,88.258,89.984,87.348,89.984,18351,0
20070601,90.439,90.439,87.622,89.984,16713,0
20070604,87.258,89.076,85.44,89.076,11401,0
20070605,87.348,89.484,87.258,89.076,10608,0
20070606,87.395,89.076,86.212,89.076,15369,0
20070608,86.395,86.44,83.986,86.349,14013,0
20070611,86.349,88.166,85.44,88.166,9219,0
20070612,88.622,89.53,87.258,89.076,18942,0
20070613,89.076,95.436,89.076,91.803,22816,0
20070614,92.252,93.621,90.894,93.621,14387,0
20070615,92.712,93.162,91.987,92.712,5759,0
20070618,90.349,93.437,90.349,93.437,56491,0
20070619,91.803,91.803,84.349,85.44,68782,0
20070620,85.531,87.258,84.712,85.894,53100,0
20070621,85.894,86.349,84.259,84.531,19832,0
20070622,84.531,85.168,81.622,84.986,78710,0
20070625,84.531,84.531,81.986,82.44,10620,0
20070626,84.031,84.031,81.758,82.623,114776,0
20070627,82.623,83.531,78.35,81.168,20416,0
20070628,79.214,81.805,78.532,80.441,8879,0
20070629,79.986,80.441,76.897,77.26,8485,0
20070702,74.078,75.714,73.76,74.988,30285,0
20070703,74.533,78.622,74.533,78.168,10649,0
20070704,78.168,79.941,76.214,78.622,4544,0
20070705,79.395,79.395,75.532,77.623,4690,0
20070706,77.26,78.895,76.35,78.895,21442,0
20070709,79.896,81.805,78.895,80.986,19497,0
20070710,80.759,80.85,79.532,80.441,12212,0
20070711,80.441,80.441,79.078,80.441,8779,0
20070712,81.576,85.44,81.576,82.713,14775,0
20070713,84.531,86.349,84.076,85.94,13962,0
20070716,85.94,85.94,81.441,83.986,10985,0
20070717,81.805,85.44,81.805,84.076,11172,0
20070718,85.44,85.44,82.259,84.531,3893,0
20070719,84.44,84.986,83.622,84.531,4420,0
20070720,84.622,85.213,82.122,84.076,4217,0
20070723,82.259,84.031,81.486,82.713,48772,0
20070724,83.531,83.531,78.622,81.305,13743,0
20070725,79.986,80.032,78.441,79.986,3828,0
20070726,79.532,80.759,79.078,79.078,21726,0
20070727,77.032,80.441,75.532,79.078,16057,0
20070730,76.897,81.713,76.897,80.895,10035,0
20070731,80.895,83.123,80.895,83.123,34979,0
20070801,82.623,82.623,78.259,80.441,3549,0
20070802,80.804,80.804,79.896,80.713,1630,0
20070803,80.713,80.713,78.532,80.669,21129,0
20070806,77.805,79.032,75.714,78.168,11443,0
20070807,78.215,80.804,78.215,78.622,34952,0
20070808,79.078,79.986,78.85,79.078,17604,0
20070809,80.804,80.804,79.078,79.986,27814,0
20070810,78.441,78.441,77.805,78.168,44819,0
20070813,76.531,77.715,73.805,77.26,26800,0
20070814,77.351,77.351,72.715,72.715,14876,0
20070816,69.898,69.898,63.853,65.443,60607,0
20070817,64.899,69.716,64.534,67.898,12822,0
20070820,70.533,77.26,69.079,69.989,18338,0
20070821,69.989,71.761,68.898,69.989,11860,0
20070822,69.989,71.806,69.534,71.806,8609,0
20070823,72.715,73.532,70.897,72.715,1404,0
20070824,73.532,74.896,72.715,74.896,3594,0
20070827,75.169,77.623,75.079,76.35,3622,0
20070828,76.441,77.533,76.441,77.351,3032,0
20070829,71.852,76.759,71.852,76.759,20220,0
20070830,78.078,78.622,77.26,78.168,8257,0
20070831,79.078,80.441,77.396,79.078,652,0
20070903,79.078,80.804,78.259,79.986,1676,0
20070904,80.441,82.532,79.168,82.44,32568,0
20070905,83.168,83.986,82.895,83.622,6318,0
20070906,82.895,83.622,82.85,83.168,32413,0
20070907,82.805,83.258,80.078,81.805,2677,0
20070910,80.078,80.578,78.305,80.441,19682,0
20070911,81.713,81.713,80.441,80.986,2229,0
20070912,81.805,82.713,81.805,82.623,2950,0
20070913,82.623,82.713,82.031,82.713,1323,0
20070914,79.259,82.259,79.259,81.986,955,0
20070917,82.713,82.713,81.805,81.805,18170,0
20070918,81.805,82.713,81.805,82.713,37219,0
20070919,82.713,84.076,82.713,83.622,6460,0
20070920,83.622,83.622,81.94,83.622,2288,0
20070921,83.622,83.712,82.759,83.712,3108,0
20070924,82.805,82.805,81.94,81.986,378,0
20070925,81.94,82.532,79.986,81.895,1306,0
20070926,82.713,82.713,81.805,82.713,4348,0
20070927,83.622,83.622,81.805,82.713,2534,0
20070928,81.805,82.713,81.805,82.713,11709,0
20071001,81.441,82.122,80.895,81.805,257,0
20071002,80.895,82.713,80.532,82.713,831,0
20071003,80.169,83.168,80.169,82.713,655,0
20071004,81.895,83.622,81.805,83.622,1033,0
20071005,82.713,83.032,81.805,83.032,195,0
20071008,82.168,82.94,82.076,82.713,5078,0
20071009,82.713,83.168,81.441,83.168,1352,0
20071010,82.713,83.076,81.94,83.076,1058,0
20071011,81.895,84.758,81.895,84.667,8562,0
20071012,84.531,84.986,83.668,84.531,2242,0
20071015,82.759,85.259,82.759,84.986,2214,0
20071016,84.531,85.759,84.531,85.622,2953,0
20071017,85.44,85.894,85.259,85.44,3005,0
20071018,83.895,85.894,83.895,85.44,3613,0
20071019,85.894,87.667,85.894,87.258,4040,0
20071022,86.349,87.258,85.667,87.258,3250,0
20071023,87.258,91.345,87.258,90.986,5986,0
20071024,90.894,90.894,86.803,89.258,3361,0
20071025,89.076,89.258,87.759,89.076,3731,0
20071026,89.076,89.984,89.076,89.076,6394,0
20071029,89.076,90.621,89.076,89.166,14490,0
20071030,90.894,93.805,90.075,90.712,12361,0
20071031,90.439,90.439,89.076,89.984,7586,0
20071102,89.984,89.984,87.258,87.713,8913,0
20071105,86.576,88.258,86.576,88.166,2599,0
20071106,87.485,88.531,87.485,88.258,6731,0
20071107,88.166,88.166,79.441,85.622,15909,0
20071108,80.35,84.94,80.35,84.531,5709,0
20071109,83.622,83.622,82.94,82.94,11661,0
20071112,81.805,82.44,79.986,81.805,14385,0
20071113,79.986,81.805,79.441,81.805,14011,0
20071114,81.805,83.622,81.805,81.895,1542,0
20071115,82.532,82.713,80.441,81.805,5147,0
20071116,80.986,81.805,77.26,81.805,21718,0
20071119,81.805,81.895,79.986,81.895,17354,0
20071120,82.259,82.713,79.623,80.078,12700,0
20071121,78.168,79.986,78.168,79.896,2378,0
20071122,76.805,81.805,75.896,81.805,6566,0
20071123,81.805,82.259,79.214,81.349,13442,0
20071126,80.532,81.258,80.169,81.258,232,0
20071127,81.076,81.805,80.895,80.895,1524,0
20071128,78.441,82.259,78.441,79.532,501,0
20071129,81.349,81.805,80.487,80.487,789,0
