Date,Open,High,Low,Close,Volume,OpenInt
20050218,38.577,38.577,36.215,36.411,22275,0
20050221,35.919,36.215,34.05,34.542,7482,0
20050222,34.542,35.427,34.542,35.427,1236,0
20050223,35.132,35.427,35.132,35.427,702,0
20050224,35.132,35.624,34.345,35.624,1716,0
20050225,35.624,36.215,34.837,35.919,1173,0
20050228,35.919,35.919,34.837,35.427,734,0
20050301,34.542,35.132,34.542,35.132,757,0
20050302,34.542,34.542,32.967,33.754,711,0
20050303,33.558,33.754,32.77,33.558,517,0
20050304,33.754,33.754,33.558,33.558,123,0
20050307,32.475,32.967,32.18,32.967,624,0
20050308,32.18,32.77,31.885,32.475,1150,0
20050309,32.475,34.542,32.475,34.05,1476,0
20050310,33.754,35.427,33.754,34.542,1032,0
20050311,34.542,34.837,33.262,33.262,1368,0
20050314,34.542,34.542,32.967,34.05,256,0
20050315,33.262,34.05,33.262,34.05,256,0
20050316,33.754,34.05,32.967,32.967,535,0
20050317,32.967,32.967,32.77,32.967,570,0
20050318,32.967,32.967,32.77,32.77,527,0
20050321,32.18,32.475,32.18,32.18,475,0
20050322,32.18,34.05,32.18,33.754,408,0
20050323,33.262,33.262,33.262,33.262,86,0
20050324,32.77,34.05,32.77,32.77,528,0
20050329,32.475,33.754,32.475,33.754,128,0
20050330,34.05,34.05,33.262,33.754,224,0
20050331,33.754,34.345,33.262,34.345,229,0
20050401,34.345,34.837,32.967,34.542,1384,0
20050404,32.967,34.542,32.967,34.542,155,0
20050405,33.262,34.345,33.262,34.345,229,0
20050406,33.558,33.558,33.558,33.558,54,0
20050407,33.754,33.754,33.558,33.558,243,0
20050411,33.262,34.05,32.967,34.05,174,0
20050412,32.967,32.967,32.967,32.967,95,0
20050413,32.967,32.967,32.77,32.967,244,0
20050414,32.967,33.558,32.18,33.558,500,0
20050415,32.475,33.558,32.475,33.558,20,0
20050418,32.77,32.77,31.885,32.18,1000,0
20050419,31.885,31.885,29.818,31.097,1644,0
20050420,29.523,29.523,27.358,27.653,3036,0
20050421,27.358,29.031,26.866,27.161,1798,0
20050422,26.571,29.228,26.079,27.161,1207,0
