Date,Open,High,Low,Close,Volume,OpenInt
20070309,5.1039,5.4683,5.0966,5.1696,1089285,0
20070312,5.1769,6.4163,5.1769,6.1611,251741,0
20070313,6.7445,7.3569,6.1976,6.3433,303611,0
20070314,6.1976,6.1976,5.833,6.1466,113634,0
20070315,6.1611,6.5184,6.0154,6.256,293846,0
20070316,6.4819,6.5403,6.1976,6.4527,231461,0
20070319,6.4893,6.708,6.4746,6.5622,88839,0
20070320,6.8174,6.8174,6.4893,6.5476,40641,0
20070321,6.6132,6.6278,6.3069,6.4163,40053,0
20070322,6.5622,6.5986,6.3433,6.4893,72050,0
20070323,6.5548,6.5548,6.2924,6.4893,207327,0
20070326,6.3433,6.5476,6.3433,6.5257,17363,0
20070327,6.5622,6.635,6.3726,6.5767,32269,0
20070328,6.6278,6.6278,6.4018,6.5622,22917,0
20070329,6.5622,6.6205,6.4309,6.5622,47272,0
20070330,6.5622,6.6059,6.4235,6.5986,187835,0
20070402,6.5913,6.5913,6.4309,6.5694,11528,0
20070403,6.4965,6.5913,6.4893,6.4893,152571,0
20070404,6.584,6.5913,6.4091,6.5622,274436,0
20070405,6.5913,6.5986,6.4893,6.5622,21688,0
20070410,6.5622,6.635,6.4819,6.5986,36623,0
20070411,6.6935,8.6038,6.6716,7.6485,330996,0
20070412,7.9332,7.9332,7.1455,7.2695,75533,0
20070413,7.5611,7.5829,7.1455,7.2768,37087,0
20070416,7.1309,7.8378,7.1309,7.6559,92045,0
20070417,7.8745,9.0415,7.7291,8.713,116508,0
20070418,8.9324,9.0775,8.2028,8.7494,349411,0
20070419,8.3847,8.7494,8.3492,8.7494,34811,0
20070420,8.8955,10.208,8.8955,9.844,635586,0
20070423,10.354,10.938,10.135,10.208,179290,0
20070424,10.281,10.281,9.565,10.135,277404,0
20070425,10.135,10.208,9.844,10.171,51806,0
20070426,10.171,10.208,9.975,10.026,58307,0
20070427,9.931,10.573,9.931,10.099,82196,0
20070430,10.055,10.23,10.055,10.208,69893,0
20070502,10.237,10.565,10.099,10.354,108451,0
20070504,10.529,10.893,10.435,10.646,59958,0
20070507,10.864,11.011,10.499,10.565,29914,0
20070508,10.536,10.536,9.844,10.208,63087,0
20070509,9.763,10.062,9.602,10.048,75565,0
20070510,9.844,9.981,8.4575,9.4055,97788,0
20070511,8.7494,8.8955,8.6038,8.8955,97710,0
20070514,9.2743,9.734,9.0489,9.3695,31765,0
20070515,9.698,9.698,8.7494,9.1145,29111,0
20070516,9.0775,9.844,8.7494,9.4785,126559,0
20070517,9.2956,9.837,9.2956,9.523,52319,0
20070518,9.515,9.515,9.1145,9.515,131327,0
20070521,9.508,9.515,9.2161,9.4785,60940,0
20070522,9.508,9.508,9.1875,9.4785,28454,0
20070523,9.3325,9.3325,8.9102,9.1145,62340,0
20070524,9.1145,9.1145,8.8955,9.0987,20539,0
20070525,9.0627,9.0627,8.7494,9.0119,60925,0
20070528,9.0267,9.0267,8.5823,8.9971,168077,0
20070529,8.8955,8.9675,8.6841,8.7494,35682,0
20070530,8.531,9.0415,8.4434,8.7494,37653,0
20070531,8.7494,9.0415,8.7494,9.0415,151615,0
20070601,9.1505,9.2521,8.9675,9.1145,48452,0
20070604,9.1875,9.1875,8.8955,9.1801,14120,0
20070605,9.2882,9.2882,8.8955,9.1875,10465,0
20070606,9.0045,9.1875,8.8668,9.144,14972,0
20070608,8.7494,9.1145,8.6774,8.9675,48742,0
20070611,9.1061,9.1061,8.8225,8.9546,19856,0
20070612,8.9472,8.9472,8.6112,8.8151,16328,0
20070613,8.531,8.7494,8.531,8.5823,30478,0
20070614,8.5013,8.7345,8.4211,8.6403,40006,0
20070615,8.6774,8.7781,8.4434,8.7494,50606,0
20070618,8.925,8.925,8.531,8.713,12323,0
20070619,8.7205,8.7494,8.531,8.7494,77976,0
20070620,8.6841,9.916,8.6841,9.654,268504,0
20070621,9.844,9.989,9.4055,9.4785,41279,0
20070622,9.4785,9.844,9.3113,9.837,27253,0
20070625,9.771,9.771,9.4859,9.602,19429,0
20070626,9.69,9.698,9.4785,9.4785,156007,0
20070627,9.668,9.668,9.4499,9.4711,18355,0
20070628,9.4785,9.844,9.0045,9.844,45170,0
20070629,9.837,9.844,9.4859,9.844,21764,0
20070702,9.807,9.807,9.3325,9.698,5142,0
20070703,8.7494,9.552,8.7494,9.4055,33993,0
20070704,9.544,9.544,9.2161,9.2161,3865,0
20070705,9.2447,9.2447,8.8955,9.0849,5817,0
20070706,9.2087,9.2087,8.9675,9.144,4038,0
20070709,9.3113,9.3113,8.9029,8.9029,18425,0
20070710,9.1875,9.1875,8.531,8.9324,15252,0
20070711,8.925,8.925,8.6403,8.8151,5604,0
20070712,8.8151,8.8225,8.5749,8.8225,5361,0
20070713,8.6403,8.7494,8.4649,8.7494,7146,0
20070716,8.8225,8.8225,8.0423,8.3847,14507,0
20070717,8.2391,8.4211,8.0928,8.4211,20453,0
20070718,8.4575,8.4575,8.1151,8.1151,7293,0
20070719,8.2391,8.4211,8.1953,8.312,603152,0
20070720,8.4575,8.4575,8.0209,8.0209,30945,0
20070723,8.0209,8.2391,7.8745,8.0928,8980,0
20070724,8.1292,8.1292,7.7584,7.9472,21384,0
20070725,7.6851,7.9332,7.5975,7.6121,19146,0
20070726,7.9109,7.9109,7.2914,7.51,10449,0
20070727,6.9341,7.51,6.9341,7.3497,286672,0
20070730,7.4372,7.51,7.1455,7.4736,5999,0
20070731,7.4372,7.51,7.4372,7.51,4171,0
20070801,7.0798,7.4372,7.0798,7.2914,147730,0
20070802,7.2914,7.3569,7.0944,7.3569,100214,0
20070803,7.51,7.51,7.2184,7.2914,83513,0
20070806,6.9996,7.1819,6.5622,6.9268,54941,0
20070807,6.73,6.9996,6.73,6.9268,103853,0
20070808,6.9996,6.9996,6.7152,6.861,4306,0
20070809,6.708,6.9268,6.5986,6.8466,9079,0
20070810,6.4163,6.6497,6.4163,6.5257,128213,0
