Date,Open,High,Low,Close,Volume,OpenInt
20061229,8.4193,8.4245,7.8184,8.1722,669523,0
20070102,8.373,8.4245,8.1315,8.2503,149168,0
20070103,8.2649,8.2649,7.7159,7.8336,52113,0
20070104,7.8184,7.8184,7.3103,7.6078,49703,0
20070105,7.531,7.788,7.418,7.659,28043,0
20070108,7.5771,7.6647,7.4591,7.6647,25044,0
20070109,7.6903,7.6903,7.5875,7.6647,5070,0
20070110,7.659,7.659,7.5002,7.6334,3002,0
20070111,7.5516,7.7159,7.3616,7.7159,27249,0
20070112,7.7207,7.8697,7.6391,7.7159,35749,0
20070115,7.8441,7.8441,7.6134,7.6647,24489,0
20070116,7.8135,7.8135,7.6542,7.6903,14093,0
20070117,7.6951,7.808,7.6439,7.6903,19186,0
20070118,7.6391,7.6391,7.5925,7.6391,22944,0
20070119,7.7976,7.7976,7.5156,7.788,15811,0
20070122,7.8184,7.8697,7.6647,7.7568,13244,0
20070123,7.7671,7.7671,7.6134,7.6134,4883,0
20070124,7.6647,7.8184,7.6134,7.7159,14254,0
20070125,7.6647,7.9673,7.6647,7.9673,62450,0
20070126,7.9161,7.9673,7.7159,7.9264,9642,0
20070129,8.0442,8.1211,7.9161,8.1211,24873,0
20070130,8.0442,8.0699,7.8953,8.0338,26377,0
20070131,7.8752,8.1211,7.8697,8.1163,64850,0
20070201,8.0442,8.1211,8.0186,8.0186,29493,0
20070202,8.1266,9.615,8.0186,9.3385,740292,0
20070205,9.3385,9.543,8.7479,9.061,181056,0
20070206,8.9843,9.0768,8.5317,8.8807,95864,0
20070207,8.8807,8.8807,8.4957,8.6295,35370,0
20070208,8.5377,8.681,8.4759,8.6038,34223,0
20070209,8.5162,8.9427,8.1825,8.9427,64037,0
20070212,9.0869,9.3893,9.0093,9.2044,39249,0
20070213,9.1424,9.3893,9.0666,9.3893,26023,0
20070214,9.3024,10.099,9.3024,9.846,73136,0
20070215,9.898,9.898,9.4402,9.641,10051,0
20070216,9.729,10.149,9.3893,10.149,84023,0
20070219,10.154,10.304,9.898,10.154,37868,0
20070220,10.062,10.154,9.949,10.149,13900,0
20070221,10.056,10.406,10.056,10.278,10509,0
20070222,10.498,10.811,10.278,10.801,50298,0
20070223,10.657,10.657,10.354,10.647,14393,0
20070226,10.657,10.657,10.154,10.431,42082,0
20070227,10.154,10.154,9.2099,9.2867,36243,0
20070228,9.0342,9.841,8.7831,9.2404,62384,0
20070301,9.4152,9.641,8.8807,9.1322,25958,0
20070302,9.0444,9.2303,9.0407,9.1322,18964,0
20070305,9.1424,9.1424,8.681,8.7831,19077,0
20070306,8.9584,9.0869,8.373,8.5317,60205,0
20070307,8.7067,9.1581,8.7067,9.0869,14709,0
20070308,9.0342,9.2608,8.8511,9.2608,18080,0
20070309,9.3893,9.3893,8.8872,8.8872,13991,0
20070312,8.9843,9.1387,8.7994,9.0509,14830,0
20070313,8.8872,8.9325,8.7325,8.7831,5535,0
20070314,8.6913,9.2811,8.4245,8.9325,12460,0
20070315,9.0342,9.0342,8.7831,8.7831,3316,0
20070316,8.6913,8.8086,8.681,8.7325,7513,0
20070319,8.9066,9.0342,8.8086,8.9843,12089,0
20070320,8.9843,9.0342,8.8807,8.9843,9393,0
20070321,9.1637,9.2303,8.9889,9.0093,28966,0
20070322,9.1387,9.4402,9.0093,9.0093,28909,0
20070323,9.0093,9.743,8.9584,9.626,73812,0
20070326,9.645,9.975,9.569,9.743,38545,0
20070327,9.739,9.877,9.739,9.739,12876,0
20070328,9.645,9.718,9.645,9.697,20501,0
20070329,9.697,10.605,9.697,10.605,161504,0
20070330,10.605,10.91,10.246,10.91,35618,0
20070402,10.863,11.422,10.462,11.422,56961,0
20070403,11.422,11.422,11.042,11.16,31101,0
20070404,11.372,11.469,10.914,11.114,78778,0
20070405,11.006,11.16,10.657,11.099,58026,0
20070410,10.991,11.063,10.657,11.063,9626,0
20070411,10.955,10.955,10.605,10.652,25666,0
20070412,10.55,10.652,9.645,10.406,10100,0
20070413,10.38,10.38,9.949,10.226,18795,0
20070416,10.128,10.278,10.128,10.154,1023,0
20070417,9.794,10.102,9.794,10.102,14171,0
20070418,10.001,10.914,9.743,9.794,50111,0
20070419,9.898,9.898,9.677,9.898,3775,0
20070420,9.804,9.969,9.645,9.969,34461,0
20070423,10.17,10.17,9.645,9.657,30971,0
20070424,9.898,10.099,9.703,10.099,4929,0
20070425,9.995,10.709,9.995,10.657,15510,0
20070426,10.554,10.58,10.154,10.58,23063,0
20070427,10.472,10.586,10.278,10.457,17377,0
20070430,10.663,10.663,10.226,10.406,2976,0
20070502,10.354,10.709,10.354,10.709,6411,0
20070504,10.709,11.166,10.709,11.063,18900,0
