Date,Open,High,Low,Close,Volume,OpenInt
20101229,13.388,13.725,13.197,13.256,56891,0
20101230,13.301,13.344,13.197,13.248,20041,0
20101231,13.246,13.246,12.61,13.23,13135,0
20110103,13.242,13.315,13.197,13.27,19960,0
20110104,13.27,13.278,13.197,13.278,9962,0
20110105,13.285,13.285,13.197,13.264,8498,0
20110107,13.197,13.248,12.736,13.248,7208,0
20110110,13.234,13.234,13.058,13.219,6292,0
20110111,13.197,13.264,13.189,13.234,5109,0
20110112,13.234,13.418,13.234,13.403,9496,0
20110113,13.409,13.409,13.242,13.373,10821,0
20110114,13.381,13.49,13.278,13.373,8567,0
20110117,13.381,13.381,13.278,13.344,2054,0
20110118,13.359,13.359,13.307,13.351,3450,0
20110119,13.351,13.351,13.307,13.344,6427,0
20110120,13.307,13.344,13.307,13.344,4520,0
20110121,13.351,13.403,13.307,13.403,8092,0
20110124,13.351,13.395,13.351,13.395,3825,0
20110125,13.395,13.395,13.27,13.301,6881,0
20110126,13.301,13.301,13.227,13.301,8953,0
20110127,13.27,13.307,13.27,13.307,145,0
20110128,13.205,13.344,13.205,13.337,2502,0
20110131,13.337,13.337,13.2,13.337,1366,0
20110201,13.329,13.329,13.197,13.307,4381,0
20110202,13.27,13.395,13.197,13.366,7414,0
20110203,13.388,13.388,13.366,13.366,2,0
20110204,13.366,13.366,13.27,13.359,901,0
20110207,13.27,13.344,13.234,13.344,13097,0
20110208,13.344,13.388,13.197,13.388,44949,0
20110209,13.344,13.49,13.197,13.49,48764,0
20110210,13.248,13.682,13.248,13.674,7961,0
20110211,13.248,13.784,13.248,13.776,9366,0
20110214,13.322,13.894,13.322,13.894,7697,0
20110215,13.579,13.858,13.446,13.858,8954,0
20110216,13.858,13.931,13.666,13.931,11643,0
20110217,13.931,14.297,13.931,14.26,4309,0
20110218,14.297,14.583,14.21,14.437,4570,0
20110221,14.561,14.561,14.143,14.437,42002,0
20110222,14.223,14.509,14.223,14.48,43454,0
20110223,14.157,14.546,14.151,14.502,36871,0
20110224,14.093,14.502,14.093,14.429,21341,0
20110225,14.157,14.458,14.157,14.356,15383,0
20110228,14.458,14.458,14.107,14.356,709,0
20110301,14.165,14.414,14.165,14.363,115,0
20110302,14.348,14.348,14.084,14.291,488,0
20110303,13.499,14.011,13.307,13.776,1698,0
20110304,13.923,13.923,13.468,13.703,497,0
20110307,13.549,13.747,13.549,13.703,269,0
20110308,13.696,13.77,13.425,13.666,507,0
20110309,13.762,13.762,13.388,13.629,149,0
20110310,13.629,13.629,13.278,13.527,108,0
20110311,13.27,13.52,13.27,13.52,38,0
20110314,13.512,13.52,13.49,13.52,30,0
20110315,13.483,13.512,13.234,13.234,1113,0
20110316,13.476,13.49,13.234,13.234,291,0
20110317,13.49,13.49,13.211,13.211,3,0
20110318,13.49,13.49,13.211,13.211,116,0
20110321,13.483,13.483,13.211,13.211,71,0
20110322,13.483,13.483,13.27,13.27,61838,0
20110323,13.483,13.483,13.211,13.483,1565,0
20110324,13.483,13.483,13.27,13.27,57299,0
20110325,13.381,13.381,13.227,13.227,3,0
20110328,13.381,13.381,13.381,13.381,1,0
20110329,13.483,13.483,13.418,13.418,2,0
20110330,13.476,13.476,13.476,13.476,2,0
20110331,13.223,13.473,13.223,13.473,23,0
20110401,13.468,13.468,13.124,13.197,3116,0
20110404,13.197,13.197,13.197,13.197,784,0
20110405,13.409,13.409,13.409,13.409,2,0
20110406,13.49,13.49,13.483,13.49,8799,0
20110407,13.49,13.49,13.483,13.483,280,0
20110408,13.49,13.49,13.483,13.483,2,0
20110411,13.512,13.512,13.483,13.483,2,0
20110412,13.483,13.483,13.197,13.418,107,0
20110413,13.418,13.418,13.197,13.27,1374,0
20110414,13.418,13.418,13.27,13.344,1127,0
20110415,13.344,13.344,13.337,13.337,1365,0
20110418,13.337,13.337,13.124,13.337,72,0
20110419,13.344,13.381,13.344,13.381,587,0
