Date,Open,High,Low,Close,Volume,OpenInt
20050204,2.5671,2.7011,2.5671,2.6386,8793202,0
20050207,2.6386,2.6923,2.585,2.6923,1493923,0
20050208,2.6923,2.6923,2.6475,2.6832,989780,0
20050209,2.6832,2.7101,2.6654,2.7011,1235920,0
20050210,2.7101,2.7279,2.6923,2.7101,483857,0
20050211,2.7011,2.737,2.6832,2.7011,552939,0
20050214,2.6654,2.7101,2.6654,2.6743,117672,0
20050215,2.6654,2.6832,2.6654,2.6832,72557,0
20050216,2.6743,2.6743,2.5939,2.6654,634430,0
20050217,2.6207,2.6654,2.585,2.6654,447724,0
20050218,2.6296,2.6475,2.5939,2.6475,53242,0
20050221,2.6564,2.6564,2.5491,2.585,180965,0
20050222,2.585,2.6117,2.5758,2.6117,203017,0
20050223,2.6028,2.6117,2.585,2.5939,152975,0
20050224,2.585,2.6296,2.585,2.6296,207041,0
20050225,2.6296,2.6832,2.6296,2.6654,597555,0
20050228,2.6654,2.6654,2.6117,2.6386,68403,0
20050301,2.6386,2.6386,2.5758,2.6207,32373,0
20050302,2.6207,2.6296,2.5758,2.6296,48045,0
20050303,2.6296,2.6564,2.6028,2.6207,41874,0
20050304,2.6117,2.6207,2.5939,2.6207,117152,0
20050307,2.6207,2.6296,2.6207,2.6296,27179,0
20050308,2.6296,2.6296,2.6296,2.6296,20102,0
20050309,2.6296,2.6475,2.6028,2.6296,57163,0
20050310,2.6296,2.6475,2.6296,2.6296,273106,0
20050311,2.6296,2.6296,2.585,2.6296,60969,0
20050314,2.6296,2.6296,2.5939,2.5939,118146,0
20050315,2.5939,2.6207,2.585,2.6117,37395,0
20050316,2.6117,2.6117,2.5939,2.5939,88550,0
20050317,2.4775,2.585,2.4775,2.585,87635,0
20050318,2.5671,2.6117,2.5222,2.6028,164823,0
20050321,2.6028,2.6028,2.5758,2.585,86681,0
20050322,2.5581,2.5758,2.5402,2.5581,582369,0
20050323,2.5581,2.5581,2.5133,2.5133,14966,0
20050324,2.4775,2.6207,2.4775,2.5758,92055,0
20050329,2.6028,2.6028,2.5758,2.585,9642,0
20050330,2.585,2.6028,2.585,2.6028,526149,0
20050331,2.6028,2.6654,2.6028,2.6564,370170,0
20050401,2.6564,2.6564,2.6296,2.6296,63906,0
20050404,2.6386,2.6564,2.6117,2.6564,312056,0
20050405,2.6564,2.6654,2.6564,2.6654,69738,0
20050406,2.6475,2.8711,2.6475,2.7907,538355,0
20050407,2.7907,2.8352,2.7637,2.7907,84541,0
20050411,2.7907,2.9158,2.7548,2.8443,1027347,0
20050412,2.8174,2.8443,2.8174,2.8352,222389,0
20050413,2.8352,2.8352,2.8085,2.8085,156402,0
20050414,2.8085,2.8352,2.7995,2.8352,1699452,0
20050415,2.8264,2.8352,2.8085,2.8352,40249,0
20050418,2.7637,2.8085,2.7189,2.7727,67109,0
20050419,2.8264,2.8352,2.7637,2.8352,60883,0
20050420,2.8443,2.8443,2.8085,2.8352,355351,0
20050421,2.7995,3.0322,2.7995,2.9784,469537,0
20050422,3.0053,3.0322,2.9517,2.9517,151529,0
20050425,2.9425,2.9425,2.8711,2.8801,17951,0
20050426,2.889,2.889,2.8534,2.8711,103310,0
20050427,2.8352,2.8622,2.8352,2.8352,149526,0
20050428,2.8352,2.8622,2.8352,2.8534,142557,0
20050429,2.898,2.898,2.8711,2.8711,25836,0
20050502,2.8801,2.9158,2.8801,2.898,11999,0
20050504,2.889,2.898,2.8711,2.898,81585,0
20050505,2.889,2.9158,2.8264,2.8352,293587,0
20050506,2.8352,2.8352,2.8174,2.8264,135087,0
20050509,2.8352,2.9337,2.7995,2.8622,128831,0
20050510,2.8264,2.8622,2.8264,2.8622,10357,0
20050511,2.8352,2.9517,2.8352,2.8711,338594,0
20050512,2.9158,2.9158,2.8352,2.8801,119554,0
20050513,2.8352,2.8801,2.8174,2.8352,200688,0
20050516,2.8264,2.8534,2.8264,2.8352,1593100,0
20050517,2.8443,2.8622,2.6832,2.8264,201737,0
20050518,2.7727,2.8174,2.7727,2.7815,191622,0
20050519,2.7548,2.8352,2.7548,2.7548,8638,0
20050520,2.7907,2.7907,2.7189,2.7548,11875,0
20050523,2.7727,2.7815,2.7548,2.7727,8242,0
20050524,2.7637,2.7727,2.7637,2.7727,61024,0
20050527,2.7727,2.8264,2.7727,2.8264,2444,0
20050530,2.8622,2.9158,2.8622,2.9158,320881,0
20050531,2.9158,2.9425,2.9158,2.9248,1086027,0
20050601,2.9517,2.9962,2.9517,2.9962,77331,0
20050602,2.9696,2.9696,2.9605,2.9696,5650,0
20050603,2.9696,2.9696,2.9337,2.9337,1141899,0
20050606,2.9337,2.9962,2.9337,2.9873,120588,0
20050607,2.9962,2.9962,2.9425,2.9784,141045,0
20050608,3.0322,3.0322,2.9784,2.9962,1025,0
20050609,2.9962,2.9962,2.9962,2.9962,125,0
20050610,2.9517,2.9605,2.9248,2.9605,626953,0
20050613,2.9605,2.9605,2.9517,2.9517,125056,0
20050614,2.9248,2.9248,2.9248,2.9248,14198,0
20050615,2.9248,2.9248,2.9248,2.9248,1751,0
20050616,2.9425,2.9425,2.9248,2.9425,556559,0
20050617,2.9248,2.9517,2.9248,2.9248,17055,0
20050620,2.9248,2.9248,2.9248,2.9248,5050,0
20050621,2.9248,2.9425,2.9248,2.9337,14430,0
20050622,2.9425,2.9425,2.9248,2.9248,135511,0
20050623,2.9248,2.9248,2.9248,2.9248,4107,0
20050624,2.9248,2.9248,2.9248,2.9248,4079,0
20050627,2.8711,2.9158,2.8711,2.9158,7556,0
20050628,2.9158,2.9337,2.9158,2.9248,609477,0
20050629,2.9337,2.9784,2.9337,2.9784,8426,0
20050630,2.9962,2.9962,2.9425,2.9962,17134,0
20050701,2.9962,2.9962,2.9248,2.9248,16706,0
20050704,2.9158,2.9605,2.9158,2.9605,334190,0
20050705,2.9696,2.9873,2.9696,2.9696,30143,0
20050706,2.9248,2.9425,2.9248,2.9248,10844,0
20050707,2.9517,2.9517,2.898,2.9158,13710,0
20050708,2.9517,2.9605,2.898,2.9425,326571,0
20050711,2.9425,2.9425,2.9425,2.9425,30024,0
20050712,2.9517,2.9962,2.9425,2.9962,451248,0
20050713,2.9873,2.9873,2.9605,2.9696,8337,0
20050714,2.9873,2.9962,2.9425,2.9425,9092,0
20050715,2.9784,2.9962,2.9248,2.9248,11670,0
20050718,2.9158,2.9248,2.9158,2.9158,22547,0
20050719,2.9158,2.9158,2.8711,2.889,174885,0
20050720,2.9605,2.9605,2.9158,2.9158,124045,0
20050721,2.9158,2.9517,2.8622,2.9517,333,0
20050722,2.9069,2.9337,2.8801,2.9337,5420,0
20050725,2.9425,2.9605,2.9337,2.9605,77634,0
20050726,2.9158,2.9962,2.9158,2.9605,51954,0
20050727,2.9784,2.9784,2.9517,2.9696,44474,0
20050728,2.9696,2.9962,2.9696,2.9784,29617,0
20050729,2.9425,2.9425,2.9425,2.9425,6469,0
20050801,2.9962,3.0589,2.9873,3.0322,34190,0
20050802,3.0678,3.0947,3.041,3.0767,77445,0
20050803,3.1484,3.1484,2.9605,2.9962,52086,0
