Date,Open,High,Low,Close,Volume,OpenInt
20041012,1.9056,1.9056,1.6483,1.7448,217856,0
20041013,1.7287,1.7287,1.6483,1.7046,39798,0
20041014,1.7287,1.7931,1.6403,1.7448,101832,0
20041015,1.8333,1.8333,1.7207,1.8172,39119,0
20041018,1.8011,1.8011,1.8011,1.8011,2579,0
20041019,1.8574,1.978,1.8413,1.9217,28981,0
20041020,1.8574,1.8574,1.8574,1.8574,3517,0
20041021,1.8735,1.8735,1.8413,1.8413,41965,0
20041022,1.8574,1.8735,1.8574,1.8735,8686,0
20041025,1.9217,1.9217,1.9217,1.9217,84,0
20041026,1.8011,1.8574,1.7931,1.8574,30698,0
20041027,1.8815,1.9136,1.8493,1.9136,2726,0
20041028,1.8735,1.8976,1.8333,1.8976,6880,0
20041029,1.8574,1.9136,1.8413,1.9056,11997,0
20041102,1.9056,1.9056,1.8735,1.8815,16966,0
20041103,1.8493,1.8493,1.7126,1.7529,163989,0
20041104,1.7529,1.7529,1.584,1.7046,24896,0
20041105,1.6725,1.6725,1.5116,1.5197,62602,0
20041108,1.6242,1.6242,1.5116,1.584,38954,0
20041109,1.6001,1.6242,1.6001,1.6242,84976,0
20041110,1.6242,1.6242,1.4393,1.5036,208852,0
20041112,1.5116,1.5116,1.4152,1.4875,35920,0
20041115,1.4232,1.4955,1.3348,1.3348,135353,0
20041116,1.3348,1.4152,1.2061,1.2221,75080,0
20041117,1.2221,1.3348,1.2221,1.3267,35178,0
20041118,1.3669,1.4152,1.3267,1.3991,155234,0
20041119,1.4152,1.4393,1.3991,1.3991,81109,0
20041122,1.4072,1.4393,1.3749,1.4312,66659,0
20041123,1.383,1.4152,1.383,1.4072,46900,0
20041124,1.4072,1.4634,1.4072,1.4554,90792,0
20041125,1.5116,1.5679,1.5036,1.5277,79717,0
20041126,1.5679,1.5679,1.5116,1.5438,40666,0
20041129,1.4795,1.5197,1.4795,1.5197,2967,0
20041130,1.5116,1.5197,1.4795,1.5116,60970,0
20041201,1.5116,1.5598,1.5116,1.5197,62775,0
20041202,1.5116,1.5116,1.5036,1.5116,46179,0
20041203,1.5116,1.5358,1.5116,1.5116,858266,0
20041206,1.5116,1.5197,1.5116,1.5197,248682,0
20041207,1.5197,1.5197,1.5036,1.5036,143446,0
20041208,1.4875,1.5277,1.4875,1.5277,55345,0
20041209,1.5116,1.5438,1.5036,1.5277,11609,0
20041210,1.4795,1.4875,1.4312,1.4875,66712,0
20041213,1.4875,1.5598,1.4875,1.5036,292361,0
20041214,1.5197,1.5197,1.4634,1.5197,42229,0
20041215,1.5358,1.5358,1.5036,1.5358,63343,0
20041216,1.5358,1.5679,1.5116,1.5598,111361,0
20041217,1.6242,1.6242,1.5277,1.5519,500869,0
20041220,1.5358,1.5358,1.5116,1.5116,19509,0
20041221,1.5197,1.5197,1.4795,1.4795,363329,0
20041222,1.4795,1.4875,1.4795,1.4875,44115,0
20041223,1.5036,1.5036,1.4795,1.4795,45343,0
20041224,1.4875,1.5116,1.4875,1.5116,2183,0
20041227,1.5116,1.5116,1.4875,1.5036,9888,0
20041228,1.5036,1.5036,1.4634,1.4715,52024,0
20041229,1.4634,1.4715,1.4634,1.4634,31799,0
20041230,1.4795,1.4795,1.4795,1.4795,2664,0
20041231,1.4393,1.4634,1.4393,1.4554,7738,0
20050103,1.5036,1.5036,1.4634,1.4634,32762,0
20050104,1.4795,1.4795,1.4554,1.4795,903049,0
20050105,1.4715,1.4715,1.4152,1.4312,126745,0
20050106,1.4554,1.4554,1.4152,1.4152,21385,0
20050107,1.3991,1.4312,1.3991,1.4152,38980,0
20050110,1.4554,1.4554,1.3991,1.4393,39558,0
20050111,1.4554,1.4554,1.4232,1.4393,81692,0
20050112,1.4393,1.4393,1.4312,1.4312,80231,0
20050113,1.4393,1.4393,1.4232,1.4312,564589,0
20050114,1.4312,1.4393,1.4232,1.4393,24077,0
20050117,1.4393,1.4393,1.3991,1.3991,11753,0
20050118,1.4312,1.4312,1.3749,1.3749,4730,0
20050119,1.383,1.4072,1.383,1.4072,18058,0
20050120,1.4152,1.4152,1.3991,1.3991,22571,0
20050121,1.4152,1.4312,1.3991,1.4152,228594,0
20050124,1.4393,1.4393,1.4072,1.4072,28971,0
20050125,1.4312,1.4634,1.4312,1.4634,26227,0
20050126,1.4312,1.4473,1.4072,1.4072,63634,0
20050127,1.4072,1.4072,1.3991,1.3991,10319,0
20050128,1.3991,1.3991,1.3991,1.3991,13475,0
20050131,1.4554,1.4554,1.383,1.383,15563,0
20050201,1.4152,1.4152,1.3749,1.3991,21532,0
20050202,1.4152,1.4152,1.391,1.391,31852,0
20050203,1.391,1.391,1.391,1.391,1720,0
20050204,1.4072,1.4152,1.4072,1.4152,21628,0
20050207,1.4072,1.4152,1.3991,1.4072,27517,0
20050208,1.3991,1.3991,1.3991,1.3991,5158,0
20050209,1.3749,1.4554,1.3749,1.3991,61287,0
20050210,1.3991,1.3991,1.3749,1.3991,30560,0
20050211,1.4312,1.4312,1.3588,1.3991,41276,0
20050214,1.3991,1.3991,1.3991,1.3991,858,0
20050215,1.3991,1.3991,1.3508,1.383,28568,0
20050216,1.3749,1.383,1.3508,1.383,41482,0
20050217,1.383,1.383,1.3588,1.3588,10577,0
20050218,1.3508,1.3508,1.3348,1.3508,34808,0
20050221,1.4152,1.4152,1.3508,1.3749,49877,0
20050222,1.383,1.383,1.3348,1.3749,49299,0
20050223,1.3749,1.3749,1.3508,1.3749,9888,0
20050224,1.3749,1.3749,1.3749,1.3749,858,0
20050225,1.3749,1.3749,1.3348,1.3749,31560,0
20050228,1.3749,1.3749,1.3348,1.3348,23475,0
20050301,1.3669,1.3749,1.3348,1.3669,60684,0
20050302,1.3348,1.3508,1.3348,1.3508,9700,0
20050303,1.3267,1.3749,1.3106,1.3348,15796,0
20050304,1.3106,1.3669,1.3106,1.3588,17285,0
20050307,1.3267,1.3508,1.3106,1.3508,16081,0
20050308,1.3428,1.3508,1.2705,1.2785,25538,0
20050309,1.2544,1.2705,1.2221,1.2463,45369,0
20050310,1.2785,1.2785,1.2544,1.2544,25797,0
20050311,1.2544,1.2945,1.2463,1.2945,67830,0
20050314,1.2624,1.2945,1.2624,1.2945,20054,0
20050315,1.2624,1.3026,1.2544,1.3026,27614,0
20050316,1.2945,1.2945,1.2463,1.2785,20817,0
20050317,1.2544,1.2785,1.2302,1.2785,23725,0
20050318,1.2785,1.3187,1.2785,1.3187,21496,0
20050321,1.3267,1.3267,1.2785,1.2945,54322,0
20050322,1.3026,1.3026,1.2785,1.2945,28462,0
20050323,1.2705,1.2945,1.2463,1.2945,15728,0
20050324,1.2705,1.2785,1.2463,1.2785,18530,0
20050329,1.2785,1.2785,1.2785,1.2785,11203,0
20050330,1.2624,1.2705,1.2624,1.2705,1806,0
20050331,1.2705,1.2785,1.2705,1.2785,16399,0
20050401,1.2705,1.3026,1.2544,1.2544,17199,0
20050404,1.2463,1.2705,1.2302,1.2705,19005,0
20050405,1.2705,1.2785,1.2705,1.2785,11177,0
20050406,1.2544,1.2544,1.2302,1.2544,26013,0
20050407,1.2785,1.2785,1.2302,1.2302,21325,0
20050411,1.2463,1.2463,1.19,1.2463,16734,0
20050412,1.2061,1.2463,1.19,1.2463,19271,0
20050413,1.2061,1.2463,1.2061,1.2463,14963,0
20050414,1.2061,1.2302,1.1981,1.2302,19493,0
20050415,1.1981,1.2141,1.19,1.2141,16337,0
20050418,1.1739,1.1739,1.1659,1.1659,18806,0
20050419,1.1659,1.1659,1.1498,1.1578,28377,0
20050420,1.1578,1.19,1.1578,1.19,42823,0
