Date,Open,High,Low,Close,Volume,OpenInt
20100414,9.633,9.925,9.1588,9.1728,172098,0
20100415,9.4216,9.4654,9.1728,9.1728,73774,0
20100416,9.4002,9.4002,9.0498,9.3042,291,0
20100419,9.0498,9.0498,8.4876,9.0424,467,0
20100420,9.3415,9.3778,8.845,9.2688,195508,0
20100421,8.845,9.2688,8.845,9.2688,292,0
20100422,9.1877,9.1952,9.1877,9.1877,826,0
20100423,8.8304,9.0871,8.8304,8.8737,1864,0
20100426,9.1952,9.3778,8.9175,9.1952,2126,0
20100427,9.0498,9.0498,8.925,8.925,685,0
20100428,8.8304,8.8304,8.7575,8.8304,700,0
20100429,9.2753,9.3778,8.9035,8.9035,592,0
20100430,8.7644,9.3042,8.7575,9.3042,872,0
20100505,9.0498,9.0498,8.6846,8.6846,183374,0
20100507,8.6195,8.6846,8.6109,8.6109,24524,0
20100510,8.7575,8.7575,8.7575,8.7575,287,0
20100511,8.7644,8.7644,8.5021,8.5021,15001,0
20100512,8.8304,8.8304,8.7575,8.7575,652,0
20100513,8.8012,8.8012,8.8012,8.8012,1389,0
20100514,8.7575,8.9771,8.7575,8.9771,2503,0
20100517,8.9771,8.9771,8.9771,8.9771,295,0
20100518,8.9771,8.9771,8.9771,8.9771,4299,0
20100520,8.9613,8.9697,8.3933,8.9613,1421,0
20100525,8.1222,8.7575,8.1222,8.7207,448,0
20100526,8.3933,8.6478,8.3933,8.6478,1872,0
20100527,8.6846,8.7575,8.6846,8.7575,15578,0
20100528,8.7575,8.8012,8.5381,8.8012,12513,0
20100531,8.6478,8.7721,8.6478,8.7721,1155,0
20100601,8.7575,8.7575,8.4661,8.5535,9358,0
20100604,8.5021,8.5535,8.4798,8.5535,415,0
20100607,8.4798,8.4798,8.4798,8.4798,256,0
20100608,8.2835,8.4798,8.2835,8.4798,1585,0
20100609,8.4661,8.4798,8.4661,8.4798,94,0
20100610,8.3196,8.3341,8.3196,8.3341,57,0
20100611,8.5535,8.5535,8.4001,8.4001,3403,0
20100614,8.4001,8.4001,8.4001,8.4001,113,0
20100615,8.2175,8.2175,8.2175,8.2175,136,0
20100616,8.2175,8.3933,8.2175,8.3933,41913,0
20100617,8.2175,8.2835,8.0353,8.0353,31484,0
20100618,8.0424,8.1081,8.0424,8.1081,1260,0
20100621,8.0276,8.0276,8.0276,8.0276,399,0
20100623,7.5902,8.1738,7.5902,7.8821,14549,0
20100624,7.8085,7.8163,7.8085,7.8163,72,0
20100625,8.3778,8.3933,8.3778,8.3855,467,0
20100628,8.3933,8.6109,8.1004,8.5381,5479,0
20100629,8.6332,8.8304,8.4661,8.4661,3493,0
20100630,8.2467,8.575,8.2467,8.575,202,0
20100701,8.575,8.575,8.2467,8.575,56,0
20100702,8.575,8.575,8.575,8.575,343,0
20100705,8.575,8.7575,8.575,8.7575,356,0
20100706,8.7207,8.8812,8.2835,8.8812,2034,0
20100707,8.8812,9.1216,8.6846,8.8381,3279,0
20100708,9.1216,9.1588,9.1216,9.1588,586,0
20100709,9.1588,9.1588,9.1216,9.1216,673,0
20100712,9.1952,9.1952,9.1588,9.1588,5341,0
20100713,9.1588,9.4514,9.1588,9.4365,2158,0
20100714,8.7944,9.444,8.7944,9.444,69895,0
20100715,9.4142,9.4729,9.4142,9.4729,28,0
20100716,9.3415,9.4002,9.3415,9.4002,117298,0
20100719,9.4803,9.4803,9.2315,9.3778,13730,0
20100720,9.2315,9.4729,9.2315,9.4729,14969,0
20100721,9.4729,9.4729,9.4729,9.4729,15,0
20100722,9.4654,9.4654,9.4654,9.4654,12,0
20100723,9.4142,9.4142,9.2688,9.2688,974,0
20100726,9.4514,9.4514,9.2688,9.2688,319,0
20100727,9.2688,9.2688,8.9771,9.2688,1323,0
20100728,9.334,9.334,8.8672,9.334,2345,0
20100729,9.3042,9.3042,9.0871,9.0871,612,0
20100730,8.9613,8.9613,8.9613,8.9613,1097,0
20100802,9.115,9.115,9.115,9.115,5,0
20100803,9.0498,9.1216,8.911,8.9771,24976,0
20100804,9.0498,9.0498,9.0498,9.0498,276,0
20100805,9.115,9.115,8.7644,8.7644,709,0
20100806,9.0936,9.0936,9.0936,9.0936,627,0
20100809,9.1001,9.1001,8.7644,9.0498,1941,0
20100810,9.3042,9.3042,9.3042,9.3042,136,0
20100812,8.911,9.0498,8.911,9.0498,1085,0
20100813,9.1216,9.1952,8.9035,9.1001,1448,0
20100816,9.1952,9.1952,9.1001,9.1877,176,0
20100817,8.8304,8.8304,8.8304,8.8304,10,0
20100818,9.2604,9.2604,8.7575,8.8304,15593,0
20100819,8.7575,8.7575,8.7575,8.7575,13,0
20100820,8.6846,9.225,8.6846,9.225,75,0
20100823,8.7644,9.3042,8.7644,9.225,9414,0
20100824,8.7867,9.1216,8.7867,9.1085,393,0
20100825,8.8012,8.8081,8.8012,8.8081,70,0
20100826,9.115,9.115,8.8304,8.8304,34407,0
20100827,9.115,9.115,8.845,8.845,2781,0
20100830,9.115,9.115,8.9035,8.9035,28158,0
20100831,9.1001,9.1001,8.6264,8.7575,4750,0
20100901,9.1216,9.1216,8.7944,9.1001,272,0
20100902,8.7575,9.0051,8.7575,9.0051,12,0
20100903,8.9697,8.9697,8.6846,8.6846,51278,0
20100906,8.6846,8.6993,8.6846,8.6846,737,0
20100907,8.9697,8.9697,8.575,8.575,577,0
20100908,8.9333,8.9333,8.8737,8.8737,83,0
20100909,8.5458,8.5458,8.5458,8.5458,28,0
20100910,8.9399,8.9399,8.8672,8.8672,76,0
20100913,8.9771,8.9771,8.9771,8.9771,13,0
20100914,8.743,8.743,8.743,8.743,69,0
20100915,8.9035,8.9035,8.6109,8.6109,412,0
20100916,8.6195,8.6195,8.6109,8.6109,351,0
20100917,8.6478,8.6478,8.6478,8.6478,1381,0
20100920,8.6478,8.8886,8.6478,8.8886,166,0
20100921,8.8886,8.8886,8.5895,8.5895,1338,0
20100922,8.5895,8.8961,8.5895,8.8737,977,0
20100923,8.845,8.845,8.1738,8.7575,2675,0
20100924,8.707,8.707,8.707,8.707,13,0
20100927,8.6701,8.6701,8.2098,8.2535,3024,0
20100928,8.6846,8.6846,8.0276,8.2535,31618,0
20100929,8.4215,8.4215,7.8821,7.8821,18801,0
20100930,8.3273,8.3273,7.8085,8.2321,4899,0
20101001,8.1524,8.1524,7.8821,7.8821,602,0
20101004,8.13,8.13,7.8821,7.8821,1538,0
20101005,7.8821,7.8821,7.8163,7.8163,562,0
20101006,7.9548,7.9548,7.8085,7.8085,4973,0
20101007,8.0862,8.0862,7.8085,7.9837,3135,0
20101008,7.8672,8.0353,7.8672,8.0353,21563,0
20101011,7.918,7.918,7.6778,7.8163,468,0
20101012,7.911,7.911,7.8163,7.8163,76,0
20101013,7.8085,7.8821,7.8085,7.8821,780,0
20101014,7.9039,7.9039,7.7068,7.7068,548,0
20101015,7.911,7.911,7.911,7.911,13,0
20101018,7.911,7.911,7.911,7.911,546,0
20101019,7.911,7.911,7.7138,7.8085,867,0
20101020,7.911,8.3564,7.663,7.663,6606,0
20101021,7.7358,7.7358,7.6191,7.663,1197,0
20101022,7.663,7.663,7.663,7.663,8834,0
20101025,7.8014,7.8014,7.663,7.663,276,0
20101026,7.663,7.663,7.663,7.663,6721,0
20101027,7.663,7.7944,7.663,7.7944,343,0
20101028,7.7873,7.7873,7.663,7.663,412,0
20101029,7.6778,7.6778,7.641,7.663,412,0
20101102,7.7725,7.918,7.7647,7.8085,103385,0
20101103,8.0135,8.0135,7.9916,7.9916,507,0
20101104,8.0276,8.0276,8.0204,8.0276,2276,0
20101105,8.1738,8.3933,7.9039,8.0791,1800,0
20101108,8.0791,8.4661,8.0791,8.4661,1514,0
20101109,8.4798,8.4798,8.1004,8.4215,3017,0
20101110,8.4215,8.4215,8.2835,8.3196,2808,0
20101112,8.3273,8.6041,8.3273,8.437,701,0
20101115,8.4147,8.4147,8.2835,8.2835,276,0
20101116,8.2835,8.2835,8.0643,8.1004,1825,0
20101117,8.1738,8.1738,8.1004,8.1004,427,0
20101118,8.3778,8.3778,8.0276,8.0276,540,0
20101119,8.3496,8.3496,8.3496,8.3496,5,0
20101122,8.3127,8.3127,7.9328,7.9328,144,0
20101123,7.9618,8.1738,7.918,8.1371,63649,0
20101124,8.2973,8.2973,7.9548,7.9548,338,0
20101125,8.2759,8.2759,8.2759,8.2759,69,0
20101126,8.1661,8.1738,8.1371,8.1738,147637,0
20101129,8.0276,8.0276,8.0276,8.0276,13,0
20101130,8.0276,8.0276,8.0276,8.0276,23,0
20101201,8.2175,8.2175,8.2175,8.2175,55,0
20101202,8.2175,8.2244,8.1004,8.1004,280,0
20101203,8.203,8.203,8.1738,8.1807,306,0
20101206,8.2098,8.2098,8.2098,8.2098,199,0
20101207,8.203,8.203,8.0276,8.0276,1985,0
20101208,8.0353,8.0353,8.0353,8.0353,82,0
20101209,8.0494,8.1593,8.0424,8.1593,306,0
20101210,8.1593,8.1593,8.1371,8.1371,412,0
20101213,8.1438,8.1438,8.0643,8.0643,1205,0
20101214,8.0643,8.0643,8.0276,8.0276,398,0
20101215,8.0276,8.0276,8.0276,8.0276,412,0
20101216,8.0572,8.0572,8.0572,8.0572,23,0
20101217,8.0572,8.0572,8.0572,8.0572,171,0
20101220,8.0643,8.0643,8.0643,8.0643,276,0
20101221,8.203,8.203,7.9618,7.9618,83,0
20101222,8.1004,8.1004,8.1004,8.1004,136,0
20101223,8.1371,8.1371,8.1371,8.1371,13,0
20101227,8.2467,8.2467,8.2467,8.2467,5,0
20101228,8.2098,8.2098,7.8961,8.2098,675,0
20101229,8.1004,8.1004,8.1004,8.1004,83,0
20101230,8.0276,8.2467,7.9039,7.911,767,0
20101231,8.0276,8.0276,8.0276,8.0276,13,0
20110103,8.3496,8.3496,8.3496,8.3496,5,0
20110104,8.203,8.203,7.8821,7.8821,150,0
20110105,7.8891,7.8891,7.8821,7.8821,466,0
20110107,8.0276,8.0276,7.663,7.9548,1492,0
