Date,Open,High,Low,Close,Volume,OpenInt
19970925,3.5605,7.9121,3.5605,6.3298,2241,0
19970926,7.1208,9.4942,6.4088,7.3582,3834,0
19970930,5.5385,5.6968,5.2221,5.6968,569,0
19971001,4.8264,4.8264,4.7473,4.7473,333,0
19971002,4.1144,4.1144,3.4814,3.4814,527,0
19971003,3.7187,3.7187,3.7187,3.7187,119,0
19971006,3.6396,4.2726,3.6396,4.2726,387,0
19971007,4.1934,5.1429,3.9561,5.1429,1155,0
19971009,4.51,5.1429,4.51,5.1429,228,0
19971010,4.5891,4.6682,4.5891,4.6682,238,0
19971013,4.3517,4.8264,4.3517,4.8264,1656,0
19971014,4.7473,5.2221,4.7473,4.9055,1735,0
19971015,5.0637,5.0637,5.0637,5.0637,592,0
19971016,5.0637,5.1429,5.0637,5.1429,1108,0
19971017,5.5385,5.5385,5.3803,5.499,1420,0
19971020,5.578,5.934,4.9055,5.934,2940,0
19971021,5.0637,6.2505,5.0637,6.2505,1949,0
19971022,5.3803,6.2902,5.3803,6.1715,916,0
19971023,6.1715,6.2505,5.855,6.2505,1823,0
19971024,5.7759,6.3298,5.7759,6.3298,2439,0
19971027,5.1825,5.4593,4.4307,4.51,1480,0
19971028,4.7473,4.8264,4.7473,4.7473,632,0
19971029,4.7473,4.7473,4.7473,4.7473,119,0
19971103,4.4307,4.4307,4.4307,4.4307,253,0
19971104,5.4593,5.855,5.4593,5.5385,1694,0
19971105,5.5385,6.9625,5.5385,6.9625,5228,0
19971106,6.3298,6.567,5.934,6.1715,3198,0
19971107,6.0131,6.0924,6.0131,6.0131,1926,0
19971112,5.934,5.934,5.7759,5.7759,871,0
19971113,5.5385,5.6968,5.5385,5.6968,469,0
19971114,5.2221,5.5385,5.1825,5.2221,2517,0
19971117,5.2221,6.1715,5.2221,6.0131,1182,0
19971118,5.5385,6.1715,5.5385,6.1715,466,0
19971119,5.5385,5.5385,5.3011,5.3011,613,0
19971120,5.3803,5.6968,5.3803,5.6968,596,0
19971121,5.2615,5.5385,5.2615,5.5385,770,0
19971124,5.5385,5.5385,5.5385,5.5385,632,0
19971127,5.1825,5.5385,5.1825,5.5385,554,0
19971128,5.1825,5.1825,5.1825,5.1825,444,0
19971201,5.5385,5.6968,5.1034,5.6968,2665,0
19971202,5.1825,5.499,5.0637,5.0637,797,0
19971203,5.1825,5.3011,5.1825,5.3011,626,0
19971204,5.1429,5.934,5.1429,5.5385,2996,0
19971205,5.6176,5.7759,5.5385,5.5385,3377,0
