Date,Open,High,Low,Close,Volume,OpenInt
19960724,7.5232,7.5232,7.5232,7.5232,48382,0
19960725,8.274,8.274,8.274,8.274,150193,0
19960726,9.0972,9.0972,9.0972,9.0972,378491,0
19960729,9.573,9.573,9.573,9.573,199887,0
19960730,8.8952,8.8952,8.8952,8.8952,82438,0
19960731,8.7578,8.7578,8.7578,8.7578,143637,0
19960801,8.2091,8.2091,8.2091,8.2091,137132,0
19960802,8.0719,8.0719,8.0719,8.0719,75458,0
19960805,8.274,8.274,8.274,8.274,49841,0
19960806,8.4834,8.4834,8.4834,8.4834,51231,0
19960807,8.3462,8.3462,8.3462,8.3462,98629,0
19960808,8.2091,8.2091,8.2091,8.2091,35759,0
19960809,8.274,8.274,8.274,8.274,58843,0
19960812,8.274,8.274,8.274,8.274,13229,0
19960813,7.9347,7.9347,7.9347,7.9347,33649,0
19960814,8.1368,8.1368,8.1368,8.1368,37166,0
19960816,7.8624,7.8624,7.8624,7.8624,23902,0
19960819,8.2091,8.2091,8.2091,8.2091,59032,0
19960820,8.0719,8.0719,8.0719,8.0719,82893,0
19960821,7.9997,7.9997,7.9997,7.9997,78662,0
19960822,8.2091,8.2091,8.2091,8.2091,129821,0
19960823,8.2091,8.2091,8.2091,8.2091,219126,0
19960826,8.274,8.274,8.274,8.274,122947,0
19960827,8.1368,8.1368,8.1368,8.1368,62354,0
19960828,8.2091,8.2091,8.2091,8.2091,40507,0
19960829,7.9997,7.9997,7.9997,7.9997,33612,0
19960830,8.1368,8.1368,8.1368,8.1368,44785,0
19960902,8.0719,8.0719,8.0719,8.0719,52350,0
19960903,7.9347,7.9347,7.9347,7.9347,57410,0
19960904,7.7975,7.7975,7.7975,7.7975,70409,0
19960905,7.7253,7.7253,7.7253,7.7253,60809,0
19960906,7.7975,7.7975,7.7975,7.7975,43348,0
19960909,8.0719,8.0719,8.0719,8.0719,57987,0
19960910,8.1368,8.1368,8.1368,8.1368,98351,0
19960911,8.1368,8.1368,8.1368,8.1368,97430,0
19960912,8.1368,8.1368,8.1368,8.1368,212860,0
19960913,8.5484,8.5484,8.5484,8.5484,139949,0
19960916,9.3715,9.3715,9.3715,9.3715,190071,0
19960917,9.3715,9.3715,9.3715,9.3715,197380,0
19960918,9.2344,9.2344,9.2344,9.2344,132778,0
19960919,9.508,9.508,9.508,9.508,203952,0
19960920,9.508,9.508,9.508,9.508,139844,0
19960923,9.847,9.847,9.847,9.847,181541,0
19960924,10.123,10.123,10.123,10.123,164876,0
19960925,9.921,9.921,9.921,9.921,357048,0
19960926,10.194,10.194,10.194,10.194,115052,0
19960927,10.946,10.946,10.946,10.946,282091,0
19960930,10.946,10.946,10.946,10.946,183858,0
19961001,11.285,11.285,11.285,11.285,218825,0
19961002,11.285,11.285,11.285,11.285,123875,0
19961003,11.083,11.083,11.083,11.083,97109,0
19961004,10.946,10.946,10.946,10.946,68307,0
