Date,Open,High,Low,Close,Volume,OpenInt
19981124,22.227,22.227,22.227,22.227,11895,0
19981125,21.261,21.261,21.261,21.261,4465,0
19981126,19.521,19.521,19.521,19.521,6426,0
19981127,17.588,17.588,17.588,17.588,3622,0
19981130,15.849,15.849,15.849,15.849,7000,0
19981201,14.883,14.883,14.883,14.883,7093,0
19981202,16.332,16.332,16.332,16.332,0,0
19981203,17.782,17.782,17.782,17.782,13716,0
19981204,16.042,16.042,16.042,16.042,3684,0
19981207,17.009,17.009,17.009,17.009,2628,0
19981208,16.429,16.429,16.429,16.429,662,0
19981209,16.429,16.429,16.429,16.429,2308,0
19981210,16.429,16.429,16.429,16.429,1713,0
19981211,16.042,16.042,16.042,16.042,528,0
19981214,15.172,15.172,15.172,15.172,693,0
19981215,14.496,14.496,14.496,14.496,4118,0
19981216,14.883,14.883,14.883,14.883,1490,0
19981217,15.076,15.076,15.076,15.076,2018,0
19981218,15.462,15.462,15.462,15.462,2075,0
19981221,16.139,16.139,16.139,16.139,1531,0
19981222,16.622,16.622,16.622,16.622,3353,0
19981223,17.782,17.782,17.782,17.782,2861,0
19981228,17.395,17.395,17.395,17.395,2266,0
19981229,17.782,17.782,17.782,17.782,2245,0
19981230,16.622,16.622,16.622,16.622,373,0
19981231,16.622,16.622,16.622,16.622,3632,0
19990104,16.815,16.815,16.815,16.815,466,0
19990105,17.202,17.202,17.202,17.202,2509,0
19990106,17.202,17.202,17.202,17.202,2230,0
19990107,16.815,16.815,16.815,16.815,1573,0
19990108,16.525,16.525,16.525,16.525,3792,0
19990111,16.429,16.429,16.429,16.429,4439,0
19990112,16.235,16.235,16.235,16.235,931,0
19990113,15.849,15.849,15.849,15.849,1811,0
19990114,14.303,14.303,14.303,14.303,2654,0
19990115,14.496,14.496,14.496,14.496,6385,0
19990118,15.076,15.076,15.076,15.076,1449,0
19990119,15.076,15.076,15.076,15.076,1925,0
19990120,14.689,14.689,14.689,14.689,761,0
19990121,15.076,15.076,15.076,15.076,2173,0
19990122,14.496,14.496,14.496,14.496,1242,0
19990125,14.303,14.303,14.303,14.303,1237,0
19990126,14.689,14.689,14.689,14.689,626,0
19990127,15.269,15.269,15.269,15.269,5469,0
19990128,15.269,15.269,15.269,15.269,2308,0
19990129,16.622,16.622,16.622,16.622,11429,0
19990201,14.979,14.979,14.979,14.979,4093,0
19990202,14.883,14.883,14.883,14.883,6193,0
19990203,14.689,14.689,14.689,14.689,3642,0
19990204,14.883,14.883,14.883,14.883,1552,0
19990205,14.689,14.689,14.689,14.689,1040,0
19990208,15.172,15.172,15.172,15.172,2225,0
19990209,15.076,15.076,15.076,15.076,673,0
19990210,14.883,14.883,14.883,14.883,698,0
19990211,14.883,14.883,14.883,14.883,295,0
19990212,15.076,15.076,15.076,15.076,548,0
19990215,15.076,15.076,15.076,15.076,3456,0
19990216,15.269,15.269,15.269,15.269,7471,0
19990217,15.269,15.269,15.269,15.269,5334,0
19990218,15.269,15.269,15.269,15.269,4491,0
19990219,15.462,15.462,15.462,15.462,8899,0
