Date,Open,High,Low,Close,Volume,OpenInt
20070711,5.4526,6.3172,5.4526,6.1404,1802405,0
20070712,6.1895,7.9088,6.1404,7.9088,620109,0
20070713,8.5474,9.3333,7.8596,8.3509,636438,0
20070716,8.1642,8.2526,7.1032,7.3684,289883,0
20070717,7.0737,8.1053,6.7495,7.8596,95309,0
20070718,8.1053,8.1053,7.5747,7.9088,48058,0
20070719,8.0561,8.2428,7.4765,7.8007,92373,0
20070720,7.8105,8.0463,7.6632,7.8007,27068,0
20070723,7.8302,7.8498,7.4765,7.8498,56533,0
20070724,7.5649,7.7418,7.3684,7.5256,35906,0
20070725,7.447,7.4667,6.9951,7.2211,31256,0
20070726,7.1719,7.2702,7.0246,7.1719,49689,0
20070727,6.887,7.2702,6.6807,7.0737,27187,0
20070730,7.0737,7.3193,7.0737,7.2702,14654,0
20070731,7.3684,7.8596,7.3095,7.6632,11955,0
20070801,7.6533,7.6632,7.1228,7.6337,18550,0
20070802,7.6632,7.7614,7.4765,7.7614,5596,0
20070803,7.7614,7.7614,7.6435,7.7614,8611,0
20070806,7.7614,7.8596,7.5354,7.7614,23259,0
20070807,7.5649,8.007,7.5649,7.8596,40465,0
20070808,7.8596,7.9088,7.8204,7.8204,8509,0
20070809,7.8105,7.9579,7.8105,7.9579,13039,0
20070810,7.8302,7.8596,7.2898,7.673,24835,0
20070813,7.2898,7.8596,7.2898,7.8596,16092,0
20070814,7.6632,7.9579,7.4765,7.8596,13913,0
20070816,7.5158,7.5649,6.946,7.2505,97971,0
20070817,7.0049,7.6632,7.0049,7.3684,10520,0
20070820,7.3684,7.6632,7.3684,7.4667,4376,0
20070821,7.1326,7.4568,7.1326,7.4175,41457,0
20070822,7.3684,7.6632,7.3684,7.6533,17408,0
20070823,8.8225,8.8421,7.8596,7.8596,13632,0
20070824,7.8596,7.8596,7.3684,7.8596,10298,0
20070827,8.1544,8.1544,7.7614,7.8498,14964,0
20070828,7.7614,7.7614,7.6632,7.7614,5020,0
20070829,7.5649,7.8007,7.3684,7.8007,16739,0
20070830,7.673,7.7614,7.5158,7.5649,35354,0
20070831,7.5649,7.7123,7.5649,7.7123,32584,0
20070903,7.6632,7.6632,7.5747,7.6533,4589,0
20070904,7.7418,7.7418,7.5649,7.614,11508,0
20070905,7.4863,7.7123,7.4863,7.5649,29330,0
20070906,7.6435,7.7123,7.4863,7.6632,24675,0
20070907,7.6632,7.673,7.5649,7.673,13317,0
20070910,7.4175,7.4667,7.4175,7.4667,15156,0
20070911,7.5158,7.6632,7.2309,7.5649,20658,0
20070912,7.6533,7.6632,7.3684,7.3684,15657,0
20070913,7.1818,7.4568,7.0835,7.4568,13381,0
20070914,7.1818,7.4568,7.1818,7.4568,20564,0
20070917,7.1425,7.2702,7.1326,7.2702,3273,0
20070918,7.1818,7.3684,7.0737,7.3684,22535,0
20070919,7.3684,7.4863,7.1228,7.4863,9793,0
20070920,7.3684,7.3684,7.2211,7.3684,2692,0
20070921,7.3684,7.4667,7.2702,7.447,17619,0
20070924,7.3881,7.4175,7.2702,7.3684,10278,0
20070925,7.2211,7.2211,6.8968,6.8968,15669,0
20070926,6.8968,6.9754,6.5039,6.9656,7059,0
20070927,6.9067,6.9263,6.6414,6.9263,2449,0
20070928,6.6512,6.9656,6.6512,6.9656,1229,0
20071001,6.7102,6.7789,6.386,6.7789,9702,0
20071002,6.4351,6.8772,6.3368,6.7593,11675,0
20071003,6.3958,6.7691,6.3565,6.6807,16305,0
20071004,6.3467,6.6316,6.3467,6.6316,10485,0
20071005,6.5333,6.6218,6.4056,6.6218,9974,0
20071008,6.4056,6.5825,6.2877,6.5825,21819,0
20071009,6.5825,6.6807,6.5825,6.5825,13417,0
20071010,6.6021,6.6807,6.5923,6.6316,7247,0
