Date,Open,High,Low,Close,Volume,OpenInt
20150226,8.1337,9.579,7.9669,9.579,87318,0
20150227,9.3658,9.3658,8.5227,8.5227,14369,0
20150302,8.3838,8.7081,8.3375,8.3468,3219,0
20150303,8.3746,8.9674,8.3746,8.9674,21454,0
20150304,8.7359,9.0323,8.5227,9.0323,1397,0
20150305,9.1617,9.1617,8.6154,9.023,1468,0
20150306,8.847,9.0323,8.6432,9.0323,701,0
20150309,9.0323,9.0323,8.6617,8.671,741,0
20150310,8.671,8.7081,8.671,8.671,917,0
20150311,8.671,8.9396,8.6617,8.6617,901,0
20150312,8.6432,8.986,8.6432,8.986,4206,0
20150313,8.8007,9.153,8.8007,9.153,1645,0
20150316,9.153,9.2642,9.153,9.2642,242,0
20150317,9.2642,9.625,9.2642,9.625,2135,0
20150318,9.717,9.717,8.6432,9.533,1480,0
20150319,9.2642,9.4492,9.2642,9.4492,777,0
20150320,9.0879,9.4952,9.0786,9.4952,551,0
20150323,9.0879,9.634,9.0879,9.4952,1765,0
20150324,9.1252,9.1339,9.1252,9.1339,1220,0
20150325,9.1252,9.1252,9.1252,9.1252,622,0
20150326,9.1252,9.1252,9.1252,9.1252,10,0
20150327,9.1252,9.3562,9.1252,9.3562,1169,0
20150330,9.477,9.477,9.477,9.477,5,0
20150331,9.4587,9.542,9.4587,9.542,1166,0
20150401,9.542,9.542,9.2642,9.2642,114,0
20150402,9.1339,9.4492,9.1339,9.4492,10,0
20150407,9.1339,9.4492,9.1339,9.4492,447,0
20150408,9.3562,9.4396,9.3562,9.4396,546,0
20150409,9.4492,9.4492,9.4492,9.4492,10,0
20150410,9.1712,9.4396,9.1339,9.4396,232,0
20150413,9.4396,9.4396,9.4396,9.4396,5,0
20150414,9.4396,9.4396,9.1339,9.4396,1081,0
20150415,9.4396,9.4396,8.6617,9.4032,558,0
20150416,9.3562,9.3562,9.3562,9.3562,10,0
20150417,9.2642,9.2642,9.2642,9.2642,10,0
20150420,9.2642,9.2642,9.0323,9.2546,2348,0
20150421,9.2546,9.2546,9.2546,9.2546,10,0
20150422,9.245,9.245,9.245,9.245,10,0
20150423,9.245,9.245,8.3838,9.245,1704,0
20150424,9.245,9.245,9.245,9.245,5,0
20150427,9.245,9.245,9.245,9.245,10,0
20150428,9.2172,9.81,9.2172,9.634,9488,0
20150429,9.588,9.995,9.3102,9.727,2552,0
20150430,9.773,10.19,9.773,10.172,4000,0
20150504,10.172,10.19,10.172,10.19,275,0
20150505,9.783,10.181,9.681,10.098,2243,0
20150506,9.699,10.005,9.699,9.995,442,0
20150507,9.995,9.995,9.681,9.995,799,0
20150508,9.737,9.995,9.662,9.995,950,0
20150511,9.977,9.977,9.977,9.977,10,0
20150512,9.987,9.987,9.987,9.987,910,0
20150513,9.681,9.977,9.681,9.968,1888,0
20150514,9.977,9.977,9.977,9.977,10,0
20150515,9.968,9.968,9.968,9.968,10,0
20150518,9.977,9.977,9.523,9.977,797,0
20150519,9.959,9.959,9.959,9.959,10,0
20150520,9.959,9.959,9.959,9.959,10,0
20150521,9.959,9.959,9.959,9.959,10,0
20150525,9.959,9.959,9.959,9.959,10,0
20150526,9.959,9.959,9.959,9.959,10,0
20150527,9.959,9.959,9.959,9.959,5,0
20150528,9.949,9.949,9.949,9.949,10,0
20150529,9.949,9.949,9.949,9.949,10,0
20150601,9.949,9.949,9.949,9.949,10,0
20150602,9.949,9.949,9.949,9.949,10,0
20150603,9.949,9.949,9.949,9.949,10,0
20150605,9.949,9.949,9.949,9.949,10,0
20150608,9.949,9.949,9.634,9.931,169,0
20150609,9.949,9.949,9.949,9.949,5,0
20150610,9.949,9.949,9.634,9.949,604,0
20150611,9.949,9.949,9.634,9.949,10967,0
20150612,9.634,9.949,9.3562,9.949,1499,0
20150615,9.542,9.949,9.542,9.949,400,0
20150616,9.949,9.949,9.949,9.949,10,0
20150617,9.634,9.949,9.634,9.949,216,0
20150618,9.949,9.949,9.949,9.949,5,0
20150619,9.634,9.949,9.634,9.949,432,0
20150624,9.542,9.94,9.384,9.94,6119,0
20150625,9.82,10.005,9.727,9.995,432,0
20150626,9.727,9.995,9.727,9.995,3055,0
20150629,9.727,10.005,9.727,10.005,291,0
20150630,9.995,9.995,9.995,9.995,119,0
20150701,9.995,9.995,9.727,9.727,303,0
20150702,9.871,10.542,9.871,10.542,313,0
20150706,10.34,10.34,10.34,10.34,10,0
20150707,10.34,10.34,10.254,10.254,125,0
20150708,10.245,10.245,10.245,10.245,10,0
20150709,10.197,10.197,10.197,10.197,10,0
20150710,10.197,10.197,10.197,10.197,5,0
20150713,10.187,10.197,10.187,10.197,1592,0
20150714,10.177,10.177,10.177,10.177,52,0
20150715,10.158,10.158,10.158,10.158,209,0
20150716,10.158,10.158,9.871,10.158,1247,0
20150717,9.871,10.158,9.871,10.158,104,0
20150720,9.871,9.871,9.871,9.871,109,0
20150721,10.13,10.13,10.13,10.13,10,0
20150722,10.13,10.13,10.13,10.13,10,0
20150723,10.11,10.11,9.593,9.957,5541,0
20150724,9.583,9.871,9.583,9.583,417,0
20150727,9.583,9.583,9.583,9.583,8,0
20150728,9.583,9.583,9.583,9.583,113,0
20150729,9.583,9.583,8.0596,9.3821,4199,0
20150730,9.583,9.583,9.3917,9.3917,1732,0
