Date,Open,High,Low,Close,Volume,OpenInt
20070530,19.107,22.735,17.879,18.311,2833921,0
20070531,18.777,19.107,17.799,18.083,773824,0
20070601,18.391,18.391,17.06,17.06,739263,0
20070604,17.174,17.174,16.15,16.355,375875,0
20070605,16.707,17.515,16.491,17.401,803400,0
20070606,17.458,18.425,17.412,18.391,342582,0
20070608,18.197,18.425,17.39,18.072,229310,0
20070611,18.311,18.425,17.742,17.913,287620,0
20070612,18.197,18.368,17.765,18.197,487678,0
20070613,18.197,18.299,17.856,18.243,58227,0
20070614,18.254,18.731,18.05,18.652,225962,0
20070615,18.731,18.936,18.709,18.914,135492,0
20070618,19.107,19.323,18.834,19.107,269088,0
20070619,19.289,19.903,18.857,19.892,320274,0
20070620,19.391,19.892,19.391,19.676,238770,0
20070621,19.676,19.733,19.448,19.676,103990,0
20070622,19.584,19.892,19.562,19.88,110017,0
20070625,19.562,19.846,18.083,19.676,92532,0
20070626,19.334,19.835,19.13,19.79,97686,0
20070627,19.346,19.892,19.334,19.448,48422,0
20070628,19.448,19.562,19.357,19.505,89340,0
20070629,19.778,19.778,19.096,19.221,113318,0
20070702,19.221,19.221,18.197,19.096,138316,0
20070703,19.107,19.334,18.572,19.334,79500,0
20070704,19.118,19.562,19.118,19.562,17299,0
20070705,19.846,19.846,19.334,19.676,71505,0
20070706,19.801,19.801,19.573,19.676,42755,0
20070709,19.676,19.79,18.993,19.676,33798,0
20070710,19.562,19.676,18.993,19.061,79356,0
20070711,19.05,19.334,17.628,18.083,127946,0
20070712,18.05,18.277,17.06,17.628,193760,0
20070713,17.97,18.083,17.06,17.39,291651,0
20070716,16.787,17.617,16.502,16.718,456681,0
20070717,16.844,16.946,16.366,16.946,665842,0
20070718,17.06,17.515,17.06,17.174,471009,0
20070719,18.197,18.197,17.754,17.924,44354,0
20070720,18.152,18.197,16.946,17.515,488738,0
20070723,17.504,17.515,16.946,17.515,527150,0
20070724,17.515,18.197,17.287,17.515,50542,0
20070725,17.06,18.197,16.832,17.742,199051,0
20070726,17.742,17.856,17.06,17.06,89076,0
20070727,16.946,16.957,15.809,16.377,284874,0
20070730,16.207,17.162,16.093,17.048,63095,0
20070731,17.242,17.401,16.946,17.026,142354,0
20070801,16.491,16.605,15.809,15.991,175485,0
20070802,16.275,16.832,16.264,16.605,53997,0
20070803,16.81,16.81,16.264,16.264,45364,0
20070806,16.139,16.139,15.411,15.831,99197,0
20070807,16.491,16.491,16.036,16.423,132543,0
20070808,16.718,17.174,15.9,15.9,158346,0
20070809,15.98,16.093,13.648,13.932,208348,0
20070810,13.102,14.16,12.567,13.386,565403,0
20070813,13.875,14.615,13.875,13.989,308861,0
20070814,14.217,14.217,13.42,13.591,208724,0
20070816,12.567,12.852,11.601,12.397,622314,0
20070817,12.056,13.477,11.828,13.079,201114,0
20070820,13.989,13.989,13.591,13.727,90729,0
20070821,13.83,13.83,13.193,13.307,99557,0
20070822,13.625,13.978,13.432,13.875,175967,0
20070823,14.103,14.66,14.057,14.387,104628,0
20070824,14.41,14.774,14.046,14.774,103095,0
20070827,14.808,15.126,14.808,14.933,108589,0
20070828,14.808,14.808,14.558,14.558,55683,0
20070829,13.659,14.364,13.659,14.342,94863,0
20070830,14.558,14.842,14.217,14.217,106438,0
20070831,14.524,14.751,14.387,14.444,32357,0
20070903,14.569,14.74,14.535,14.728,24405,0
20070904,14.728,14.91,14.558,14.785,177023,0
20070905,14.933,14.99,14.103,14.103,66247,0
20070906,14.33,14.66,14.103,14.444,91865,0
20070907,14.387,14.637,13.989,14.103,124726,0
20070910,13.989,13.989,13.682,13.864,28728,0
20070911,13.875,14.671,13.875,14.558,45640,0
20070912,14.671,14.842,14.444,14.558,35228,0
20070913,14.774,14.785,14.444,14.728,23724,0
20070914,14.899,15.24,14.444,14.444,54526,0
20070917,14.648,14.648,14.33,14.501,11445,0
20070918,14.273,14.444,14.228,14.33,35718,0
20070919,15.013,15.684,14.671,15.24,101827,0
20070920,15.467,15.524,15.263,15.434,48934,0
20070921,15.126,15.434,14.819,14.819,28314,0
20070924,14.921,14.956,14.728,14.842,14256,0
20070925,15.07,15.07,14.671,14.899,21790,0
20070926,14.797,14.876,14.558,14.558,45636,0
20070927,14.74,14.956,14.683,14.717,388297,0
20070928,14.899,14.899,14.342,14.615,23940,0
20071001,14.376,14.615,14.217,14.319,13967,0
20071002,14.342,14.671,14.342,14.615,17704,0
20071003,14.728,14.728,14.444,14.615,95223,0
20071004,14.478,14.74,14.467,14.717,225928,0
20071005,14.717,15.126,14.558,15.126,46105,0
20071008,15.411,15.809,15.24,15.615,81826,0
20071009,15.695,16.241,15.695,16.002,142793,0
20071010,16.047,16.434,15.49,16.332,138682,0
20071011,16.434,16.81,16.355,16.775,81141,0
20071012,16.662,16.775,16.491,16.775,64101,0
20071015,16.832,17.026,16.832,16.991,23322,0
20071016,16.991,16.991,16.718,16.798,23364,0
20071017,16.65,16.73,16.491,16.559,76911,0
20071018,16.559,16.559,15.923,16.15,45138,0
20071019,16.139,16.139,15.65,15.923,133271,0
20071022,15.126,15.581,15.013,15.467,154952,0
20071023,15.695,15.866,15.65,15.65,24691,0
20071024,16.707,16.707,15.98,16.252,32812,0
20071025,16.275,16.446,16.173,16.173,13149,0
20071026,16.207,16.207,15.695,15.695,34623,0
20071029,16.036,16.377,15.934,16.15,105545,0
20071030,16.377,16.821,15.377,15.98,131016,0
20071031,15.98,16.264,15.707,16.093,43805,0
20071102,15.831,16.196,15.65,16.15,48998,0
20071105,16.036,16.047,15.98,15.98,75287,0
20071106,16.025,16.07,15.923,16.002,53033,0
20071107,16.036,16.036,14.842,15.172,116510,0
20071108,14.33,15.183,14.273,15.126,61207,0
20071109,15.343,15.343,14.808,14.808,37286,0
20071112,14.808,14.808,14.33,14.501,38631,0
20071113,14.501,14.501,14.103,14.319,48497,0
20071114,14.615,14.944,14.58,14.626,48074,0
20071115,14.728,14.728,13.42,13.557,136544,0
20071116,12.624,13.181,12.624,12.795,257989,0
20071119,13,13,12.624,12.624,40146,0
20071120,12.624,12.738,11.964,12.624,224485,0
20071121,12.51,12.51,12.17,12.283,46634,0
20071122,12.056,13.534,12.056,13.534,206911,0
