Date,Open,High,Low,Close,Volume,OpenInt
20101109,38.529,40.996,38.337,40.996,14604522,0
20101110,40.996,40.996,39.478,39.478,1760791,0
20101112,38.795,40.693,37.958,40.693,2167261,0
20101115,40.54,40.844,39.478,39.933,499212,0
20101116,39.705,39.857,38.87,38.87,462980,0
20101117,38.832,39.478,38.491,38.491,555167,0
20101118,39.098,39.554,38.755,38.755,339251,0
20101119,39.098,39.173,38.68,38.87,475764,0
20101122,38.87,39.098,38.755,38.907,453107,0
20101123,38.87,38.87,38.073,38.073,390395,0
20101124,38.337,38.718,38.073,38.718,462025,0
20101125,38.832,38.907,38.187,38.642,107126,0
20101126,38.642,38.642,37.89,38.415,520770,0
20101129,38.111,38.149,37.762,37.846,209537,0
20101130,37.579,38.337,37.579,38.337,129405,0
20101201,38.337,39.63,38.111,39.554,286208,0
20101202,39.554,39.743,39.25,39.515,303548,0
20101203,39.478,39.554,39.098,39.25,75360,0
20101206,39.212,39.25,38.642,38.795,66730,0
20101207,38.491,38.718,38.263,38.529,107536,0
20101208,38.376,38.795,38.263,38.795,419885,0
20101209,38.718,38.87,38.415,38.718,171815,0
20101210,38.718,38.795,38.491,38.604,65134,0
20101213,38.642,39.098,38.642,39.098,101587,0
20101214,38.795,39.021,38.415,38.415,88895,0
20101215,38.376,38.491,38.3,38.452,130399,0
20101216,38.415,38.452,38.149,38.415,91660,0
20101217,38.263,38.337,38.111,38.149,70590,0
20101220,38.149,38.337,37.884,38.337,236050,0
20101221,38.073,38.149,37.958,38.111,118224,0
20101222,37.958,38.187,37.951,38.035,427271,0
20101223,37.958,38.035,37.89,37.89,146700,0
20101227,37.905,37.951,37.435,37.466,146448,0
20101228,37.427,37.579,37.048,37.352,312991,0
20101229,37.2,37.944,37.2,37.944,144039,0
20101230,37.958,37.958,37.655,37.693,67176,0
20101231,37.696,37.843,36.968,37.204,109137,0
20110103,37.274,37.504,37.064,37.427,148362,0
20110104,37.427,37.997,37.427,37.792,174655,0
20110105,37.762,37.792,37.07,37.579,150299,0
20110107,37.352,37.389,36.881,36.912,261672,0
20110110,36.82,36.842,35.393,35.796,198478,0
20110111,35.643,36.388,35.643,36.289,202484,0
20110112,36.441,37.344,36.403,37.344,208871,0
20110113,37.2,37.274,36.82,36.82,479174,0
20110114,36.82,37.352,36.668,37.352,132001,0
20110117,37.2,37.2,36.441,36.721,87474,0
20110118,36.668,36.934,36.365,36.888,106874,0
20110119,36.721,36.744,36.441,36.668,174614,0
20110120,36.441,36.63,36.365,36.441,138866,0
20110121,36.441,36.744,36.441,36.744,66450,0
20110124,36.478,36.63,36.107,36.395,158363,0
20110125,36.289,36.554,36.251,36.554,136981,0
20110126,36.517,37.04,36.395,36.82,118358,0
20110127,36.835,37.2,36.82,37.048,77820,0
20110128,37.048,37.451,36.82,37.048,88022,0
20110131,36.751,36.759,36.445,36.574,99078,0
20110201,36.448,36.63,36.448,36.585,102141,0
20110202,36.592,36.653,36.501,36.653,105882,0
20110203,36.601,37.176,36.592,37.176,92940,0
20110204,37.2,37.381,36.859,37.381,132657,0
20110207,37.2,37.26,36.592,36.82,249485,0
20110208,36.744,36.798,36.592,36.653,123371,0
20110209,36.592,36.706,36.441,36.441,154905,0
20110210,36.592,36.592,36.441,36.517,99172,0
20110211,36.441,37.048,36.441,36.866,105394,0
20110214,36.592,37.01,36.517,36.896,87277,0
20110215,36.783,37.003,36.554,36.554,101613,0
20110216,36.517,36.971,36.494,36.896,190332,0
20110217,36.82,36.859,36.592,36.63,56600,0
20110218,36.554,36.668,36.441,36.478,163266,0
20110221,36.441,36.456,36.251,36.289,105814,0
20110222,36.137,36.213,36.107,36.175,73067,0
20110223,36.1,36.137,36.06,36.076,64972,0
20110224,35.75,35.902,35.682,35.735,91319,0
20110225,35.704,35.908,35.704,35.894,34115,0
20110228,35.772,35.871,35.56,35.871,98062,0
20110301,35.796,35.908,35.682,35.908,110805,0
20110302,35.726,35.841,35.567,35.682,173737,0
20110303,35.689,35.833,35.567,35.757,197086,0
20110304,35.765,35.908,35.697,35.833,138584,0
20110307,35.788,35.85,35.72,35.765,236169,0
20110308,35.711,35.757,35.605,35.628,88225,0
20110309,35.628,35.628,34.694,34.975,181003,0
20110310,34.922,34.922,34.391,34.391,259571,0
20110311,34.246,34.315,33.745,33.745,207929,0
20110314,33.556,34.535,33.328,34.535,139506,0
20110315,34.05,34.792,33.859,34.369,381449,0
20110316,34.369,34.915,34.353,34.877,60607,0
20110317,34.694,35.051,34.694,35.028,60554,0
20110318,34.96,35.993,34.96,35.993,134047,0
20110321,35.454,36.251,35.385,36.1,97971,0
20110322,36.023,36.365,36.001,36.289,66310,0
20110323,36.251,36.365,36.06,36.213,39252,0
20110324,36.282,37.336,36.213,37.306,154625,0
20110325,37.2,37.534,36.82,37.086,63815,0
20110328,37.048,37.048,36.517,36.859,124552,0
20110329,36.82,36.971,36.623,36.827,81405,0
20110330,36.783,37.162,36.752,37.123,53669,0
20110331,37.122,37.43,37.018,37.018,64416,0
20110401,36.934,37.299,36.934,37.2,42638,0
20110404,36.971,37.314,36.82,37.048,155454,0
20110405,37.086,37.336,37.086,37.109,26771,0
20110406,37.064,37.237,37.048,37.2,40078,0
20110407,37.2,37.314,37.056,37.086,50350,0
20110408,37.056,37.123,36.548,36.668,62475,0
20110411,36.441,36.66,36.441,36.63,114417,0
20110412,37.2,37.427,37.101,37.427,288015,0
