Date,Open,High,Low,Close,Volume,OpenInt
20110413,3.0161,3.0704,2.4382,2.8175,107409,0
20110414,2.7091,2.98,2.7091,2.7091,50687,0
20110415,2.6007,2.7091,2.2667,2.7091,55271,0
20110418,2.5737,2.7091,2.5466,2.5737,12648,0
20110419,2.5737,2.9619,2.5284,2.8627,20076,0
20110420,2.8445,2.8445,2.7091,2.7091,19415,0
20110421,2.7091,2.8445,2.7091,2.7181,13247,0
20110426,2.7542,2.7813,2.7091,2.7361,18568,0
20110427,2.7451,2.8264,2.7181,2.7361,18577,0
20110429,2.7328,2.8151,2.7328,2.8151,4182,0
20110502,2.8175,2.8175,2.7361,2.7361,638,0
20110504,2.7272,2.7272,2.7272,2.7272,2965,0
20110505,2.7451,2.7451,2.7361,2.7361,838,0
20110506,2.7361,2.7361,2.7361,2.7361,1771,0
20110509,2.7361,2.7361,2.7361,2.7361,1550,0
20110510,2.7451,2.7451,2.7361,2.7361,32045,0
20110511,2.7723,2.8445,2.7361,2.7361,11140,0
20110512,2.8175,2.8175,2.7633,2.7633,1617,0
20110513,2.7633,2.7633,2.7633,2.7633,1108,0
20110517,2.7723,2.7723,2.7723,2.7723,443,0
20110518,2.7633,2.7633,2.7633,2.7633,693,0
20110519,2.7994,2.8445,2.7633,2.7633,10002,0
20110523,2.7542,2.7542,2.7542,2.7542,443,0
20110524,2.7542,2.7542,2.7361,2.7361,60570,0
20110525,2.7542,2.7542,2.7542,2.7542,1623,0
20110526,2.7542,2.7542,2.7542,2.7542,1998,0
20110527,2.7542,2.7542,2.7542,2.7542,1183,0
20110531,2.7237,2.7328,2.7237,2.7328,2104,0
20110601,2.7361,2.7361,2.7361,2.7361,1108,0
20110607,2.7903,2.8445,2.7542,2.7542,1222,0
20110608,2.7542,2.7542,2.7361,2.7361,9412,0
20110610,2.7994,2.7994,2.7994,2.7994,341,0
20110613,2.7542,2.7542,2.7542,2.7542,1108,0
20110614,2.7361,2.7361,2.7361,2.7361,775,0
20110615,2.7361,2.7361,2.7361,2.7361,4207,0
20110616,2.7361,2.7361,2.7091,2.7091,7466,0
20110617,2.6459,2.6459,2.6459,2.6459,1409,0
20110621,2.6459,2.6459,2.6459,2.6459,2824,0
20110622,2.6188,2.6188,2.6188,2.6188,145,0
