Date,Open,High,Low,Close,Volume,OpenInt
20070830,327.58,392.42,307.58,339.31,19163,0
20070831,360.69,375.86,321.38,360,10928,0
20070903,357.24,357.24,301.38,314.48,2594,0
20070904,313.79,313.79,255.18,255.18,4496,0
20070905,252.42,252.42,213.79,213.79,3964,0
20070906,214.48,251.73,214.48,239.31,3643,0
20070907,244.14,278.62,244.14,270.34,5874,0
20070910,255.86,286.21,251.73,280,2192,0
20070911,280.69,295.18,280.69,292.42,1378,0
20070912,299.31,299.31,282.07,289.66,963,0
20070913,288.27,288.27,275.18,279.31,531,0
20070914,287.58,287.58,266.9,279.31,924,0
20070917,282.76,282.76,268.27,274.48,287,0
20070918,275.18,275.18,262.07,268.27,619,0
20070919,273.1,274.48,270.34,271.73,1112,0
20070920,269.66,269.66,255.86,257.24,594,0
20070921,268.27,268.27,258.62,263.45,418,0
20070924,261.38,261.38,255.86,256.55,261,0
20070925,255.86,255.86,240,241.38,759,0
20070926,248.97,248.97,229.66,240,1020,0
20070927,235.86,237.24,226.9,235.18,657,0
20070928,235.86,235.86,222.76,228.27,865,0
20071001,248.97,248.97,220.69,229.66,315,0
20071002,235.86,235.86,222.76,226.21,778,0
20071003,227.58,227.58,215.18,226.21,701,0
20071004,223.45,226.21,215.86,215.86,717,0
20071005,222.76,229.66,222.07,229.66,741,0
20071008,231.73,246.9,229.66,241.38,978,0
20071009,241.38,243.45,232.42,235.86,286,0
20071010,237.93,237.93,227.58,229.66,530,0
20071011,229.66,231.03,222.76,226.21,373,0
20071012,226.21,229.66,220.69,228.97,271,0
20071015,228.97,232.42,225.52,228.97,294,0
20071016,226.21,228.97,223.45,228.27,66,0
20071017,228.97,228.97,219.31,227.58,765,0
20071018,222.76,225.52,217.93,217.93,226,0
20071019,222.76,223.45,219.31,223.45,183,0
20071022,225.52,226.21,222.07,224.14,428,0
20071023,228.27,231.73,222.76,226.9,771,0
20071024,228.97,230.34,226.9,229.66,451,0
20071025,228.97,231.73,227.58,231.73,473,0
20071026,229.66,235.18,228.27,235.18,341,0
20071029,246.9,246.9,239.31,241.38,632,0
20071030,241.38,241.38,230.34,231.03,488,0
20071031,233.79,242.07,231.03,235.18,147,0
20071102,231.03,235.18,229.66,229.66,250,0
20071105,231.73,232.42,223.45,228.97,204,0
20071106,228.27,228.27,220,224.82,334,0
20071107,224.82,224.82,210.34,215.86,927,0
20071108,211.03,227.58,208.27,225.52,421,0
20071109,224.14,224.14,212.42,214.48,365,0
20071112,212.42,222.76,211.03,215.86,84,0
20071113,221.38,221.38,213.79,215.86,93,0
20071114,214.48,218.62,214.48,218.62,68,0
20071115,215.86,219.31,211.03,212.42,285,0
20071116,210.34,210.34,195.86,198.62,596,0
20071119,198.62,200,189.66,194.48,318,0
20071120,195.18,195.18,164.14,164.14,1308,0
20071121,168.97,168.97,144.14,144.14,895,0
20071122,141.38,171.73,138.62,170.34,1451,0
20071123,175.18,189.66,170.34,188.97,569,0
20071126,188.97,200.69,188.97,196.55,594,0
20071127,191.03,197.93,188.97,197.93,238,0
20071128,206.21,206.21,202.76,205.52,386,0
20071129,206.9,214.48,202.76,213.1,680,0
20071130,209.66,219.31,209.66,217.93,330,0
20071203,218.62,218.62,196.55,209.66,169,0
20071204,204.14,206.21,204.14,206.21,13,0
20071205,205.52,215.86,200.69,215.18,131,0
20071206,215.18,215.18,200,208.97,97,0
20071207,209.66,209.66,202.76,206.21,235,0
20071210,208.97,217.24,208.97,213.79,102,0
20071211,216.55,228.27,216.55,218.62,259,0
20071212,213.1,213.1,207.58,213.1,126,0
20071213,222.76,237.24,212.42,215.86,658,0
20071214,215.86,215.86,211.03,215.18,55,0
20071217,222.07,222.07,194.48,194.48,236,0
20071218,194.48,197.24,176.55,176.55,895,0
20071219,180,191.73,173.1,186.9,1149,0
20071220,191.73,211.03,186.9,205.52,1029,0
20071221,209.66,209.66,196.55,196.55,992,0
20071227,195.86,195.86,183.45,191.03,598,0
20071228,191.03,196.55,185.52,194.48,345,0
20080102,199.31,201.38,191.03,192.42,65,0
20080103,187.58,195.86,186.9,194.48,278,0
20080104,189.66,194.48,186.21,189.66,557,0
20080107,184.82,189.66,177.24,184.82,179,0
20080108,189.66,193.1,177.93,184.82,286,0
20080109,189.66,189.66,172.42,182.07,832,0
20080110,183.45,183.45,167.58,172.42,372,0
20080111,170.34,176.55,164.14,167.58,703,0
20080114,170.34,170.34,151.03,164.14,343,0
20080115,167.58,167.58,145.52,145.52,248,0
20080116,148.97,148.97,126.9,137.24,964,0
20080117,142.76,159.31,137.93,159.31,1959,0
20080118,160,160.69,145.52,151.03,1027,0
20080121,151.03,151.03,140,151.03,406,0
20080122,138.62,148.27,135.18,146.9,384,0
20080123,151.03,151.03,138.62,147.58,4043,0
20080124,150.34,150.34,142.07,146.9,397,0
20080125,147.58,150.34,131.03,140.69,2155,0
20080128,137.24,137.93,129.66,129.66,1815,0
20080129,133.1,138.62,120,124.14,4604,0
20080130,127.58,132.42,118.62,131.03,3326,0
20080131,131.03,131.03,123.45,127.58,1740,0
20080201,131.03,137.93,127.58,130.34,3251,0
20080204,136.55,136.55,125.52,127.58,1518,0
20080205,128.97,128.97,116.55,117.93,1986,0
20080206,115.18,120.69,107.58,113.1,2830,0
20080207,113.79,113.79,104.14,106.9,3517,0
20080208,109.66,114.48,108.27,111.03,1936,0
20080211,113.1,114.48,109.66,109.66,1069,0
20080212,111.03,111.73,101.38,108.27,2024,0
20080213,105.52,108.27,103.45,104.82,1272,0
20080214,108.27,110.34,103.45,106.21,526,0
20080215,105.52,105.52,102.76,105.52,356,0
20080218,106.21,122.76,104.14,121.38,2809,0
20080219,117.93,121.38,112.42,116.55,1029,0
20080220,117.93,118.62,111.03,111.03,478,0
20080221,114.48,117.24,111.03,117.24,526,0
20080222,117.93,119.31,114.48,119.31,469,0
20080225,122.07,122.76,117.93,120,844,0
20080226,120,120.69,114.48,119.31,576,0
20080227,115.86,117.93,114.48,117.93,169,0
20080228,117.93,117.93,113.79,115.18,248,0
20080229,113.79,115.18,113.1,115.18,474,0
20080303,112.42,112.42,108.27,109.66,295,0
20080304,109.66,109.66,104.82,108.27,883,0
20080305,108.27,110.34,106.9,108.27,201,0
20080306,111.03,111.03,105.52,108.27,505,0
20080307,104.82,111.03,103.45,105.52,671,0
20080310,107.58,107.58,99.31,104.14,839,0
20080311,103.45,108.27,101.38,108.27,366,0
20080312,110.34,111.03,106.21,109.66,285,0
20080313,106.21,110.34,104.14,109.66,443,0
20080314,109.66,111.03,106.21,110.34,153,0
20080317,104.14,108.27,102.76,103.45,195,0
20080318,102.76,103.45,100.69,102.76,786,0
20080319,104.14,106.21,100.69,104.14,1260,0
20080320,102.76,103.45,100.69,102.76,217,0
20080325,102.76,104.82,102.07,102.76,325,0
20080326,102.07,102.07,100.69,101.38,547,0
20080327,102.76,104.14,100,103.45,301,0
20080328,103.45,103.45,100,102.76,437,0
20080331,101.38,102.76,101.38,102.76,123,0
20080401,108.27,108.27,101.38,101.38,1088,0
20080402,104.82,104.82,102.07,104.14,485,0
20080403,104.82,104.82,102.07,103.45,349,0
20080404,104.82,104.82,103.45,104.82,249,0
20080407,105.52,113.79,105.52,108.97,1248,0
20080408,111.03,111.03,101.38,104.14,732,0
20080409,102.76,104.14,100.69,102.07,853,0
20080410,101.38,104.14,101.38,104.14,2497,0
20080411,104.82,113.79,103.45,103.45,5475,0
20080414,104.82,111.03,102.76,110.34,2359,0
20080415,111.03,116.55,109.66,114.48,3052,0
20080416,115.86,120.69,111.03,114.48,2699,0
20080417,114.48,115.86,111.03,111.03,2039,0
20080418,111.03,112.42,103.45,108.27,2798,0
20080421,105.52,111.03,105.52,106.9,944,0
20080422,105.52,108.27,104.14,104.82,1485,0
20080423,103.45,104.82,102.76,104.82,598,0
20080424,104.82,107.58,100.69,104.82,1471,0
20080425,108.97,108.97,102.76,104.82,850,0
20080428,104.82,107.58,102.76,107.58,1145,0
20080429,104.82,107.58,102.07,106.9,591,0
20080430,107.58,108.27,104.14,106.9,1218,0
20080505,105.52,106.9,104.82,104.82,602,0
20080506,104.82,104.82,101.38,103.45,165,0
20080507,103.45,104.14,101.38,104.14,2167,0
20080508,104.82,105.52,101.38,101.38,410,0
20080509,100,100,94.48,95.18,1800,0
20080512,94.48,94.48,82.072,92.416,1958,0
20080513,91.032,93.792,88.968,93.104,730,0
20080514,93.104,93.104,89.656,92.416,491,0
20080515,91.728,93.104,85.52,88.968,643,0
20080516,90.344,90.344,86.896,88.968,453,0
20080519,90.344,91.032,86.896,86.896,260,0
20080520,86.208,90.344,86.208,88.272,336,0
20080521,88.968,88.968,85.52,88.272,366,0
20080523,86.896,88.272,86.208,88.272,54,0
20080526,87.584,87.584,84.824,86.896,456,0
20080527,85.52,85.52,71.032,80,831,0
20080528,80,80,66.896,66.896,1670,0
20080529,69.656,73.792,68.968,71.728,1632,0
20080530,72.416,77.24,72.416,74.48,771,0
20080602,75.176,75.176,74.48,74.48,193,0
20080603,73.792,74.48,73.792,73.792,57,0
20080604,73.792,73.792,72.416,72.416,139,0
20080605,72.416,72.416,67.584,68.968,850,0
20080606,68.968,71.728,65.52,65.52,1188,0
20080609,64.824,65.52,56.552,59.312,1172,0
20080610,59.312,59.312,51.728,51.728,3215,0
20080611,53.104,54.48,48.272,49.656,1161,0
20080612,46.208,52.416,46.208,46.896,844,0
20080613,46.208,48.272,44.136,46.208,813,0
20080616,46.208,51.032,46.208,48.272,735,0
20080617,48.272,52.416,46.208,49.656,1651,0
20080618,49.656,49.656,46.208,46.208,655,0
20080619,44.824,46.208,42.76,42.76,1212,0
20080620,45.52,47.584,43.448,46.208,1567,0
20080623,45.52,47.584,44.824,46.208,369,0
20080624,46.208,46.896,44.824,46.896,146,0
20080625,46.896,49.656,46.208,46.896,539,0
20080626,48.272,48.272,44.824,44.824,337,0
20080627,44.136,44.824,41.376,42.76,1176,0
20080630,42.76,42.76,38.624,42.072,1990,0
20080701,39.312,39.312,33.792,35.864,3267,0
20080702,35.864,36.552,35.176,35.864,665,0
20080703,33.792,35.176,33.792,35.176,309,0
20080704,35.176,35.864,33.792,35.864,226,0
20080707,35.176,35.176,33.104,35.176,173,0
20080708,34.48,35.176,33.104,34.48,676,0
20080709,34.48,35.864,33.792,34.48,1621,0
