Date,Open,High,Low,Close,Volume,OpenInt
19980317,14.113,14.113,14.113,14.113,55993,0
19980318,12.716,12.716,12.716,12.716,94928,0
19980319,12.291,12.291,12.291,12.291,62070,0
19980320,12.716,12.716,12.716,12.716,44100,0
19980323,12.591,12.591,12.591,12.591,22734,0
19980324,12.409,12.409,12.409,12.409,30768,0
19980325,12.291,12.291,12.291,12.291,23688,0
19980326,12.291,12.291,12.291,12.291,37382,0
19980327,12.166,12.166,12.166,12.166,35101,0
19980330,12.166,12.166,12.166,12.166,17524,0
19980331,12.166,12.166,12.166,12.166,24004,0
19980401,11.561,11.561,11.561,11.561,12596,0
19980402,11.561,11.561,11.561,11.561,27411,0
19980406,11.377,11.377,11.377,11.377,20041,0
19980407,11.253,11.253,11.253,11.253,7120,0
19980408,11.319,11.319,11.319,11.319,17175,0
19980409,10.829,10.829,10.829,10.829,11992,0
19980414,10.888,10.888,10.888,10.888,21416,0
19980415,10.953,10.953,10.953,10.953,11902,0
19980416,11.071,11.071,11.071,11.071,10517,0
19980417,11.253,11.253,11.253,11.253,22051,0
19980420,11.437,11.437,11.437,11.437,29666,0
19980421,12.233,12.233,12.233,12.233,46301,0
19980422,12.166,12.166,12.166,12.166,26458,0
19980423,11.561,11.561,11.561,11.561,26139,0
19980424,11.437,11.437,11.437,11.437,37807,0
19980427,10.345,10.345,10.345,10.345,22714,0
19980428,9.615,9.615,9.615,9.615,12274,0
19980429,9.857,9.857,9.857,9.857,15460,0
19980430,10.098,10.098,10.098,10.098,15504,0
19980504,10.587,10.587,10.587,10.587,4503,0
19980505,11.071,11.071,11.071,11.071,10424,0
19980506,11.253,11.253,11.253,11.253,28758,0
19980507,10.953,10.953,10.953,10.953,2966,0
19980508,10.345,10.345,10.345,10.345,30778,0
19980511,9.857,9.857,9.857,9.857,18900,0
19980512,9.981,9.981,9.981,9.981,10023,0
19980513,9.857,9.857,9.857,9.857,7254,0
19980514,9.732,9.732,9.732,9.732,2091,0
19980515,9.674,9.674,9.674,9.674,15364,0
19980518,9.1837,9.1837,9.1837,9.1837,1723,0
