Date,Open,High,Low,Close,Volume,OpenInt
20061206,6.7701,7.0219,5.7737,6.5956,6536854,0
20061207,6.6501,6.6618,6.146,6.4217,1139491,0
20061208,6.4156,6.6978,6.146,6.4456,587386,0
20061211,6.5717,6.5717,6.2478,6.2478,478727,0
20061212,6.1277,6.1277,5.8576,5.8576,425769,0
20061213,5.8215,5.8215,5.4857,5.5158,396909,0
20061214,5.6053,5.9598,5.4674,5.6175,380453,0
20061215,5.6658,5.7014,4.6694,5.2452,379897,0
20061218,5.3657,5.4496,5.2695,5.4075,117848,0
20061219,5.3835,5.3835,5.0773,5.1195,96522,0
20061220,5.0173,5.1373,4.8733,4.9634,164058,0
20061221,5.1613,5.1613,4.9695,5.0651,164314,0
20061222,5.1195,5.1195,4.5911,4.5911,258098,0
20061227,4.7594,5.1073,4.7233,5.1012,101762,0
20061228,5.2156,5.6714,5.2156,5.5275,282007,0
20061229,5.6415,5.6536,5.3413,5.5158,99527,0
20070102,5.4674,5.6236,5.4197,5.5275,88645,0
20070103,5.6175,5.6236,5.3174,5.5158,173673,0
20070104,5.4674,5.4674,5.2695,5.2695,116332,0
20070105,5.2695,5.3657,5.2452,5.3657,53224,0
20070108,5.3357,5.4435,5.2752,5.4375,31177,0
20070109,5.4553,5.4913,5.3657,5.4197,66656,0
20070110,5.4435,5.4553,5.3596,5.3892,28467,0
20070111,5.4375,5.4375,5.2695,5.2935,50570,0
20070112,5.6175,5.7676,5.5158,5.5814,359985,0
20070115,5.7615,6.4699,5.6714,6.4699,738766,0
20070116,6.5239,7.148,6.3199,6.9257,1107513,0
20070117,7.1241,7.6282,7.1002,7.5982,1294036,0
20070118,8.2223,9.4529,8.1444,9.213,2420000,0
20070119,8.5342,9.3329,8.3306,8.7264,1305698,0
20070122,8.7563,9.003,8.0544,8.0784,613497,0
20070123,7.8322,8.9664,7.6282,8.7925,1149561,0
20070124,9.1587,9.2787,8.6546,8.7803,695434,0
20070125,8.7264,9.0331,8.3784,8.4502,375991,0
20070126,8.4202,8.7803,8.1023,8.6124,324608,0
20070129,8.7264,8.9552,8.6307,8.9552,329614,0
20070130,9.0265,9.093,8.6786,8.7803,172263,0
20070131,8.8825,8.8825,8.7264,8.7986,108335,0
20070201,8.8281,8.8825,8.5763,8.6546,121759,0
20070202,8.7563,8.7803,8.5284,8.6063,170783,0
20070205,8.6063,8.6307,8.4324,8.5763,97718,0
20070206,8.5284,8.5284,8.2823,8.3784,120920,0
20070207,8.2762,8.2762,8.1322,8.1806,157863,0
20070208,8.2284,8.2284,7.7,7.8082,236380,0
20070209,7.7,8.4263,7.7,8.4084,248201,0
20070212,8.2762,8.3901,8.1023,8.2462,94634,0
20070213,8.2284,8.7746,8.0483,8.7746,224381,0
20070214,8.6307,8.8825,8.4807,8.5763,212571,0
20070215,8.7025,8.7803,8.3306,8.4807,224604,0
20070216,8.4263,8.4807,8.1683,8.4746,126514,0
20070219,8.8825,10.287,8.7025,10.287,1827273,0
20070220,10.485,10.839,9.669,9.843,938949,0
20070221,10.011,10.533,9.884,9.981,369993,0
20070222,10.185,10.252,9.783,10.174,218679,0
20070223,10.179,10.485,9.837,10.095,262781,0
20070226,10.539,11.584,10.539,11.247,884489,0
20070227,11.037,11.235,10.287,10.485,737258,0
20070228,9.807,10.713,9.585,10.136,888099,0
20070301,10.485,10.786,9.783,10.136,440564,0
20070302,10.473,10.587,10.035,10.545,151685,0
20070305,9.981,10.185,9.831,10.029,356180,0
20070306,10.233,10.437,10.136,10.413,186686,0
20070307,10.533,10.587,10.287,10.437,239383,0
20070308,10.473,10.833,10.473,10.809,331443,0
20070309,10.935,10.959,10.659,10.887,189028,0
20070312,10.839,10.839,10.587,10.731,148338,0
20070313,10.737,10.887,10.437,10.887,141011,0
20070314,10.136,10.839,10.136,10.791,225467,0
20070315,10.989,11.325,10.935,11.08,149588,0
20070316,11.037,12.039,10.839,11.787,407867,0
20070319,11.937,13.744,11.937,13.594,514173,0
20070320,14.045,14.398,13.047,13.996,504055,0
20070321,14.273,14.398,13.696,14.05,277661,0
20070322,15.052,16.024,15.052,15.101,676571,0
20070323,15.353,15.904,14.555,15.904,386609,0
20070326,16.181,19.013,16.055,18.011,500878,0
20070327,18.815,19.013,17.009,17.184,685515,0
20070328,15.886,17.009,15.557,16.379,723043,0
20070329,16.589,17.562,16.553,17.507,362248,0
20070330,17.657,17.657,16.559,16.907,215210,0
20070402,16.954,16.954,15.551,16.181,239064,0
20070403,15.719,16.847,15.719,16.331,266817,0
20070404,16.553,17.309,16.307,16.499,222016,0
20070405,16.805,16.95,16.314,16.402,152664,0
20070410,16.355,16.355,15.653,15.977,255572,0
20070411,16.157,16.799,16.157,16.456,229526,0
20070412,16.559,16.654,15.772,16.055,230824,0
20070413,16.805,17.333,16.667,16.757,233737,0
20070416,16.859,17.309,16.607,16.859,117551,0
20070417,17.039,17.039,16.157,16.805,92339,0
20070418,16.901,20.442,16.456,19.05,1166338,0
20070419,18.863,19.763,18.16,19.338,323799,0
20070420,19.921,23.43,19.865,23.077,805874,0
20070423,25.586,32.109,25.333,29.049,1506050,0
20070424,30.099,30.35,26.162,27.794,748854,0
20070425,26.588,27.344,25.237,26.185,537277,0
20070426,27.038,27.967,26.239,26.588,272575,0
20070427,26.588,26.839,25.057,25.538,170454,0
20070430,24.08,24.66,22.675,23.665,400910,0
20070502,24.835,27.092,24.235,27.092,346349,0
20070504,28.346,29.498,27.589,27.92,382281,0
20070507,27.092,27.769,26.113,27.164,219552,0
20070508,27.589,27.896,25.735,25.987,184883,0
20070509,26.185,27.344,25.081,25.633,180578,0
20070510,26.288,26.288,24.109,24.331,170746,0
20070511,23.581,25.94,21.972,24.656,436944,0
20070514,25.885,25.885,24.547,25.357,195074,0
