Date,Open,High,Low,Close,Volume,OpenInt
20120314,12.78,12.78,12,12.64,36087,0
20120315,12.67,12.7,12.2,12.42,5734,0
20120316,12.42,12.46,12.11,12.45,8995,0
20120319,12.47,12.47,12.39,12.39,861,0
20120320,12.47,12.47,12.02,12.25,1517,0
20120321,12.3,12.3,11.91,12.14,5163,0
20120322,12.15,12.15,11.3,12.12,2503,0
20120323,12.15,12.15,11.4,12,5834,0
20120326,12.15,12.15,12.15,12.15,1,0
20120327,11.4,12.15,11.4,12,4378,0
20120328,12.1,12.1,11.98,11.98,2052,0
20120329,11.98,12.14,11.9,12.14,3851,0
20120330,12.15,12.15,12.15,12.15,1,0
20120402,12.1,12.1,12.1,12.1,2,0
20120403,12.1,12.1,11.65,12.1,2279,0
20120404,12.1,12.1,11.54,12,3577,0
20120405,12.1,12.1,12,12,3,0
20120410,12,12.1,11.6,12.06,31246,0
20120411,11.9,11.91,11.5,11.91,2391,0
20120412,11.41,11.56,11.1,11.1,36112,0
20120413,11.34,11.34,10.86,10.88,9648,0
20120416,10.86,10.86,10.21,10.47,658,0
20120417,10.5,10.5,10.1,10.5,518,0
20120418,10.38,10.47,10.05,10.47,646,0
20120419,10.47,10.47,10.05,10.47,33,0
20120420,10.47,10.47,9.11,9.11,31025,0
20120423,9.11,9.35,8.93,8.93,1700,0
20120424,8.4,8.8,8.4,8.8,1992,0
20120425,8.8,8.83,8.43,8.8,1443,0
20120426,9,9,8.55,8.6,35,0
20120427,8.6,8.78,8.6,8.78,802,0
20120430,8.6,8.78,8.48,8.78,2478,0
20120502,8.78,8.78,8.69,8.69,122,0
20120504,8.7,8.7,8.06,8.7,6145,0
20120507,8.78,8.78,8.2,8.73,2374,0
20120508,8.72,8.72,8.7,8.71,52,0
20120509,8.4,8.4,8.02,8.39,1509,0
20120510,8.5,8.5,8.02,8.5,280,0
20120511,8.5,8.69,8.28,8.69,1920,0
20120514,8.69,8.69,8.43,8.43,1214,0
20120515,8.43,8.73,8.4,8.4,2221,0
20120516,8.02,8.72,8,8.72,1758,0
20120517,8.7,8.72,8,8,4747,0
20120518,7.9,8.51,7.7,8.38,3439,0
20120521,8.59,8.59,8.2,8.59,255,0
20120522,8.49,8.49,8.49,8.49,1,0
20120523,8.2,8.39,8.2,8.39,1130,0
20120524,8,8,8,8,141,0
20120525,8,8.35,7.92,8.35,2946,0
20120528,8.35,8.5,8.35,8.5,1200,0
20120529,8.5,8.72,8.3,8.72,758,0
20120530,8.72,8.72,8.2,8.72,1859,0
20120531,8.72,8.72,8.72,8.72,1,0
20120601,8.72,8.79,8.4,8.4,1101,0
20120604,8.55,8.55,8.55,8.55,1,0
20120605,8.55,8.75,8.4,8.4,4428,0
20120606,8.4,8.75,8.15,8.74,3893,0
20120608,8.78,9.13,8.6,9.13,7181,0
20120611,9.19,9.19,8.72,8.89,1486,0
20120612,8.88,8.89,8.88,8.89,1001,0
20120613,9.18,9.18,8.48,8.8,1861,0
20120614,8.98,8.98,8.98,8.98,1,0
20120615,9.18,9.18,9.18,9.18,331,0
20120618,9.14,9.18,8.48,9.18,1015,0
20120619,9.19,9.2,8.45,9.2,6654,0
20120620,9.21,9.21,8.8,9.19,553,0
20120621,9.19,9.29,8.4,9.29,7082,0
20120622,9,9.29,8.61,9.29,2949,0
20120625,9.29,9.29,9,9.1,752,0
20120626,9.2,9.2,9.2,9.2,5,0
20120627,9.19,9.3,9.19,9.3,5479,0
20120628,9.31,9.31,9.31,9.31,1,0
20120629,9.33,9.33,9.33,9.33,1,0
20120702,9.3,9.3,8.4,8.79,9796,0
20120703,8.79,8.79,8.39,8.4,2314,0
20120704,8.39,8.39,8.39,8.39,2,0
20120705,8.39,8.57,8.39,8.57,1797,0
20120706,8.56,8.56,8.54,8.54,118,0
20120709,8.6,8.73,8.6,8.73,3,0
20120710,8.79,8.79,8.51,8.69,803,0
20120711,8.69,8.69,8.2,8.3,1684,0
20120712,8.36,8.36,7.9,8.26,2757,0
20120713,8.26,8.26,8.26,8.26,1,0
20120716,8.27,8.27,8.27,8.27,1,0
20120717,8.27,8.27,8.27,8.27,1,0
20120718,8.27,8.27,8.26,8.26,61,0
20120719,8.27,8.27,7.91,7.91,3,0
20120720,7.91,7.91,7.63,7.63,2235,0
20120723,7.6,7.7,7.5,7.7,730,0
20120724,7.7,7.7,7.7,7.7,1111,0
20120725,7.7,7.99,7.7,7.99,3,0
20120726,7.97,7.99,7.65,7.99,115,0
20120727,7.99,7.99,7.99,7.99,2,0
20120730,7.99,8.5,7.65,8.26,2717,0
20120731,8.26,8.49,8,8.26,9302,0
20120801,8.48,8.48,8.48,8.48,1,0
20120802,8.48,8.48,8.48,8.48,1,0
20120806,8.27,8.47,8.27,8.47,5,0
20120807,8.47,8.47,7.9,8,988,0
20120808,7.99,7.99,7.99,7.99,401,0
20120809,7.99,7.99,7.99,7.99,1,0
20120810,7.9,7.9,7.64,7.84,402,0
20120813,7.84,7.84,7.63,7.63,505,0
20120814,7.63,7.7,7.63,7.7,1102,0
20120816,7.7,7.7,7.7,7.7,1000,0
20120817,7.6,7.6,7.52,7.6,418,0
20120820,7.6,7.6,7.5,7.6,55,0
20120821,7.6,7.6,7.6,7.6,2,0
20120822,7.6,7.6,7.58,7.6,41,0
20120823,7.6,7.69,6.85,7.69,28177,0
20120824,7.64,7.7,7.64,7.7,6,0
20120827,7.7,7.7,7.7,7.7,2,0
20120828,7.7,7.7,7.7,7.7,2,0
20120829,7.7,7.7,7.38,7.7,332,0
20120830,7.7,7.7,7.7,7.7,2,0
20120831,7.7,7.8,7.7,7.79,2502,0
20120903,7.79,8.37,7.79,8.35,7294,0
20120904,8.49,8.49,8.15,8.19,1101,0
20120905,8.19,8.2,7.82,8.19,609,0
20120906,8.2,8.2,7.85,8.15,404,0
20120907,8.17,8.21,8.16,8.21,20701,0
20120910,8.15,8.15,8.15,8.15,2,0
20120911,8.15,8.15,7.85,7.85,1559,0
20120912,7.85,7.85,7.85,7.85,2,0
20120913,7.87,7.87,7.55,7.85,183,0
20120914,7.88,7.88,7.88,7.88,1393,0
20120917,7.89,8.11,7.89,8.11,82,0
20120918,8.15,8.15,8.15,8.15,2,0
20120919,8.15,8.15,7.8,8.15,1102,0
20120921,7.8,8.09,7.8,8.09,104,0
20120924,7.65,8.02,7.65,8.02,9,0
20120926,8.02,8.02,8,8,8,0
20120928,7.99,8.02,7.65,8.02,229,0
20121002,7.9,7.9,7.9,7.9,100,0
20121003,7.8,7.8,7.65,7.78,255,0
20121004,7.78,7.78,7.52,7.65,599,0
20121005,7.53,7.7,7.53,7.7,301,0
20121008,7.7,7.7,7.7,7.7,170,0
20121009,7.7,7.7,7.55,7.7,536,0
20121010,7.7,7.7,7.7,7.7,1,0
20121011,7.7,7.7,7.7,7.7,1,0
20121012,7.7,7.7,7.7,7.7,2,0
20121015,7.7,7.7,7.7,7.7,10,0
20121016,7.7,7.7,7.39,7.68,107,0
20121017,7.68,7.68,7.38,7.49,666,0
20121018,7.49,7.49,7.49,7.49,15,0
20121019,7.49,7.49,7.49,7.49,2,0
20121022,7.49,7.5,7.49,7.5,126,0
20121024,7.5,7.7,7.5,7.7,1065,0
20121025,7.7,7.86,7.52,7.86,364,0
20121026,7.85,7.85,7.85,7.85,1,0
20121029,7.8,7.86,7.8,7.85,504,0
20121030,7.85,7.86,7.5,7.86,1549,0
20121031,7.99,7.99,7.85,7.86,294,0
20121105,7.53,7.99,7.53,7.99,2003,0
20121106,7.98,7.98,7.53,7.85,2061,0
20121107,7.96,7.96,7.96,7.96,1,0
20121108,7.85,7.85,7.5,7.85,2638,0
20121109,7.6,7.6,7.6,7.6,20,0
20121112,7.6,7.6,7.6,7.6,1,0
20121113,7.59,7.6,7.27,7.6,6,0
20121114,7.6,7.6,7.6,7.6,80,0
20121115,7.6,7.6,7.6,7.6,1,0
20121116,7.6,7.6,7.28,7.6,558,0
20121119,7.6,7.6,6.99,7.05,3657,0
20121120,7.25,7.25,7.25,7.25,21,0
20121121,7.25,7.25,7.25,7.25,200,0
20121122,6.97,7.24,6.97,7.24,6,0
20121123,7.47,7.47,7.47,7.47,1,0
20121126,7.48,7.48,7.48,7.48,1,0
20121127,7.48,7.48,7.48,7.48,1,0
20121128,7.47,7.47,7.47,7.47,1,0
20121129,7.47,7.47,7.47,7.47,1,0
20121130,7.3,7.3,7.3,7.3,1000,0
20121203,7.01,7.3,6.98,7.3,290,0
20121204,7.29,7.29,7.29,7.29,11,0
20121205,7.29,7.29,6.97,7.2,255,0
20121206,7,7.28,7,7.28,301,0
20121207,7.28,7.28,7.28,7.28,316,0
20121210,7.28,7.28,7,7,16,0
20121211,7.2,7.2,7,7.18,303,0
20121212,7.19,7.19,7,7,1383,0
20121213,7.19,7.19,7.19,7.19,1,0
20121214,7.18,7.18,7,7,208,0
20121217,7,7,6.9,6.9,173,0
20121218,6.9,6.9,6.87,6.87,389,0
20121219,6.87,6.87,6.6,6.77,1262,0
20121220,6.87,6.87,5.8,5.91,10861,0
20121221,5.92,6.23,5.92,6.23,665,0
20121227,6.25,6.25,6.25,6.25,16,0
20121228,6.25,6.59,6,6.59,3420,0
20130102,6.7,6.7,6.7,6.7,8,0
20130103,6.68,6.68,6.68,6.68,8,0
20130104,6.5,6.5,6.5,6.5,1483,0
20130107,6.21,6.37,6.21,6.21,763,0
20130108,6.25,6.25,6.25,6.25,400,0
20130109,6.26,6.26,6.26,6.26,1,0
20130110,6.28,6.28,6.26,6.26,1501,0
20130111,6.26,6.26,6,6,1671,0
20130114,6,6.25,5.92,6.14,2068,0
20130115,6.1,6.1,6,6,157,0
20130116,6,6,5.9,6,960,0
20130117,6,6,5.75,6,791,0
20130118,6,6.18,6,6,7068,0
20130121,6.01,6.01,5.65,5.85,4323,0
20130122,5.85,5.85,5.85,5.85,135,0
20130123,5.85,5.85,5.5,5.65,2763,0
20130124,5.64,5.64,5.64,5.64,2,0
20130125,5.63,5.65,5.63,5.65,2,0
20130128,5.65,5.65,5.65,5.65,550,0
20130129,5.65,5.65,5.5,5.65,26,0
20130130,5.65,5.65,5.59,5.59,102,0
20130131,5.59,5.59,5.5,5.5,42,0
20130201,5.59,5.59,5.2,5.4,473,0
20130204,5.39,5.39,5.39,5.39,1,0
20130205,5.28,5.8,5,5.6,27749,0
20130206,5.61,6.2,5.61,5.9,4052,0
20130207,6,6.2,6,6.17,1880,0
20130208,6.17,6.2,6.15,6.18,3127,0
20130211,6.18,6.18,6.18,6.18,1002,0
20130212,6.2,6.38,6.2,6.38,1003,0
20130213,6.36,6.36,6.1,6.1,535,0
20130214,6.1,6.28,6.1,6.28,1361,0
20130215,6.27,6.28,6.25,6.25,2621,0
20130218,6.28,6.28,6.28,6.28,1,0
20130219,6.25,6.25,6.25,6.25,120,0
20130220,6.24,6.24,6.24,6.24,1,0
20130221,6.2,6.2,6.2,6.2,1,0
20130222,6.2,6.3,5.74,6.3,3224,0
20130225,6.3,6.3,6.3,6.3,1,0
20130226,6.28,6.28,6,6,41,0
20130227,6.01,6.28,5.92,6.18,1866,0
20130228,6.28,6.28,6.28,6.28,1,0
20130301,6.28,6.28,6.28,6.28,1,0
20130304,6.17,6.17,6.17,6.17,28,0
20130305,6.17,6.17,6.17,6.17,1,0
20130306,6.17,6.17,6.17,6.17,1,0
20130307,6.17,6.17,6.17,6.17,2,0
20130308,6.17,6.18,6.17,6.18,201,0
20130311,6.19,6.28,6.19,6.25,1411,0
20130312,6.23,6.23,6.23,6.23,226,0
20130313,6.18,6.18,6.18,6.18,103,0
20130314,6.28,6.28,5.67,5.92,4203,0
20130315,5.93,6.13,5.93,6.13,501,0
20130318,6.13,6.13,6.13,6.13,31,0
20130319,6.13,6.13,6.13,6.13,1,0
20130320,6.1,6.1,6.1,6.1,2,0
20130321,6.1,6.1,5.71,5.9,1025,0
20130322,5.5,6,5.5,6,3363,0
20130326,5.9,6,5.5,5.55,6750,0
20130327,5.5,5.5,4.96,5,11639,0
20130328,4.9,5,4.9,5,1131,0
20130402,5,5,5,5,73,0
20130403,5,5,4.88,4.97,202,0
20130404,4.97,5.1,4.97,5.06,1497,0
20130405,5.06,5.1,5.06,5.1,2,0
20130408,5.09,5.09,5,5,601,0
20130409,5.05,5.1,5.05,5.1,2,0
20130410,5.11,5.11,4.95,4.95,501,0
20130411,4.95,5,4.95,5,3,0
20130412,5,5,5,5,1,0
20130415,5,5,4.9,4.9,1062,0
20130417,4.95,4.95,4.9,4.9,2,0
20130418,4.9,4.9,4.25,4.25,3442,0
20130419,3.96,4.3,3.57,3.96,159370,0
20130422,4,4,4,4,5,0
20130423,4,4,3.9,3.99,5423,0
20130424,4,4.02,4,4.02,103658,0
20130425,4.01,4.2,4.01,4.2,3,0
20130426,4.2,4.2,4.2,4.2,2,0
20130429,4.21,4.21,4.21,4.21,10,0
20130430,4.24,4.5,4.24,4.5,2463,0
20130502,4.6,4.73,4.6,4.73,212,0
20130506,4.86,5.25,4.86,5.25,1007,0
20130507,5.25,5.39,5.25,5.39,646,0
20130508,5.38,5.38,5.16,5.38,203,0
20130509,5.38,5.38,5.38,5.38,1,0
20130510,5.38,5.38,5.38,5.38,1,0
20130513,4.9,5,4.9,5,11481,0
20130514,5,5,5,5,502,0
20130515,5,5,5,5,3256,0
20130516,5,5,5,5,24,0
20130517,5,5,5,5,1660,0
20130520,5,5.13,4.91,4.91,113,0
20130521,5.13,5.13,5,5,678,0
20130522,5,5.35,5,5.35,502,0
20130523,5.37,5.37,5.37,5.37,2,0
20130524,5.44,5.5,5.44,5.49,12690,0
20130527,5.49,5.49,5.41,5.41,1946,0
20130528,5.49,5.49,4.95,4.95,16897,0
20130529,4.95,4.99,4.95,4.99,81,0
20130531,4.99,4.99,4.9,4.99,252,0
20130603,4.99,5,4.78,5,2010,0
20130604,4.99,5,4.99,5,181,0
20130605,5,5,4.78,4.99,664,0
20130606,4.99,4.99,4.99,4.99,1997,0
20130607,4.99,4.99,4.78,4.99,940,0
20130610,4.92,4.92,4.92,4.92,2,0
20130611,4.92,4.92,4.92,4.92,338,0
20130612,4.92,4.92,4.7,4.71,293,0
20130613,4.72,4.85,4.72,4.85,602,0
20130614,4.92,4.92,4.92,4.92,1,0
20130617,4.91,4.91,4.91,4.91,1,0
20130618,4.9,4.9,4.7,4.78,591,0
20130619,4.78,4.78,4.7,4.78,50,0
20130620,4.7,4.7,4.7,4.7,964,0
20130621,4.7,4.7,4.7,4.7,1,0
20130624,4.4,4.4,4.4,4.4,298,0
20130625,4.4,4.4,4.2,4.21,2467,0
20130626,4.2,4.2,4.2,4.2,1974,0
20130627,4.39,4.39,4,4,2425,0
20130628,4,4,3.82,3.82,408,0
20130702,3.82,3.82,3.82,3.82,1000,0
20130703,3.9,3.9,3.9,3.9,2,0
20130704,3.9,3.9,2.85,2.88,141921,0
20130705,2.9,3.13,2.8,2.8,30495,0
20130708,2.82,2.85,2.82,2.85,1150,0
20130709,2.85,2.86,2.85,2.85,6125,0
20130710,2.92,2.92,2.9,2.9,2,0
20130711,2.9,2.9,2.8,2.85,992,0
20130712,2.85,2.85,2.85,2.85,2462,0
20130715,2.85,2.85,2.7,2.84,1452,0
20130716,2.84,2.84,2.84,2.84,182,0
20130717,2.84,2.84,2.82,2.83,752,0
20130718,2.82,2.82,2.82,2.82,2,0
20130719,2.88,2.88,2.88,2.88,1660,0
20130722,2.88,2.88,2.88,2.88,1,0
20130723,2.9,2.9,2.82,2.85,4024,0
20130724,2.77,2.83,2.77,2.83,101,0
20130726,2.83,2.9,2.83,2.9,426,0
20130729,2.9,2.9,2.9,2.9,2026,0
