Date,Open,High,Low,Close,Volume,OpenInt
20160519,22,22.4,20.02,20.75,68859,0
20160520,20.74,20.74,20.01,20.74,25127,0
20160523,20.05,20.4,19.05,20,1272,0
20160524,19.5,20,19.5,20,2049,0
20160525,20.15,20.2,20.15,20.15,2050,0
20160531,19.3,20,19.3,20,187,0
20160601,20,20.49,19.38,20.49,130,0
20160602,19.6,20,19.6,20,585,0
20160603,19.48,20,19.48,20,2,0
20160607,19.1,19.15,18.11,19.15,3431,0
20160608,19.11,19.11,19.11,19.11,170,0
20160609,19.11,20,19.11,20,250,0
20160615,19.11,19.97,19.11,19.97,270,0
20160616,19.11,19.94,19.11,19.94,600,0
20160620,19.98,19.98,19.5,19.5,190,0
20160621,19.4,19.8,19.4,19.8,540,0
20160630,18.36,19,18.36,19,749,0
20160701,19.4,19.4,19.2,19.2,2849,0
20160706,18.61,19.39,18.61,19.39,20,0
20160707,19.39,19.39,19.39,19.39,40170,0
20160708,19.01,19.01,19.01,19.01,1,0
20160713,19.01,19.01,19.01,19.01,1000,0
20160714,19.01,19.01,19.01,19.01,417,0
20160715,19.01,19.01,19,19,1738,0
20160719,19.4,19.4,19.4,19.4,260,0
20160722,20,20,20,20,1015,0
20160725,19.4,19.99,19.4,19.99,604,0
20160726,19.99,20.1,19.08,20.1,2699,0
20160727,19.45,19.9,19.45,19.9,200,0
20160728,19.5,19.8,19.45,19.8,510,0
20160729,19.4,19.4,19.4,19.4,160,0
20160801,19.3,19.3,19.3,19.3,34,0
20160802,19.3,19.31,19.3,19.3,520,0
20160805,19.22,19.22,19.01,19.01,1740,0
20160808,19,19,19,19,1000,0
20160809,19,19.44,19,19.44,134,0
20160811,19.02,19.02,19,19,466,0
20160812,19,19,19,19,100,0
20160824,19.5,19.5,18.9,18.9,26,0
20160826,18.9,18.9,18.9,18.9,834,0
20160830,19.3,19.3,19.3,19.3,100,0
20160902,18.92,18.92,18.9,18.9,222,0
20160905,18.9,18.9,18.9,18.9,100,0
20160908,18.4,19,18.4,19,683,0
20160909,18.4,19,18.4,19,36,0
20160912,19,19,19,19,1,0
20160913,19,19,19,19,1725,0
20160914,18.9,18.9,18.9,18.9,41,0
20160921,18.9,19,18.9,19,210,0
20160922,19.28,19.39,19.28,19.39,9159,0
20160923,19.4,20.69,19.4,20.18,19665,0
20160926,20.18,20.18,19.94,20.18,648,0
20160927,20.1,20.47,20.1,20.47,1364,0
20160928,19.95,19.95,19.95,19.95,34,0
20160929,19.95,21.2,19.95,20.9,2513,0
20160930,20.5,20.5,20.34,20.34,695,0
20161003,20.69,20.69,20.69,20.69,542,0
20161004,20.69,20.69,20.69,20.69,290,0
20161005,20.69,20.7,20.69,20.7,666,0
20161006,20.7,21.44,20.7,21.44,3002,0
20161007,21.43,21.44,20.99,21,4864,0
20161010,21.31,21.5,21,21.5,4743,0
20161011,21.5,21.89,21,21,549,0
20161013,21,21.87,20.66,21.87,11396,0
20161014,21.86,21.86,21.01,21.01,1847,0
20161017,20.8,21.29,20.8,21.29,235,0
20161018,21,21,21,21,100,0
20161019,20.79,20.79,20.79,20.79,10000,0
20161020,21.29,21.3,21.29,21.3,230,0
20161021,21.3,21.3,21.3,21.3,70,0
20161024,21.01,21.01,21.01,21.01,2231,0
20161025,21.01,21.01,20.83,20.83,1668,0
20161027,20.83,20.83,20.83,20.83,20,0
20161028,20.8,20.8,20.8,20.8,200,0
20161031,21,21.02,21,21.02,1500,0
20161102,20.77,20.82,20.77,20.8,3630,0
20161103,20.7,21.2,20.65,21.2,3200,0
