Date,Open,High,Low,Close,Volume,OpenInt
20091013,940,200000,940,2380,27,0
20091014,2260,3240,2080,3240,22,0
20091015,3260,4000,3260,4000,42,0
20091016,3960,5000,3500,3700,58,0
20091019,3500,3800,3040,3180,17,0
20091020,3100,3100,2580,2700,39,0
20091021,2680,2960,2260,2320,24,0
20091022,2400,3000,2260,2800,73,0
20091023,3040,3040,2500,2500,23,0
20091026,2560,2680,2400,2420,5,0
20091027,2400,2500,2300,2420,6,0
20091028,2340,2340,2200,2200,12,0
20091029,2160,2700,2120,2460,22,0
20091030,2680,2680,2220,2260,9,0
20091102,2320,2520,2260,2340,9,0
20091103,2340,2340,2060,2080,17,0
20091104,2100,2200,1680,1880,20,0
20091105,1860,2080,1800,2060,5,0
20091106,2060,2080,1900,1920,2,0
20091109,1920,1920,1640,1900,3,0
20091110,2100,2100,2100,2100,0,0
20091112,1800,2520,1800,2460,25,0
20091113,2360,2360,2200,2240,1,0
20091116,2220,2300,2020,2240,5,0
20091117,2040,2180,1900,1960,6,0
20091118,2160,2160,2160,2160,0,0
20091119,1920,2080,1900,2080,2,0
20091123,2000,2060,2000,2000,1,0
20091124,1960,2000,1800,1800,8,0
20091125,1880,1880,1700,1860,1,0
20091126,1800,1800,1700,1700,3,0
20091127,1720,1800,1720,1800,1,0
20091130,1720,1720,1520,1720,4,0
20091201,1720,1720,1620,1700,2,0
20091202,1700,1700,1520,1520,3,0
20091203,1520,1700,1520,1700,0,0
20091204,1680,1680,1540,1540,1,0
20091207,1660,1660,1560,1560,2,0
20091208,1560,1560,1560,1560,0,0
20091209,1560,1560,1380,1420,1,0
20091210,1560,1560,1280,1380,2,0
20091211,1400,1640,1380,1480,3,0
20091214,1560,1560,1560,1560,0,0
20091215,1260,1500,1260,1500,1,0
20091217,1420,1600,1420,1500,5,0
20091218,1300,1480,1300,1480,0,0
20091221,1340,1340,1280,1280,0,0
20091222,1440,1440,1300,1440,0,0
20091228,1300,1300,1300,1300,0,0
20091229,1360,1560,1360,1560,1,0
20091230,1580,1700,1580,1600,1,0
20100105,1640,1720,1640,1720,0,0
20100106,1740,1800,1440,1440,1,0
20100107,1720,1720,1720,1720,1,0
20100108,1720,1720,1720,1720,0,0
20100111,1760,1800,1760,1800,0,0
20100113,1700,1700,1700,1700,1,0
20100114,1700,1700,1700,1700,1,0
20100115,1600,1680,1600,1620,2,0
20100118,1400,1580,1400,1580,1,0
20100119,1420,1660,1420,1660,1,0
20100121,1580,1800,1580,1740,10,0
20100122,1520,2440,1520,2180,70,0
20100125,2160,2340,1760,1940,27,0
20100126,1980,2100,1800,2000,4,0
20100127,1980,1980,1720,1900,5,0
20100128,1920,1920,1920,1920,0,0
20100129,1900,1900,1640,1720,8,0
20100201,1760,1840,1680,1800,3,0
20100202,1800,1800,1640,1740,13,0
20100203,1660,1680,1620,1620,6,0
20100204,1660,1740,1520,1620,11,0
20100205,1620,1620,1500,1580,2,0
20100208,1620,1620,1460,1600,1,0
20100209,1560,1600,1480,1560,2,0
20100210,1560,1720,1560,1660,3,0
20100211,1600,1600,1600,1600,0,0
20100212,1620,1640,1620,1640,1,0
20100215,1520,1600,1460,1580,4,0
20100216,1580,1800,1520,1640,11,0
20100217,1680,1920,1680,1920,19,0
20100219,1900,1900,1700,1840,1,0
20100222,1880,1880,1620,1760,4,0
20100223,1520,1800,1520,1800,0,0
20100224,1760,1860,1580,1780,4,0
20100225,1720,1860,1720,1860,2,0
20100226,1760,1860,1760,1860,1,0
20100301,1860,2120,1860,1980,5,0
20100302,1980,1980,1760,1880,5,0
20100303,1760,1760,1600,1720,20,0
20100304,1620,1740,1620,1740,2,0
20100305,1740,1740,1640,1680,2,0
20100308,1640,1640,1620,1620,4,0
20100309,1680,1680,1520,1620,5,0
20100310,1560,1620,1500,1600,9,0
20100311,1600,1680,1560,1680,7,0
20100312,1660,1680,1600,1680,9,0
20100315,1600,1800,1600,1800,11,0
20100316,1800,1940,1800,1920,20,0
20100317,1900,1900,1840,1900,11,0
20100318,1740,1840,1700,1840,9,0
20100319,1700,1920,1700,1900,6,0
20100322,1700,1780,1640,1780,8,0
20100323,1660,1700,1640,1700,6,0
20100324,1620,1680,1620,1680,1,0
20100325,1700,1700,1600,1680,8,0
20100326,1600,1660,1560,1660,3,0
20100329,1680,1680,1600,1600,4,0
20100330,1660,1680,1660,1680,1,0
20100331,1620,1660,1520,1660,4,0
20100401,1520,1600,1520,1600,2,0
20100406,1560,1620,1560,1620,2,0
20100407,1660,1660,1640,1640,0,0
20100408,1640,1640,1640,1640,1,0
20100409,1660,1660,1660,1660,0,0
20100412,1660,1680,1660,1680,2,0
20100413,1620,1680,1540,1540,4,0
20100414,1660,1660,1660,1660,0,0
20100415,1560,1700,1560,1680,5,0
20100420,1540,1680,1540,1680,0,0
20100421,1640,1640,1640,1640,1,0
20100422,1580,1760,1580,1740,2,0
20100423,1600,1740,1600,1740,0,0
20100426,1620,1620,1620,1620,1,0
20100427,1560,1640,1560,1640,0,0
20100428,1640,1640,1640,1640,0,0
20100429,1720,1720,1720,1720,0,0
20100430,1720,1720,1720,1720,0,0
20100505,1580,1700,1580,1700,0,0
20100506,1580,1720,1520,1680,1,0
20100507,1460,1680,1460,1680,0,0
20100512,1560,1680,1560,1680,1,0
20100517,1680,1680,1680,1680,1,0
20100518,1700,1720,1580,1580,1,0
20100519,1580,1640,1280,1280,3,0
20100520,1320,1520,1320,1460,5,0
20100521,1480,1580,1480,1580,1,0
20100524,1480,1640,1480,1640,1,0
20100525,1400,1600,1400,1600,1,0
20100526,1400,1560,1280,1480,16,0
20100527,1300,1460,1280,1380,17,0
20100528,1360,1360,1360,1360,0,0
20100601,1240,1360,1240,1360,0,0
20100604,1240,1300,1240,1300,1,0
20100607,1300,1300,1300,1300,0,0
20100608,1300,1300,1300,1300,1,0
20100609,1340,1340,1300,1320,1,0
20100610,1240,1240,1220,1220,1,0
20100611,1240,1320,1240,1300,3,0
20100615,1240,1320,1240,1320,1,0
20100617,1300,1320,1300,1320,2,0
20100622,1240,1320,1200,1320,1,0
20100623,1280,1300,1280,1300,1,0
20100624,1200,1300,1200,1300,2,0
20100629,1280,1300,1140,1300,1,0
20100630,1280,1280,1160,1260,0,0
20100701,1280,1280,1080,1280,1,0
20100706,1080,1280,1080,1280,1,0
20100709,1200,1280,1200,1280,1,0
20100713,1100,1220,1040,1220,1,0
20100714,1100,1180,1080,1160,2,0
20100715,1060,1160,1060,1160,1,0
20100716,1260,1260,1240,1240,0,0
20100720,1200,1200,1200,1200,0,0
20100723,1200,1200,1040,1160,2,0
20100727,1160,1160,1160,1160,0,0
20100729,1160,1160,1160,1160,1,0
20100802,1020,1180,1020,1180,2,0
20100803,1140,1140,1140,1140,4,0
20100804,1040,1040,1040,1040,1,0
20100805,1100,1160,1100,1160,5,0
20100806,1160,1160,1040,1040,0,0
20100809,1040,1140,1040,1040,2,0
20100811,1040,1040,1040,1040,1,0
20100812,1160,1160,1160,1160,0,0
20100813,1160,1160,1160,1160,0,0
20100817,1100,1100,1100,1100,1,0
20100818,1100,1100,1020,1020,0,0
20100823,1160,1160,1020,1020,0,0
20100825,1020,1020,1020,1020,2,0
20100830,1160,1160,1160,1160,0,0
20100902,1020,1020,1020,1020,0,0
20100903,1040,1040,1040,1040,2,0
20100906,1140,1140,1140,1140,0,0
20100907,1020,1020,1020,1020,2,0
20100908,1140,1160,1140,1160,1,0
20100909,1240,1240,1160,1160,2,0
20100913,1160,1260,1160,1260,2,0
20100915,1160,1160,1160,1160,1,0
20100916,1260,1260,1260,1260,2,0
20100917,1260,1260,1260,1260,2,0
20100921,1280,1280,1280,1280,0,0
20100923,1380,1380,1380,1380,0,0
20100924,1180,1340,1160,1340,1,0
20100927,1340,1340,1340,1340,0,0
20100929,1380,1380,1380,1380,0,0
20100930,1160,1340,1160,1340,0,0
20101001,1260,1260,1260,1260,0,0
20101006,1020,1260,1020,1260,1,0
20101011,1040,1260,1040,1260,2,0
20101015,1240,1240,1240,1240,0,0
20101018,1240,1240,1220,1220,1,0
20101019,1140,1200,1000,1060,5,0
20101020,1060,1120,980,1060,17,0
20101021,1020,1040,980,980,7,0
20101022,1040,1060,1000,1000,3,0
20101026,1060,1060,1040,1040,10,0
20101027,1060,1080,1000,1040,23,0
20101028,1020,1080,1000,1080,7,0
20101029,1080,1080,1020,1080,2,0
20101102,1100,1100,1000,1060,8,0
20101103,1060,1100,1060,1080,16,0
20101104,1100,1100,1000,1040,17,0
20101105,1040,1100,1040,1100,19,0
20101108,1100,1100,1000,1100,8,0
20101109,1080,1100,1040,1100,10,0
20101110,1100,1160,1080,1080,12,0
20101112,1120,1120,1120,1120,2,0
20101115,1140,1200,1080,1200,13,0
20101116,1160,1200,1160,1200,5,0
20101117,1120,1160,1120,1160,2,0
20101118,1180,1300,1180,1280,12,0
20101119,1260,1400,1260,1300,29,0
20101122,1400,1460,1260,1460,27,0
20101123,1440,1480,1240,1340,8,0
20101125,1220,1220,1200,1200,7,0
20101126,1180,1300,1180,1300,7,0
20101129,1240,1240,1220,1220,5,0
20101130,1200,1200,1180,1180,4,0
20101201,1180,1180,1160,1160,2,0
20101202,1220,1260,1140,1260,12,0
20101203,1260,1260,1260,1260,0,0
20101206,1260,1260,1200,1200,0,0
20101207,1200,1200,1180,1200,5,0
20101208,1160,1160,1160,1160,2,0
20101210,1160,1160,1160,1160,1,0
20101213,1160,1160,1160,1160,3,0
20101214,1160,1200,1140,1200,5,0
20101215,1200,1260,1100,1240,28,0
20101216,1280,1500,1280,1340,140,0
20101217,1460,1500,1380,1480,15,0
20101220,1480,1480,1320,1320,0,0
20101221,1480,1500,1480,1500,7,0
20101222,1500,1500,1300,1360,45,0
20101223,1260,1280,1200,1280,24,0
20101228,1240,1240,1180,1200,6,0
20101229,1240,1260,1240,1260,2,0
20110103,1700,1800,1580,1800,331,0
20110104,1920,2300,1740,1740,831,0
20110105,1840,1840,1480,1580,177,0
