Date,Open,High,Low,Close,Volume,OpenInt
20080813,16.433,16.433,15.502,16.269,570,0
20080814,16.214,16.214,16.214,16.214,2,0
20080818,15.502,15.831,13.694,15.831,128,0
20080819,12.873,15.776,12.873,15.776,2,0
20080820,15.611,15.611,15.611,15.611,2,0
20080821,13.694,13.694,13.694,13.694,183,0
20080822,13.694,14.078,13.694,14.078,5,0
20080825,14.187,14.187,14.187,14.187,2,0
20080826,14.187,14.187,14.187,14.187,2,0
20080827,14.187,14.187,14.187,14.187,2,0
20080828,14.187,14.187,14.187,14.187,2,0
20080829,14.187,14.187,14.187,14.187,16,0
20080901,14.187,14.187,12.599,12.599,1645,0
20080902,14.187,14.187,14.187,14.187,0,0
20080903,14.187,14.187,14.187,14.187,0,0
20080904,14.187,14.187,14.187,14.187,0,0
20080905,14.187,14.187,14.187,14.187,2,0
20080908,14.078,14.078,14.078,14.078,2,0
20080909,13.694,13.694,13.694,13.694,18,0
20080910,14.078,14.078,14.078,14.078,2,0
20080911,14.187,14.187,14.187,14.187,2,0
20080912,12.325,12.599,12.325,12.599,131,0
20080915,13.804,13.804,13.804,13.804,2,0
20080916,13.804,13.804,12.051,12.051,24,0
20080918,12.051,12.051,12.051,12.051,16,0
20080919,13.749,13.749,13.749,13.749,2,0
20080922,11.996,11.996,11.01,11.613,539,0
20080923,11.01,11.01,10.408,10.408,372,0
20080925,10.955,10.955,10.955,10.955,9,0
20080926,10.955,10.955,10.955,10.955,2,0
20080929,10.955,10.955,10.955,10.955,2,0
20080930,10.955,10.955,10.955,10.955,2,0
20081001,11.996,11.996,11.996,11.996,20,0
20081002,11.996,11.996,11.996,11.996,18,0
20081003,11.996,11.996,11.996,11.996,18,0
20081006,11.996,11.996,11.996,11.996,18,0
20081007,11.996,11.996,11.996,11.996,5,0
20081008,11.777,11.777,11.777,11.777,18,0
20081009,11.722,11.722,11.722,11.722,9,0
20081010,11.668,14.242,11.668,11.777,206,0
20081013,14.242,14.242,12.599,12.599,314,0
20081014,13.146,13.146,13.146,13.146,4,0
20081015,14.242,14.242,10.955,13.968,31,0
20081016,13.968,13.968,13.968,13.968,4,0
20081017,11.503,13.968,11.503,13.968,434,0
20081020,13.968,13.968,13.968,13.968,4,0
20081021,13.968,13.968,13.968,13.968,22,0
20081022,13.968,13.968,13.968,13.968,4,0
20081023,11.229,13.968,11.229,13.968,628,0
20081024,13.968,13.968,11.175,11.175,60,0
20081027,13.366,13.366,13.366,13.366,9,0
20081028,13.146,13.146,11.503,11.503,555,0
20081029,12.325,12.325,10.791,10.955,119,0
20081030,11.229,11.229,11.229,11.229,11,0
20081031,11.229,11.229,10.955,10.955,287,0
20081103,11.229,11.229,11.229,11.229,4,0
20081104,10.955,10.955,10.955,10.955,5,0
20081105,10.955,10.955,10.955,10.955,5,0
20081106,10.955,10.955,10.955,10.955,5,0
20081107,10.955,10.955,10.955,10.955,5,0
20081110,10.955,10.955,10.955,10.955,5,0
20081112,10.955,10.955,10.955,10.955,4,0
20081113,10.955,10.955,10.955,10.955,5,0
20081114,10.682,10.682,10.682,10.682,4,0
20081117,10.682,10.682,9.586,9.586,358,0
20081118,10.408,10.408,10.408,10.408,9,0
20081119,10.408,10.408,10.408,10.408,9,0
20081120,10.408,10.408,10.408,10.408,5,0
20081121,10.353,10.408,10.353,10.408,15,0
20081124,10.955,10.955,10.955,10.955,4,0
20081125,10.955,10.955,10.955,10.955,5,0
20081126,10.955,10.955,10.955,10.955,5,0
20081127,10.955,10.955,10.955,10.955,4,0
20081128,10.955,10.955,10.955,10.955,5,0
20081201,10.955,10.955,10.955,10.955,0,0
20081202,10.955,10.955,9.915,9.915,168,0
20081203,10.955,10.955,10.955,10.955,4,0
20081204,10.955,10.955,10.955,10.955,5,0
20081205,10.955,10.955,10.955,10.955,4,0
20081209,11.996,11.996,11.996,11.996,4,0
20081211,10.955,10.955,10.955,10.955,5,0
20081212,10.955,10.955,10.955,10.955,9,0
20081215,10.955,10.955,10.955,10.955,5,0
20081216,10.955,10.955,10.955,10.955,7,0
20081217,10.955,10.955,10.955,10.955,15,0
20081218,13.146,13.146,13.146,13.146,4,0
20081219,12.873,12.873,9.86,9.86,190,0
20081222,11.832,11.832,11.832,11.832,7,0
20081223,12.051,12.051,12.051,12.051,7,0
20081229,12.051,12.051,12.051,12.051,5,0
20081230,11.996,11.996,11.996,11.996,9,0
20081231,11.996,11.996,11.996,11.996,4,0
20090105,13.146,13.146,13.146,13.146,5,0
20090106,13.037,13.037,13.037,13.037,4,0
20090107,12.982,12.982,12.982,12.982,9,0
20090108,12.927,12.927,12.927,12.927,5,0
20090109,12.873,12.873,12.873,12.873,5,0
20090112,12.818,12.818,12.818,12.818,4,0
20090113,12.544,12.544,12.544,12.544,5,0
20090114,11.613,11.613,11.613,11.613,4,0
20090115,11.613,11.613,11.613,11.613,4,0
20090116,11.613,11.613,11.613,11.613,4,0
20090119,11.613,11.613,11.613,11.613,4,0
20090120,11.558,11.558,11.558,11.558,4,0
20090121,11.613,11.613,11.613,11.613,5,0
20090122,11.613,11.613,11.613,11.613,5,0
20090123,10.955,10.955,10.955,10.955,4,0
20090126,10.955,10.955,10.955,10.955,4,0
20090127,10.955,10.955,10.955,10.955,4,0
20090128,10.955,10.955,8.2166,10.408,982,0
20090129,10.408,10.408,7.7236,7.7236,716,0
20090130,8.2166,8.2166,8.2166,8.2166,5,0
20090202,8.2166,8.2166,8.2166,8.2166,0,0
20090203,8.2166,8.2166,8.2166,8.2166,4,0
20090204,8.2166,8.2166,8.2166,8.2166,5,0
20090205,8.2166,8.2166,8.2166,8.2166,5,0
20090206,8.2166,8.2166,8.2166,8.2166,4,0
20090209,8.2166,8.2166,8.2166,8.2166,5,0
20090210,8.2166,8.2166,8.2166,8.2166,4,0
20090211,8.2166,8.2166,8.2166,8.2166,5,0
20090212,8.2166,8.2166,8.2166,8.2166,7,0
20090213,8.2166,8.2166,8.2166,8.2166,11,0
20090216,8.2166,8.2166,7.4497,7.4497,77,0
20090217,8.2166,8.2166,8.2166,8.2166,5,0
20090218,8.2166,8.2166,8.2166,8.2166,7,0
20090219,8.2166,8.2166,8.2166,8.2166,7,0
20090220,8.7643,8.7643,8.7643,8.7643,0,0
20090223,8.7643,8.7643,8.7643,8.7643,5,0
20090224,8.7643,8.7643,8.7643,8.7643,7,0
20090225,8.7643,8.7643,8.7643,8.7643,5,0
20090226,8.7643,8.7643,8.7643,8.7643,7,0
20090227,8.7643,8.7643,8.7643,8.7643,42,0
20090302,8.7643,8.7643,8.4904,8.7643,3857,0
20090303,7.4497,7.4497,7.3949,7.3949,356,0
20090306,6.3541,6.3541,6.3541,6.3541,590,0
20090310,8.0522,8.0522,5.4777,5.4777,495,0
20090311,5.4777,5.4777,5.4777,5.4777,4,0
20090312,5.4777,5.4777,5.4777,5.4777,5,0
20090313,5.4777,5.4777,5.4777,5.4777,0,0
20090316,5.4777,5.4777,5.4777,5.4777,9,0
20090317,5.4777,5.4777,5.4777,5.4777,5,0
20090318,5.4777,5.4777,5.4777,5.4777,5,0
20090319,5.4777,5.4777,5.4777,5.4777,7,0
20090320,5.4777,5.4777,5.4777,5.4777,7,0
20090323,5.4777,5.4777,5.4777,5.4777,0,0
20090324,5.4777,5.4777,5.4777,5.4777,7,0
20090325,5.4777,5.4777,5.4777,5.4777,5,0
20090326,5.4777,5.4777,5.4777,5.4777,7,0
20090327,5.4777,5.4777,5.4777,5.4777,7,0
20090331,5.4777,5.4777,5.4777,5.4777,5,0
20090402,6.5732,6.8471,5.3682,5.3682,369,0
20090403,6.4089,6.4089,6.4089,6.4089,7,0
20090406,6.5732,6.5732,6.5732,6.5732,2,0
20090409,7.6688,7.6688,7.6688,7.6688,5,0
20090414,7.614,7.614,7.614,7.614,7,0
20090415,7.614,7.614,6.135,6.135,15,0
20090416,6.135,6.135,5.4777,5.4777,8724,0
20090417,6.5732,6.5732,5.4777,5.7516,926,0
20090420,5.7516,5.7516,5.7516,5.7516,7,0
20090421,5.9707,5.9707,5.9707,5.9707,7,0
20090422,5.9707,5.9707,5.9707,5.9707,7,0
20090423,5.9707,5.9707,5.9707,5.9707,5,0
20090424,5.9707,5.9707,5.9707,5.9707,7,0
20090427,5.8611,5.8611,5.8611,5.8611,7,0
20090428,5.8611,5.8611,5.8611,5.8611,5,0
20090429,5.7516,5.7516,4.9299,4.9299,480,0
20090430,5.7516,5.7516,4.9299,4.9299,433,0
20090504,5.4777,5.4777,5.4777,5.4777,5,0
20090506,5.7516,5.7516,4.9299,4.9299,2014,0
20090507,5.4229,5.4229,4.9299,4.9299,190,0
20090508,5.3134,5.3134,5.3134,5.3134,301,0
20090511,5.642,5.6968,5.2038,5.2038,1628,0
20090512,5.2038,5.2038,5.2038,5.2038,7,0
20090513,5.2038,5.2038,4.7108,4.7108,42,0
20090514,5.2038,5.2038,5.2038,5.2038,7,0
20090515,5.2038,5.2038,5.2038,5.2038,7,0
20090518,5.4777,5.8064,5.4777,5.8064,110,0
20090519,5.2038,5.2038,5.2038,5.2038,7,0
20090520,5.2038,5.2038,5.2038,5.2038,5,0
20090521,5.2038,5.2038,4.7108,4.7108,155,0
20090522,5.2038,5.2038,4.7108,4.7108,183,0
20090525,5.4777,5.4777,5.4777,5.4777,7,0
20090526,5.4777,5.4777,4.1083,4.1083,2315,0
20090527,4.9299,4.9299,4.9299,4.9299,5,0
