Date,Open,High,Low,Close,Volume,OpenInt
20080228,6.66,7.2,5.7,5.73,285926,0
20080229,5.73,5.85,4.65,5.46,40504,0
20080303,5.34,5.4,4.89,5.4,16258,0
20080304,5.46,5.85,5.19,5.52,6848,0
20080305,5.79,5.79,5.28,5.4,2980,0
20080306,5.46,5.46,5.25,5.25,1006,0
20080307,5.34,5.34,4.98,5.31,1306,0
20080310,5.04,5.07,4.89,4.92,7564,0
20080311,4.74,5.28,4.56,5.28,15324,0
20080312,5.19,5.55,5.13,5.4,16324,0
20080313,5.22,5.37,4.95,5.37,15030,0
20080314,5.31,5.31,5.1,5.28,490,0
20080317,5.28,5.28,4.95,5.04,1358,0
20080318,4.83,5.13,4.83,4.92,1304,0
20080319,4.86,5.1,4.8,5.1,4704,0
20080320,5.1,5.22,5.1,5.19,1018,0
20080325,5.25,5.52,4.98,5.31,2304,0
20080326,5.31,5.31,5.31,5.31,4,0
20080327,4.98,5.19,4.8,4.8,17152,0
20080328,4.8,4.95,4.8,4.83,3522,0
20080331,4.89,4.89,4.5,4.71,11688,0
20080401,4.59,4.71,4.5,4.5,5972,0
20080402,4.68,4.68,4.5,4.59,3750,0
20080403,4.65,4.71,4.62,4.71,1822,0
20080404,4.65,4.71,4.65,4.71,280,0
20080407,4.62,4.68,4.59,4.59,1288,0
20080408,4.68,4.68,4.38,4.38,404,0
20080409,4.59,4.59,4.23,4.23,2166,0
20080410,4.11,4.26,4.05,4.26,2226,0
20080411,4.11,4.17,4.05,4.17,1094,0
20080414,4.2,4.2,4.2,4.2,834,0
20080415,3.87,5.1,3.87,5.1,5314,0
20080416,4.29,4.74,4.29,4.74,114,0
20080417,4.41,4.65,4.29,4.65,2482,0
20080418,4.53,4.71,4.38,4.38,1378,0
20080421,4.38,4.59,4.23,4.23,1412,0
20080422,4.62,4.62,3.99,4.35,1518,0
20080423,4.17,4.17,4.17,4.17,2,0
20080424,4.35,4.35,4.02,4.02,272,0
20080425,4.29,4.29,4.02,4.2,810,0
20080428,4.02,4.17,4.02,4.02,674,0
20080429,4.02,4.17,4.02,4.17,12,0
20080430,4.14,4.14,3.75,4.14,412,0
20080505,4.2,4.2,3.9,4.14,768,0
20080506,4.05,4.26,3.69,4.23,2564,0
20080507,3.81,4.05,3.81,4.02,3944,0
20080508,3.93,4.08,3.78,3.78,276,0
20080509,3.81,4.08,3.78,4.08,594,0
20080512,3.78,4.02,3.72,3.78,1348,0
20080513,3.96,4.14,3.6,3.87,9530,0
20080514,3.66,3.9,3.24,3.66,1686,0
20080515,3.6,3.84,3.39,3.57,2114,0
20080516,3.57,3.75,3.33,3.75,8410,0
20080519,3.42,3.72,3.33,3.51,1788,0
20080520,3.69,3.69,3.45,3.6,420,0
20080521,3.42,3.42,3.36,3.42,658,0
20080526,3.3,3.3,3.03,3.03,290,0
20080527,3.54,3.54,3.03,3.45,22,0
20080528,3.51,3.51,3.15,3.21,960,0
20080529,3.39,3.75,3.36,3.6,5618,0
20080530,3.75,3.84,3.51,3.84,2086,0
20080602,3.93,3.93,3.51,3.78,1128,0
20080603,3.51,3.54,3.33,3.51,1360,0
20080605,3.3,3.51,3.24,3.39,2130,0
20080606,3.3,3.39,3.21,3.21,1216,0
20080609,3.21,3.45,3.21,3.45,1152,0
20080610,3.33,3.33,3.33,3.33,410,0
20080611,3.24,3.33,3.06,3.33,2128,0
20080612,3.39,3.39,3.39,3.39,66,0
20080616,3.39,3.39,3.39,3.39,266,0
20080617,3.39,3.42,3.39,3.42,220,0
20080619,3.3,3.3,3.3,3.3,266,0
