Date,Open,High,Low,Close,Volume,OpenInt
20120104,0.7696,1.0996,0.7614,0.9051,125234,0
20120105,0.8712,0.8712,0.7867,0.8374,12868,0
20120109,0.8036,0.8458,0.7614,0.8458,15173,0
20120110,0.7952,0.8458,0.7952,0.829,2144,0
20120111,0.8374,0.8374,0.8036,0.8374,3354,0
20120112,0.8374,0.8458,0.8036,0.8458,2771,0
20120113,0.8374,0.8374,0.8374,0.8374,1,0
20120116,0.7614,0.8374,0.6767,0.8374,12761,0
20120117,0.8458,0.8458,0.7614,0.8458,7235,0
20120118,0.7275,0.7952,0.719,0.7952,8660,0
20120119,0.7275,0.7952,0.719,0.7952,4785,0
20120120,0.7952,0.7952,0.7952,0.7952,23,0
20120123,0.7952,0.8206,0.7781,0.8206,6954,0
20120124,0.8206,0.8206,0.8036,0.8206,8653,0
20120125,0.8374,0.8374,0.7614,0.7867,6956,0
20120126,0.7867,0.8628,0.7867,0.8628,17179,0
20120127,0.8543,0.8712,0.8458,0.8628,6083,0
20120130,0.8628,0.8712,0.8628,0.8712,7246,0
20120131,0.8712,0.8712,0.8458,0.8458,1562,0
20120201,0.8712,0.8712,0.8458,0.8458,23,0
20120202,0.8458,0.8458,0.7952,0.8036,6301,0
20120203,0.8036,0.8036,0.8036,0.8036,23,0
20120206,0.8036,0.8036,0.8036,0.8036,23,0
20120207,0.8036,0.8036,0.7867,0.8036,4371,0
20120208,0.8036,0.8036,0.7614,0.8036,1797,0
20120209,0.8036,0.8458,0.7952,0.8458,78593,0
20120210,0.829,0.9051,0.829,0.8458,9906,0
20120213,0.9304,0.9304,0.9304,0.9304,13,0
20120214,0.9304,0.9304,0.922,0.922,129,0
20120215,0.9304,1.1166,0.9304,1.1166,12203,0
20120216,1.1166,1.1166,1.0996,1.0996,271,0
20120217,1.0996,1.2264,1.0996,1.2264,4090,0
20120220,1.3111,1.3111,1.3111,1.3111,175,0
20120221,1.3111,1.3111,1.2264,1.2689,5387,0
20120222,1.3026,1.3111,1.2773,1.3111,1264,0
20120223,1.3111,1.3111,1.3111,1.3111,279,0
20120224,1.3111,1.438,1.3111,1.438,11042,0
20120227,1.438,1.438,1.438,1.438,118,0
20120228,1.5902,1.5902,1.438,1.438,1337,0
20120229,1.438,1.438,1.438,1.438,23,0
20120301,1.4465,1.4804,1.4465,1.4465,1113,0
20120302,1.4549,1.4549,1.421,1.421,5916,0
20120305,1.3957,1.3957,1.3957,1.3957,23,0
20120307,1.3957,1.3957,1.3534,1.3534,4350,0
20120313,1.3534,1.3534,1.3534,1.3534,11,0
20120315,1.345,1.345,1.328,1.328,23,0
20120316,1.328,1.328,1.328,1.328,106,0
20120319,1.3195,1.3195,1.3111,1.3111,12,0
20120320,1.3111,1.3111,1.3111,1.3111,23,0
20120321,1.3111,1.3111,1.3111,1.3111,23,0
20120322,1.3111,1.3111,1.3111,1.3111,23,0
20120323,1.2181,1.2181,1.2181,1.2181,543,0
20120328,1.2604,1.2604,1.2604,1.2604,35,0
20120329,1.2604,1.2604,1.2604,1.2604,11,0
20120405,1.2604,1.2604,1.2604,1.2604,1774,0
20120413,1.2604,1.2604,1.2604,1.2604,449,0
20120416,1.2604,1.2604,1.2604,1.2604,4,0
20120420,1.1843,1.1843,1.1843,1.1843,118,0
20120424,1.2604,1.2604,1.2604,1.2604,456,0
20120425,1.1758,1.1758,1.1758,1.1758,245,0
20120426,1.1758,1.1758,1.1758,1.1758,20,0
20120430,1.1758,1.1758,1.1758,1.1758,107,0
20120508,1.1758,1.1758,1.1758,1.1758,2217,0
20120509,1.0996,1.0996,1.0151,1.0151,4752,0
20120510,1.0151,1.1758,1.0151,1.1758,5216,0
20120511,1.1758,1.1758,1.1758,1.1758,4362,0
20120514,1.1758,1.1758,1.1758,1.1758,2,0
20120515,1.1758,1.1758,1.1758,1.1758,2,0
20120516,1.1758,1.1758,1.0996,1.0996,6273,0
20120518,1.1419,1.1758,1.1419,1.1758,12851,0
20120521,1.1758,1.1758,1.1758,1.1758,7,0
20120522,1.1758,1.1758,1.1334,1.1334,1464,0
20120523,1.1758,1.1758,1.1758,1.1758,1,0
20120524,1.0489,1.0489,1.0489,1.0489,2360,0
20120604,1.0489,1.1758,1.0489,1.1758,11363,0
20120605,1.1334,1.1334,1.1334,1.1334,1004,0
20120615,1.1419,1.1419,1.1419,1.1419,2192,0
20120618,1.1419,1.1419,1.1419,1.1419,118,0
20120619,1.1419,1.1419,1.1419,1.1419,2192,0
20120625,1.1673,1.1673,1.0573,1.0573,4876,0
20120626,1.0489,1.0489,1.0489,1.0489,1,0
20120627,0.9728,0.9728,0.9728,0.9728,324,0
20120628,1.0489,1.0489,1.0489,1.0489,14195,0
20120629,1.0489,1.0489,1.0066,1.0066,2595,0
20120703,1.0489,1.0658,1.0489,1.0658,48038,0
20120704,1.0658,1.0658,1.0658,1.0658,1,0
20120710,1.0151,1.0151,1.0151,1.0151,119,0
20120711,1.0151,1.0151,1.0151,1.0151,2,0
20120712,1.0151,1.0151,1.0151,1.0151,2,0
