Date,Open,High,Low,Close,Volume,OpenInt
19941012,12.17,12.17,12.17,12.17,22550,0
19941013,12.17,12.17,12.17,12.17,24100,0
19941014,12.17,12.17,12.17,12.17,20296,0
19941017,12.638,12.638,12.638,12.638,28864,0
19941018,13.855,13.855,13.855,13.855,37644,0
19941019,15.166,15.166,15.166,15.166,33728,0
19941020,15.821,15.821,15.821,15.821,53549,0
19941021,16.008,16.008,16.008,16.008,29669,0
19941024,15.915,15.915,15.915,15.915,20392,0
19941025,15.447,15.447,15.447,15.447,7854,0
19941026,14.978,14.978,14.978,14.978,12118,0
19941027,14.51,14.51,14.51,14.51,4493,0
19941028,14.51,14.51,14.51,14.51,16865,0
19941102,14.791,14.791,14.791,14.791,15083,0
19941103,14.791,14.791,14.791,14.791,42714,0
19941104,13.574,13.574,13.574,13.574,13931,0
19941107,13.949,13.949,13.949,13.949,21906,0
19941108,13.855,13.855,13.855,13.855,19690,0
19941109,13.668,13.668,13.668,13.668,12522,0
19941110,13.668,13.668,13.668,13.668,9072,0
19941114,13.668,13.668,13.668,13.668,7891,0
19941115,13.2,13.2,13.2,13.2,9163,0
19941116,13.2,13.2,13.2,13.2,10674,0
19941117,13.48,13.48,13.48,13.48,5779,0
19941118,13.387,13.387,13.387,13.387,8822,0
19941121,13.293,13.293,13.293,13.293,5541,0
19941122,12.731,12.731,12.731,12.731,10019,0
19941123,12.544,12.544,12.544,12.544,16405,0
19941124,12.076,12.076,12.076,12.076,12156,0
19941125,10.953,10.953,10.953,10.953,13878,0
19941128,11.982,11.982,11.982,11.982,11608,0
19941129,13.106,13.106,13.106,13.106,8798,0
19941130,14.417,14.417,14.417,14.417,9670,0
19941201,15.166,15.166,15.166,15.166,16578,0
19941202,14.978,14.978,14.978,14.978,23835,0
19941205,13.574,13.574,13.574,13.574,2874,0
19941206,14.791,14.791,14.791,14.791,26096,0
19941207,13.387,13.387,13.387,13.387,8087,0
19941208,12.076,12.076,12.076,12.076,21634,0
19941209,11.795,11.795,11.795,11.795,5515,0
19941212,12.825,12.825,12.825,12.825,20748,0
19941213,12.17,12.17,12.17,12.17,9735,0
19941214,11.795,11.795,11.795,11.795,1550,0
19941215,12.357,12.357,12.357,12.357,5471,0
19941216,12.638,12.638,12.638,12.638,6729,0
19941219,12.731,12.731,12.731,12.731,17146,0
19941220,12.263,12.263,12.263,12.263,5684,0
19941221,12.263,12.263,12.263,12.263,16098,0
19941222,12.263,12.263,12.263,12.263,6903,0
19941223,12.263,12.263,12.263,12.263,18465,0
19941227,12.544,12.544,12.544,12.544,11053,0
19941228,12.076,12.076,12.076,12.076,5019,0
19941229,12.357,12.357,12.357,12.357,6972,0
19950102,12.638,12.638,12.638,12.638,13729,0
19950103,13.855,13.855,13.855,13.855,47276,0
19950104,13.2,13.2,13.2,13.2,13977,0
19950105,13.293,13.293,13.293,13.293,19670,0
19950106,12.263,12.263,12.263,12.263,8440,0
19950109,12.638,12.638,12.638,12.638,16220,0
19950110,12.638,12.638,12.638,12.638,11791,0
19950111,12.638,12.638,12.638,12.638,2570,0
19950112,12.638,12.638,12.638,12.638,11987,0
19950113,12.919,12.919,12.919,12.919,10606,0
19950116,13.012,13.012,13.012,13.012,8991,0
19950117,12.17,12.17,12.17,12.17,3370,0
19950118,12.076,12.076,12.076,12.076,22150,0
19950119,12.17,12.17,12.17,12.17,7107,0
19950120,11.795,11.795,11.795,11.795,2925,0
19950123,11.327,11.327,11.327,11.327,4636,0
19950124,11.046,11.046,11.046,11.046,7243,0
19950125,11.046,11.046,11.046,11.046,12447,0
19950126,10.484,10.484,10.484,10.484,7821,0
19950127,10.672,10.672,10.672,10.672,9792,0
19950130,10.672,10.672,10.672,10.672,10730,0
19950131,10.484,10.484,10.484,10.484,8203,0
19950201,10.86,10.86,10.86,10.86,4602,0
19950202,9.924,9.924,9.924,9.924,6903,0
19950203,9.4546,9.4546,9.4546,9.4546,13219,0
19950206,10.391,10.391,10.391,10.391,23096,0
19950207,11.421,11.421,11.421,11.421,34978,0
19950208,10.484,10.484,10.484,10.484,10395,0
19950209,10.953,10.953,10.953,10.953,11777,0
19950210,10.391,10.391,10.391,10.391,7457,0
19950213,10.111,10.111,10.111,10.111,15232,0
19950214,10.672,10.672,10.672,10.672,13727,0
19950215,10.672,10.672,10.672,10.672,11900,0
19950216,10.86,10.86,10.86,10.86,13812,0
19950217,10.766,10.766,10.766,10.766,4042,0
19950220,10.672,10.672,10.672,10.672,6840,0
19950221,9.642,9.642,9.642,9.642,27534,0
19950222,9.924,9.924,9.924,9.924,5088,0
19950223,10.017,10.017,10.017,10.017,7488,0
19950224,10.953,10.953,10.953,10.953,33964,0
19950227,10.484,10.484,10.484,10.484,7582,0
19950228,10.111,10.111,10.111,10.111,594,0
19950301,10.111,10.111,10.111,10.111,2373,0
19950302,10.297,10.297,10.297,10.297,1115,0
19950303,10.672,10.672,10.672,10.672,6794,0
19950306,10.578,10.578,10.578,10.578,4538,0
19950307,10.484,10.484,10.484,10.484,1049,0
19950308,10.484,10.484,10.484,10.484,8393,0
19950309,10.484,10.484,10.484,10.484,2004,0
19950310,10.111,10.111,10.111,10.111,2770,0
19950313,10.204,10.204,10.204,10.204,2057,0
19950314,9.83,9.83,9.83,9.83,2136,0
19950315,10.017,10.017,10.017,10.017,999,0
19950316,9.924,9.924,9.924,9.924,2216,0
19950317,9.735,9.735,9.735,9.735,2619,0
19950320,9.4546,9.4546,9.4546,9.4546,20941,0
19950321,9.3619,9.3619,9.3619,9.3619,5501,0
19950322,9.0807,9.0807,9.0807,9.0807,2533,0
19950323,8.8935,8.8935,8.8935,8.8935,8208,0
19950324,8.8935,8.8935,8.8935,8.8935,9838,0
19950327,9.1276,9.1276,9.1276,9.1276,12325,0
19950328,8.9404,8.9404,8.9404,8.9404,22762,0
19950329,8.9404,8.9404,8.9404,8.9404,7718,0
19950330,9.1743,9.1743,9.1743,9.1743,13135,0
19950331,9.4546,9.4546,9.4546,9.4546,19196,0
19950403,9.4546,9.4546,9.4546,9.4546,4653,0
19950404,9.735,9.735,9.735,9.735,19566,0
19950405,9.735,9.735,9.735,9.735,12993,0
19950406,10.204,10.204,10.204,10.204,25579,0
19950407,10.297,10.297,10.297,10.297,10681,0
19950410,10.953,10.953,10.953,10.953,18944,0
19950411,10.672,10.672,10.672,10.672,4685,0
19950412,10.297,10.297,10.297,10.297,7769,0
19950413,10.111,10.111,10.111,10.111,29622,0
19950414,10.391,10.391,10.391,10.391,11356,0
19950418,10.953,10.953,10.953,10.953,30996,0
19950419,11.795,11.795,11.795,11.795,23780,0
19950420,10.672,10.672,10.672,10.672,10914,0
19950421,11.046,11.046,11.046,11.046,21907,0
19950424,11.233,11.233,11.233,11.233,8991,0
19950425,11.515,11.515,11.515,11.515,22753,0
19950426,11.046,11.046,11.046,11.046,11406,0
19950427,11.233,11.233,11.233,11.233,16646,0
19950428,10.86,10.86,10.86,10.86,6217,0
19950504,10.86,10.86,10.86,10.86,5479,0
19950505,10.766,10.766,10.766,10.766,11843,0
19950509,10.766,10.766,10.766,10.766,7850,0
19950510,11.14,11.14,11.14,11.14,14003,0
19950511,11.795,11.795,11.795,11.795,44295,0
19950512,12.357,12.357,12.357,12.357,45317,0
19950515,12.357,12.357,12.357,12.357,76311,0
19950516,12.076,12.076,12.076,12.076,15775,0
19950517,12.076,12.076,12.076,12.076,21985,0
19950518,11.14,11.14,11.14,11.14,4625,0
19950519,10.578,10.578,10.578,10.578,8838,0
19950522,10.204,10.204,10.204,10.204,12201,0
19950523,9.2682,9.2682,9.2682,9.2682,9387,0
19950524,10.111,10.111,10.111,10.111,8753,0
19950525,10.111,10.111,10.111,10.111,16073,0
19950526,9.83,9.83,9.83,9.83,10377,0
19950529,10.297,10.297,10.297,10.297,9031,0
19950530,9.4546,9.4546,9.4546,9.4546,9570,0
19950531,9.548,9.548,9.548,9.548,10996,0
19950601,9.3619,9.3619,9.3619,9.3619,2244,0
19950602,9.548,9.548,9.548,9.548,4241,0
19950605,9.642,9.642,9.642,9.642,5444,0
19950606,9.642,9.642,9.642,9.642,26912,0
19950607,10.111,10.111,10.111,10.111,17062,0
19950608,9.924,9.924,9.924,9.924,14411,0
19950609,9.924,9.924,9.924,9.924,4080,0
19950612,9.83,9.83,9.83,9.83,4425,0
19950613,9.3619,9.3619,9.3619,9.3619,2511,0
19950614,9.548,9.548,9.548,9.548,8745,0
19950616,9.548,9.548,9.548,9.548,2880,0
19950619,9.548,9.548,9.548,9.548,5393,0
19950620,9.548,9.548,9.548,9.548,9688,0
19950621,9.83,9.83,9.83,9.83,7680,0
19950622,9.642,9.642,9.642,9.642,4510,0
19950623,9.735,9.735,9.735,9.735,3955,0
