Date,Open,High,Low,Close,Volume,OpenInt
19940125,54.715,54.715,54.715,54.715,400653,0
19940127,54.715,54.715,54.715,54.715,551912,0
19940131,49.243,49.243,49.243,49.243,0,0
19940201,44.339,44.339,44.339,44.339,0,0
19940203,39.921,39.921,39.921,39.921,221284,0
19940207,36.476,36.476,36.476,36.476,709441,0
19940208,40.124,40.124,40.124,40.124,259863,0
19940210,40.124,40.124,40.124,40.124,698818,0
19940214,38.097,38.097,38.097,38.097,612825,0
19940215,37.286,37.286,37.286,37.286,589652,0
19940217,37.286,37.286,37.286,37.286,869735,0
19940221,34.045,34.045,34.045,34.045,859928,0
19940222,37.449,37.449,37.449,37.449,228039,0
19940224,41.177,41.177,41.177,41.177,586457,0
19940228,43.772,43.772,43.772,43.772,609376,0
19940301,43.731,43.731,43.731,43.731,204348,0
19940303,43.367,43.367,43.367,43.367,302892,0
19940307,41.177,41.177,41.177,41.177,464718,0
19940308,40.529,40.529,40.529,40.529,452905,0
19940310,40.488,40.488,40.488,40.488,463913,0
19940314,38.908,38.908,38.908,38.908,455694,0
19940315,38.502,38.502,38.502,38.502,395794,0
19940317,39.719,39.719,39.719,39.719,536672,0
19940321,38.502,38.502,38.502,38.502,340192,0
19940322,34.693,34.693,34.693,34.693,313074,0
19940324,36.841,36.841,36.841,36.841,435330,0
19940328,34.491,34.491,34.491,34.491,302021,0
19940329,31.045,31.045,31.045,31.045,259863,0
19940331,28.533,28.533,28.533,28.533,505918,0
19940405,30.802,30.802,30.802,30.802,372996,0
19940407,32.019,32.019,32.019,32.019,367541,0
19940408,29.991,29.991,29.991,29.991,195005,0
19940411,26.993,26.993,26.993,26.993,240138,0
19940412,24.318,24.318,24.318,24.318,0,0
19940414,24.318,24.318,24.318,24.318,286727,0
19940418,25.938,25.938,25.938,25.938,363684,0
19940419,26.749,26.749,26.749,26.749,400940,0
19940421,32.099,32.099,32.099,32.099,424289,0
19940425,32.019,32.019,32.019,32.019,371519,0
19940426,28.817,28.817,28.817,28.817,0,0
19940428,25.938,25.938,25.938,25.938,217494,0
19940505,27.965,27.965,27.965,27.965,405678,0
19940506,25.169,25.169,25.169,25.169,369415,0
19940509,25.533,25.533,25.533,25.533,324809,0
19940510,25.129,25.129,25.129,25.129,264126,0
19940512,25.615,25.615,25.615,25.615,424708,0
19940516,26.791,26.791,26.791,26.791,321073,0
19940517,26.791,26.791,26.791,26.791,360147,0
19940519,26.668,26.668,26.668,26.668,266034,0
19940523,26.749,26.749,26.749,26.749,325581,0
19940524,26.749,26.749,26.749,26.749,381887,0
19940526,26.263,26.263,26.263,26.263,498326,0
19940530,23.669,23.669,23.669,23.669,455671,0
19940531,24.115,24.115,24.115,24.115,333988,0
19940601,22.291,22.291,22.291,22.291,205637,0
19940606,21.076,21.076,21.076,21.076,326792,0
19940607,18.968,18.968,18.968,18.968,350109,0
19940609,17.832,17.832,17.832,17.832,509798,0
19940613,16.051,16.051,16.051,16.051,365018,0
19940614,14.469,14.469,14.469,14.469,754146,0
19940616,15.888,15.888,15.888,15.888,834232,0
19940620,14.631,14.631,14.631,14.631,572606,0
19940621,13.456,13.456,13.456,13.456,351432,0
19940623,13.051,13.051,13.051,13.051,625508,0
19940627,14.347,14.347,14.347,14.347,242243,0
19940628,14.995,14.995,14.995,14.995,266694,0
19940630,14.59,14.59,14.59,14.59,313889,0
