Date,Open,High,Low,Close,Volume,OpenInt
19990428,4.0503,4.0503,4.0503,4.0503,148424,0
19990429,3.6406,3.6406,3.6406,3.6406,44006,0
19990430,3.6406,3.6406,3.6406,3.6406,33109,0
19990504,4.0047,4.0047,4.0047,4.0047,19722,0
19990505,4.3688,4.3688,4.3688,4.3688,51962,0
19990506,4.6782,4.6782,4.6782,4.6782,69878,0
19990507,4.4961,4.4961,4.4961,4.4961,22877,0
19990510,4.2778,4.2778,4.2778,4.2778,18962,0
19990511,4.1413,4.1413,4.1413,4.1413,12052,0
19990512,4.3233,4.3233,4.3233,4.3233,4937,0
19990513,4.2323,4.2323,4.2323,4.2323,5331,0
19990514,4.2323,4.2323,4.2323,4.2323,2119,0
19990517,4.0503,4.0503,4.0503,4.0503,5248,0
19990518,4.1868,4.1868,4.1868,4.1868,9360,0
19990519,4.3233,4.3233,4.3233,4.3233,10532,0
19990520,4.3233,4.3233,4.3233,4.3233,2787,0
19990521,4.2323,4.2323,4.2323,4.2323,20557,0
19990524,4.3233,4.3233,4.3233,4.3233,7878,0
19990525,4.2323,4.2323,4.2323,4.2323,7521,0
19990526,4.1413,4.1413,4.1413,4.1413,7571,0
19990527,4.2323,4.2323,4.2323,4.2323,11221,0
19990528,4.1413,4.1413,4.1413,4.1413,6213,0
19990531,4.1868,4.1868,4.1868,4.1868,4679,0
19990601,4.2323,4.2323,4.2323,4.2323,3636,0
19990602,4.0959,4.0959,4.0959,4.0959,2766,0
19990607,4.1413,4.1413,4.1413,4.1413,7203,0
19990608,4.0503,4.0503,4.0503,4.0503,5264,0
19990609,4.0503,4.0503,4.0503,4.0503,4878,0
19990610,4.1413,4.1413,4.1413,4.1413,5550,0
19990611,4.1868,4.1868,4.1868,4.1868,2671,0
19990614,4.0503,4.0503,4.0503,4.0503,5535,0
19990615,4.1413,4.1413,4.1413,4.1413,9963,0
19990616,4.1413,4.1413,4.1413,4.1413,500,0
19990617,4.1413,4.1413,4.1413,4.1413,9653,0
19990618,4.1413,4.1413,4.1413,4.1413,4291,0
19990621,4.0503,4.0503,4.0503,4.0503,8552,0
19990622,4.1413,4.1413,4.1413,4.1413,100046,0
19990623,4.2323,4.2323,4.2323,4.2323,27607,0
19990624,4.4052,4.4052,4.4052,4.4052,54272,0
19990625,4.3233,4.3233,4.3233,4.3233,28402,0
19990628,4.1413,4.1413,4.1413,4.1413,13111,0
19990629,4.2323,4.2323,4.2323,4.2323,10782,0
19990630,4.4961,4.4961,4.4961,4.4961,60981,0
19990701,4.4961,4.4961,4.4961,4.4961,28703,0
19990702,4.3688,4.3688,4.3688,4.3688,17110,0
19990705,4.3688,4.3688,4.3688,4.3688,4245,0
19990706,4.3688,4.3688,4.3688,4.3688,8114,0
19990707,4.2323,4.2323,4.2323,4.2323,3794,0
19990708,4.3233,4.3233,4.3233,4.3233,3491,0
19990709,4.3233,4.3233,4.3233,4.3233,8299,0
19990712,4.3233,4.3233,4.3233,4.3233,12898,0
19990713,4.2778,4.2778,4.2778,4.2778,5854,0
19990714,4.2323,4.2323,4.2323,4.2323,2443,0
19990715,4.2778,4.2778,4.2778,4.2778,2111,0
19990716,4.2778,4.2778,4.2778,4.2778,4813,0
19990719,4.1413,4.1413,4.1413,4.1413,2352,0
19990720,4.2323,4.2323,4.2323,4.2323,1674,0
19990721,4.2778,4.2778,4.2778,4.2778,3499,0
19990722,4.1868,4.1868,4.1868,4.1868,1446,0
19990723,4.0959,4.0959,4.0959,4.0959,2021,0
19990726,4.0503,4.0503,4.0503,4.0503,9923,0
19990727,4.0503,4.0503,4.0503,4.0503,2063,0
19990728,4.0959,4.0959,4.0959,4.0959,7222,0
19990729,4.1868,4.1868,4.1868,4.1868,3334,0
19990730,4.1413,4.1413,4.1413,4.1413,4688,0
19990802,4.1868,4.1868,4.1868,4.1868,4176,0
19990803,4.1413,4.1413,4.1413,4.1413,1032,0
19990804,4.0503,4.0503,4.0503,4.0503,5779,0
19990805,4.1413,4.1413,4.1413,4.1413,7666,0
19990806,4.2323,4.2323,4.2323,4.2323,6742,0
19990809,4.2778,4.2778,4.2778,4.2778,6019,0
19990810,4.3233,4.3233,4.3233,4.3233,20583,0
19990811,4.2323,4.2323,4.2323,4.2323,5318,0
19990812,4.3233,4.3233,4.3233,4.3233,13232,0
19990813,4.4052,4.4052,4.4052,4.4052,14453,0
19990816,4.4961,4.4961,4.4961,4.4961,5646,0
19990817,4.3688,4.3688,4.3688,4.3688,6665,0
19990818,4.4052,4.4052,4.4052,4.4052,5554,0
19990819,4.3233,4.3233,4.3233,4.3233,3077,0
19990820,4.4052,4.4052,4.4052,4.4052,15795,0
19990823,4.4052,4.4052,4.4052,4.4052,5758,0
19990824,4.4052,4.4052,4.4052,4.4052,1665,0
19990825,4.4052,4.4052,4.4052,4.4052,1803,0
19990826,4.3233,4.3233,4.3233,4.3233,6279,0
19990827,4.3688,4.3688,4.3688,4.3688,288,0
19990830,4.3233,4.3233,4.3233,4.3233,3279,0
