Date,Open,High,Low,Close,Volume,OpenInt
20071108,6.2989,6.8411,6.1161,6.8349,75689,0
20071109,6.8915,7.3142,6.8349,7.0492,27753,0
20071112,6.6204,7.1816,6.4943,6.8034,6657,0
20071113,6.8095,6.8095,6.7779,6.7779,241,0
20071114,6.9357,6.9357,6.5573,6.7466,748,0
20071115,6.6834,6.6834,5.4854,5.6746,15232,0
20071116,5.4854,5.5486,5.3595,5.5361,12852,0
20071119,5.5486,5.7693,5.5171,5.7566,12840,0
20071120,5.7693,5.8766,5.618,5.6746,14918,0
20071121,5.6431,5.7882,5.3595,5.7566,6273,0
20071122,5.7693,5.7693,5.2082,5.227,21462,0
20071123,5.492,5.6746,5.3721,5.5486,17589,0
20071126,5.3658,5.3658,5.1766,5.1766,2153,0
20071127,5.1703,5.3404,4.6722,5.3404,9373,0
20071128,5.3469,6.1539,5.1703,6.1539,13674,0
20071129,6.2106,6.4881,6.2106,6.4187,7261,0
20071130,6.4312,6.8665,6.0593,6.6708,10439,0
20071203,6.6708,6.715,6.6708,6.715,2397,0
20071204,6.8095,6.8095,6.3053,6.6773,1587,0
20071205,6.6773,6.6773,6.6773,6.6773,938,0
20071206,6.6457,6.6834,6.3053,6.6773,7805,0
20071207,6.0907,6.6143,6.0907,6.3115,19679,0
20071210,6.4187,6.6834,6.4187,6.4691,8525,0
20071211,6.3745,6.6078,6.3745,6.6078,5199,0
20071212,6.5573,6.5573,6.4187,6.5573,2961,0
20071213,6.4943,6.4943,6.4943,6.4943,73,0
20071214,6.3115,6.5259,6.1917,6.5259,23040,0
20071217,6.3053,6.3053,6.1602,6.1791,3726,0
20071218,6.1791,6.3683,5.9963,6.2989,49025,0
20071219,6.1791,6.2926,5.9901,6.1854,87931,0
20071220,6.0215,6.0972,5.7378,6.0846,105639,0
20071221,5.8639,5.9901,5.681,5.9206,170738,0
20071227,6.2675,6.2675,5.9901,6.2548,8075,0
20071228,5.9016,6.1411,5.9016,6.1411,12642,0
20080102,6.2989,6.2989,5.9901,6.2863,478,0
20080103,6.3557,6.3619,6.1349,6.3053,2670,0
20080104,6.1791,6.3053,6.053,6.3053,11724,0
20080107,6.1161,6.2989,5.9963,6.1791,17756,0
20080108,5.9901,6.1664,5.927,6.1664,10979,0
20080109,5.927,5.9647,5.6746,5.9647,17999,0
20080110,5.9837,6.1664,5.7062,5.8954,10980,0
20080111,6.0277,6.0277,5.6116,5.6746,35315,0
20080114,5.6746,5.6746,5.328,5.4729,23677,0
20080115,5.3595,5.9773,5.2334,5.5486,14064,0
20080116,5.328,5.328,5.0442,5.2712,33400,0
20080117,5.6684,5.6684,5.1703,5.5046,13199,0
20080118,5.2712,5.4854,5.1703,5.416,9677,0
20080121,5.4225,5.6746,5.3595,5.6746,48904,0
20080122,5.4225,5.9584,5.3595,5.9584,59344,0
20080123,5.9901,6.1791,5.927,6.1791,63595,0
20080124,6.2233,6.2548,6.2233,6.2548,30452,0
20080125,6.1791,6.2611,5.8071,6.2611,23329,0
20080128,6.1727,6.1791,5.927,6.1791,7405,0
20080129,5.927,6.1477,5.927,6.1477,17306,0
20080130,6.1477,6.2989,5.8701,6.2989,41072,0
20080131,6.2106,6.4627,6.1664,6.1791,60873,0
20080201,6.1791,6.1791,5.9331,6.1539,4766,0
20080204,5.9837,6.1539,5.763,5.8323,29500,0
20080205,5.618,5.8323,5.4981,5.8008,1945,0
20080206,5.6054,5.6684,5.6054,5.6684,1369,0
20080207,5.4225,5.4225,5.4225,5.4225,1233,0
20080208,5.826,5.826,5.6494,5.6494,2,0
20080211,5.4415,5.6054,5.2964,5.6054,12837,0
20080212,5.5991,5.6116,5.5991,5.6116,651,0
20080213,5.6494,5.826,5.391,5.5864,7231,0
20080214,5.6684,5.6684,5.5486,5.662,1355,0
20080215,5.6746,5.6746,5.4854,5.6684,74,0
20080218,5.6306,5.6306,5.6306,5.6306,201,0
20080219,5.6368,5.6368,5.435,5.6116,270,0
20080220,5.5991,5.6116,5.3089,5.5423,8971,0
20080221,5.3342,5.4729,5.3027,5.4729,2567,0
20080222,5.4793,5.4793,5.4793,5.4793,15,0
20080225,5.3595,5.4854,5.2398,5.4854,2063,0
20080226,5.4854,5.4854,5.2398,5.4793,1667,0
20080227,5.1703,5.4538,5.1703,5.4415,2082,0
20080228,5.435,5.435,5.1136,5.4225,3347,0
20080229,5.3595,5.391,5.3595,5.391,4002,0
20080303,5.3973,5.3973,5.3973,5.3973,5,0
20080304,5.1703,5.4099,5.1703,5.3721,255,0
20080305,5.1198,5.29,5.0379,5.29,15888,0
20080306,5.4099,5.4099,5.0505,5.3846,2589,0
20080307,5.1071,5.328,5.1071,5.328,159525,0
20080310,5.328,5.328,5.2964,5.2964,95,0
20080311,5,5.2334,4.9243,5.1703,3434,0
20080312,4.9559,5.1071,4.9496,5.101,3338,0
20080313,5.0632,5.0632,4.8551,5.0442,7864,0
20080314,4.9812,4.9812,4.9812,4.9812,4137,0
20080317,4.8864,5.0379,4.8864,4.9812,12173,0
20080318,4.8551,5.0189,4.8172,5.0189,5099,0
20080319,4.8864,4.9434,4.8864,4.9434,570,0
20080320,5.0064,5.0064,4.8108,4.9434,6460,0
20080325,5,5.0126,4.8864,5.0126,9286,0
20080326,5.0315,5.101,5.0253,5.101,16249,0
20080327,5.101,5.101,4.8864,5.0757,15667,0
20080328,5.0442,5.0442,5.0379,5.0442,832,0
20080331,5.0442,5.0442,5.0442,5.0442,1501,0
20080401,5.0442,5.0442,4.9937,5.0442,5443,0
20080402,5.0126,5.0442,5.0126,5.0442,9210,0
20080403,5.0442,5.0442,4.9559,5.0442,1456,0
20080404,5.0442,5.0757,5.0442,5.0757,4045,0
20080407,4.9243,5.0442,4.7289,5.0442,6503,0
20080408,5.0442,5.0442,5.0442,5.0442,31,0
20080409,5.0442,5.0505,4.8739,5.0505,9519,0
20080410,5.0567,5.0632,5.0567,5.0567,1610,0
20080411,5.0442,5.0632,5.0253,5.0253,2908,0
20080414,5.0315,5.0315,4.8046,4.9243,8978,0
20080415,4.9243,4.9812,4.8298,4.9559,5873,0
20080416,4.9496,4.9812,4.8864,4.9559,30000,0
20080417,4.9181,4.9496,4.8613,4.9434,7073,0
20080418,4.9181,4.9812,4.8172,4.9812,13884,0
20080421,4.9496,4.9812,4.8361,4.9812,8750,0
20080422,4.9812,4.9812,4.8424,4.8424,7813,0
20080423,4.8424,4.8424,4.5524,4.8424,12417,0
20080424,4.9181,4.9685,4.7289,4.9685,16784,0
20080425,4.792,5.0315,4.792,5.0315,2129,0
20080428,5.0379,5.0442,5.0379,5.0442,1584,0
20080429,5.0379,5.0379,5.0126,5.0379,33610,0
20080430,5.0567,5.1071,5.0126,5.1071,50839,0
20080505,4.9559,5.0442,4.8361,5.0442,895,0
20080506,5.0757,5.0757,4.9559,5.0442,7147,0
20080507,5.0693,5.0693,5.0693,5.0693,80,0
20080508,5.1071,5.1071,4.9622,5.0693,124,0
20080509,5.0757,5.0757,4.7289,5.0379,4816,0
20080512,5.0442,5.0442,5.0379,5.0442,6377,0
20080513,5.0379,5.0442,5.0379,5.0442,7930,0
20080514,5.0442,5.0442,5.0442,5.0442,4348,0
20080515,5.0442,5.0442,5.0442,5.0442,6613,0
20080519,5.0442,5.0442,5.0442,5.0442,3489,0
20080520,5.0442,5.0442,5.0442,5.0442,7512,0
20080521,5.0442,5.0442,5.0442,5.0442,31,0
20080523,4.9812,5.0883,4.8108,5.0883,5550,0
20080526,5.082,5.082,5.082,5.082,15,0
20080527,5.0442,5.0442,5.0442,5.0442,100,0
20080528,4.8361,5.0442,4.792,5.0253,3088,0
20080529,5.0442,5.0442,5.0442,5.0442,15,0
20080530,5.0379,5.0379,4.8298,5.0379,8883,0
20080602,5.0379,5.0379,4.8108,5.0315,2428,0
20080603,5.0253,5.0253,4.7415,4.8803,1515,0
20080604,4.8803,4.8803,4.5397,4.7289,13340,0
20080605,4.8551,4.8739,4.8551,4.8739,1982,0
20080606,4.792,4.8551,4.7289,4.8551,718,0
20080609,4.8551,4.8551,4.8551,4.8551,15,0
20080610,4.6154,4.8551,4.6154,4.8551,581,0
20080611,4.9181,4.9181,4.6091,4.7226,2870,0
20080612,4.9118,4.9118,4.4767,4.792,3412,0
20080613,4.792,4.792,4.792,4.792,15,0
20080616,4.7162,4.7162,4.7162,4.7162,157,0
20080617,4.7162,4.7162,4.6027,4.6973,1165,0
20080618,4.6973,4.6973,4.1613,4.401,24333,0
20080619,4.401,4.401,3.9722,4.3694,4143,0
20080620,4.3694,4.3694,4.3505,4.3505,1199,0
20080623,4.3632,4.3632,4.1173,4.338,3651,0
20080624,4.338,4.338,3.9092,4.155,7637,0
20080625,4.2245,4.2245,3.7514,3.9533,11167,0
20080626,3.7389,3.7389,3.2219,3.5561,40286,0
20080627,3.4993,3.4993,3.285,3.3732,40988,0
20080630,3.348,3.4867,3.348,3.4867,52883,0
20080701,3.4048,3.4678,3.3732,3.4362,55192,0
20080702,3.4362,3.7641,3.4362,3.7641,15712,0
20080703,3.6886,3.783,3.4678,3.7199,47087,0
20080704,3.6129,3.6129,3.5308,3.5308,17645,0
20080707,3.7136,3.7136,3.3797,3.5876,15259,0
20080708,3.5308,3.5876,3.4362,3.5876,10150,0
20080709,3.5308,3.5308,3.5308,3.5308,43871,0
20080710,3.701,3.701,3.701,3.701,1,0
20080711,3.657,3.657,3.657,3.657,1,0
20080715,3.5813,3.5813,3.4048,3.5624,4204,0
20080716,3.4048,3.5246,3.3797,3.5246,7676,0
20080717,3.5876,3.5876,3.4048,3.4048,3534,0
20080718,3.4048,3.4048,3.4048,3.4048,2428,0
20080721,3.4048,3.6254,3.4048,3.6254,1631,0
20080722,3.4678,3.4678,3.4048,3.4678,4109,0
20080723,3.5246,3.5246,3.4237,3.4678,4018,0
20080724,3.4048,3.5308,3.3417,3.5308,21654,0
20080725,3.4048,3.4993,3.3732,3.4993,5709,0
20080728,3.5876,3.5876,3.4111,3.4111,575,0
20080729,3.4048,3.5308,3.4048,3.5308,18214,0
20080730,3.348,3.5938,3.348,3.5938,1191,0
20080731,3.7199,3.7199,3.7199,3.7199,1,0
20080801,3.5624,3.5624,3.5624,3.5624,15,0
20080805,3.4678,3.5624,3.4048,3.5624,3937,0
20080806,3.4678,3.4678,3.4678,3.4678,31,0
20080807,3.4993,3.4993,3.4993,3.4993,15,0
20080808,3.4993,3.4993,3.348,3.4803,1286,0
20080811,3.348,3.4678,3.285,3.4551,5814,0
20080812,3.2788,3.4426,3.2788,3.4426,1765,0
20080814,3.1589,3.4426,3.1589,3.4426,180,0
20080818,3.4426,3.4426,3.4426,3.4426,31,0
20080819,3.4426,3.4426,3.4426,3.4426,15,0
20080820,3.4426,3.4426,3.2471,3.2471,64,0
20080821,3.2788,3.2788,3.2788,3.2788,15,0
20080822,3.2788,3.43,3.2788,3.43,6490,0
20080825,3.4362,3.4426,3.2156,3.4426,967,0
20080826,3.43,3.43,3.43,3.43,15,0
20080827,3.43,3.43,3.43,3.43,15,0
20080828,3.2156,3.4173,3.2156,3.4173,478,0
