Date,Open,High,Low,Close,Volume,OpenInt
20110217,5.4957,5.613,5.3616,5.613,766812,0
20110218,5.5962,5.7386,5.5627,5.7386,93476,0
20110221,5.7386,5.9062,5.6716,5.8644,260240,0
20110222,5.9062,5.9062,5.8224,5.8644,68573,0
20110223,5.8978,5.9145,5.8224,5.8391,46329,0
20110224,5.8644,5.8644,5.5794,5.7135,14568,0
20110225,5.5962,5.6801,5.5794,5.6801,6465,0
20110228,5.6803,5.8355,5.6803,5.7838,16873,0
20110301,5.6632,5.7972,5.6632,5.7972,69225,0
20110302,5.7972,5.9481,5.7972,5.8726,67724,0
20110303,5.8978,5.9145,5.8726,5.9062,76885,0
20110304,5.9062,5.9062,5.8811,5.9062,16589,0
20110307,5.8978,5.9229,5.8894,5.9229,16047,0
20110308,5.9229,5.9313,5.8811,5.9313,7078,0
20110309,5.9313,5.9565,5.9313,5.9565,15402,0
20110310,5.9481,5.9731,5.8811,5.9648,7080,0
20110311,5.9565,5.9565,5.9481,5.9481,2,0
20110314,5.9313,5.9313,5.8224,5.8978,3300,0
20110315,5.8894,5.8894,5.7469,5.8726,26763,0
20110316,5.8726,5.8726,5.8644,5.8726,5214,0
20110317,5.9062,5.9229,5.8644,5.9229,4545,0
20110318,5.9229,5.9565,5.8644,5.8811,34121,0
20110321,5.9481,5.9481,5.8644,5.9397,12294,0
20110322,5.9481,5.9731,5.9062,5.9648,5175,0
20110323,5.9731,5.9731,5.8726,5.9397,3240,0
20110324,5.9397,5.9397,5.8224,5.8644,2221,0
20110325,5.8644,5.8644,5.7135,5.7805,531,0
20110328,5.6967,5.8475,5.5292,5.8475,14543,0
20110329,5.8644,5.8644,5.6967,5.8644,17692,0
20110330,5.9313,5.9313,5.7135,5.9229,43481,0
20110331,5.9217,5.9304,5.8269,5.9304,11517,0
20110401,5.9313,5.9313,5.7888,5.9229,11963,0
20110404,5.7219,5.9062,5.7219,5.9062,5626,0
20110405,5.9062,5.9481,5.7805,5.9397,27062,0
20110406,5.9313,5.9565,5.9062,5.9062,23079,0
20110407,5.9481,6.2748,5.856,6.1659,49714,0
20110408,6.1742,6.1742,5.9062,6.1155,4902,0
20110411,6.1155,6.1155,5.9397,6.0736,918,0
20110412,6.0318,6.0318,5.9397,6.015,6891,0
20110413,6.015,6.015,5.9481,5.9481,535,0
20110414,5.9481,5.9481,5.9481,5.9481,98531,0
20110415,5.9481,5.9731,5.9397,5.9731,4528,0
20110418,5.9731,5.9731,5.8811,5.9731,10548,0
20110419,5.9731,5.9731,5.8726,5.9648,982,0
20110420,5.9062,5.9731,5.8978,5.9731,4047,0
20110421,5.9731,5.9731,5.8726,5.9481,600,0
20110426,5.9481,5.9565,5.9481,5.9565,2118,0
20110427,5.9565,5.9731,5.9481,5.9731,5712,0
20110428,5.9481,5.9731,5.9481,5.9481,3338,0
20110429,5.9734,5.9734,5.87,5.9648,288,0
20110502,5.9481,5.9481,5.9481,5.9481,480,0
20110504,5.9481,5.9481,5.8224,5.9481,7067,0
20110505,5.8644,5.9397,5.8644,5.9397,600,0
20110506,5.9397,5.9397,5.9062,5.9062,2,0
20110509,5.6464,5.9481,5.6464,5.9481,11911,0
20110510,5.9648,5.9648,5.7888,5.9481,3301,0
20110511,5.9565,5.9565,5.9229,5.9229,2,0
20110512,5.9062,5.9062,5.8224,5.8224,211,0
20110513,5.9062,5.9313,5.8644,5.9313,2560,0
20110516,5.9397,5.9397,5.7805,5.8475,1333,0
20110517,5.8644,5.9062,5.8224,5.9062,238773,0
20110518,5.9062,5.9062,5.9062,5.9062,49,0
20110519,5.9062,5.9062,5.8978,5.8978,2,0
20110520,5.8978,5.9062,5.7553,5.8978,1993,0
20110523,5.8978,5.8978,5.8978,5.8978,2,0
20110524,5.8644,5.8644,5.7805,5.8644,903,0
20110525,5.8644,5.9145,5.8644,5.9145,4336,0
20110526,5.9145,5.9145,5.8644,5.8644,2,0
20110527,5.8644,5.9062,5.8644,5.9062,2783,0
20110530,5.9062,5.9062,5.9062,5.9062,2,0
20110531,5.9044,5.9044,5.8872,5.8872,2,0
20110601,5.8644,5.8644,5.8644,5.8644,2,0
20110602,5.856,5.856,5.8391,5.8391,2,0
20110603,5.8391,5.8391,5.8391,5.8391,2,0
20110606,5.8224,5.8224,5.8224,5.8224,2,0
20110607,5.8182,5.8182,5.7408,5.8182,203,0
20110608,5.8182,5.8182,5.7408,5.8182,6,0
20110609,5.8182,5.9044,5.7408,5.9044,3323,0
20110610,5.9044,5.9044,5.8182,5.8182,2,0
20110613,5.9062,5.99,5.8978,5.99,6407,0
20110614,5.99,5.99,5.8811,5.9481,259,0
20110615,5.9481,5.9481,5.9062,5.9062,2,0
20110616,5.9044,5.9044,5.7838,5.8872,13052,0
20110617,5.9044,5.9044,5.8872,5.8872,2,0
20110620,5.8811,5.8894,5.613,5.8894,2838,0
20110621,5.9044,5.9476,5.7666,5.9044,6432,0
20110622,5.9389,5.9389,5.6976,5.8613,313,0
20110624,5.7838,5.9217,5.7838,5.9217,22256,0
20110627,5.9217,5.9217,5.7408,5.9044,56,0
20110628,5.9304,5.9304,5.9044,5.9304,7044,0
20110629,5.9304,5.9304,5.758,5.9304,169,0
20110630,5.9304,5.9648,5.9044,5.9648,9966,0
20110701,6.1544,6.1544,6.1544,6.1544,2,0
20110704,6.1544,6.1544,6.1372,6.1372,2,0
20110705,6.1372,6.1372,5.9476,6.1199,158,0
20110706,6.1199,6.1199,6.0338,6.1199,447817,0
20110707,5.5167,6.0338,5.5167,6.0338,2691,0
20110708,6.0769,6.0769,6.0769,6.0769,778,0
20110711,6.1027,6.1027,5.9217,6.0596,1252,0
20110712,5.9131,5.9131,5.9131,5.9131,2,0
20110713,5.9131,5.9131,5.7752,5.9131,1153,0
20110714,5.9131,5.9131,5.9131,5.9131,2,0
20110715,5.3441,5.9131,5.3441,5.9131,234,0
20110718,5.9131,5.9131,5.7752,5.9131,6935,0
20110719,5.9131,5.9131,5.689,5.9131,2537,0
20110720,5.7235,5.9131,5.5682,5.9131,23340,0
20110721,6.0252,6.0252,5.8182,5.8786,1395,0
20110722,5.9907,5.9907,5.8613,5.8613,84693,0
20110725,5.9821,5.9821,5.9821,5.9821,1,0
20110726,5.9821,5.9821,5.9821,5.9821,1,0
20110727,5.9821,5.9821,5.9821,5.9821,1,0
20110728,5.6976,5.6976,5.6976,5.6976,1403,0
20110729,5.4476,5.5167,5.4304,5.4734,3245,0
20110801,5.4734,5.4734,5.1804,5.2321,529,0
20110802,5.1718,5.2581,5.1718,5.2581,1135,0
20110803,5.2581,5.2581,5.2581,5.2581,2,0
20110804,5.2581,5.2581,4.9995,4.9995,1625,0
20110805,5.2581,5.2581,5.2148,5.2148,2,0
