Date,Open,High,Low,Close,Volume,OpenInt
20090526,5.1539,5.1539,4.449,4.449,686012,0
20090527,4.5779,4.8355,4.5474,4.5551,141592,0
20090528,4.7597,4.7597,4.3808,4.3959,21046,0
20090529,4.3756,4.7742,4.3358,4.7742,45488,0
20090601,4.9644,5.6465,4.9644,5.3054,105529,0
20090602,5.5328,5.6465,5.1539,5.2675,77572,0
20090603,5.4418,5.4572,4.9266,5.0781,264479,0
20090604,5.0781,5.2297,5.0023,5.1463,22423,0
20090605,5.2675,5.3054,5.169,5.2221,16015,0
20090608,5.2675,5.2675,4.7067,5.0781,14163,0
20090609,5.0023,5.1539,5.0023,5.0554,39535,0
20090610,5.0023,5.2146,5.0023,5.0023,12574,0
20090612,5.0781,5.0781,4.8507,5.0402,7648,0
20090615,4.9947,4.9947,4.737,4.9114,27276,0
20090616,4.737,4.8734,4.737,4.7749,44568,0
20090617,4.7597,4.9266,4.5474,4.7749,16874,0
20090618,4.6082,4.7825,4.5474,4.7825,12282,0
20090619,4.9038,4.9038,4.6612,4.8507,3434,0
20090622,4.8507,4.8507,4.5551,4.5626,4807,0
20090623,4.699,5.1388,4.699,5.0023,58434,0
20090624,5.1539,5.1539,4.8507,4.9947,11477,0
20090625,5.0023,5.0023,4.7294,4.7294,4835,0
20090626,4.9947,5.0402,4.9947,5.0023,4740,0
20090629,4.881,5.1463,4.881,5.1463,21593,0
20090630,5.1159,5.1463,4.9266,5.1463,39066,0
20090701,4.934,4.9644,4.9266,4.9644,45394,0
20090702,5.0099,5.0781,4.8885,4.8885,18779,0
20090703,4.8507,5.063,4.79,5.063,9045,0
20090706,5.0554,5.0554,5.0554,5.0554,1294,0
20090707,5.0402,5.0402,4.6612,4.8431,15503,0
20090708,4.5854,4.699,4.5474,4.699,36086,0
20090709,4.7749,4.7749,4.5854,4.6764,7549,0
20090710,4.7749,4.7749,4.5551,4.5551,96910,0
20090713,4.5551,4.6612,4.5551,4.6612,5339,0
20090714,4.6612,4.6612,4.5551,4.646,24949,0
20090715,4.6537,4.699,4.5854,4.6764,146078,0
20090716,4.6233,4.6916,4.6006,4.6082,176507,0
20090717,4.6233,4.6233,4.6157,4.6157,23593,0
20090720,4.593,4.6309,4.5474,4.6309,11874,0
20090721,4.6537,4.6537,4.6006,4.6006,71551,0
20090722,4.6233,4.6233,4.5854,4.6233,1503,0
20090723,4.5854,4.6385,4.5474,4.5474,15130,0
20090724,4.6233,4.6233,4.4339,4.5249,20728,0
20090727,4.5323,4.6612,4.4716,4.6385,199871,0
20090728,4.6385,4.6537,4.5474,4.6157,4763,0
20090729,4.54,4.5703,4.4565,4.5474,8957,0
20090730,4.5474,4.5854,4.4793,4.5703,48204,0
20090731,4.593,4.6157,4.5703,4.6082,73679,0
20090803,4.6233,4.8885,4.5474,4.8129,119634,0
20090804,4.8129,5.063,4.8129,4.9114,25693,0
20090805,4.9114,5.5328,4.9114,5.063,37736,0
20090806,5.1917,5.3737,5.1539,5.2297,13138,0
20090807,5.2284,5.5074,5.2284,5.4198,21507,0
20090810,5.5154,6.2168,5.4596,6.1531,60506,0
20090811,6.1694,6.215,5.9117,6.1392,21912,0
20090812,5.7222,6.0028,5.7222,5.9117,9592,0
20090813,5.9876,6.215,5.9876,6.1771,12486,0
20090814,6.2074,6.5939,6.1998,6.215,23783,0
20090817,6.2908,6.2908,6.1014,6.1543,2047,0
20090818,6.1694,6.2074,6.0558,6.0558,2972,0
20090819,6.0634,6.0634,5.4949,5.9876,15692,0
20090820,6.0407,6.0407,5.7526,5.9497,6978,0
20090821,6.0256,6.0256,5.6086,5.9497,8934,0
20090824,5.9876,5.9876,5.5707,5.8511,7033,0
20090825,5.6086,5.8739,5.4572,5.5177,46703,0
20090826,5.5314,5.8104,5.4437,5.7226,19439,0
20090827,5.7222,5.7602,5.4572,5.7602,4858,0
20090828,5.7147,5.8588,5.6844,5.8359,17700,0
20090831,5.8502,5.9298,5.7704,5.8979,5970,0
20090901,5.6907,5.6907,5.3002,5.3082,63031,0
20090902,5.2923,5.2923,4.814,4.8858,30189,0
20090903,4.8858,4.9177,4.7025,4.8938,22108,0
20090904,4.8938,5.0771,4.8938,5.0771,4169,0
20090907,5.0771,5.2843,5.0771,5.2843,11153,0
