Date,Open,High,Low,Close,Volume,OpenInt
20070716,11.033,11.692,10.993,11.652,13298725,0
20070717,11.844,11.969,11.62,11.62,14901058,0
20070718,11.62,11.819,11.62,11.757,14913939,0
20070719,11.811,11.875,11.454,11.765,18721731,0
20070720,11.819,12.018,11.104,11.104,10637165,0
20070723,11.525,11.757,11.295,11.549,7316147,0
20070724,11.771,11.771,10.66,10.66,7340531,0
20070725,10.739,11.097,10.319,11.041,5257426,0
20070726,11.137,11.27,10.446,10.446,6955536,0
20070727,10.096,10.31,9.3561,9.653,5487176,0
20070730,9.714,10.129,9.3983,9.3983,7461632,0
20070731,9.81,9.849,9.653,9.827,4951664,0
20070801,9.619,10.159,9.3728,9.928,20422936,0
20070802,10.016,10.016,9.524,9.69,3107983,0
20070803,9.81,9.81,9.3251,9.4523,3473728,0
20070806,9.3983,9.524,9.1585,9.2696,3786655,0
20070807,9.4915,9.579,9.1509,9.2782,3462533,0
20070808,9.4523,9.516,9.1346,9.237,4191498,0
20070809,9.1671,9.3894,9.1269,9.2533,4760317,0
20070810,9.0701,9.3251,8.769,8.9837,6165038,0
20070813,9.1269,9.214,8.2923,8.8247,7918755,0
20070814,8.7215,8.7296,8.2211,8.2846,5728827,0
20070815,8.1258,8.5308,7.6891,8.4434,3944273,0
20070816,8.3166,8.3166,7.7442,7.959,6621020,0
20070817,7.7842,8.6343,7.7842,8.4833,23591962,0
20070820,8.5785,8.7534,8.0066,8.4434,2548619,0
20070821,8.7534,8.7534,8.0779,8.0779,2278750,0
20070822,7.9431,8.4992,7.9431,8.4434,4969401,0
20070823,8.6101,8.8568,8.4912,8.6898,1594973,0
20070824,8.3879,8.7617,8.3879,8.6343,829351,0
20070828,8.6101,8.7057,8.4992,8.4992,963346,0
20070829,8.4275,8.658,8.3958,8.5468,4478998,0
20070830,8.7057,8.8643,8.5548,8.6739,914215,0
20070831,8.8331,8.8331,8.5866,8.7534,2870942,0
20070903,8.658,9.1346,8.6343,9.103,1672560,0
20070904,8.9287,9.666,8.896,9.516,4278023,0
20070905,9.802,10.612,9.802,10.073,2583556,0
20070906,10.151,10.151,9.658,10.016,6369715,0
20070907,10.151,10.525,9.818,10.088,3218029,0
20070910,9.77,10.08,9.77,10.031,1988233,0
20070911,9.944,10.564,9.944,10.367,6445237,0
20070912,10.477,10.477,9.827,9.827,1684742,0
20070913,9.969,9.969,9.644,9.644,2407860,0
20070914,9.563,9.777,9.1346,9.2533,3892744,0
20070917,9.0947,9.4837,8.952,9.2944,5318625,0
20070918,9.1509,9.5,9.1509,9.3894,3104540,0
20070919,9.532,9.84,9.508,9.595,2504044,0
20070920,9.61,9.61,9.1977,9.2303,3475284,0
20070921,9.2064,9.3816,8.896,9.2533,4934058,0
20070924,9.1183,9.3012,9.0152,9.1422,758405,0
20070925,8.9912,9.0322,8.6898,8.8406,3609094,0
20070926,8.7851,8.9129,8.4833,8.6025,3124325,0
20070927,8.7924,8.8802,8.5707,8.8007,3224850,0
20070928,8.9287,8.9287,8.372,8.4592,11055456,0
20071001,8.372,9.0236,8.372,8.8887,7736335,0
20071002,8.9372,9.2696,8.9372,9.1747,6193551,0
20071003,9.2696,9.3639,9.1116,9.3492,3036964,0
20071004,9.1183,9.469,9.1183,9.4523,2157497,0
20071005,9.2696,9.413,8.8487,9.0474,2557114,0
20071008,9.0625,9.2533,8.9287,9.1585,2617963,0
20071009,8.8802,9.1671,8.8802,9.0701,3962755,0
20071010,9.1892,9.2303,9.0322,9.1585,2818781,0
20071011,9.0701,9.0872,8.896,8.9372,4365779,0
20071012,8.8165,9.1671,8.8165,9.0474,1122415,0
20071015,9.1747,9.2217,9.0701,9.1116,5802411,0
20071016,8.9045,9.0322,8.6816,8.9991,4521156,0
20071017,9.0474,9.653,9.0474,9.619,5749940,0
20071018,9.3983,9.4523,9.0236,9.4356,3038396,0
20071019,9.516,10.358,9.2609,10.198,6501800,0
20071022,9.857,9.866,9.619,9.818,5290200,0
20071023,10.039,10.08,9.89,10.048,2243321,0
20071024,9.913,10.159,9.913,10.096,939233,0
20071025,9.993,10.248,9.993,10.248,2512662,0
20071026,10.08,10.142,9.969,10.056,7542955,0
20071029,10.198,10.286,10.192,10.286,3627448,0
20071030,10.286,10.771,10.286,10.493,3089825,0
20071031,10.557,10.557,10.151,10.223,3433854,0
20071101,10.142,10.38,9.628,10.064,1993987,0
20071102,9.969,10.103,9.731,9.866,1711811,0
20071105,9.777,9.777,9.1585,9.3894,1900130,0
20071106,9.4277,9.61,9.2217,9.5,1988247,0
20071107,9.4523,9.4523,9.0075,9.3335,1154996,0
20071108,9.1346,9.3404,8.9752,9.214,1688753,0
20071109,9.1585,9.4052,8.8887,9.2859,1210947,0
20071112,9.2217,9.3561,8.9669,9.1116,824139,0
20071113,9.1747,9.3492,9.0474,9.237,1320122,0
20071114,9.2303,9.681,9.2064,9.3894,1395582,0
20071115,9.4052,9.681,9.4052,9.548,936095,0
20071116,9.595,9.666,9.0625,9.1671,1693604,0
20071119,9.0786,9.5,8.8165,8.9912,1145362,0
20071120,9.0398,9.0786,8.4992,8.9594,1782161,0
20071121,8.8247,8.8247,8.5388,8.737,2068937,0
20071122,8.737,8.737,8.4198,8.4912,499919,0
20071123,8.523,8.8007,8.4833,8.7452,593737,0
20071126,8.896,8.9752,8.5548,8.7141,749406,0
20071127,8.4673,8.7296,8.4673,8.4992,1022770,0
20071128,8.6025,8.6422,8.4833,8.5944,791463,0
20071129,8.4833,8.6816,8.4592,8.5707,541410,0
20071130,8.4434,8.7141,8.4117,8.5707,2263539,0
