Date,Open,High,Low,Close,Volume,OpenInt
20151013,24.7,25.25,24.1,24.26,47375,0
20151014,24.58,24.69,24.1,24.5,11280,0
20151015,24.33,24.5,24.1,24.2,6513,0
20151016,24.39,24.39,24.2,24.35,2250,0
20151019,24.1,24.12,24.04,24.05,6565,0
20151020,24,24.04,22.24,23,27759,0
20151021,23,23.16,22.92,23,14310,0
20151022,22.99,22.99,22.05,22.25,10501,0
20151023,21.92,22.17,21.85,22,19734,0
20151026,21.7,21.95,21.7,21.7,4368,0
20151027,21.31,22.28,20.1,22.28,18732,0
20151028,22.29,22.3,21.81,22,2476,0
20151029,21.1,21.85,21.1,21.5,15549,0
20151030,21.5,22.8,21.5,22.5,7376,0
20151102,22.73,23.5,22.73,23.5,7260,0
20151103,23.5,23.5,23,23,3258,0
20151104,22.99,22.99,22.85,22.95,343,0
20151105,22.5,22.5,22.3,22.5,625,0
20151106,22.95,23,22.95,22.95,851,0
20151109,23,23,22,22,661,0
20151110,22,22,21.2,21.22,1051,0
20151112,21.5,21.78,21.21,21.26,788,0
20151113,21.26,21.3,21.2,21.26,6211,0
20151116,21.2,21.2,20.8,20.82,14653,0
20151117,20.82,21,20.8,21,96509,0
20151118,20.8,21,20.8,20.89,7331,0
20151119,20.9,22,20.85,21.5,1719,0
20151120,21.7,21.7,21,21.4,1362,0
20151123,21,21.12,20.81,20.95,8201,0
20151124,20.8,21,20.8,20.9,4829,0
20151125,20.81,20.87,20.5,20.87,11539,0
20151126,20.89,21,20.75,20.95,2421,0
20151127,20.85,21.4,20.75,21.4,2664,0
20151130,21.4,21.98,20.8,21.88,18083,0
20151201,21.8,21.8,21,21.6,2457,0
20151202,21.06,21.5,20.9,20.9,58125,0
20151203,20.8,21,20.6,21,958,0
20151204,20.71,20.9,20.41,20.9,5667,0
20151207,20.41,21,20.41,20.6,1008,0
20151208,20.6,20.6,20.49,20.5,172,0
20151209,20.42,20.43,20.41,20.41,2252,0
20151210,20.42,20.5,20.41,20.41,2820,0
20151211,20.41,20.41,19,19.5,18782,0
20151214,19.5,19.5,18.5,19,10524,0
20151215,18.5,19.63,18.5,19.2,3895,0
20151216,19,19.8,18.5,19.8,3430,0
20151217,19.8,21.29,19.79,20.9,3930,0
20151218,20.9,20.9,20.39,20.9,1291,0
20151221,20.9,20.95,20.4,20.88,3835,0
20151222,20.88,20.88,19.15,20.88,4582,0
20151223,20.02,20.9,19.66,20.6,6067,0
20151228,20.1,20.9,20,20.9,9117,0
20151229,20.9,21,20.46,20.98,4550,0
20151230,20.99,21.98,20.99,21.97,12206,0
20160104,21.31,21.5,20,21.5,3283,0
20160105,21.16,21.49,20.49,20.49,2670,0
20160107,20.5,20.5,20.21,20.3,610,0
20160108,20.03,20.2,20.03,20.2,373,0
20160111,20.01,20.02,19.99,19.99,1646,0
20160112,19.57,20.45,19.57,20.45,105,0
20160113,19.66,20.11,19.66,20,167,0
20160114,20.45,20.45,20.38,20.38,17,0
20160115,20.4,20.4,20.35,20.35,8,0
20160118,20.1,20.1,19.02,19.35,1020,0
20160119,19.5,19.5,19.01,19.01,670,0
20160120,19,19,17.28,18,11281,0
20160121,17.9,17.97,17.5,17.7,579,0
20160122,17.5,17.7,16.4,16.9,14293,0
20160125,16.32,16.5,15.9,15.99,4631,0
20160126,15.88,16,15.05,16,5997,0
20160127,16.04,16.04,15.6,15.67,2184,0
20160128,15.67,15.99,15.67,15.9,4544,0
20160129,15.93,15.93,15.36,15.61,3756,0
20160201,15.5,15.5,15.3,15.3,1815,0
20160202,15.05,15.06,14.32,14.32,5155,0
20160203,14.48,14.48,13.39,13.6,9169,0
20160204,13.51,14.49,13.51,14.31,135655,0
20160205,14.89,15.9,14.5,14.5,35525,0
20160208,14.51,15.58,14.51,15.48,5845,0
20160209,15.7,15.7,14.9,15.01,2569,0
20160210,15.28,15.9,15.28,15.7,7113,0
20160211,15.89,15.89,15,15.22,2475,0
20160212,15.33,15.6,15.17,15.17,928,0
20160215,15.17,15.36,15.13,15.25,839,0
20160216,15.24,15.5,14.66,15.38,3323,0
20160217,15.37,15.9,15.37,15.9,11824,0
20160218,16.01,16.7,16.01,16.25,7762,0
20160219,16.26,16.26,15.55,15.7,12057,0
20160222,15.4,15.79,15.01,15.3,17649,0
20160223,15.2,15.2,14.86,15.2,5961,0
20160224,15.1,15.19,15.02,15.17,134,0
20160225,15.02,15.28,15.02,15.25,22980,0
20160226,15.25,16.72,15.25,16.7,23948,0
20160229,17,17.45,16.7,16.95,14781,0
20160301,17.19,17.2,16.93,17,3670,0
20160302,17.2,17.35,17,17.15,2713,0
20160303,17.15,17.3,17.15,17.2,1612,0
20160304,17.2,17.39,17,17.2,3315,0
20160307,17.2,17.2,16.75,16.85,2395,0
20160308,16.78,16.89,16.76,16.76,950,0
20160309,16.79,16.79,15.55,16.19,3366,0
20160310,16.18,17.48,16.18,17.43,5366,0
20160311,17.47,17.47,17.15,17.41,1145,0
20160314,17.17,17.45,17.02,17.44,1114,0
20160315,17.41,17.41,17.01,17.05,893,0
20160316,17.02,17.3,17.01,17.29,285,0
20160317,17.3,17.74,17.3,17.35,5114,0
20160318,17.4,17.68,17.4,17.45,1749,0
20160321,17.44,17.44,17.25,17.25,1369,0
20160322,17.2,17.2,16.41,16.7,4457,0
20160323,16.9,17.29,16.9,17.1,2070,0
20160324,17.24,17.29,17.11,17.19,2133,0
20160329,17.2,17.2,17,17.02,1624,0
20160330,17,17.05,17,17,509,0
20160331,16.89,16.89,16.8,16.85,879,0
20160401,16.65,16.84,16.5,16.5,2042,0
20160404,16.85,16.9,16.66,16.9,196,0
20160405,16.92,16.92,16.7,16.7,577,0
20160406,17,17.1,17,17,674,0
20160407,16.8,17,16.7,16.7,945,0
20160408,16.7,16.89,16.5,16.89,940,0
20160411,16.52,16.7,16.52,16.54,849,0
20160412,16.54,16.54,16.5,16.52,1160,0
20160413,16.51,16.52,16.37,16.5,3833,0
20160414,16.49,16.99,16.49,16.8,10711,0
20160415,16.8,17.4,16.8,17.4,1852,0
20160418,17.4,17.45,17.25,17.25,6297,0
20160419,17.12,17.85,17.1,17.85,4185,0
20160420,17.8,18.5,17.46,18.5,16798,0
20160421,18.6,19.48,17.6,18.7,4839,0
20160422,18.69,18.69,18.15,18.15,365,0
20160425,18.15,18.2,18,18,1046,0
20160426,18.01,18.2,17.7,17.9,2190,0
20160427,17.7,18,17.35,17.5,2227,0
20160428,17.51,17.8,17.5,17.5,6314,0
20160429,17.78,17.78,16.3,17,38180,0
20160502,16.9,17,16.9,16.9,399,0
20160504,16.9,17.5,16.9,17,19601,0
20160505,16.97,17.29,16.97,17,608,0
20160506,17.19,17.19,17.19,17.19,122,0
20160509,17.2,17.2,17,17,875,0
20160510,16.7,17.29,16.7,17.29,3379,0
20160511,17.29,17.29,17.06,17.29,253,0
20160512,17.25,17.75,17.25,17.5,2326,0
20160513,17.7,17.7,17.7,17.7,290,0
20160516,17.7,17.7,17.35,17.7,12560,0
20160517,17.04,17.04,13.45,13.7,54424,0
20160518,13.5,13.67,11.3,11.47,62338,0
20160519,11.66,11.95,11,11.26,71688,0
20160520,11.55,12.2,11.17,11.7,34144,0
