Date,Open,High,Low,Close,Volume,OpenInt
20121218,16.625,16.69,16.587,16.69,47921,0
20121219,16.892,17.144,16.892,17.048,34426,0
20121220,17.183,17.183,16.852,16.852,23072,0
20121221,16.95,17.001,16.917,16.995,16407,0
20121227,17.048,17.177,17.048,17.17,22839,0
20121228,17.208,17.275,17.079,17.267,24202,0
20130102,17.404,17.468,17.404,17.455,20312,0
20130103,17.502,17.502,17.423,17.436,10348,0
20130104,17.436,17.468,17.423,17.468,16670,0
20130107,17.371,17.371,16.872,16.943,38407,0
20130108,16.872,17.112,16.872,16.904,16753,0
20130109,16.981,17.053,16.981,17.048,21715,0
20130110,17.093,17.144,17.093,17.137,14888,0
20130111,17.112,17.339,17.112,17.293,9873,0
20130114,17.339,17.442,17.339,17.423,12883,0
20130115,17.339,17.436,17.339,17.359,7945,0
20130116,17.404,17.404,17.313,17.346,4937,0
20130117,17.306,17.637,17.306,17.502,13600,0
20130118,17.54,17.63,17.54,17.565,7252,0
20130121,17.436,17.481,17.436,17.468,5710,0
20130122,17.502,17.507,17.404,17.404,4764,0
20130123,16.852,16.981,16.463,16.625,24330,0
20130124,16.981,17.306,16.593,16.625,4860,0
20130125,16.645,16.658,16.606,16.625,5058,0
20130128,16.788,16.788,16.723,16.788,7578,0
20130129,16.82,16.82,16.742,16.82,3672,0
20130130,16.82,16.872,16.755,16.846,3183,0
20130131,16.82,16.859,16.788,16.859,2932,0
20130201,16.839,17.112,16.839,17.112,5976,0
20130204,17.235,17.502,17.144,17.339,3280,0
20130205,17.339,17.371,17.144,17.339,4011,0
20130206,17.339,17.502,17.339,17.468,2980,0
20130207,17.468,17.468,17.436,17.448,2871,0
20130208,17.468,17.502,17.339,17.502,3649,0
20130211,17.468,17.494,17.404,17.481,2622,0
20130212,17.404,17.404,17.371,17.404,2702,0
20130213,17.417,17.455,17.404,17.436,2546,0
20130214,17.384,17.404,17.371,17.371,3317,0
20130215,17.468,17.468,17.397,17.423,2159,0
20130218,17.481,17.481,17.371,17.377,3077,0
20130219,17.371,17.397,17.371,17.39,2546,0
20130220,17.359,17.384,17.359,17.384,2459,0
20130221,17.339,17.364,17.208,17.208,9010,0
20130222,17.339,17.404,17.339,17.371,2083,0
20130225,17.397,17.502,17.397,17.494,5146,0
20130226,17.436,17.475,17.436,17.468,3549,0
20130227,17.468,17.598,17.468,17.578,3101,0
20130228,18.278,18.791,18.258,18.791,9930,0
20130301,18.635,18.732,18.57,18.635,4412,0
20130304,18.635,18.668,18.602,18.635,2672,0
20130305,18.635,18.668,18.538,18.668,3987,0
20130306,18.635,18.668,18.602,18.668,2315,0
20130307,18.699,18.829,18.699,18.797,3243,0
20130308,18.732,18.926,18.668,18.926,4148,0
20130311,19.121,19.121,18.895,18.895,3249,0
20130312,18.926,18.933,18.829,18.895,2708,0
20130313,18.81,18.992,18.81,18.992,2130,0
20130314,18.992,18.992,18.895,18.959,2654,0
20130315,18.829,18.992,18.829,18.992,1988,0
20130318,18.829,18.829,18.635,18.654,3314,0
20130319,18.602,18.602,18.473,18.538,2298,0
20130320,18.473,18.668,18.149,18.668,3081,0
20130321,18.765,18.797,18.693,18.732,1642,0
20130322,18.408,18.726,18.408,18.726,1156,0
20130325,18.797,18.959,18.408,18.926,2169,0
20130326,18.992,19.056,18.797,18.959,1696,0
20130327,19.089,19.089,18.888,18.908,1745,0
20130328,18.862,19.056,18.797,18.992,2191,0
20130402,18.798,19.638,18.798,19.249,2043,0
20130403,19.186,19.186,19.056,19.068,1901,0
20130404,19.413,19.413,18.989,19.119,1602,0
20130405,19.121,19.121,18.473,18.473,5629,0
20130408,18.57,18.797,18.505,18.784,3440,0
20130409,18.862,18.933,18.525,18.933,3050,0
20130410,18.961,19.139,18.798,19.092,7227,0
20130411,19.121,19.25,18.797,19.25,1577,0
20130412,19.121,19.316,19.089,19.089,1549,0
20130415,19.218,19.218,18.745,18.745,2547,0
20130417,18.791,18.811,18.572,18.6,1640,0
20130418,18.538,18.797,18.505,18.505,2135,0
20130419,18.572,18.633,18.572,18.6,1457,0
20130422,18.757,18.829,18.602,18.765,2679,0
20130423,18.797,18.997,18.797,18.939,1232,0
20130424,19.024,19.121,19.024,19.089,1151,0
20130425,19.121,19.121,19.063,19.121,1285,0
20130426,19.085,19.085,18.996,18.996,1252,0
20130429,19.005,19.121,18.797,19.121,2494,0
20130430,19.188,19.386,19.188,19.386,1521,0
20130502,19.446,19.474,18.798,19.474,2549,0
20130506,19.604,19.768,19.604,19.768,1377,0
20130507,19.865,20.096,19.865,20.096,1502,0
20130508,20.096,20.226,20.096,20.226,1386,0
20130509,20.349,20.349,20.164,20.172,1336,0
20130510,19.994,20.349,19.994,20.288,1843,0
20130513,20.506,20.506,20.164,20.164,5596,0
20130514,20.199,20.336,20.199,20.267,1482,0
20130515,19.344,19.344,18.456,18.866,8331,0
20130516,19.003,19.037,18.798,18.968,1716,0
20130517,18.9,19.659,18.9,19.174,2312,0
20130520,19.207,19.207,19.003,19.071,3385,0
20130521,19.105,19.139,18.989,18.989,2001,0
20130522,19.105,19.105,18.968,18.968,1617,0
20130523,18.832,18.989,18.832,18.955,2810,0
20130524,18.961,19.344,18.955,19.344,9982,0
20130527,19.468,19.482,19.379,19.379,1172,0
20130528,19.482,19.721,19.482,19.721,2283,0
20130529,19.727,19.768,19.618,19.659,2100,0
20130531,19.775,19.96,19.775,19.851,2048,0
20130603,19.516,19.857,19.516,19.7,2419,0
20130604,19.482,19.789,19.482,19.755,2702,0
20130605,19.686,19.789,19.686,19.686,3297,0
20130606,19.755,19.755,19.693,19.721,2140,0
20130607,19.618,19.659,19.618,19.659,584,0
20130610,19.741,19.755,19.482,19.482,1903,0
20130611,19.413,19.686,18.592,19.071,4069,0
20130612,19.071,19.379,19.071,19.379,2344,0
20130613,19.242,19.399,19.242,19.344,1990,0
20130614,19.413,19.482,19.344,19.433,1901,0
20130617,19.529,19.529,19.413,19.42,1510,0
20130618,19.413,19.446,19.344,19.446,1737,0
20130619,19.446,19.446,19.379,19.413,2091,0
20130620,19.139,19.277,19.139,19.215,1794,0
20130621,19.255,19.283,18.729,18.798,1635,0
20130624,18.729,18.996,18.729,18.996,162,0
20130625,19.003,19.16,19.003,19.147,1694,0
20130626,19.139,19.207,18.456,18.456,2336,0
20130627,18.764,19.024,18.764,19.024,1672,0
20130628,19.064,19.139,19.057,19.139,1511,0
20130701,19.126,19.139,18.456,19.139,1957,0
20130702,19.139,19.277,19.139,19.277,1868,0
20130703,19.277,19.392,19.277,19.392,2681,0
20130704,19.482,19.789,19.482,19.789,2173,0
20130705,19.857,20.028,19.283,20.028,2178,0
20130708,20.164,20.315,20.131,20.295,1693,0
20130709,20.234,20.336,20.22,20.234,1978,0
20130710,20.301,20.301,20.131,20.131,1762,0
20130711,20.131,20.164,19.823,19.823,4268,0
20130712,20.164,20.164,19.823,20.164,2038,0
20130715,20.37,20.37,20.028,20.199,1904,0
20130716,20.164,20.164,19.994,19.994,843,0
20130717,20.37,20.37,20.109,20.109,1277,0
20130718,20.404,20.404,19.823,20.117,1275,0
20130719,20.37,20.37,20.083,20.09,2015,0
20130722,20.39,20.39,19.96,19.96,1598,0
20130723,19.994,20.062,19.954,19.954,1582,0
20130724,19.96,19.973,19.139,19.823,1988,0
20130725,19.755,19.823,19.755,19.755,1604,0
20130726,20.37,20.37,19.823,20.062,1428,0
20130729,19.823,20.438,19.277,19.891,1630,0
20130730,19.686,19.823,19.686,19.823,1630,0
20130731,19.277,19.789,19.277,19.789,1557,0
20130801,19.686,19.823,19.686,19.755,1231,0
20130802,19.789,19.796,19.775,19.796,1428,0
20130805,19.755,19.81,19.413,19.413,3693,0
20130806,19.344,19.686,19.139,19.207,3517,0
20130807,19.139,19.139,18.935,18.935,2976,0
20130808,18.935,19.003,18.935,18.968,1528,0
20130809,18.832,18.9,18.832,18.9,1508,0
