Date,Open,High,Low,Close,Volume,OpenInt
20110809,10.978,10.978,6.9282,7.3673,282397,0
20110810,7.3185,7.8065,7.2698,7.3673,75631,0
20110811,7.3185,7.3673,7.2698,7.3185,32250,0
20110812,7.3185,7.7577,7.221,7.7577,24568,0
20110816,8.0504,8.0504,7.5625,7.9528,65302,0
20110817,8.0504,8.0504,7.5625,8.0504,28784,0
20110818,8.0504,8.0504,7.5625,8.0504,1769,0
20110819,7.9528,7.9528,7.8065,7.904,1045,0
20110822,7.904,8.0504,7.5625,7.9528,2716,0
20110823,7.904,7.9528,7.5625,7.8065,1021,0
20110824,7.9528,7.9528,7.5625,7.8065,22268,0
20110825,7.9528,7.9528,7.4161,7.904,16294,0
20110826,7.904,7.9528,7.5137,7.9528,96181,0
20110829,7.8552,7.8552,7.8065,7.8065,953,0
20110830,7.6113,7.6113,7.3185,7.5137,11572,0
20110831,8.0504,8.0504,7.4161,7.7577,18931,0
20110901,7.7089,7.8065,7.4161,7.8065,103179,0
20110902,7.8065,7.8065,7.3185,7.5137,984,0
20110905,7.5625,7.5625,7.3185,7.5137,486,0
20110906,7.5137,7.5137,7.5137,7.5137,10411,0
20110907,7.5625,7.5625,7.0746,7.3185,1230,0
20110908,7.5137,7.5137,6.8306,7.221,6070,0
20110909,7.221,7.221,6.9282,7.221,23789,0
20110912,7.5137,7.5137,7.0746,7.1234,18846,0
20110913,7.3185,7.3185,7.0746,7.0746,17415,0
20110914,7.221,7.221,7.0746,7.221,13777,0
20110915,7.4649,7.4649,7.4649,7.4649,189,0
20110916,7.4649,7.4649,7.4649,7.4649,228,0
20110919,7.3185,7.3185,7.0746,7.2698,421,0
20110920,7.2698,7.2698,7.0746,7.2698,487,0
20110921,7.2698,7.2698,7.0746,7.2698,288,0
20110922,7.2698,7.2698,6.4891,6.4891,1355,0
20110923,6.7819,7.2698,6.3915,7.2698,1952,0
20110926,7.1722,7.1722,7.0746,7.1234,2597,0
20110927,7.1234,7.1234,7.0746,7.1234,2244,0
20110928,7.1722,7.1722,6.8306,7.1722,3721,0
20110929,7.1722,7.1722,6.8306,7.0746,405,0
20110930,7.0746,7.0746,6.8306,6.8306,387,0
20111003,7.0746,7.0746,7.0746,7.0746,137,0
20111004,7.0746,7.0746,7.0746,7.0746,127,0
20111005,6.977,7.0258,6.8306,6.8306,385,0
20111006,6.8306,7.0746,6.7819,7.0746,19148,0
20111007,7.0746,7.0746,7.0746,7.0746,123,0
20111010,7.0258,7.0258,7.0258,7.0258,194,0
20111011,7.0258,7.3185,7.0258,7.3185,2438,0
20111012,7.1722,7.3185,7.1722,7.3185,92284,0
20111013,7.3185,7.3185,7.3185,7.3185,125,0
20111014,7.3185,7.3185,7.3185,7.3185,22994,0
20111017,7.3185,7.3185,7.2698,7.3185,1309,0
20111018,7.2698,7.2698,7.2698,7.2698,205,0
20111019,7.221,7.3185,7.221,7.3185,24419,0
20111020,7.3185,7.3185,7.3185,7.3185,168,0
20111021,7.3185,7.3185,7.3185,7.3185,275,0
20111024,7.3185,7.3185,7.3185,7.3185,123,0
20111025,7.3185,7.3185,7.3185,7.3185,143,0
20111026,7.3185,7.3185,7.3185,7.3185,162,0
20111027,7.3185,7.3185,7.221,7.2698,10600,0
20111028,7.3185,7.3185,7.3185,7.3185,133,0
20111031,7.3185,7.3185,7.3185,7.3185,111,0
20111102,7.3185,7.3185,7.2698,7.3185,3423,0
20111103,7.3185,7.3185,7.3185,7.3185,195,0
20111104,7.3185,7.3185,7.3185,7.3185,2198,0
20111107,7.2698,7.2698,7.2698,7.2698,111,0
20111108,7.221,7.221,7.221,7.221,127,0
20111109,7.221,7.221,7.221,7.221,184,0
20111110,7.221,7.221,7.1722,7.221,44644,0
20111114,7.221,7.221,6.5867,7.0746,38703,0
