Date,Open,High,Low,Close,Volume,OpenInt
20080424,19.744,19.751,17.855,18.566,4218,0
20080425,18.962,18.962,17.816,18.836,1427,0
20080428,18.882,18.882,18.882,18.882,26,0
20080429,18.875,18.875,18.171,18.867,210,0
20080505,18.803,18.803,18.803,18.803,5,0
20080506,18.803,18.803,18.78,18.78,88,0
20080507,18.788,18.788,18.171,18.764,91,0
20080508,18.764,18.764,18.764,18.764,2,0
20080509,18.764,18.764,18.764,18.764,2,0
20080512,18.764,18.764,18.764,18.764,2,0
20080513,18.764,18.764,18.764,18.764,131,0
20080514,18.764,18.764,18.171,18.764,256,0
20080515,18.764,18.764,18.764,18.764,159,0
20080516,18.171,18.764,18.171,18.764,229,0
20080519,18.764,18.764,18.764,18.764,1,0
20080520,18.764,18.764,18.764,18.764,1,0
20080521,18.748,18.748,18.748,18.748,3,0
20080523,18.764,18.764,18.764,18.764,1,0
20080526,18.764,18.764,18.716,18.725,147,0
20080527,18.725,18.725,18.725,18.725,34,0
20080528,18.725,18.725,17.461,18.725,109,0
20080529,18.725,18.725,17.776,18.645,188,0
20080530,18.725,18.725,18.725,18.725,1,0
20080602,18.725,18.764,18.725,18.764,51,0
20080603,18.764,18.764,18.764,18.764,3,0
20080604,18.764,18.764,17.855,18.764,130,0
20080605,18.764,18.764,18.764,18.764,1,0
20080606,18.764,18.764,17.776,17.776,169,0
20080609,17.855,18.487,17.855,18.487,128,0
20080610,18.487,18.487,17.855,18.171,536,0
20080611,17.382,17.697,16.75,17.382,2326,0
20080612,17.776,18.803,17.776,17.855,585,0
20080613,18.164,18.164,18.164,18.164,1,0
20080616,18.164,18.164,18.164,18.164,2,0
20080617,18.164,18.164,18.164,18.164,2,0
20080618,18.164,18.164,16.591,18.155,3798,0
20080619,16.599,18.155,16.599,18.155,901,0
20080620,18.155,18.155,18.155,18.155,2,0
20080623,18.148,18.148,18.148,18.148,1,0
20080624,18.132,18.132,16.75,17.382,113,0
20080625,17.776,17.776,17.776,17.776,13,0
20080626,17.776,17.776,17.776,17.776,1,0
20080627,17.382,17.776,16.591,17.776,368,0
20080630,17.776,17.776,16.117,16.354,2039,0
20080701,16.907,16.907,15.959,16.828,53,0
20080704,16.039,16.354,15.802,16.354,267,0
20080708,15.802,15.802,14.868,15.761,597,0
20080709,15.683,15.683,15.011,15.683,128,0
20080710,15.761,15.761,15.722,15.722,206,0
20080711,16.156,16.156,16.156,16.156,1,0
20080714,16.156,16.156,16.156,16.156,1,0
20080715,14.868,16.584,14.868,16.584,88,0
20080716,16.584,16.584,14.892,15.722,371,0
20080717,15.722,15.722,14.142,15.541,813,0
20080721,15.248,15.248,15.248,15.248,1,0
20080722,15.406,15.406,15.406,15.406,1,0
20080723,15.398,15.398,15.398,15.398,1,0
20080724,15.39,15.39,15.39,15.39,13,0
20080725,15.367,15.367,15.367,15.367,1,0
20080728,15.343,15.343,14.063,14.995,978,0
20080730,14.924,15.248,13.549,15.248,1967,0
20080731,15.326,15.326,15.319,15.319,26,0
20080801,15.326,15.326,15.326,15.326,1,0
20080804,15.326,15.326,15.287,15.287,87,0
20080805,15.153,15.153,13.826,15.004,173,0
20080806,15.004,15.004,14.221,14.995,180,0
20080807,15.153,15.153,15.09,15.09,10,0
20080808,15.083,15.083,15.083,15.083,1,0
20080811,15.145,15.145,15.145,15.145,1,0
20080812,15.13,15.13,15.13,15.13,1,0
20080813,15.122,15.122,15.122,15.122,1,0
20080814,15.13,15.13,15.13,15.13,1,0
20080818,15.114,15.114,15.114,15.114,1,0
20080819,15.122,15.122,15.122,15.122,1,0
20080820,15.114,15.114,15.114,15.114,13,0
20080821,15.098,15.122,15.083,15.122,407,0
20080822,15.074,15.074,15.074,15.074,1,0
20080825,15.074,15.074,15.074,15.074,1,0
20080826,14.308,15.074,14.308,15.074,520,0
20080827,15.074,15.074,15.074,15.074,1,0
20080828,15.074,15.074,15.074,15.074,1,0
20080829,15.074,15.074,15.074,15.074,1,0
20080901,15.011,15.011,15.011,15.011,1,0
20080902,14.995,14.995,14.995,14.995,1,0
20080903,15.004,15.004,15.004,15.004,1,0
20080904,15.004,15.004,15.004,15.004,1,0
20080905,15.004,15.004,15.004,15.004,64,0
20080908,15.004,15.004,15.004,15.004,1,0
20080909,15.004,15.004,15.004,15.004,1,0
20080910,14.932,14.932,14.932,14.932,1,0
20080911,14.917,14.917,14.917,14.917,1,0
20080912,14.917,14.917,14.917,14.917,1,0
20080915,14.892,14.892,14.892,14.892,1,0
20080916,14.885,14.885,12.641,14.055,1130,0
20080917,14.055,14.055,14.055,14.055,1,0
20080918,14.039,14.039,14,14.008,101,0
20080919,14.031,14.031,14.031,14.031,1,0
20080922,13.976,13.976,13.976,13.976,1,0
20080923,13.952,13.952,13.952,13.952,1,0
20080924,12.633,12.641,12.633,12.641,1165,0
20080925,12.641,12.641,12.483,12.633,195,0
20080926,12.633,12.633,12.01,12.633,209,0
20080929,12.633,12.633,11.851,12.633,257,0
20080930,12.633,12.641,12.403,12.641,695,0
20081001,12.633,12.633,12.633,12.633,26,0
20081002,12.01,12.555,11.455,12.403,4756,0
20081003,12.475,12.475,12.475,12.475,1,0
20081006,12.317,12.475,12.317,12.475,1265,0
20081008,12.475,12.475,12.475,12.475,1,0
20081009,12.468,12.468,12.468,12.468,1,0
20081010,12.468,12.468,11.455,12.468,130,0
20081013,12.468,12.468,12.468,12.468,1,0
20081014,12.444,12.444,12.444,12.444,1,0
20081015,12.444,12.444,11.298,12.444,469,0
20081016,12.444,12.444,12.444,12.444,1,0
20081017,12.444,12.444,12.444,12.444,1,0
20081020,12.444,12.444,12.444,12.444,1,0
20081021,12.444,12.444,11.851,12.238,1081,0
20081022,12.238,12.238,12.238,12.238,1,0
20081023,12.238,12.238,12.238,12.238,1,0
20081024,12.088,12.088,12.088,12.088,1,0
20081027,12.088,12.088,12.088,12.088,1,0
20081028,12.088,12.088,12.088,12.088,1,0
20081029,12.088,12.088,12.088,12.088,1,0
20081030,11.455,11.455,10.745,10.745,690,0
20081031,10.903,10.903,10.903,10.903,255,0
20081103,11.298,11.298,11.14,11.14,14,0
20081104,11.298,11.298,11.298,11.298,1,0
20081105,11.258,11.258,11.258,11.258,19,0
20081106,11.298,11.298,11.298,11.298,1,0
