Date,Open,High,Low,Close,Volume,OpenInt
19980119,4.144,4.144,4.144,4.144,65226,0
19980120,3.808,3.808,3.808,3.808,37909,0
19980121,3.78,3.78,3.78,3.78,26481,0
19980122,3.416,3.416,3.416,3.416,14160,0
19980123,3.472,3.472,3.472,3.472,7835,0
19980126,3.528,3.528,3.528,3.528,7480,0
19980127,3.528,3.528,3.528,3.528,19709,0
19980128,3.584,3.584,3.584,3.584,12903,0
19980129,3.836,3.836,3.836,3.836,15855,0
19980130,3.948,3.948,3.948,3.948,44884,0
19980202,4.144,4.144,4.144,4.144,28843,0
19980203,4.116,4.116,4.116,4.116,24297,0
19980204,3.696,3.696,3.696,3.696,13848,0
19980205,3.808,3.808,3.808,3.808,9715,0
19980206,3.92,3.92,3.92,3.92,9994,0
19980209,4.032,4.032,4.032,4.032,20266,0
19980210,4.032,4.032,4.032,4.032,25427,0
19980211,3.976,3.976,3.976,3.976,18461,0
19980212,3.584,3.584,3.584,3.584,12971,0
19980213,3.64,3.64,3.64,3.64,5380,0
19980216,3.808,3.808,3.808,3.808,13131,0
19980217,3.948,3.948,3.948,3.948,21430,0
19980218,4.088,4.088,4.088,4.088,13485,0
19980219,4.032,4.032,4.032,4.032,20173,0
19980220,3.808,3.808,3.808,3.808,3913,0
19980223,3.92,3.92,3.92,3.92,6789,0
19980224,3.92,3.92,3.92,3.92,18014,0
19980225,3.836,3.836,3.836,3.836,49792,0
19980226,3.864,3.864,3.864,3.864,23606,0
19980227,3.92,3.92,3.92,3.92,7877,0
19980302,3.892,3.892,3.892,3.892,2935,0
19980303,3.864,3.864,3.864,3.864,3795,0
19980304,3.78,3.78,3.78,3.78,13983,0
19980305,3.724,3.724,3.724,3.724,7826,0
19980306,3.724,3.724,3.724,3.724,13814,0
19980309,3.808,3.808,3.808,3.808,5060,0
19980310,3.864,3.864,3.864,3.864,14590,0
19980311,3.612,3.612,3.612,3.612,3146,0
19980312,3.668,3.668,3.668,3.668,3415,0
19980313,3.864,3.864,3.864,3.864,11208,0
19980316,3.808,3.808,3.808,3.808,48122,0
19980317,3.724,3.724,3.724,3.724,6460,0
19980318,3.668,3.668,3.668,3.668,4900,0
19980319,3.78,3.78,3.78,3.78,7202,0
19980320,3.808,3.808,3.808,3.808,5735,0
19980323,3.64,3.64,3.64,3.64,4107,0
19980324,3.528,3.528,3.528,3.528,4529,0
19980325,3.612,3.612,3.612,3.612,5693,0
19980326,3.332,3.332,3.332,3.332,6747,0
19980327,3.444,3.444,3.444,3.444,6485,0
19980330,3.444,3.444,3.444,3.444,9243,0
19980331,3.388,3.388,3.388,3.388,9530,0
19980401,3.444,3.444,3.444,3.444,9209,0
19980402,3.388,3.388,3.388,3.388,1535,0
19980406,3.332,3.332,3.332,3.332,607,0
19980407,3.388,3.388,3.388,3.388,3432,0
19980408,3.416,3.416,3.416,3.416,9193,0
19980409,3.332,3.332,3.332,3.332,4217,0
19980414,3.332,3.332,3.332,3.332,4495,0
19980415,3.332,3.332,3.332,3.332,4217,0
19980416,3.248,3.248,3.248,3.248,421,0
19980417,3.192,3.192,3.192,3.192,2201,0
19980420,3.08,3.08,3.08,3.08,22830,0
19980421,3.192,3.192,3.192,3.192,24963,0
19980422,3.192,3.192,3.192,3.192,24458,0
19980423,3.108,3.108,3.108,3.108,10668,0
19980424,3.164,3.164,3.164,3.164,3711,0
19980427,3.248,3.248,3.248,3.248,43425,0
19980428,3.248,3.248,3.248,3.248,16623,0
19980429,3.332,3.332,3.332,3.332,2530,0
19980430,3.556,3.556,3.556,3.556,4217,0
19980504,3.556,3.556,3.556,3.556,2277,0
19980505,3.528,3.528,3.528,3.528,11503,0
19980506,3.192,3.192,3.192,3.192,4208,0
19980507,3.304,3.304,3.304,3.304,8434,0
19980508,3.304,3.304,3.304,3.304,4217,0
19980511,3.304,3.304,3.304,3.304,22771,0
19980512,3.248,3.248,3.248,3.248,9277,0
19980513,3.248,3.248,3.248,3.248,4217,0
19980514,3.22,3.22,3.22,3.22,5642,0
19980515,3.192,3.192,3.192,3.192,2901,0
19980518,3.08,3.08,3.08,3.08,1248,0
19980519,3.192,3.192,3.192,3.192,1282,0
19980520,2.884,2.884,2.884,2.884,4605,0
19980521,2.604,2.604,2.604,2.604,506,0
19980522,2.856,2.856,2.856,2.856,3711,0
19980525,2.968,2.968,2.968,2.968,4234,0
19980526,2.968,2.968,2.968,2.968,1029,0
19980527,2.968,2.968,2.968,2.968,1037,0
19980528,2.968,2.968,2.968,2.968,2505,0
19980529,2.968,2.968,2.968,2.968,1686,0
19980601,2.856,2.856,2.856,2.856,928,0
19980602,2.856,2.856,2.856,2.856,2015,0
19980603,2.828,2.828,2.828,2.828,1518,0
19980604,2.548,2.548,2.548,2.548,13510,0
19980605,2.324,2.324,2.324,2.324,12068,0
19980608,2.1,2.1,2.1,2.1,48097,0
19980609,2.128,2.128,2.128,2.128,6873,0
19980610,2.1,2.1,2.1,2.1,1493,0
19980615,1.96,1.96,1.96,1.96,582,0
19980616,1.96,1.96,1.96,1.96,2361,0
19980617,2.1,2.1,2.1,2.1,4385,0
19980618,2.1,2.1,2.1,2.1,5903,0
19980619,1.904,1.904,1.904,1.904,4428,0
19980622,1.904,1.904,1.904,1.904,3314,0
19980623,1.96,1.96,1.96,1.96,84,0
19980624,1.904,1.904,1.904,1.904,1619,0
19980625,1.904,1.904,1.904,1.904,3711,0
19980626,2.016,2.016,2.016,2.016,11099,0
19980629,2.016,2.016,2.016,2.016,1476,0
19980630,2.016,2.016,2.016,2.016,2800,0
19980701,2.044,2.044,2.044,2.044,843,0
19980702,2.1,2.1,2.1,2.1,1695,0
19980703,2.184,2.184,2.184,2.184,4436,0
19980706,2.408,2.408,2.408,2.408,15400,0
19980707,2.492,2.492,2.492,2.492,60073,0
19980708,2.324,2.324,2.324,2.324,3795,0
19980709,2.128,2.128,2.128,2.128,3373,0
19980710,2.24,2.24,2.24,2.24,3373,0
19980713,2.24,2.24,2.24,2.24,843,0
19980714,2.324,2.324,2.324,2.324,2159,0
19980715,2.38,2.38,2.38,2.38,5229,0
19980716,2.24,2.24,2.24,2.24,2732,0
19980717,2.24,2.24,2.24,2.24,2951,0
19980720,2.24,2.24,2.24,2.24,2623,0
19980721,2.24,2.24,2.24,2.24,1282,0
19980722,2.016,2.016,2.016,2.016,2201,0
19980723,2.016,2.016,2.016,2.016,2901,0
19980724,2.072,2.072,2.072,2.072,1012,0
19980727,2.268,2.268,2.268,2.268,4217,0
19980728,2.324,2.324,2.324,2.324,8113,0
19980729,2.1,2.1,2.1,2.1,4773,0
19980730,2.1,2.1,2.1,2.1,843,0
19980731,1.932,1.932,1.932,1.932,421,0
19980803,1.736,1.736,1.736,1.736,10559,0
19980804,1.652,1.652,1.652,1.652,5718,0
19980805,1.792,1.792,1.792,1.792,1940,0
19980806,1.876,1.876,1.876,1.876,8678,0
19980807,1.848,1.848,1.848,1.848,675,0
19980810,1.932,1.932,1.932,1.932,421,0
19980811,1.82,1.82,1.82,1.82,1560,0
19980812,1.708,1.708,1.708,1.708,421,0
19980813,1.792,1.792,1.792,1.792,1686,0
19980814,1.708,1.708,1.708,1.708,641,0
19980817,1.764,1.764,1.764,1.764,2530,0
19980818,1.736,1.736,1.736,1.736,177,0
19980819,1.568,1.568,1.568,1.568,472,0
19980820,1.652,1.652,1.652,1.652,843,0
19980821,1.568,1.568,1.568,1.568,3500,0
19980824,1.624,1.624,1.624,1.624,169,0
19980825,1.652,1.652,1.652,1.652,843,0
19980826,1.596,1.596,1.596,1.596,12650,0
19980827,1.456,1.456,1.456,1.456,717,0
19980828,1.316,1.316,1.316,1.316,320,0
19980831,1.26,1.26,1.26,1.26,5878,0
19980901,1.12,1.12,1.12,1.12,1805,0
19980902,1.008,1.008,1.008,1.008,24618,0
19980903,1.064,1.064,1.064,1.064,15737,0
19980904,1.12,1.12,1.12,1.12,10145,0
19980907,1.12,1.12,1.12,1.12,5828,0
19980908,1.12,1.12,1.12,1.12,5254,0
19980909,1.148,1.148,1.148,1.148,12144,0
19980910,1.148,1.148,1.148,1.148,3947,0
19980911,1.148,1.148,1.148,1.148,6485,0
19980914,1.036,1.036,1.036,1.036,4166,0
19980915,1.12,1.12,1.12,1.12,1771,0
19980916,1.092,1.092,1.092,1.092,1898,0
19980917,1.064,1.064,1.064,1.064,843,0
19980918,1.008,1.008,1.008,1.008,9193,0
19980921,1.008,1.008,1.008,1.008,843,0
19980922,1.036,1.036,1.036,1.036,2951,0
19980923,1.036,1.036,1.036,1.036,2530,0
19980924,1.064,1.064,1.064,1.064,10078,0
19980925,1.064,1.064,1.064,1.064,84,0
19980928,1.064,1.064,1.064,1.064,67,0
19980929,1.064,1.064,1.064,1.064,421,0
