Date,Open,High,Low,Close,Volume,OpenInt
20071123,22.972,23.403,22.753,22.972,363740,0
20071126,23.93,23.93,22.972,23.049,225776,0
20071127,22.972,22.992,22.972,22.992,117898,0
20071128,23.069,23.356,22.982,23.069,34177,0
20071129,22.972,23.069,22.972,23.069,1059,0
20071130,23.069,23.069,23.059,23.059,1151,0
20071203,22.992,23.002,22.992,23.002,3237,0
20071204,23.002,23.02,23.002,23.002,1658,0
20071205,22.982,23.93,22.982,23.93,286641,0
20071206,23.125,23.125,23.117,23.117,719,0
20071207,23.451,24.313,23.451,23.93,12584,0
20071210,23.93,23.93,23.882,23.93,1904,0
20071211,23.93,26.419,23.872,26.323,244589,0
20071212,24.887,27.759,24.887,27.759,45146,0
20071213,27.088,29.673,26.333,28.725,15990,0
20071214,28.668,29.176,28.238,28.725,4001,0
20071217,28.716,29.099,28.716,29.099,26452,0
20071218,29.099,31.588,27.759,28.716,27953,0
20071219,28.716,29.673,28.716,29.673,181103,0
20071220,29.673,32.43,28.716,32.43,72254,0
20071221,34.46,34.46,31.588,32.42,224362,0
20071227,32.545,34.363,32.066,32.545,217094,0
20071228,32.468,32.545,32.066,32.545,6941,0
20080102,37.331,37.331,30.344,33.502,110629,0
20080103,33.455,33.455,31.588,32.449,149486,0
20080104,31.588,32.066,30.362,30.362,283081,0
20080107,28.908,31.588,28.908,29.673,32846,0
20080108,30.152,31.588,29.673,31.3,393355,0
20080109,31.3,31.3,29.577,30.63,144574,0
20080110,29.156,29.577,29.156,29.577,15023,0
20080111,29.194,30.63,29.003,30.63,4081,0
20080114,29.845,30.63,28.773,30.63,5527,0
20080115,31.204,31.3,30.535,30.535,512825,0
20080116,30.344,30.344,29.386,29.386,42955,0
20080117,31.013,31.013,29.482,29.673,114792,0
20080118,30.152,30.152,30.152,30.152,4382,0
20080121,29.482,30.152,27.759,28.572,76075,0
20080122,27.759,28.572,27.759,28.515,53932,0
20080123,28.572,29.559,27.759,29.194,31499,0
20080124,30.152,30.152,28.716,29.194,11186,0
20080125,29.003,29.194,29.003,29.194,164686,0
20080128,29.194,29.559,29.146,29.559,53528,0
20080129,29.673,29.673,29.194,29.194,399958,0
20080130,29.194,29.194,29.194,29.194,1154,0
20080131,28.965,31.109,28.955,29.194,125298,0
20080201,29.673,29.673,29.194,29.204,138737,0
20080204,30.62,30.63,29.194,29.194,48169,0
20080205,29.204,29.204,29.204,29.204,3746,0
20080206,29.194,29.673,29.194,29.673,1139,0
20080207,29.673,29.673,29.673,29.673,423938,0
20080208,30.056,30.152,29.577,30.152,20499,0
20080211,30.152,31.081,29.673,30.152,23387,0
20080212,30.152,30.247,30.152,30.247,1089,0
20080213,31.081,31.109,29.692,31.109,3319,0
20080214,31.099,31.109,30.63,31.109,72059,0
20080215,31.099,31.588,31.089,31.588,14951,0
20080218,30.63,31.588,30.63,31.588,318233,0
20080219,31.588,31.588,30.63,30.63,11494,0
20080220,30.63,31.588,30.63,31.588,16642,0
20080221,32.545,33.502,32.545,33.502,2156,0
20080222,33.502,34.651,33.502,33.981,4262,0
20080225,33.693,35.656,33.502,35.416,84055,0
20080226,35.416,38.958,34.708,38.384,99156,0
20080227,38.288,38.288,36.383,36.383,24181,0
20080228,36.852,36.9,36.518,36.804,57898,0
20080229,36.613,36.613,36.556,36.556,18479,0
20080303,36.373,36.373,34.46,36.373,284196,0
20080304,37.331,37.331,35.895,36.23,191825,0
20080305,34.938,34.938,34.134,34.929,12238,0
20080306,34.335,36.842,34.077,36.756,12649,0
20080307,34.46,35.895,34.46,35.416,5750055,0
20080310,35.034,35.416,34.603,35.32,146150,0
20080311,34.938,35.416,34.468,35.416,49981,0
20080312,35.416,37.992,35.416,36.182,140344,0
20080313,36.182,37.235,35.436,37.235,31390,0
20080314,37.331,38.671,36.373,36.373,261289,0
20080317,35.952,35.952,34.124,34.46,149870,0
20080318,35.225,35.225,34.478,34.478,24297,0
20080319,34.46,35.704,33.981,35.416,681044,0
20080320,34.746,34.746,33.981,33.981,466506,0
20080325,33.981,35.416,32.64,34.938,66890,0
20080326,34.46,35.416,34.46,34.938,56219,0
20080327,34.574,35.866,34.574,35.416,230327,0
20080328,35.32,35.32,34.651,34.938,304362,0
20080331,34.516,34.516,34.363,34.363,63289,0
20080401,33.894,33.981,33.502,33.521,212322,0
20080402,33.521,33.521,32.555,33.262,504878,0
20080403,33.024,33.502,33.024,33.502,18744,0
20080404,33.024,33.502,33.024,33.024,160032,0
20080407,32.65,32.66,32.65,32.65,3778,0
20080408,32.65,32.736,32.449,32.545,59263,0
20080409,32.545,32.545,32.354,32.545,95878,0
20080410,32.354,32.354,32.076,32.152,7153,0
20080411,32.257,32.257,30.659,30.659,25777,0
20080414,30.717,30.717,30.171,30.535,42230,0
20080415,30.152,30.161,30.152,30.152,1998,0
20080416,30.152,31.568,30.152,31.109,15118,0
20080417,30.63,30.63,30.133,30.63,97176,0
20080418,30.152,30.63,29.673,30.152,33812,0
20080421,29.692,30.028,29.692,30.028,64250,0
20080422,29.673,29.673,28.716,28.716,125936,0
20080423,28.238,28.238,26.812,27.759,232414,0
20080424,27.759,28.716,27.759,28.046,137039,0
20080425,29.664,29.96,28.716,29.96,53256,0
20080428,29.673,34.268,29.673,34.268,15387,0
20080429,34.823,35.34,32.889,34.938,159565,0
20080430,33.502,34.411,33.397,33.397,87432,0
20080505,33.598,33.598,32.66,33.033,8708,0
20080506,33.024,34.45,33.024,34.45,45452,0
20080507,34.44,34.45,33.99,34.45,648,0
20080508,34.172,34.46,33.789,33.789,740685,0
