Date,Open,High,Low,Close,Volume,OpenInt
19970710,8.1192,8.1192,8.1192,8.1192,7126698,0
19970711,8.2921,8.2921,8.2921,8.2921,4507791,0
19970714,7.4652,7.4652,7.4652,7.4652,1152626,0
19970715,6.741,6.741,6.741,6.741,2408759,0
19970716,7.395,7.395,7.395,7.395,1651596,0
19970717,7.5353,7.6006,7.5353,7.6006,2226149,0
19970718,7.4278,7.4278,7.1895,7.2222,774007,0
19970721,7.4278,7.4278,7.3624,7.4278,1059100,0
19970722,7.4278,7.5353,7.4278,7.4652,686700,0
19970723,7.4978,7.4978,7.2923,7.3624,588848,0
19970724,7.4278,7.4278,7.3624,7.3624,717667,0
19970725,7.395,7.395,7.325,7.325,572795,0
19970728,7.2596,7.2596,7.1522,7.1522,597081,0
19970729,7.0868,7.2596,7.0868,7.1895,341733,0
19970730,7.1895,7.4278,7.1895,7.3624,380905,0
19970731,7.325,7.325,7.1522,7.1895,378753,0
19970801,7.1895,7.325,7.1895,7.1895,282671,0
19970804,7.2596,7.325,7.2596,7.2923,400905,0
19970805,7.325,7.4278,7.325,7.4278,592796,0
19970806,7.4278,7.4278,7.325,7.3624,433340,0
19970807,7.395,7.8808,7.395,7.8435,542197,0
19970808,7.7408,8.2921,7.7408,8.0865,1073198,0
19970811,7.9464,7.9464,7.7081,7.7408,771430,0
19970812,7.7081,7.9464,7.7081,7.8435,637847,0
19970813,7.9464,7.9464,7.9464,7.9464,854943,0
19970814,7.6707,7.7735,7.6381,7.6707,370687,0
19970818,7.5679,7.5679,7.3624,7.4278,356399,0
19970819,7.6707,7.9464,7.6707,7.8109,666732,0
19970820,7.8808,7.8808,7.7408,7.7735,653603,0
19970821,7.6006,7.6006,7.5353,7.5353,226492,0
19970822,7.4978,7.6707,7.4978,7.6381,217051,0
19970825,7.5353,7.6381,7.4278,7.4278,203288,0
19970826,7.4278,7.5679,7.4278,7.4978,237130,0
19970827,7.4978,7.5679,7.4978,7.5353,222878,0
19970828,7.7081,7.8808,7.7081,7.8435,887337,0
19970829,7.7735,7.7735,7.7081,7.7408,949529,0
19970901,7.6381,7.7081,7.6381,7.6381,252468,0
19970902,7.7735,7.8435,7.7735,7.8109,587170,0
19970903,7.8808,8.0538,7.8808,8.0164,1122668,0
19970904,7.8808,7.8808,7.7735,7.8109,584969,0
19970905,7.7735,7.9137,7.7735,7.8435,503635,0
19970908,7.8109,7.8109,7.7408,7.8109,199600,0
19970909,7.7081,7.7735,7.7081,7.7408,383580,0
19970910,7.7081,7.8109,7.7081,7.7408,373821,0
19970911,7.6381,7.7408,7.6381,7.7081,377373,0
19970912,7.7081,7.7735,7.7081,7.7408,340897,0
19970915,7.6707,7.7735,7.6707,7.7408,304499,0
19970916,7.6707,7.7081,7.6006,7.6006,338269,0
19970917,7.5679,7.5679,7.4978,7.5353,365797,0
19970918,7.4652,7.6006,7.4278,7.6006,532033,0
19970919,7.7735,7.9137,7.7735,7.9137,1354593,0
19970922,7.9464,7.9464,7.8109,7.8435,851988,0
19970923,7.8435,7.8435,7.7408,7.7735,580119,0
19970924,7.6381,7.7408,7.6381,7.7081,412666,0
19970925,7.5679,7.5679,7.4652,7.4978,608404,0
19970926,7.4652,7.4978,7.4278,7.4278,535497,0
19970929,7.4978,7.5679,7.4978,7.4978,429823,0
19970930,7.6381,7.6381,7.4978,7.5353,386557,0
19971001,7.6006,7.6381,7.5679,7.6381,672481,0
19971002,7.5679,7.5679,7.4978,7.4978,532194,0
19971003,7.6006,7.7408,7.6006,7.6707,1403926,0
19971006,7.6006,7.7408,7.6006,7.6707,1466678,0
19971007,7.6006,7.8435,7.6006,7.8109,1434018,0
19971008,7.8435,8.1565,7.8435,8.1192,2267949,0
19971009,7.9464,8.0538,7.9137,7.9137,2216620,0
19971010,7.8109,7.8435,7.7408,7.7408,1095501,0
19971013,7.8808,7.9837,7.8808,7.9837,952011,0
19971014,7.9464,8.0538,7.8808,7.9137,1152869,0
19971015,8.0538,8.0865,8.0164,8.0865,1718796,0
19971016,8.1192,8.1192,7.9837,8.0164,1066103,0
19971017,8.0538,8.1565,8.0538,8.1192,1186816,0
19971020,8.1565,8.2267,8.1565,8.1565,1730293,0
19971021,8.2593,8.4649,8.2593,8.4322,1486057,0
19971022,8.4649,8.6378,8.4649,8.5022,1704212,0
19971023,8.4322,8.4322,8.1192,8.1565,3153652,0
19971024,8.0865,8.2267,8.0865,8.1894,1739183,0
19971027,7.6707,7.7081,7.5353,7.5353,1816660,0
19971028,6.914,6.914,6.2226,6.3252,662639,0
19971029,7.5353,7.5353,7.0868,7.3624,2039923,0
19971030,7.1522,7.1522,6.914,7.0494,1893460,0
19971031,7.1194,7.1895,7.0868,7.1522,2238146,0
19971103,7.1522,7.2923,7.1522,7.2596,1324143,0
19971104,7.0167,7.0868,6.9466,6.9793,1480890,0
19971105,6.914,6.9466,6.8766,6.8766,1361338,0
19971106,7.0167,7.0167,6.9466,6.9466,777667,0
19971107,6.8438,6.8438,6.671,6.741,973236,0
19971112,6.741,6.741,6.2226,6.4281,1118699,0
19971113,6.1525,6.2226,6.0497,6.2226,1910263,0
19971114,6.3252,6.3252,6.185,6.2226,1410265,0
19971117,6.5309,6.5682,6.3953,6.5309,1329717,0
19971118,6.5682,6.5682,6.4281,6.461,1165750,0
19971119,6.0824,6.2226,6.0824,6.1151,961303,0
19971120,6.0824,6.0824,5.9796,6.0497,754577,0
19971121,6.2552,6.2552,6.1151,6.185,884464,0
19971124,5.6339,5.7367,5.4937,5.531,1751025,0
19971125,5.4611,5.4937,5.4237,5.4611,1557975,0
19971126,5.4937,5.4937,5.2881,5.3208,1224741,0
19971127,5.4237,5.4237,5.1481,5.1481,1448858,0
19971128,5.2509,5.2509,5.0452,5.1855,1454909,0
19971201,5.3911,5.4937,5.3911,5.4237,1621341,0
19971202,5.4611,5.4611,5.3583,5.3583,943633,0
19971203,5.3583,5.3583,5.2182,5.2881,657472,0
19971204,5.2509,5.3583,5.2182,5.2509,1341568,0
19971205,5.2182,5.2182,5.0452,5.1153,1171050,0
19971208,5.1153,5.1153,4.9752,5.0127,701610,0
19971209,5.0452,5.0452,4.9426,4.9752,597770,0
19971210,4.9426,4.9426,4.8396,4.8396,681738,0
19971211,4.5967,4.6296,4.4567,4.4941,1040999,0
19971212,4.4567,4.4941,4.4567,4.4567,1152428,0
19971215,4.5268,4.5967,4.4941,4.5268,1080564,0
19971216,4.5268,4.5268,4.3539,4.3865,1111529,0
19971217,4.424,4.424,4.1483,4.2183,919401,0
19971218,4.1483,4.181,4.0456,4.0783,1220547,0
19971219,3.9756,3.9756,3.8728,3.9054,1336355,0
19971222,3.8728,3.8728,3.7653,3.7653,913978,0
19971223,3.8026,3.8728,3.8026,3.8728,1060976,0
19971229,3.9756,4.181,3.9756,4.1483,2045380,0
19971230,4.3539,4.3865,4.2839,4.3539,1494560,0
19971231,4.4941,4.7323,4.4941,4.6668,1551903,0
19980105,4.6296,4.6296,4.3865,4.4567,1451117,0
19980106,4.424,4.424,4.1109,4.1483,779016,0
19980107,4.0082,4.0082,4.0082,4.0082,415529,0
19980108,3.9756,3.9756,3.8353,3.8728,1060340,0
19980109,3.9054,3.9054,3.8026,3.8728,1078258,0
19980112,3.5271,3.5597,3.4382,3.4569,1812153,0
19980113,3.6299,3.6299,3.5271,3.6299,1077639,0
19980114,3.8353,3.8353,3.7325,3.7325,1418780,0
19980115,3.6625,3.6625,3.5271,3.5597,1030620,0
19980116,3.7653,3.8728,3.7653,3.8728,1517219,0
19980119,4.0783,4.0783,3.9054,3.9756,1242431,0
19980120,3.9381,3.9381,3.8026,3.8728,830295,0
19980121,3.8728,3.8728,3.6999,3.6999,1213718,0
19980122,3.6625,3.6999,3.5924,3.6625,1501223,0
19980123,3.6625,3.8026,3.6625,3.7325,2232890,0
19980126,3.8026,3.8026,3.6625,3.6625,1631895,0
19980127,3.6999,3.7325,3.6625,3.6999,1733439,0
19980128,3.7325,3.8728,3.7325,3.8728,2253085,0
19980129,3.8728,4.0456,3.8353,3.8728,2609437,0
19980130,3.9054,3.9381,3.8728,3.9381,3432015,0
19980202,4.0783,4.3212,4.0783,4.2839,2639006,0
19980203,4.3212,4.3539,4.2183,4.3212,2870285,0
19980204,4.2512,4.3212,4.1483,4.3212,2900391,0
19980205,4.5268,4.9426,4.5268,4.9053,2225810,0
19980206,4.9752,5.5638,4.9752,5.3583,1836007,0
19980209,5.4611,5.5638,5.3911,5.4611,3933390,0
