Date,Open,High,Low,Close,Volume,OpenInt
20000526,38.547,38.547,38.547,38.547,355139,0
20000529,38.92,38.92,38.92,38.92,134286,0
20000530,40.031,40.031,40.031,40.031,106618,0
20000531,41.514,41.514,41.514,41.514,161296,0
20000601,42.105,42.105,42.105,42.105,117477,0
20000602,40.031,40.031,40.031,40.031,24624,0
20000605,40.404,40.404,40.404,40.404,47946,0
20000606,40.031,40.031,40.031,40.031,130158,0
20000607,41.367,41.367,41.367,41.367,96181,0
20000608,41.514,41.514,41.514,41.514,45533,0
20000609,42.183,42.183,42.183,42.183,51853,0
20000612,41.142,41.142,41.142,41.142,11430,0
20000613,41.514,41.514,41.514,41.514,20209,0
20000614,41.514,41.514,41.514,41.514,16570,0
20000615,40.404,40.404,40.404,40.404,10399,0
20000616,40.777,40.777,40.777,40.777,12359,0
20000619,39.51,39.51,39.51,39.51,7515,0
20000620,40.031,40.031,40.031,40.031,8314,0
20000621,39.51,39.51,39.51,39.51,3252,0
20000623,39.51,39.51,39.51,39.51,10840,0
20000626,39.293,39.293,39.293,39.293,13510,0
20000627,39.441,39.441,39.441,39.441,13133,0
20000628,40.031,40.031,40.031,40.031,10512,0
20000629,39.658,39.658,39.658,39.658,9477,0
20000630,39.293,39.293,39.293,39.293,4910,0
20000703,39.658,39.658,39.658,39.658,6885,0
20000704,38.99,38.99,38.99,38.99,917,0
20000705,38.99,38.99,38.99,38.99,5721,0
20000706,39.293,39.293,39.293,39.293,5550,0
20000707,39.293,39.293,39.293,39.293,5109,0
20000710,39.293,39.293,39.293,39.293,2697,0
20000711,38.477,38.477,38.477,38.477,1591,0
20000712,38.547,38.547,38.547,38.547,4209,0
20000713,38.027,38.027,38.027,38.027,4905,0
20000714,37.731,37.731,37.731,37.731,10251,0
20000717,36.916,36.916,36.916,36.916,11040,0
20000718,34.173,34.173,34.173,34.173,9194,0
20000719,36.1,36.1,36.1,36.1,9557,0
20000720,36.1,36.1,36.1,36.1,9174,0
20000721,36.473,36.473,36.473,36.473,10730,0
20000724,36.178,36.178,36.178,36.178,3101,0
20000725,36.1,36.1,36.1,36.1,4156,0
20000726,36.698,36.698,36.698,36.698,14004,0
20000727,36.62,36.62,36.62,36.62,2832,0
20000728,36.846,36.846,36.846,36.846,1359,0
20000731,36.178,36.178,36.178,36.178,3175,0
