Date,Open,High,Low,Close,Volume,OpenInt
19961119,18.312,18.312,18.312,18.312,34294,0
19961120,18.899,18.899,18.899,18.899,21456,0
19961121,20.788,20.788,20.788,20.788,20757,0
19961122,22.809,22.809,22.809,22.809,91302,0
19961125,23.005,23.005,23.005,23.005,27473,0
19961126,22.157,22.157,22.157,22.157,12818,0
19961127,21.506,21.506,21.506,21.506,15716,0
19961128,20.854,20.854,20.854,20.854,8870,0
19961129,22.548,22.548,22.548,22.548,14348,0
19961202,22.809,22.809,22.809,22.809,38801,0
19961203,23.461,23.461,23.461,23.461,29177,0
19961204,25.416,25.416,25.416,25.416,38953,0
19961205,26.393,26.393,26.393,26.393,47834,0
19961206,28.414,28.414,28.414,28.414,61820,0
19961209,27.045,27.045,27.045,27.045,40340,0
19961210,27.762,27.762,27.762,27.762,23557,0
19961211,29.326,29.326,29.326,29.326,15208,0
19961212,30.629,30.629,30.629,30.629,36224,0
19961213,30.629,30.629,30.629,30.629,39685,0
19961216,30.498,30.498,30.498,30.498,40001,0
19961217,29.326,29.326,29.326,29.326,27110,0
19961218,27.892,27.892,27.892,27.892,23842,0
19961219,29.326,29.326,29.326,29.326,24841,0
19961220,29.26,29.26,29.26,29.26,20488,0
19961223,27.11,27.11,27.11,27.11,21635,0
19961224,26.393,26.393,26.393,26.393,6991,0
19961230,27.501,27.501,27.501,27.501,25962,0
19961231,27.631,27.631,27.631,27.631,12358,0
19970102,27.371,27.371,27.371,27.371,6230,0
19970103,27.436,27.436,27.436,27.436,10406,0
19970106,27.371,27.371,27.371,27.371,8714,0
19970107,27.176,27.176,27.176,27.176,2539,0
19970108,28.153,28.153,28.153,28.153,10817,0
19970109,28.022,28.022,28.022,28.022,7120,0
19970110,28.414,28.414,28.414,28.414,8676,0
19970113,26.719,26.719,26.719,26.719,8440,0
19970114,26.784,26.784,26.784,26.784,9446,0
19970115,26.067,26.067,26.067,26.067,8958,0
19970116,26.067,26.067,26.067,26.067,44750,0
19970117,27.371,27.371,27.371,27.371,34654,0
19970120,30.107,30.107,30.107,30.107,39475,0
19970121,29.326,29.326,29.326,29.326,12720,0
19970122,27.697,27.697,27.697,27.697,43688,0
19970123,27.371,27.371,27.371,27.371,36243,0
19970124,26.719,26.719,26.719,26.719,42797,0
19970127,26.654,26.654,26.654,26.654,17090,0
19970128,26.719,26.719,26.719,26.719,10479,0
19970129,24.047,24.047,24.047,24.047,11497,0
19970130,25.286,25.286,25.286,25.286,49831,0
19970131,23.461,23.461,23.461,23.461,33418,0
19970203,24.764,24.764,24.764,24.764,26410,0
19970204,23.982,23.982,23.982,23.982,17785,0
19970205,24.373,24.373,24.373,24.373,10319,0
19970206,25.416,25.416,25.416,25.416,26126,0
19970207,27.762,27.762,27.762,27.762,42684,0
19970210,28.022,28.022,28.022,28.022,19949,0
19970211,27.24,27.24,27.24,27.24,22650,0
19970212,28.022,28.022,28.022,28.022,17700,0
19970213,26.719,26.719,26.719,26.719,13194,0
19970214,27.371,27.371,27.371,27.371,17501,0
19970217,26.915,26.915,26.915,26.915,12707,0
19970218,28.869,28.869,28.869,28.869,37133,0
19970219,29.13,29.13,29.13,29.13,29197,0
19970220,29.13,29.13,29.13,29.13,28767,0
19970221,29.326,29.326,29.326,29.326,24739,0
19970224,32.258,32.258,32.258,32.258,40407,0
19970225,33.236,33.236,33.236,33.236,39551,0
19970226,31.933,31.933,31.933,31.933,43357,0
19970227,28.739,28.739,28.739,28.739,51115,0
19970228,26.98,26.98,26.98,26.98,22481,0
19970303,27.371,27.371,27.371,27.371,26068,0
19970304,28.348,28.348,28.348,28.348,41432,0
19970305,28.022,28.022,28.022,28.022,23233,0
19970306,29.13,29.13,29.13,29.13,26417,0
19970307,30.303,30.303,30.303,30.303,24634,0
19970310,29.912,29.912,29.912,29.912,23236,0
19970311,30.695,30.695,30.695,30.695,17886,0
19970312,31.281,31.281,31.281,31.281,44005,0
19970313,31.281,31.281,31.281,31.281,41159,0
19970314,30.564,30.564,30.564,30.564,47621,0
19970317,31.477,31.477,31.477,31.477,17045,0
19970318,32.584,32.584,32.584,32.584,47584,0
19970319,31.933,31.933,31.933,31.933,32742,0
19970320,30.955,30.955,30.955,30.955,41366,0
19970321,30.955,30.955,30.955,30.955,10467,0
19970324,32.91,32.91,32.91,32.91,22485,0
19970325,33.887,33.887,33.887,33.887,38730,0
19970326,35.843,35.843,35.843,35.843,41193,0
19970327,35.843,35.843,35.843,35.843,28626,0
19970401,32.258,32.258,32.258,32.258,31371,0
19970402,32.584,32.584,32.584,32.584,31856,0
19970403,31.281,31.281,31.281,31.281,26150,0
19970404,31.933,31.933,31.933,31.933,15877,0
19970407,34.865,34.865,34.865,34.865,37817,0
19970408,34.539,34.539,34.539,34.539,10727,0
19970409,33.887,33.887,33.887,33.887,30322,0
19970410,32.584,32.584,32.584,32.584,21575,0
19970411,33.562,33.562,33.562,33.562,17758,0
19970414,32.584,32.584,32.584,32.584,31166,0
19970415,32.584,32.584,32.584,32.584,17585,0
19970416,33.887,33.887,33.887,33.887,26573,0
19970417,32.584,32.584,32.584,32.584,21575,0
19970418,32.584,32.584,32.584,32.584,13197,0
19970421,33.887,33.887,33.887,33.887,124824,0
19970422,35.843,35.843,35.843,35.843,37847,0
19970423,39.427,39.427,39.427,39.427,39959,0
19970424,38.449,38.449,38.449,38.449,29220,0
19970425,37.797,37.797,37.797,37.797,13679,0
19970428,34.865,34.865,34.865,34.865,10009,0
19970429,35.843,35.843,35.843,35.843,19795,0
19970430,37.797,37.797,37.797,37.797,27330,0
19970505,41.056,41.056,41.056,41.056,27085,0
19970506,40.405,40.405,40.405,40.405,19614,0
19970507,39.753,39.753,39.753,39.753,17836,0
19970508,40.078,40.078,40.078,40.078,12641,0
19970509,39.753,39.753,39.753,39.753,16854,0
19970512,39.101,39.101,39.101,39.101,20293,0
19970513,39.753,39.753,39.753,39.753,13094,0
19970514,39.101,39.101,39.101,39.101,24207,0
19970515,39.101,39.101,39.101,39.101,14731,0
19970516,37.797,37.797,37.797,37.797,12739,0
19970519,37.797,37.797,37.797,37.797,6971,0
19970520,37.146,37.146,37.146,37.146,10823,0
19970521,37.146,37.146,37.146,37.146,26140,0
19970522,36.82,36.82,36.82,36.82,12739,0
19970523,35.517,35.517,35.517,35.517,14373,0
19970526,35.191,35.191,35.191,35.191,14705,0
19970527,35.191,35.191,35.191,35.191,14963,0
19970528,35.517,35.517,35.517,35.517,16288,0
19970530,33.887,33.887,33.887,33.887,1844,0
19970602,36.168,36.168,36.168,36.168,4286,0
19970603,35.843,35.843,35.843,35.843,15079,0
19970604,33.887,33.887,33.887,33.887,15463,0
19970605,34.214,34.214,34.214,34.214,12538,0
19970606,34.214,34.214,34.214,34.214,9558,0
19970609,33.887,33.887,33.887,33.887,4545,0
19970610,33.236,33.236,33.236,33.236,1781,0
19970611,32.91,32.91,32.91,32.91,11578,0
19970612,33.236,33.236,33.236,33.236,6469,0
19970613,32.91,32.91,32.91,32.91,6675,0
19970616,32.584,32.584,32.584,32.584,6639,0
19970617,31.867,31.867,31.867,31.867,3016,0
19970618,31.607,31.607,31.607,31.607,3879,0
19970619,31.541,31.541,31.541,31.541,8419,0
19970620,32.91,32.91,32.91,32.91,2688,0
19970623,32.193,32.193,32.193,32.193,4349,0
19970624,31.867,31.867,31.867,31.867,4754,0
19970625,32.193,32.193,32.193,32.193,7750,0
19970626,31.802,31.802,31.802,31.802,5086,0
19970627,32.128,32.128,32.128,32.128,4234,0
19970630,32.91,32.91,32.91,32.91,9730,0
19970701,32.258,32.258,32.258,32.258,5113,0
19970702,32.584,32.584,32.584,32.584,5572,0
