Date,Open,High,Low,Close,Volume,OpenInt
20070709,39.434,40.935,35.64,39.315,735623,0
20070710,39.197,40.144,38.998,39.512,199272,0
20070711,39.355,41.013,37.932,41.013,43937,0
20070712,41.132,42.673,41.132,42.515,30216,0
20070713,43.701,48.205,43.701,47.849,46760,0
20070716,45.834,48.205,41.488,47.296,36919,0
20070717,46.506,46.506,44.293,44.412,37323,0
20070718,44.253,44.253,41.409,41.882,46830,0
20070719,41.092,42.95,41.092,42.001,7580,0
20070720,43.463,43.463,42.08,42.673,4337,0
20070723,42.673,42.91,40.618,41.092,18451,0
20070724,39.63,41.053,37.932,39.512,59019,0
20070725,39.504,39.504,37.142,38.707,6367,0
20070726,38.485,39.907,38.485,39.512,17858,0
20070727,38.73,39.512,38.722,39.512,80439,0
20070730,39.67,41.092,39.67,40.618,5382,0
20070731,41.092,41.882,40.302,41.488,3347,0
20070801,41.092,41.092,39.235,40.302,81495,0
20070802,41.409,41.409,39.591,41.092,1776,0
20070803,40.302,41.882,39.749,41.013,8185,0
20070806,40.302,40.302,38.998,38.998,4950,0
20070807,40.698,40.698,37.545,38.248,2808,0
20070808,38.248,39.11,36.865,37.536,3366,0
20070809,37.496,37.496,36.51,36.51,1073,0
20070810,36.193,36.51,33.981,34.612,1496,0
20070813,34.218,35.876,32.795,34.77,2861,0
20070814,35.514,35.514,33.981,34.06,2455,0
20070816,32.4,32.4,27.737,30.424,9141,0
20070817,30.819,31.926,29.175,31.926,11196,0
20070820,33.427,33.521,32.321,33.182,3063,0
20070821,32.4,33.103,30.899,33.095,5665,0
20070822,33.095,33.111,31.609,32.708,21653,0
20070823,33.688,33.688,31.846,33.19,21832,0
20070824,33.111,33.111,32.447,32.716,4307,0
20070827,32.708,32.795,31.215,32.795,9933,0
20070828,32.913,34.763,32.4,34.763,9911,0
20070829,32.795,34.691,32.795,34.691,3514,0
20070830,34.731,34.929,33.981,34.139,5749,0
20070831,35.008,35.142,34.265,35.118,5932,0
20070903,35.166,35.561,34.407,35.482,1366,0
20070904,35.008,35.987,35.008,35.987,3982,0
20070905,35.561,35.561,35.015,35.015,1019,0
20070906,34.77,36.272,33.988,35.798,7854,0
20070907,35.798,35.876,34.494,35.774,6595,0
20070910,35.166,35.955,34.612,35.955,4260,0
20070911,35.955,37.457,35.955,37.457,30816,0
20070912,36.074,37.536,36.074,37.536,1278,0
20070913,37.449,37.536,36.352,37.536,1951,0
20070914,37.536,37.536,36.359,37.457,1564,0
20070917,36.746,37.758,36.746,37.457,5730,0
20070918,37.142,37.457,36.825,37.457,678,0
20070919,38.248,38.722,37.221,38.327,2635,0
20070920,38.327,39.512,37.181,39.434,7380,0
20070921,39.448,39.512,37.536,39.473,3544,0
20070924,39.116,40.302,38.462,40.302,1015,0
20070925,39.551,40.302,38.587,40.302,1933,0
20070926,39.907,40.144,39.156,39.868,1129,0
20070927,39.276,39.512,38.879,39.512,777,0
20070928,38.801,38.809,37.536,37.536,2973,0
20071001,37.142,37.853,36.746,37.853,1842,0
20071002,37.893,37.932,36.825,37.528,1177,0
20071003,37.457,37.773,37.196,37.575,1285,0
20071004,37.608,37.608,36.352,37.3,9812,0
20071005,37.814,37.814,36.004,37.046,8653,0
20071008,36.746,39.11,36.352,38.327,2410,0
20071009,38.722,39.11,37.536,38.634,1430,0
20071010,38.643,38.643,36.825,37.908,8487,0
20071011,36.755,38.327,36.755,37.932,10598,0
20071012,38.248,38.248,37.932,38.24,7074,0
20071015,37.853,38.248,37.221,38.169,9648,0
20071016,37.536,38.287,37.142,37.142,953,0
20071017,37.142,37.932,37.142,37.932,841,0
20071018,37.142,38.643,36.865,38.31,11722,0
20071019,38.327,39.101,37.189,39.101,4776,0
20071022,39.037,39.11,38.722,39.101,12228,0
20071023,38.485,38.722,38.098,38.722,2347,0
20071024,38.722,39.355,37.932,39.355,1949,0
20071025,39.434,39.907,38.413,39.512,7227,0
20071026,39.473,40.263,38.524,39.037,5710,0
20071029,39.591,40.302,39.512,40.302,2622,0
