Date,Open,High,Low,Close,Volume,OpenInt
20110412,6.7346,7.1646,6.7276,7.0469,782352,0
20110413,7.0744,7.2131,7.0191,7.0398,259540,0
20110414,7.0191,7.0191,6.8732,6.915,87603,0
20110415,6.9081,6.9356,6.6097,6.8664,98038,0
20110418,6.8594,7.0398,6.7346,6.9356,128665,0
20110419,6.8664,7.1022,6.8664,7.0675,51062,0
20110420,7.0051,7.0744,6.9704,7.0051,15081,0
20110421,7.0051,7.1022,6.9428,7.0884,142079,0
20110426,7.1092,7.4558,7.1092,7.3935,118408,0
20110427,7.3935,7.8997,7.3519,7.7404,121576,0
20110428,7.7056,7.872,7.6987,7.7957,35615,0
20110429,7.6987,7.8096,7.6987,7.7472,12908,0
20110502,7.6987,7.6987,7.5739,7.6709,9907,0
20110504,7.6017,7.7749,7.2826,7.7333,57961,0
20110505,7.6987,7.8028,7.4906,7.7749,26631,0
20110506,7.7681,7.8581,7.5044,7.8581,50029,0
20110509,7.7472,7.8651,7.5599,7.8028,14260,0
20110510,7.761,7.8373,7.5877,7.8028,22310,0
20110511,7.5946,7.8373,7.5946,7.7957,23556,0
20110512,7.6779,7.8305,7.6779,7.8234,25352,0
20110513,7.7333,7.8305,7.7333,7.7889,25234,0
20110516,7.7681,7.8305,7.6641,7.7333,30792,0
20110517,7.6363,7.7681,7.5946,7.6294,16906,0
20110518,7.6294,7.8373,7.6294,7.8373,52626,0
20110519,7.8305,8.1773,7.6641,8.0733,48077,0
20110520,7.9895,8.1144,7.9761,8.0944,16591,0
20110523,7.9829,7.9829,7.8305,7.9761,11287,0
20110524,7.8581,7.9829,7.8581,7.9829,4922,0
20110525,7.9761,7.9761,7.7126,7.9069,26052,0
20110526,7.7404,7.9694,7.7194,7.8929,1998,0
20110527,7.9694,7.9761,7.6363,7.8028,4654,0
20110530,7.6987,8.1078,7.6294,7.9275,25046,0
20110531,7.9069,7.9206,7.6363,7.6987,4163,0
20110601,7.6641,7.7681,7.5669,7.7681,2784,0
20110602,7.761,7.8373,7.6294,7.8028,8650,0
20110603,7.6363,7.8373,7.6363,7.8373,8920,0
20110606,7.6363,7.8028,7.6294,7.6987,3857,0
20110607,7.6987,7.7681,7.0051,7.6224,9817,0
20110608,7.6224,7.761,7.3728,7.7333,7555,0
20110609,7.5599,7.6918,7.5599,7.6294,3734,0
20110610,7.6294,7.6294,7.5599,7.6294,4051,0
20110613,7.5599,7.6294,7.5599,7.6224,5070,0
20110614,7.3728,7.6641,7.3519,7.5531,36439,0
20110615,7.3519,7.5531,7.1438,7.4906,7131,0
20110616,7.1856,7.5531,7.1438,7.3519,6637,0
20110617,7.1092,7.3033,7.1092,7.1646,4697,0
20110620,7.1092,7.1092,6.8664,7.0675,24756,0
20110621,6.9356,6.9356,6.8664,6.9356,2347,0
20110622,6.9356,6.9981,6.8732,6.9356,43987,0
20110624,6.8387,6.8664,6.8387,6.8456,1921,0
20110627,6.8456,6.9356,6.7623,6.9288,2802,0
20110628,6.7623,6.8317,6.7276,6.7276,4660,0
20110629,6.7276,6.9288,6.5959,6.9288,9198,0
20110630,6.901,6.901,6.6375,6.8942,1834,0
20110701,6.6029,6.9219,6.6029,6.915,6910,0
20110704,6.915,6.9219,6.915,6.915,1890,0
20110705,6.6653,6.8594,6.6653,6.7969,4614,0
20110706,6.7901,6.7969,6.7901,6.7969,2162,0
20110707,6.7969,6.7969,6.7276,6.7901,5173,0
20110708,6.6029,6.8247,6.6029,6.7484,5463,0
20110711,6.6375,6.7901,6.589,6.7831,3379,0
20110712,6.589,6.7416,6.4989,6.7346,2439,0
20110713,6.589,6.7762,6.5334,6.7554,3334,0
20110714,6.589,6.7416,6.5681,6.6375,3019,0
20110715,6.3878,6.589,6.3878,6.5819,11500,0
20110718,6.5752,6.5819,5.937,6.2421,30380,0
20110719,6.0342,6.2421,5.9994,5.9994,3442,0
20110720,5.9994,6.0342,5.8954,6.0272,839,0
20110721,5.9301,6.0272,5.9301,6.0272,229,0
20110722,5.9301,6.0481,5.9301,6.0481,1035,0
20110725,5.937,5.937,5.8954,5.9301,3394,0
20110726,5.8954,5.8954,5.833,5.8954,1606,0
20110727,5.9648,5.9648,5.7567,5.9301,597,0
20110728,5.7567,5.9301,5.618,5.9301,323,0
20110729,5.9301,5.9301,5.6319,5.6873,3627,0
20110801,5.618,5.6526,5.2156,5.3614,3704,0
20110802,5.3891,5.5417,5.2296,5.5417,5529,0
20110803,5.6804,5.6804,5.1256,5.4723,29604,0
20110804,5.2088,5.2088,5.07,5.2019,7003,0
20110805,4.9036,5.2019,4.7856,5.2019,7329,0
20110808,4.8551,5.2504,4.7856,5.0216,38895,0
20110809,4.6469,4.6538,4.1615,4.2308,17020,0
20110810,4.2308,4.5081,3.9534,4.2308,24184,0
20110811,4.1615,4.5776,4.0367,4.3695,10742,0
20110812,4.8203,4.8203,4.5776,4.7163,3633,0
20110816,4.8203,5.188,4.8203,5.188,2866,0
20110817,5.2019,5.2019,5.1463,5.1463,364,0
20110818,4.9244,4.9244,4.5776,4.8897,2665,0
20110819,4.6817,4.8412,4.6817,4.8412,2884,0
20110822,4.7163,4.7163,4.7163,4.7163,43,0
20110823,4.8551,4.8551,4.5081,4.5081,2822,0
20110824,4.5081,4.5081,4.5081,4.5081,1814,0
20110825,4.5081,4.5081,4.5081,4.5081,228,0
20110826,4.5081,4.5081,4.5081,4.5081,278,0
20110829,4.5081,4.8203,4.1615,4.1961,7884,0
20110830,4.2308,4.5014,4.2308,4.3002,2755,0
20110831,4.5014,4.5638,4.1615,4.1822,3915,0
20110901,4.3002,4.3002,4.1615,4.1615,1500,0
20110902,4.1615,4.1615,3.8841,3.8841,621,0
20110905,3.7454,3.8841,3.6135,3.6205,5084,0
20110906,3.6205,3.6205,3.5372,3.5372,1957,0
20110907,3.5372,3.8079,3.468,3.8079,13688,0
20110908,3.8147,3.8147,3.6759,3.8147,5333,0
20110909,4.0228,4.3695,4.0228,4.3348,6441,0
20110912,4.1615,4.1615,3.8147,4.092,15867,0
20110913,4.092,4.1059,3.7522,4.0853,4422,0
20110914,4.1615,4.3348,4.0853,4.0853,5392,0
20110915,4.0853,4.3695,4.0853,4.3695,19748,0
20110916,4.3903,4.3903,4.3695,4.3903,1837,0
20110919,4.0853,4.3833,4.0853,4.3833,1196,0
20110921,4.092,4.092,4.092,4.092,287,0
20110922,4.092,4.2239,4.092,4.2239,6921,0
20110923,4.1893,4.2656,4.0228,4.2656,4087,0
20110926,4.0575,4.0575,4.0228,4.0297,2237,0
20110927,4.0297,4.0297,3.8356,4.0158,4105,0
20110929,3.7522,3.9812,3.6066,3.8494,63148,0
20110930,3.8771,3.9881,3.8147,3.8147,1972,0
20111003,3.7383,3.7383,3.7106,3.7106,931,0
20111004,3.5372,3.8356,3.5372,3.8356,750,0
20111005,3.8147,3.8147,3.8079,3.8147,1455,0
20111006,3.7454,3.9672,3.6135,3.6135,2903,0
20111007,3.6759,3.6759,3.5719,3.6759,3579,0
20111010,3.6898,3.6898,3.6759,3.6829,5196,0
20111011,3.6898,3.6898,3.6898,3.6898,1441,0
20111012,3.7176,3.7176,3.7176,3.7176,2389,0
20111013,3.7454,3.7454,3.7454,3.7454,2507,0
20111014,3.8147,3.8217,3.8147,3.8217,12672,0
20111017,3.8563,3.8563,3.8563,3.8563,50,0
20111018,3.8563,3.8563,3.8494,3.8563,1753,0
20111019,3.8494,3.8494,3.8494,3.8494,3451,0
20111020,3.8494,3.8494,3.8494,3.8494,203,0
20111021,3.8841,3.8841,3.8841,3.8841,216,0
20111024,3.8494,3.9534,3.8494,3.9534,6856,0
20111025,3.891,4.3002,3.8841,4.3002,3074,0
20111026,4.2656,4.3002,4.0297,4.0297,7550,0
20111027,4.3002,4.4319,4.3002,4.425,1011,0
20111028,4.425,4.425,4.3348,4.425,797,0
20111031,4.425,4.425,4.425,4.425,162,0
20111102,4.4181,4.4389,4.1059,4.1059,8482,0
20111103,4.4319,4.5014,4.21,4.2169,5485,0
20111104,4.2239,4.2239,4.2239,4.2239,1580,0
20111107,4.2378,4.2378,4.1059,4.2378,3569,0
20111108,4.2308,4.3626,4.2308,4.3626,473,0
20111109,4.3626,4.3626,3.8841,3.8841,7318,0
20111110,4.0228,4.2656,4.0228,4.2656,1619,0
20111114,4.2656,4.2656,4.2656,4.2656,25,0
20111115,4.2308,4.2585,4.1961,4.2585,405,0
20111116,4.2169,4.2585,4.2169,4.2585,299,0
20111117,4.0158,4.1615,3.891,4.1615,1507,0
20111118,4.1615,4.2656,4.0228,4.2656,827,0
20111123,3.7522,4.1615,3.7522,4.1615,644,0
20111125,4.1545,4.1545,4.1545,4.1545,95,0
20111129,3.7661,4.1615,3.7661,4.1615,1643,0
20111130,4.16,4.3026,3.8669,4.16,3465,0
20111201,4.1406,4.1406,4.1269,4.1269,29688,0
20111202,4.1199,4.1615,4.1199,4.1615,1364,0
20111205,4.1545,4.1545,3.8563,4.1476,300,0
