Date,Open,High,Low,Close,Volume,OpenInt
20080214,8.6512,8.6512,3.7008,3.8257,278603,0
20080215,3.7488,5.6713,3.6239,5.0465,242330,0
20080218,5.0465,7.2574,5.0465,6.6806,284121,0
20080219,6.7767,7.4112,5.8636,6.1039,131338,0
20080220,6.2481,6.7287,5.3829,5.7578,57982,0
20080221,5.7674,5.9597,5.1619,5.3157,43366,0
20080222,5.1426,5.2772,4.5371,5.0753,39115,0
20080225,4.9984,5.6713,4.5851,4.8158,88260,0
20080226,4.9023,4.9023,4.1333,4.2295,132832,0
20080227,4.3064,4.7389,4.2487,4.5755,75098,0
20080228,4.614,5.1715,4.3256,4.4698,54690,0
20080229,4.5274,4.9023,4.2487,4.5563,36810,0
20080303,4.2775,4.4025,4.0372,4.4025,13921,0
20080304,4.191,5.1907,4.191,4.8062,57488,0
20080305,5.0369,5.0753,4.4025,4.6332,58526,0
20080306,4.5371,4.6524,4.4698,4.5755,14827,0
20080307,4.5947,4.5947,4.4409,4.5659,3260,0
20080310,4.4794,4.4794,4.1814,4.3256,15485,0
20080311,4.3064,4.3064,4.0564,4.2006,11708,0
20080312,4.2775,4.2775,3.9988,4.0853,17471,0
20080313,3.9988,4.9984,3.9603,4.4794,101859,0
20080314,4.5659,4.8062,4.2775,4.5274,25255,0
20080317,4.2295,4.2295,3.6239,3.8257,93863,0
20080318,3.7584,3.9891,3.6335,3.9891,14765,0
20080319,4.0853,4.0853,3.893,3.893,147,0
20080320,3.9891,3.9891,3.7008,3.7777,3091,0
20080325,3.9411,3.9411,3.7681,3.8834,8139,0
20080326,3.7969,3.9219,3.6623,3.7008,17795,0
20080327,3.7296,3.7296,3.6623,3.7008,2692,0
20080328,4.0372,4.0372,3.6816,3.7008,6033,0
20080331,3.6527,3.7296,3.5662,3.7296,4609,0
20080401,3.6143,3.7296,3.6143,3.6239,1129,0
20080402,3.6335,3.6527,3.5085,3.6527,4080,0
20080403,3.4605,3.6143,3.3163,3.5278,7391,0
20080404,3.5181,3.5181,3.2682,3.4124,11940,0
20080407,3.4124,3.7777,3.4124,3.6816,9086,0
