Date,Open,High,Low,Close,Volume,OpenInt
19970210,43.777,43.777,43.777,43.777,315505,0
19970211,34.493,34.493,34.493,34.493,558845,0
19970212,26.879,26.879,26.879,26.879,328647,0
19970213,30.413,30.413,30.413,30.413,146907,0
19970214,33.536,33.536,33.536,33.536,109560,0
19970217,38.053,38.053,38.053,38.053,140295,0
19970218,35.593,35.593,35.593,35.593,100852,0
19970219,33.998,33.998,33.998,33.998,74739,0
19970220,33.628,33.628,33.628,33.628,111060,0
19970221,33.242,33.242,33.242,33.242,43708,0
19970224,33.277,33.277,33.277,33.277,48305,0
19970225,33.267,33.267,33.267,33.267,47161,0
19970226,33.023,33.023,33.023,33.023,31391,0
19970227,33.049,33.049,33.049,33.049,99697,0
19970228,34.628,34.628,34.628,34.628,36548,0
19970303,33.989,33.989,33.989,33.989,35404,0
19970304,32.831,32.831,32.831,32.831,24636,0
19970305,31.689,31.689,31.689,31.689,39776,0
19970306,31.588,31.588,31.588,31.588,21228,0
19970307,31.177,31.177,31.177,31.177,25328,0
19970310,30.925,30.925,30.925,30.925,14152,0
19970311,30.741,30.741,30.741,30.741,22539,0
19970312,30.959,30.959,30.959,30.959,10793,0
19970313,30.9,30.9,30.9,30.9,11923,0
19970314,30.841,30.841,30.841,30.841,10257,0
19970317,30.59,30.59,30.59,30.59,13867,0
19970318,29.935,29.935,29.935,29.935,21277,0
19970319,29.793,29.793,29.793,29.793,17345,0
19970320,29.607,29.607,29.607,29.607,13997,0
19970321,28.818,28.818,28.818,28.818,75097,0
19970324,28.457,28.457,28.457,28.457,33034,0
19970325,27.853,27.853,27.853,27.853,29983,0
19970326,27.029,27.029,27.029,27.029,33427,0
19970327,27.928,27.928,27.928,27.928,58861,0
19970328,27.643,27.643,27.643,27.643,43529,0
19970401,27.399,27.399,27.399,27.399,5110,0
19970402,28.139,28.139,28.139,28.139,28554,0
19970403,30.481,30.481,30.481,30.481,51224,0
19970404,29.742,29.742,29.742,29.742,22361,0
19970407,28.415,28.415,28.415,28.415,20215,0
19970408,29.104,29.104,29.104,29.104,7137,0
19970409,29.154,29.154,29.154,29.154,12128,0
19970410,28.978,28.978,28.978,28.978,15497,0
19970411,29.725,29.725,29.725,29.725,10876,0
19970414,29.49,29.49,29.49,29.49,12055,0
19970415,29.229,29.229,29.229,29.229,8923,0
19970416,29.087,29.087,29.087,29.087,6541,0
19970417,29.742,29.742,29.742,29.742,8840,0
19970418,29.658,29.658,29.658,29.658,11495,0
19970421,29.348,29.348,29.348,29.348,8208,0
19970422,29.095,29.095,29.095,29.095,17606,0
19970423,29.22,29.22,29.22,29.22,21430,0
19970424,29.322,29.322,29.322,29.322,18953,0
19970425,29.422,29.422,29.422,29.422,21371,0
19970428,29.087,29.087,29.087,29.087,5895,0
19970429,28.928,28.928,28.928,28.928,9817,0
19970430,29.02,29.02,29.02,29.02,5278,0
19970505,29.003,29.003,29.003,29.003,8245,0
19970506,29.011,29.011,29.011,29.011,11842,0
19970507,29.154,29.154,29.154,29.154,16964,0
19970508,29.809,29.809,29.809,29.809,20846,0
19970509,30.397,30.397,30.397,30.397,43732,0
19970512,29.515,29.515,29.515,29.515,38346,0
19970513,29.145,29.145,29.145,29.145,33010,0
19970514,29.011,29.011,29.011,29.011,61659,0
19970515,28.448,28.448,28.448,28.448,36417,0
19970516,28.508,28.508,28.508,28.508,29235,0
19970519,28.348,28.348,28.348,28.348,4109,0
19970520,28.474,28.474,28.474,28.474,6017,0
19970521,28.969,28.969,28.969,28.969,50498,0
19970522,28.928,28.928,28.928,28.928,11460,0
19970523,29.011,29.011,29.011,29.011,7589,0
19970526,28.901,28.901,28.901,28.901,8017,0
19970527,28.852,28.852,28.852,28.852,9458,0
19970528,28.44,28.44,28.44,28.44,16190,0
19970529,29.02,29.02,29.02,29.02,17690,0
19970530,28.918,28.918,28.918,28.918,7137,0
19970602,28.357,28.357,28.357,28.357,8279,0
