Date,Open,High,Low,Close,Volume,OpenInt
20110510,38.982,41.07,38.336,40.884,946419,0
20110511,40.786,40.786,40.197,40.197,56374,0
20110512,39.894,40.678,39.041,40.189,78075,0
20110513,39.796,39.875,39.6,39.727,12694,0
20110516,39.747,40.09,39.679,39.983,40613,0
20110517,39.894,39.973,39.6,39.61,70865,0
20110518,39.698,39.825,39.61,39.698,8046,0
20110519,39.698,39.757,38.668,39.747,23964,0
20110520,39.777,39.777,39.433,39.698,22128,0
20110523,39.708,39.708,39.423,39.502,40206,0
20110524,39.208,39.698,38.816,39.698,42314,0
20110525,39.6,40.189,39.6,40.189,9398,0
20110526,39.943,40.58,39.894,39.894,34016,0
20110527,39.61,39.992,39.61,39.943,10144,0
20110530,39.659,39.796,39.306,39.316,15352,0
20110531,39.247,40.855,39.198,40.639,61667,0
20110601,40.639,40.639,39.698,40.531,1558,0
20110602,40.482,40.482,39.698,40.375,6177,0
20110603,39.747,40.335,39.698,39.747,5924,0
20110606,39.61,40.189,39.404,40.189,39009,0
20110607,39.698,40.189,39.698,40.189,55325,0
20110608,39.698,40.189,39.698,40.189,120459,0
20110609,39.992,39.992,39.698,39.698,38574,0
20110610,39.6,39.698,39.306,39.698,57970,0
20110613,39.6,39.796,39.6,39.747,22314,0
20110614,39.247,39.512,39.247,39.512,58982,0
20110615,39.218,39.698,39.218,39.679,12003,0
20110616,37.444,39.257,37.444,39.208,17112,0
20110617,39.061,39.208,38.62,39.208,43126,0
20110620,37.738,39.208,37.738,38.914,98845,0
20110621,38.718,39.208,38.718,38.914,115180,0
20110622,38.728,39.688,38.728,39.208,3129,0
20110624,39.198,39.404,39.022,39.208,11952,0
20110627,39.13,39.306,39.11,39.208,53926,0
20110628,38.424,39.208,38.424,39.208,2678,0
20110629,39.11,39.404,39.11,39.404,8497,0
20110630,39.698,39.698,39.208,39.698,11877,0
20110701,40.189,42.1,40.189,41.962,35762,0
20110704,41.904,42.638,41.904,42.638,24001,0
20110705,42.786,42.834,42.168,42.442,12703,0
20110706,42.306,42.442,41.364,42.442,8850,0
20110707,42.442,42.932,41.796,42.638,14656,0
20110708,42.442,42.884,41.217,41.217,5239,0
20110711,41.188,42.05,41.139,41.266,4604,0
20110712,41.874,41.874,38.796,41.149,43549,0
20110713,40.189,41.658,40.189,41.168,6556,0
20110714,40.295,41.158,40.295,41.149,17304,0
20110715,41.149,41.149,40.678,40.972,636,0
20110718,40.305,40.305,39.698,40.09,2264,0
20110719,39.894,40.09,39.227,39.698,2530,0
20110720,39.698,40.041,39.335,39.345,1998,0
20110721,39.6,39.6,38.728,39.208,4117,0
20110722,39.218,40.041,39.218,40.041,52032,0
20110725,40.159,40.159,39.502,40.139,2641,0
20110726,40.149,40.669,39.992,40.189,3999,0
20110727,40.189,40.385,39.698,39.698,2607,0
20110728,39.698,39.698,38.914,39.306,6820,0
20110729,39.903,39.903,39.12,39.894,23729,0
20110801,39.218,39.453,38.61,38.718,50190,0
20110802,39.061,39.061,38.62,38.62,21459,0
20110803,39.012,39.012,36.757,37.836,33891,0
20110804,36.267,38.13,36.267,36.463,34655,0
20110805,31.366,36.757,31.366,36.071,27710,0
20110808,33.425,35.777,33.327,34.209,24994,0
20110809,33.327,33.376,30.102,32.837,144340,0
20110810,33.719,34.306,30.494,31.366,68957,0
20110811,31.856,33.327,31.072,33.327,12667,0
20110812,34.748,35.189,33.817,35.022,3353,0
20110816,36.071,36.071,33.621,34.699,8667,0
20110817,35.944,35.944,34.306,34.306,1989,0
20110818,34.288,35.12,32.543,32.543,10185,0
20110819,32.543,33.905,32.543,33.886,3724,0
20110822,34.306,34.895,33.817,34.797,953,0
20110823,34.993,34.993,34.306,34.306,1662,0
20110824,34.111,34.306,34.111,34.306,447,0
20110825,34.404,35.287,34.404,34.797,814,0
20110826,35.62,35.62,34.797,35.287,1207,0
20110829,35.679,36.071,34.797,36.071,53419,0
20110830,36.071,36.071,35.679,35.875,28512,0
20110831,37.071,38.522,36.071,36.953,29401,0
20110901,37.738,37.738,35.287,36.747,1855,0
20110902,36.022,36.767,36.022,36.63,4977,0
20110905,35.777,36.267,34.993,36.267,2472,0
20110906,36.247,36.561,35.875,36.561,72799,0
20110907,36.561,37.208,36.513,36.855,631,0
20110908,39.208,39.208,38.374,39.208,320259,0
20110909,39.188,39.306,37.267,38.816,14791,0
20110912,38.816,38.816,36.905,37.345,4367,0
20110913,37.345,38.238,36.757,37.247,3191,0
