Date,Open,High,Low,Close,Volume,OpenInt
20071206,73.778,73.778,59.196,64.925,18381,0
20071207,65.967,68.136,63.796,67.571,3190,0
20071210,68.05,68.05,62.755,66.834,358,0
20071211,65.967,67.919,60.238,63.622,2720,0
20071212,60.759,63.58,57.373,63.362,1376,0
20071213,62.494,63.362,59.456,63.362,700,0
20071214,63.796,63.796,59.891,63.362,1123,0
20071217,59.891,59.891,57.373,58.111,1582,0
20071218,57.807,58.154,53.814,58.111,1398,0
20071219,60.759,60.759,56.419,57.287,548,0
20071220,62.494,62.494,62.494,62.494,57,0
20071221,63.796,63.796,56.853,59.022,7737,0
20071227,64.23,64.23,58.675,59.891,139,0
20071228,59.022,59.891,57.287,59.803,6092,0
20080102,61.627,61.627,60.412,60.412,3457,0
20080103,58.675,58.675,55.985,56.462,295,0
20080104,58.502,58.502,57.287,58.502,114,0
20080107,56.419,61.627,56.419,61.627,714,0
20080108,59.891,61.193,59.891,61.193,126,0
20080109,60.541,60.845,59.891,60.759,1051,0
20080111,57.287,60.628,57.287,60.628,24,0
20080115,60.541,60.541,54.682,59.891,60,0
20080116,59.022,59.022,59.022,59.022,3,0
20080121,56.419,58.154,56.419,58.154,302,0
20080122,52.947,53.814,52.079,52.079,4329,0
20080123,52.947,52.947,47.305,51.905,23243,0
20080124,51.818,51.992,48.607,50.776,643,0
20080125,47.825,51.124,47.825,49.041,2081,0
20080128,48.607,48.607,48.607,48.607,487,0
20080129,50.343,50.343,47.739,47.739,127,0
20080130,51.211,51.211,51.124,51.211,293,0
20080131,51.211,51.211,50.776,50.776,2,0
20080201,50.516,50.776,47.739,47.739,4352,0
20080204,50.299,50.299,48.607,48.607,354,0
20080206,48.563,48.607,47.739,47.739,5818,0
20080207,48.52,48.607,46.002,46.002,307,0
20080208,46.437,46.871,46.002,46.871,125,0
20080211,44.267,46.176,44.267,46.176,492,0
20080212,44.398,44.398,44.398,44.398,24,0
20080213,46.871,46.871,46.871,46.871,4787,0
20080214,47.305,47.739,46.871,46.871,340,0
20080215,45.135,47.044,45.135,47.044,378,0
20080218,48.954,48.954,47.651,47.739,1594,0
20080219,47.739,47.739,47.739,47.739,97,0
20080220,47.651,47.651,46.002,46.09,235,0
20080222,46.784,46.871,43.399,46.61,375,0
20080225,46.61,46.61,46.61,46.61,21,0
20080226,47.739,47.739,47.739,47.739,11,0
20080229,43.833,46.002,43.833,43.92,41,0
20080304,47.651,47.651,46.871,46.871,461,0
20080305,47.651,47.651,43.573,44.267,220,0
20080306,46.871,46.871,46.871,46.871,1,0
20080307,45.265,47.478,45.265,47.478,107,0
20080310,47.392,47.392,47.392,47.392,10,0
20080311,47.305,48.607,47.305,48.173,10366,0
20080312,49.604,49.604,49.604,49.604,104,0
20080314,49.562,53.814,49.562,53.814,184,0
20080317,49.474,53.814,48.694,48.824,847,0
20080318,46.871,59.022,46.871,59.022,1228,0
20080319,58.154,58.979,53.424,53.424,599,0
20080320,56.331,56.375,52.079,52.079,352,0
20080325,56.158,56.158,53.814,53.814,374,0
20080326,56.201,60.628,54.682,60.628,4753,0
20080327,64.318,68.57,62.581,68.57,8893,0
20080328,71.131,71.174,64.23,66.834,8726,0
20080331,71.695,71.695,67.225,68.136,5565,0
20080401,69.178,69.178,61.02,63.753,4381,0
20080402,61.193,63.362,61.02,63.102,1740,0
20080403,60.021,62.365,59.977,61.409,327,0
20080404,62.494,62.842,60.759,61.627,548,0
20080407,62.972,62.972,59.891,61.973,490,0
20080408,60.759,60.759,57.46,57.46,477,0
20080409,59.022,59.544,56.419,59.544,517,0
20080410,60.759,60.759,57.287,60.759,235,0
20080411,59.891,60.759,57.373,59.891,241,0
20080414,60.324,60.324,55.55,55.594,466,0
20080415,59.022,59.022,52.122,52.122,837,0
20080416,49.996,52.947,47.739,52.817,2770,0
20080417,54.466,54.466,52.86,52.86,1733,0
20080418,53.814,54.682,53.814,53.814,1531,0
20080421,53.814,54.423,50.516,54.423,406,0
20080422,53.989,54.032,53.989,54.032,29,0
20080423,54.205,54.205,53.772,54.032,42,0
20080424,53.814,54.032,53.772,53.772,64,0
20080425,53.814,53.814,52.947,52.947,49,0
20080428,53.728,53.728,50.343,52.86,99,0
20080429,53.294,53.381,51.211,53.381,820,0
20080430,53.381,53.381,50.776,53.207,45,0
20080505,52.947,52.947,52.947,52.947,47,0
20080506,52.947,54.682,52.947,54.682,118,0
20080507,52.122,54.552,52.122,54.552,126,0
20080508,54.597,54.597,53.814,53.814,29,0
20080509,54.509,54.682,51.992,54.682,11595,0
20080512,54.682,54.682,51.428,54.597,1184,0
20080513,54.509,54.509,52.209,52.469,510,0
20080514,53.598,53.598,52.513,52.513,104,0
20080515,53.51,54.248,52.947,52.947,497,0
20080516,53.728,54.248,53.728,54.248,58,0
20080519,54.205,54.205,51.211,53.989,69,0
20080520,53.728,53.728,50.82,51.557,866,0
20080521,53.381,53.381,51.732,51.732,497,0
20080523,51.732,53.207,51.732,53.207,41,0
20080526,52.947,53.077,50.776,51.949,979,0
20080527,52.99,53.077,51.428,52.947,232,0
20080528,52.903,52.947,52.903,52.947,33,0
20080529,52.903,52.947,51.515,52.817,629,0
20080530,52.817,52.86,52.817,52.86,17,0
20080602,52.86,52.86,52.86,52.86,23,0
20080603,52.036,52.86,52.036,52.86,19,0
20080604,52.036,52.036,51.211,51.298,1007,0
20080605,51.949,51.949,51.298,51.298,311,0
20080606,51.992,51.992,49.604,49.604,28,0
20080609,50.256,50.256,50.256,50.256,40,0
20080610,50.126,50.212,49.474,49.474,149,0
20080611,49.474,49.474,49.474,49.474,27,0
20080612,48.998,50.256,47.044,50.256,612,0
20080613,50.256,50.256,50.256,50.256,358,0
20080616,51.861,51.861,51.861,51.861,11,0
20080617,51.775,51.818,51.775,51.818,34,0
20080618,51.992,51.992,51.992,51.992,18,0
