Date,Open,High,Low,Close,Volume,OpenInt
19970103,14.852,14.852,14.852,14.852,152,0
19970106,14.852,14.852,14.852,14.852,31884,0
19970107,14.915,14.915,14.915,14.915,23264,0
19970108,15.498,15.498,15.498,15.498,24422,0
19970109,16.142,16.142,16.142,16.142,39646,0
19970110,16.787,16.787,16.787,16.787,48726,0
19970113,17.109,17.109,17.109,17.109,41989,0
19970114,16.787,16.787,16.787,16.787,26834,0
19970115,16.142,16.142,16.142,16.142,23260,0
19970116,16.142,16.142,16.142,16.142,18213,0
19970117,16.142,16.142,16.142,16.142,13444,0
19970120,15.498,15.498,15.498,15.498,12325,0
19970121,15.498,15.498,15.498,15.498,19358,0
19970122,15.176,15.176,15.176,15.176,14103,0
19970123,15.176,15.176,15.176,15.176,18914,0
19970124,15.498,15.498,15.498,15.498,19553,0
19970127,14.852,14.852,14.852,14.852,18854,0
19970128,13.687,13.687,13.687,13.687,21805,0
19970129,14.209,14.209,14.209,14.209,12145,0
19970130,14.209,14.209,14.209,14.209,18198,0
19970131,14.139,14.139,14.139,14.139,7461,0
19970203,14.852,14.852,14.852,14.852,9022,0
19970204,14.852,14.852,14.852,14.852,8452,0
19970205,14.722,14.722,14.722,14.722,8558,0
19970206,14.852,14.852,14.852,14.852,11818,0
19970207,15.176,15.176,15.176,15.176,18385,0
19970210,15.106,15.106,15.106,15.106,11185,0
19970211,14.852,14.852,14.852,14.852,20975,0
19970212,14.722,14.722,14.722,14.722,8695,0
19970213,14.209,14.209,14.209,14.209,7532,0
19970214,14.462,14.462,14.462,14.462,11166,0
19970217,14.078,14.078,14.078,14.078,12752,0
19970218,13.948,13.948,13.948,13.948,15058,0
19970219,13.625,13.625,13.625,13.625,18678,0
19970220,13.556,13.556,13.556,13.556,11692,0
19970221,14.209,14.209,14.209,14.209,16087,0
19970224,14.654,14.654,14.654,14.654,13678,0
19970225,15.498,15.498,15.498,15.498,71178,0
19970226,16.787,16.787,16.787,16.787,84496,0
19970227,16.142,16.142,16.142,16.142,66068,0
19970228,16.787,16.787,16.787,16.787,103823,0
19970303,16.787,16.787,16.787,16.787,62187,0
19970304,17.562,17.562,17.562,17.562,79031,0
19970305,18.083,18.083,18.083,18.083,110373,0
19970306,18.083,18.083,18.083,18.083,54509,0
19970307,18.083,18.083,18.083,18.083,67647,0
19970310,17.753,17.753,17.753,17.753,51304,0
19970311,17.562,17.562,17.562,17.562,62574,0
19970312,17.37,17.37,17.37,17.37,45251,0
19970313,16.787,16.787,16.787,16.787,28085,0
19970314,15.82,15.82,15.82,15.82,77088,0
19970317,15.82,15.82,15.82,15.82,16786,0
19970318,15.629,15.629,15.629,15.629,21183,0
19970319,15.176,15.176,15.176,15.176,43826,0
19970320,14.915,14.915,14.915,14.915,18135,0
19970321,15.176,15.176,15.176,15.176,15323,0
19970324,15.305,15.305,15.305,15.305,12415,0
19970325,15.689,15.689,15.689,15.689,24123,0
19970326,15.758,15.758,15.758,15.758,20375,0
19970327,16.011,16.011,16.011,16.011,29442,0
19970401,15.498,15.498,15.498,15.498,37848,0
19970402,15.558,15.558,15.558,15.558,21881,0
19970403,15.498,15.498,15.498,15.498,29975,0
19970404,15.367,15.367,15.367,15.367,12263,0
19970407,15.558,15.558,15.558,15.558,15037,0
19970408,15.498,15.498,15.498,15.498,35299,0
19970409,15.498,15.498,15.498,15.498,14325,0
19970410,15.498,15.498,15.498,15.498,24553,0
19970411,15.629,15.629,15.629,15.629,17663,0
19970414,15.629,15.629,15.629,15.629,21020,0
19970415,15.758,15.758,15.758,15.758,36939,0
19970416,16.142,16.142,16.142,16.142,49063,0
19970417,16.142,16.142,16.142,16.142,32244,0
19970418,15.758,15.758,15.758,15.758,10568,0
19970421,16.142,16.142,16.142,16.142,37727,0
19970422,16.404,16.404,16.404,16.404,19175,0
19970423,16.725,16.725,16.725,16.725,39495,0
