Date,Open,High,Low,Close,Volume,OpenInt
19960130,18.437,18.437,18.437,18.437,162100,0
19960131,19.1,19.1,19.1,19.1,171261,0
19960201,19.1,19.1,19.1,19.1,83225,0
19960202,19.894,19.894,19.894,19.894,137222,0
19960205,20.096,20.096,20.096,20.096,53896,0
19960206,19.894,19.894,19.894,19.894,100378,0
19960207,19.1,19.1,19.1,19.1,284200,0
19960208,19.894,19.894,19.894,19.894,167077,0
19960209,21.882,21.882,21.882,21.882,169689,0
19960212,24.072,24.072,24.072,24.072,100505,0
19960213,25.201,25.201,25.201,25.201,303613,0
19960214,24.539,24.539,24.539,24.539,114585,0
19960215,24.539,24.539,24.539,24.539,111078,0
19960216,24.469,24.469,24.469,24.469,52109,0
19960219,23.877,23.877,23.877,23.877,56336,0
19960220,23.541,23.541,23.541,23.541,82108,0
19960221,23.541,23.541,23.541,23.541,100519,0
19960222,24.203,24.203,24.203,24.203,49700,0
19960223,24.072,24.072,24.072,24.072,31608,0
19960226,24.274,24.274,24.274,24.274,52166,0
19960227,24.141,24.141,24.141,24.141,56041,0
19960228,23.877,23.877,23.877,23.877,11894,0
19960229,24.734,24.734,24.734,24.734,76281,0
19960301,24.866,24.866,24.866,24.866,34761,0
19960304,25.731,25.731,25.731,25.731,73527,0
19960305,27.391,27.391,27.391,27.391,70412,0
19960306,28.248,28.248,28.248,28.248,37652,0
19960307,31.101,31.101,31.101,31.101,39531,0
19960308,28.38,28.38,28.38,28.38,56071,0
19960311,28.053,28.053,28.053,28.053,25062,0
19960312,28.248,28.248,28.248,28.248,36608,0
19960313,28.583,28.583,28.583,28.583,39559,0
19960314,28.248,28.248,28.248,28.248,21224,0
19960315,28.513,28.513,28.513,28.513,7099,0
19960318,29.51,29.51,29.51,29.51,13485,0
19960319,30.375,30.375,30.375,30.375,40598,0
19960320,31.498,31.498,31.498,31.498,62505,0
19960321,31.17,31.17,31.17,31.17,120105,0
19960322,31.498,31.498,31.498,31.498,29936,0
19960325,31.365,31.365,31.365,31.365,129129,0
19960326,30.836,30.836,30.836,30.836,7262,0
19960327,30.703,30.703,30.703,30.703,7977,0
19960328,31.101,31.101,31.101,31.101,12908,0
19960329,31.17,31.17,31.17,31.17,13571,0
19960401,31.038,31.038,31.038,31.038,8602,0
19960402,30.703,30.703,30.703,30.703,8892,0
19960403,30.375,30.375,30.375,30.375,11424,0
19960404,30.04,30.04,30.04,30.04,13397,0
19960405,30.375,30.375,30.375,30.375,29829,0
19960409,29.845,29.845,29.845,29.845,17527,0
19960410,29.845,29.845,29.845,29.845,19348,0
19960411,30.111,30.111,30.111,30.111,8886,0
19960412,30.243,30.243,30.243,30.243,2726,0
19960415,30.703,30.703,30.703,30.703,10273,0
19960416,30.703,30.703,30.703,30.703,19654,0
19960417,30.836,30.836,30.836,30.836,8413,0
19960418,31.365,31.365,31.365,31.365,19286,0
19960419,31.17,31.17,31.17,31.17,7587,0
19960422,31.365,31.365,31.365,31.365,29935,0
19960423,31.498,31.498,31.498,31.498,38984,0
19960424,31.498,31.498,31.498,31.498,41521,0
19960425,31.498,31.498,31.498,31.498,9921,0
19960426,30.375,30.375,30.375,30.375,28053,0
19960429,30.703,30.703,30.703,30.703,14851,0
19960430,30.836,30.836,30.836,30.836,10584,0
19960506,30.836,30.836,30.836,30.836,15875,0
19960507,31.498,31.498,31.498,31.498,13145,0
19960508,31.498,31.498,31.498,31.498,36441,0
19960509,31.832,31.832,31.832,31.832,18360,0
19960510,31.498,31.498,31.498,31.498,22601,0
19960513,31.832,31.832,31.832,31.832,10539,0
19960514,32.362,32.362,32.362,32.362,93622,0
19960515,32.027,32.027,32.027,32.027,60332,0
19960516,32.027,32.027,32.027,32.027,46439,0
19960517,31.7,31.7,31.7,31.7,33265,0
19960520,31.435,31.435,31.435,31.435,22571,0
19960521,31.365,31.365,31.365,31.365,9037,0
19960522,30.773,30.773,30.773,30.773,12461,0
19960523,30.375,30.375,30.375,30.375,16676,0
19960524,29.908,29.908,29.908,29.908,26664,0
19960527,29.713,29.713,29.713,29.713,13917,0
19960528,29.245,29.245,29.245,29.245,6529,0
19960529,28.513,28.513,28.513,28.513,11024,0
19960530,28.248,28.248,28.248,28.248,7575,0
19960531,28.38,28.38,28.38,28.38,758,0
19960603,28.583,28.583,28.583,28.583,836,0
19960604,28.715,28.715,28.715,28.715,2627,0
19960605,28.848,28.848,28.848,28.848,14579,0
19960607,28.715,28.715,28.715,28.715,1410,0
19960610,28.848,28.848,28.848,28.848,1662,0
19960611,28.848,28.848,28.848,28.848,28512,0
19960612,28.451,28.451,28.451,28.451,1108,0
19960613,28.513,28.513,28.513,28.513,3558,0
19960614,28.38,28.38,28.38,28.38,6995,0
19960617,28.715,28.715,28.715,28.715,8548,0
19960618,28.38,28.38,28.38,28.38,18461,0
19960619,28.715,28.715,28.715,28.715,31726,0
19960620,28.779,28.779,28.779,28.779,71876,0
19960621,28.513,28.513,28.513,28.513,58931,0
19960624,28.513,28.513,28.513,28.513,39398,0
19960625,28.513,28.513,28.513,28.513,41432,0
