Date,Open,High,Low,Close,Volume,OpenInt
20151216,11.472,11.482,9.888,10.966,29278,0
20151217,10.966,11.247,10.451,11.247,10398,0
20151218,11.247,11.472,10.976,10.976,505,0
20151221,10.713,11.247,10.713,11.247,1051,0
20151222,11.341,11.341,11.247,11.247,7,0
20151223,11.247,11.247,11.06,11.247,29,0
20151228,11.238,11.238,10.966,11.201,55,0
20151229,11.191,11.201,10.966,11.201,1335,0
20151230,11.247,11.341,10.966,11.341,1757,0
20160104,11.341,11.341,10.966,11.341,4994,0
20160105,11.294,11.294,11.247,11.247,3337,0
20160107,11.294,11.294,11.06,11.247,3829,0
20160108,11.294,11.294,11.247,11.247,6,0
20160111,11.341,11.341,10.769,10.779,1039,0
20160112,10.779,10.863,10.357,10.498,1002,0
20160113,10.601,10.601,10.601,10.601,54,0
20160114,10.582,10.582,9.842,9.935,16049,0
20160115,9.935,9.935,9.748,9.748,1286,0
20160118,9.748,9.748,9.2979,9.2979,220,0
20160119,9.3729,9.3729,9.2885,9.3354,223,0
20160120,9.3635,9.3635,8.8105,8.8105,2557,0
20160121,9.0448,9.0448,8.4356,8.8011,1599,0
20160122,8.8011,8.8011,8.8011,8.8011,106,0
20160125,8.4825,8.5574,8.445,8.5574,8722,0
20160126,8.5574,8.8011,8.5574,8.8011,267,0
20160127,8.8574,9.56,8.7918,9.56,3726,0
20160128,9.4666,10.123,9.3729,10.113,1246,0
20160129,10.113,10.123,9.654,10.066,1568,0
20160201,10.123,10.123,10.123,10.123,300,0
20160202,10.301,10.301,9.3916,9.3916,1473,0
20160203,9.4666,9.4666,9.4666,9.4666,222,0
20160204,9.3823,9.4666,9.1292,9.4666,157,0
20160205,9.4666,9.513,9.3729,9.513,496,0
20160208,9.3823,9.523,9.3823,9.523,26,0
20160209,9.523,10.029,9.2792,10.029,900,0
20160210,10.029,10.029,9.935,9.935,3,0
20160211,9.935,9.935,9.935,9.935,4,0
20160212,9.935,9.935,9.935,9.935,6,0
20160215,9.935,9.935,9.935,9.935,2,0
20160216,9.935,9.935,9.935,9.935,5,0
20160217,9.935,9.935,9.935,9.935,2,0
20160218,9.935,9.935,9.607,9.607,1253,0
20160219,9.607,9.607,9.607,9.607,53,0
20160222,9.607,9.607,9.3823,9.3823,233,0
20160223,9.3729,9.4666,9.3729,9.3729,11128,0
20160224,9.3729,9.3823,9.3729,9.3729,3795,0
20160225,9.3729,9.3729,9.2417,9.3729,317,0
20160226,9.3729,9.3823,9.3729,9.3823,273,0
20160229,9.3729,9.513,9.1667,9.513,1630,0
20160301,9.4854,9.4854,9.3729,9.3729,412,0
20160302,9.3823,9.513,9.3823,9.4947,1006,0
20160303,9.4947,9.842,9.4947,9.842,148,0
20160304,9.842,9.842,9.4947,9.795,81,0
20160307,9.813,9.842,9.813,9.842,2,0
20160308,9.513,9.842,9.513,9.654,1485,0
20160309,9.513,9.56,9.513,9.56,11,0
20160310,9.56,9.954,9.56,9.954,543,0
20160311,9.607,9.935,9.607,9.935,352,0
20160314,10.291,10.291,10.029,10.029,7,0
20160315,10.291,10.301,9.982,10.301,406,0
20160316,10.441,10.441,10.263,10.263,41,0
20160317,10.263,10.263,10.057,10.123,749,0
20160318,10.123,10.123,10.123,10.123,2,0
20160321,10.291,10.291,9.823,9.823,748,0
20160322,9.935,9.935,9.748,9.748,19799,0
20160323,9.926,9.926,9.4666,9.4666,1299,0
20160324,10.123,10.123,9.1292,9.476,6982,0
20160329,9.4666,9.4666,9.4666,9.4666,604,0
20160330,9.57,9.57,9.57,9.57,2,0
20160331,9.663,9.663,9.57,9.663,219,0
20160401,9.654,10.226,9.4197,10.226,2119,0
20160404,10.216,10.216,10.216,10.216,71,0
20160405,10.123,10.123,9.888,10.113,22,0
20160406,10.029,10.113,10.029,10.113,54,0
20160407,10.113,10.113,10.029,10.029,2,0
20160408,9.888,10.076,9.888,10.076,209,0
20160411,10.076,10.076,9.842,9.888,866,0
20160412,9.842,9.842,9.842,9.842,1,0
20160413,9.842,9.842,9.842,9.842,2,0
20160414,9.795,9.842,9.795,9.842,208,0
20160415,9.4666,9.842,9.4666,9.842,142,0
20160418,9.842,9.888,9.842,9.888,152,0
20160419,10.226,10.329,9.842,10.329,29625,0
20160420,10.32,11.416,10.263,11.416,8611,0
20160421,11.341,11.341,11.06,11.332,919,0
20160422,11.416,11.416,11.247,11.388,3679,0
20160425,11.135,11.247,11.135,11.247,53373,0
20160426,11.416,11.416,11.388,11.388,162,0
20160427,11.388,11.388,10.966,10.966,524,0
20160428,11.388,11.388,10.966,10.966,683,0
20160429,11.238,11.247,10.966,11.247,1085,0
20160502,11.247,11.247,11.247,11.247,54,0
20160504,11.247,11.247,11.107,11.247,769,0
20160505,11.247,11.247,11.238,11.238,2,0
20160506,11.247,11.247,11.238,11.238,2,0
20160509,11.238,11.238,11.238,11.238,2,0
20160510,11.238,11.238,10.123,10.544,998,0
20160511,10.544,10.544,10.544,10.544,213,0
20160513,11.154,11.154,10.685,10.779,229,0
20160516,11.06,11.06,10.629,10.629,537,0
20160517,10.629,10.863,10.629,10.863,18,0
20160518,11.06,11.06,11.06,11.06,6,0
20160519,10.779,10.779,10.554,10.779,217,0
20160520,10.554,10.779,10.554,10.779,42,0
20160523,11.06,11.06,10.591,10.779,802,0
20160524,11.06,11.06,10.554,11.06,208,0
20160525,11.051,11.051,11.013,11.013,2,0
20160527,11.06,11.06,11.06,11.06,2,0
20160530,11.051,11.051,11.041,11.041,2,0
20160531,11.041,11.041,11.032,11.032,19,0
20160601,11.041,11.041,10.676,11.013,424,0
20160602,11.013,11.013,10.966,11.013,93,0
20160603,11.013,11.013,11.013,11.013,2,0
20160606,11.013,11.013,11.013,11.013,239,0
20160607,11.013,11.013,10.676,10.966,109,0
20160608,11.013,11.013,10.357,10.357,1024,0
20160609,10.357,10.544,10.048,10.048,129201,0
20160610,9.842,10.216,9.842,10.216,226,0
20160613,10.544,10.544,10.17,10.17,543,0
20160614,10.544,10.544,10.216,10.216,47,0
20160615,10.291,10.291,10.291,10.291,2,0
20160616,10.31,10.544,9.954,10.544,11,0
20160617,10.544,10.544,9.982,9.982,23,0
20160620,9.954,9.963,9.954,9.963,2,0
20160621,9.954,9.963,9.954,9.963,3,0
20160622,9.963,9.973,9.963,9.973,2,0
20160623,9.973,10.554,9.973,10.554,34,0
20160624,9.842,10.123,9.748,10.123,1163,0
20160627,10.113,10.113,9.842,10.113,412,0
20160628,10.113,10.113,10.113,10.113,2,0
20160629,10.113,10.113,10.113,10.113,2,0
20160630,10.113,10.329,10.113,10.329,515,0
20160701,10.554,10.779,10.441,10.779,448,0
20160704,10.779,10.779,10.685,10.685,2,0
20160705,10.685,10.685,10.216,10.591,59,0
20160706,10.591,10.591,10.582,10.582,2,0
20160707,10.582,10.582,10.104,10.498,457,0
20160708,10.779,10.779,10.779,10.779,12,0
20160711,10.779,10.779,10.779,10.779,2,0
20160712,10.779,10.779,10.685,10.685,2,0
20160713,10.413,10.47,10.179,10.188,683,0
20160714,10.188,10.498,10.188,10.31,13,0
20160715,10.188,10.732,10.188,10.732,4853,0
20160718,10.451,10.854,10.451,10.779,81,0
20160719,10.779,10.966,10.685,10.966,6581,0
20160720,10.966,10.966,10.957,10.957,17,0
20160721,10.957,10.957,10.573,10.957,67,0
20160722,10.957,10.957,10.573,10.957,437,0
20160725,10.873,10.873,10.779,10.863,3,0
20160726,10.779,10.779,10.779,10.779,2,0
20160727,10.779,10.779,10.498,10.779,292,0
20160728,10.779,10.779,10.498,10.498,245,0
20160729,10.404,10.498,10.404,10.498,7,0
20160801,10.526,10.779,10.498,10.779,2877,0
20160802,10.826,10.826,10.779,10.779,324,0
20160803,10.779,10.779,10.779,10.779,3,0
20160804,10.779,10.779,10.498,10.769,268,0
20160805,10.769,10.769,10.498,10.648,1319,0
20160808,10.732,10.732,10.732,10.732,269,0
20160809,10.591,10.779,10.591,10.779,362,0
20160810,10.798,10.929,10.798,10.882,2103,0
20160811,10.882,10.882,10.873,10.882,4564,0
20160812,10.882,11.041,10.873,11.041,2014,0
20160816,11.051,11.257,11.051,11.247,1773,0
20160817,11.247,11.247,11.247,11.247,1128,0
20160818,11.247,11.247,11.107,11.247,91,0
20160819,11.247,11.247,11.107,11.182,376,0
20160822,11.247,11.247,10.919,11.154,402,0
20160823,11.247,11.247,10.723,10.919,253,0
20160824,11.247,11.247,10.919,10.919,109,0
20160825,11.247,11.247,11.144,11.247,1080,0
20160826,11.247,11.247,10.798,11.247,950,0
20160829,11.247,11.247,11.247,11.247,2,0
20160830,11.247,11.247,11.229,11.238,1418,0
20160831,11.107,11.107,11.107,11.107,13,0
20160901,11.107,11.107,11.107,11.107,2,0
20160902,11.107,11.229,11.107,11.219,855,0
20160905,11.219,11.219,11.051,11.051,1079,0
20160906,11.06,11.06,11.051,11.051,696,0
20160907,11.051,11.051,10.826,11.051,398,0
20160908,11.06,11.06,10.835,11.051,876,0
20160909,11.051,11.06,10.976,11.051,4057,0
20160912,11.201,11.201,10.976,11.079,3136,0
20160913,11.144,11.144,11.079,11.107,2328,0
20160914,11.1069,11.2381,11.06,11.06,5527,0
20160915,10.9,11,10.9,10.95,1545,0
20160916,10.95,11.1,10.95,11.1,292,0
20160919,11.3,11.3,11.3,11.3,3,0
20160920,11.3,11.3,10.95,11.3,606,0
20160921,11.3,11.3,11.19,11.19,7,0
20160922,11.25,11.25,10.95,10.95,830,0
20160923,11.2,11.2,10.9,11.19,427,0
20160926,11.24,11.24,11.19,11.19,62,0
20160927,11.2,11.2,11.18,11.18,2,0
20160928,11.19,11.19,11.14,11.14,3,0
20160929,11.14,11.14,10.76,11.14,984,0
20160930,11.1,11.1,11.1,11.1,17,0
20161003,11.1,11.1,10.8,11.1,38,0
20161004,11.09,11.09,10.5,11.09,4238,0
20161005,11.19,11.19,11.19,11.19,200,0
20161006,11.18,11.18,10.86,11,219,0
20161007,11,11,11,11,2,0
20161010,11,11,10.41,10.6,3063,0
20161011,11,11,11,11,1,0
20161012,10.4,10.7,10,10.6,5656,0
20161013,10.83,10.83,10.59,10.59,6,0
20161014,10.59,10.59,10.11,10.59,211,0
20161017,10.59,10.59,10.59,10.59,2,0
20161018,10.59,10.59,10.54,10.54,117,0
20161019,10.54,10.54,9.99,9.99,2990,0
20161020,9.99,10.47,9.99,10.36,2000,0
20161021,10.36,10.36,10.33,10.33,12,0
20161024,10.33,10.33,10.33,10.33,57,0
20161025,10.33,10.33,9.98,10.32,218,0
20161026,10.32,10.32,10.31,10.31,2,0
20161027,10.31,10.31,10.31,10.31,2,0
20161028,10.31,10.31,10,10.1,315,0
20161031,10.31,10.31,10.31,10.31,2,0
20161102,10.36,10.36,10,10,102,0
20161103,10,10.34,10,10.34,810,0
20161104,10.34,10.34,10,10,222,0
20161107,10.34,10.34,10.34,10.34,2,0
