Date,Open,High,Low,Close,Volume,OpenInt
20140304,2.5,3,2.5,3,1178,0
20140305,3.6,4.3,3.6,3.82,19527,0
20140306,3.96,4.69,3.96,4.3,6352,0
20140307,4.34,4.34,3.5,4.09,3534,0
20140310,3.81,4,3.7,4,2389,0
20140311,3.8,3.8,3.8,3.8,219,0
20140312,3.73,3.77,3.52,3.77,2797,0
20140313,3.7,3.97,3.7,3.97,376,0
20140314,3.87,4.1,3.87,3.9,885,0
20140317,3.95,3.95,3.9,3.9,1231,0
20140318,3.9,3.91,3.9,3.91,36,0
20140319,3.87,3.87,3.87,3.87,3,0
20140320,4,4.39,4,4.39,1130,0
20140321,4.4,4.4,3.95,4.2,710,0
20140324,3.94,3.99,3.94,3.99,120,0
20140325,4.04,4.23,4,4.1,2094,0
20140326,4.1,4.1,4.1,4.1,25,0
20140327,4.1,4.1,4.1,4.1,15,0
20140328,4.1,4.2,4.1,4.2,20,0
20140331,4.11,4.11,4.11,4.11,16,0
20140401,4.12,4.45,3.87,4.45,4848,0
20140402,4.33,4.45,4.33,4.45,3679,0
20140403,4.69,5.62,4.61,5.52,2175,0
20140404,5.39,6.61,5.39,6.61,2227,0
20140407,6.99,6.99,5.6,6.3,1716,0
20140408,6.4,6.5,5.82,5.82,373,0
20140410,6.07,6.78,6,6,1452,0
20140411,5.85,5.85,5.81,5.81,50,0
20140414,5.8,6.02,5.2,6.02,1494,0
20140415,6.49,6.49,5.95,5.95,30,0
20140416,6.1,6.2,6.1,6.2,292,0
20140417,6.32,6.99,6.32,6.99,474,0
20140422,6.97,6.97,6.24,6.24,1387,0
20140423,6.2,6.28,5.75,6.28,1567,0
20140424,6,6.59,5.75,6.59,1825,0
20140425,6.58,6.58,6.58,6.58,10,0
20140428,6.44,6.44,6.44,6.44,10,0
20140429,6.01,6.01,6.01,6.01,15,0
20140430,6.27,6.27,6.27,6.27,10,0
20140502,6.27,6.27,6.27,6.27,10,0
20140505,6.27,6.27,6.27,6.27,10,0
20140506,6.27,6.27,6.27,6.27,10,0
20140507,6.27,6.27,5.6,6.23,1510,0
20140509,5.6,6.23,5.07,6.23,1231,0
20140512,5.85,5.99,5.26,5.26,2017,0
20140513,5.89,5.89,5.89,5.89,10,0
20140519,5.25,5.25,5.15,5.15,327,0
20140520,5,5.4,4.7,5.4,1745,0
20140521,5.4,6,4.55,6,1516,0
20140522,6,6,6,6,10,0
20140523,6,6,5,5.9,318,0
20140526,5.6,5.6,5.21,5.6,378,0
20140527,5.1,5.55,4.85,5.55,48,0
20140530,4.95,5.52,4.62,5.52,380,0
20140603,5.04,5.52,5.04,5.52,304,0
20140605,5.55,5.55,5.55,5.55,10,0
20140606,5.47,5.9,5.47,5.9,950,0
20140609,5.8,5.8,5.75,5.75,15,0
20140610,5.75,5.75,5.5,5.5,20,0
20140612,5.35,5.54,5.09,5.54,372,0
20140613,5.09,5.9,5,5.9,3395,0
20140616,5.3,5.9,5.3,5.9,1270,0
20140618,5.9,5.9,5.9,5.9,10,0
20140620,5.9,5.9,5.9,5.9,10,0
20140623,5.64,5.9,5.35,5.9,3062,0
20140624,5.9,6.86,5.49,5.8,3111,0
20140625,6.5,6.89,6.3,6.89,340,0
20140626,6.5,6.5,6.39,6.5,1052,0
20140627,6.54,6.54,6.54,6.54,5,0
20140630,6.54,6.77,5.9,6.77,3534,0
20140701,6.35,7.62,6.35,7.62,667,0
20140702,7.62,7.62,7.2,7.2,82,0
