Date,Open,High,Low,Close,Volume,OpenInt
20070629,6.0673,6.2327,5.5709,5.5709,13318036,0
20070702,5.6628,5.6628,5.0009,5.3594,5444820,0
20070703,5.5157,5.6444,5.4697,5.5341,4452755,0
20070704,5.6076,5.7179,5.5433,5.6076,1709967,0
20070705,5.672,5.672,5.4697,5.5709,1364525,0
20070706,5.5892,5.5984,5.4973,5.5065,508418,0
20070709,5.5249,5.5249,5.2859,5.3226,845379,0
20070710,5.3043,5.3318,5.0836,5.1296,1673038,0
20070711,5.148,5.148,4.8722,4.9733,1223847,0
20070712,4.909,5.0377,4.8722,4.9549,795933,0
20070713,4.9549,5.1296,4.909,5.102,821074,0
20070716,5.1204,5.2215,4.6975,4.9641,446868,0
20070717,4.9274,4.9274,4.7251,4.8446,606218,0
20070718,4.8722,4.8722,4.7343,4.7619,844233,0
20070719,4.7803,5.2583,4.7803,5.1664,1449936,0
20070720,5.2399,5.2399,5.0101,5.0285,610007,0
20070723,5.0285,5.1296,4.8722,4.9641,373740,0
20070724,5.0744,5.0744,4.7527,4.7711,970808,0
20070725,4.5964,4.7619,4.3942,4.7343,1598793,0
20070726,4.7343,4.7619,4.578,4.578,949583,0
20070727,4.4217,4.6424,4.4034,4.4126,1257374,0
20070730,4.4585,4.5964,4.4585,4.5045,447380,0
20070731,4.5872,4.7343,4.5872,4.6424,751970,0
20070801,4.5964,4.5964,4.4861,4.5229,437130,0
20070802,4.6516,4.6791,4.4493,4.4493,1311119,0
20070803,4.5321,4.5321,4.3942,4.4126,244418,0
20070806,4.3206,4.339,4.1368,4.2287,647565,0
20070807,4.3206,4.3574,3.8886,3.8886,1051535,0
20070808,3.9621,4.1184,3.8886,3.907,1458873,0
20070809,3.9529,3.9529,3.5944,3.6955,2727292,0
20070810,3.5484,3.5668,3.3002,3.3554,2425672,0
20070813,3.3554,3.8058,3.3554,3.7231,2377960,0
20070814,3.7231,3.8426,3.6679,3.6679,2356381,0
20070816,3.4841,3.4841,3.1439,3.3094,1690265,0
20070817,3.3002,3.6679,3.2543,3.5852,2624186,0
20070820,3.7231,3.815,3.5852,3.6496,792996,0
20070821,3.6863,3.6863,3.4841,3.6312,709412,0
20070822,3.6771,3.815,3.5944,3.7507,2180919,0
20070823,3.8058,3.9161,3.7323,3.7599,2083140,0
20070824,3.7691,3.9253,3.6955,3.8242,1494962,0
20070827,3.907,4.0448,3.907,3.9437,1074975,0
20070828,3.9437,4.0173,3.8794,3.9621,655002,0
20070829,3.7323,3.9713,3.7231,3.9437,771919,0
20070830,4.0448,4.1,3.6587,3.7599,1461813,0
20070831,3.8334,3.9529,3.8334,3.861,433432,0
20070903,3.8794,3.907,3.7691,3.861,284707,0
20070904,3.861,3.861,3.7415,3.7874,458437,0
20070905,3.7966,3.8058,3.5668,3.5668,827405,0
20070906,3.6128,3.6312,3.4749,3.5668,464159,0
20070907,3.53,3.6036,3.3922,3.4381,651526,0
20070910,3.3554,3.4381,3.2543,3.3462,570436,0
20070911,3.3738,3.4657,3.3646,3.4473,617395,0
20070912,3.4841,3.5025,3.4013,3.4197,254002,0
20070913,3.3922,3.6955,3.3554,3.6679,1020173,0
20070914,3.6679,3.7966,3.4749,3.5117,1096334,0
20070917,3.5025,3.5117,3.4105,3.4841,404307,0
20070918,3.4749,3.4841,3.4013,3.4749,845060,0
20070919,3.6036,3.6312,3.53,3.5484,851431,0
20070920,3.5392,3.5668,3.4749,3.4749,542433,0
20070921,3.4749,3.6404,3.4749,3.4933,1541709,0
20070924,3.5025,3.5668,3.4473,3.4657,419694,0
20070925,3.4473,3.6312,3.4473,3.6128,1393436,0
20070926,3.6312,4.3574,3.5852,4.1276,7292247,0
20070927,4.1735,4.2747,3.907,3.9345,3314910,0
20070928,3.9345,4.1184,3.815,3.861,1703977,0
20071001,3.8518,3.9253,3.7323,3.8058,827281,0
20071002,3.8702,3.9161,3.7691,3.7966,1224938,0
20071003,3.7966,3.815,3.6771,3.6955,761448,0
20071004,3.6679,3.8886,3.6404,3.7966,3252827,0
20071005,3.8242,3.9437,3.7783,3.907,2700459,0
20071008,3.9345,3.9529,3.8426,3.8518,559295,0
20071009,3.8518,4.0173,3.8518,3.907,920443,0
20071010,3.9529,3.9529,3.8518,3.861,476811,0
20071011,3.8702,3.907,3.815,3.861,530322,0
20071012,3.8518,3.9345,3.7783,3.907,1237386,0
20071015,3.9345,4.0448,3.907,3.9713,842997,0
20071016,3.9529,3.9529,3.8702,3.8794,304014,0
20071017,3.8702,3.9529,3.8702,3.9437,283985,0
20071018,3.9437,3.9437,3.7691,3.8518,548888,0
20071019,3.7691,3.861,3.7691,3.8334,1391531,0
20071022,3.7415,3.8058,3.6955,3.7691,1615416,0
20071023,3.7691,3.8426,3.7599,3.7783,531264,0
20071024,3.7874,3.8058,3.7415,3.7691,915221,0
20071025,3.7874,3.7874,3.7415,3.7691,884382,0
20071026,3.7691,3.7966,3.7415,3.7599,390317,0
20071029,3.7691,3.8794,3.7691,3.8518,588612,0
20071030,3.8518,3.8518,3.7783,3.7966,115905,0
20071031,3.7966,3.7966,3.7599,3.7874,127420,0
20071102,3.7599,3.7599,3.6679,3.7139,547433,0
20071105,3.6863,3.6955,3.6496,3.6679,244182,0
20071106,3.6312,3.6771,3.5944,3.6496,138388,0
20071107,3.6679,3.6863,3.3186,3.3186,747452,0
20071108,3.2175,3.4473,3.0796,3.4013,1151645,0
20071109,3.4105,3.5576,3.3094,3.4013,601689,0
20071112,3.3094,3.4473,3.3094,3.4013,311969,0
20071113,3.4289,3.4473,3.3094,3.3738,431645,0
20071114,3.5025,3.576,3.3922,3.4473,921394,0
20071115,3.4105,3.4749,3.1348,3.2451,849113,0
20071116,3.2175,3.2726,3.0796,3.1072,1071358,0
20071119,3.1623,3.1623,3.0152,3.0152,492248,0
20071120,2.9969,2.9969,2.7762,2.8498,1081131,0
20071121,2.7578,2.8038,2.6291,2.6935,1207244,0
20071122,2.6659,2.8498,2.5004,2.8314,2141147,0
20071123,2.8957,2.9325,2.767,2.7946,2487110,0
