Date,Open,High,Low,Close,Volume,OpenInt
20050601,4.9269,4.9269,4.6131,4.7073,286641,0
20050602,4.9269,5.2407,4.8956,5.178,139780,0
20050603,5.3035,5.3035,4.8641,5.0525,80817,0
20050606,5.0838,5.0838,4.9584,5.0525,38809,0
20050607,5.021,5.021,4.9897,5.021,6907,0
20050608,5.0838,5.1152,5.021,5.0838,26496,0
20050609,5.021,5.2407,4.9897,5.2407,43120,0
20050610,5.2407,5.7114,5.2407,5.4605,98119,0
20050613,5.4918,5.4918,5.3662,5.4605,28310,0
20050614,5.3977,5.4291,5.2722,5.2722,26047,0
20050615,5.2722,5.3977,5.2094,5.3662,29221,0
20050616,5.3662,5.4291,5.2094,5.3349,74594,0
20050617,5.2722,5.3662,5.2722,5.3662,5689,0
20050620,5.2407,5.3349,5.2407,5.3349,108,0
20050621,5.2407,5.2722,5.178,5.2722,4569,0
20050622,5.0838,5.2722,4.9897,5.2407,35593,0
20050623,5.0525,5.2407,5.021,5.2407,35525,0
20050627,5.1152,5.2094,5.1152,5.2094,6958,0
20050628,5.178,5.178,5.178,5.178,557,0
20050629,5.0525,5.0838,5.021,5.0838,6607,0
20050630,5.1152,5.1466,5.1152,5.1466,2532,0
20050701,5.0838,5.1152,5.0838,5.1152,7968,0
20050704,5.1466,5.1466,5.1466,5.1466,478,0
20050706,5.0838,5.1152,5.0838,5.1152,3951,0
20050707,5.1152,5.1466,5.021,5.1466,19520,0
20050708,5.021,5.1466,5.021,5.1466,15169,0
20050711,5.1466,5.1466,5.1466,5.1466,1421,0
20050712,5.0525,5.0525,5.0525,5.0525,782,0
20050713,5.0838,5.0838,5.0525,5.0838,11171,0
20050714,5.0838,5.0838,5.0838,5.0838,158,0
20050715,5.0838,5.0838,5.0838,5.0838,823,0
20050718,5.1152,5.1466,5.0838,5.0838,6621,0
20050719,5.0838,5.1152,5.0838,5.1152,9223,0
20050720,5.1466,5.3349,5.1466,5.3349,67845,0
20050721,5.2722,5.3349,5.2407,5.3349,2822,0
20050722,5.3035,5.3035,5.2722,5.3035,8548,0
20050725,5.3662,5.3662,5.3662,5.3662,6214,0
20050726,5.3662,5.3662,5.2722,5.2722,7281,0
20050727,5.2722,5.2722,5.2407,5.2722,5593,0
20050728,5.3035,5.3035,5.178,5.178,2590,0
20050729,5.178,5.2094,5.178,5.2094,199,0
20050801,5.3349,5.4918,5.178,5.4605,38048,0
20050802,5.4605,5.4605,5.4605,5.4605,1035,0
20050803,5.4605,5.4605,5.3349,5.3977,5167,0
20050804,5.2722,5.6173,5.2722,5.6173,33581,0
20050805,5.4918,5.6173,5.4605,5.5546,25508,0
20050808,5.5546,5.7428,5.5546,5.5546,11061,0
20050810,5.5859,5.5859,5.5232,5.5232,685,0
20050812,5.2407,5.4291,5.2407,5.3035,3187,0
20050816,5.178,5.178,5.178,5.178,756,0
20050817,5.2722,5.3349,5.178,5.3349,3905,0
20050818,5.3349,5.3349,5.3349,5.3349,924,0
20050819,5.3035,5.3349,5.1466,5.2722,3760,0
20050822,5.178,5.178,5.178,5.178,398,0
20050823,5.178,5.178,5.178,5.178,168966,0
20050824,5.1466,5.178,5.1466,5.178,39548,0
20050825,5.178,5.178,5.178,5.178,5655,0
20050826,5.1466,5.1466,5.1466,5.1466,34,0
20050829,5.1466,5.1466,5.021,5.0525,8390,0
20050830,5.1466,5.4291,5.1466,5.4291,10356,0
20050831,5.4605,5.4605,5.3662,5.4291,6120,0
20050901,5.2722,5.3349,5.2722,5.3349,265,0
20050902,5.3035,5.3035,5.3035,5.3035,237,0
20050906,5.3349,5.3349,5.3349,5.3349,2184,0
20050907,5.178,5.3349,5.1466,5.2722,1159,0
20050908,5.2722,5.3349,5.2094,5.3349,492815,0
20050909,5.2407,5.2407,5.021,5.021,3081,0
20050912,5.2094,5.2094,5.021,5.021,1145,0
20050913,5.0525,5.0525,5.0525,5.0525,794,0
20050916,5.0525,5.0525,5.021,5.021,2470,0
20050919,5.021,5.0525,5.021,5.0525,2405,0
20050920,5.0525,5.0525,4.7387,4.9897,23438,0
20050921,5.021,5.021,5.021,5.021,2097,0
20050923,4.8015,5.021,4.7701,5.021,3506,0
20050926,5.0838,5.0838,5.0838,5.0838,320,0
20050927,5.0525,5.5232,5.0525,5.2407,13087,0
20050928,5.4918,5.4918,5.4291,5.4291,1873,0
20050929,5.1152,5.2094,5.021,5.1152,10408,0
20050930,5.178,5.3349,5.1466,5.3349,8287,0
20051003,5.1466,5.1466,5.1152,5.1466,4695,0
20051004,5.1466,5.1466,5.0838,5.1466,1767,0
20051005,5.0525,5.1152,5.0525,5.1152,945,0
20051006,5.0525,5.0525,4.9584,4.9897,7208,0
20051007,4.9269,4.9269,4.9269,4.9269,797,0
20051010,4.8956,4.9897,4.8956,4.9897,405,0
20051011,4.8956,4.8956,4.8956,4.8956,6660,0
20051012,4.8328,5.021,4.7701,4.8956,324488,0
20051013,4.8328,4.8328,4.7387,4.7387,6667,0
20051014,4.6758,4.8641,4.6758,4.8641,979,0
20051017,4.8641,4.8641,4.8641,4.8641,253,0
20051019,4.9584,4.9897,4.7073,4.7073,23916,0
20051020,4.7073,4.8641,4.7073,4.8641,95431,0
20051021,4.9897,5.021,4.9269,4.9269,12395,0
20051025,5.021,5.021,4.9897,4.9897,6502,0
20051026,4.8015,5.021,4.7073,5.021,2839,0
20051027,4.8015,5.021,4.8015,5.021,114,0
20051028,4.8328,4.8328,4.8328,4.8328,2,0
20051031,4.9897,4.9897,4.8956,4.8956,870,0
20051102,4.9897,5.2094,4.9897,5.1466,3624,0
20051103,5.0838,5.0838,4.9584,5.0838,1066,0
20051104,5.021,5.178,5.021,5.178,7363,0
20051107,4.8956,4.8956,4.7073,4.8015,9511,0
20051108,4.8015,4.8956,4.8015,4.8956,2673,0
20051114,4.7387,4.8641,4.7387,4.8641,3219,0
20051115,4.8015,4.8015,4.7387,4.7387,1991,0
20051116,4.7387,4.7387,4.7387,4.7387,797,0
20051117,4.7073,4.7073,4.6444,4.7073,2719,0
20051118,4.8015,4.8015,4.6444,4.6444,5414,0
20051121,4.7073,4.8015,4.6444,4.6444,5238,0
20051122,4.6444,4.6444,4.6131,4.6444,2573,0
20051123,4.6444,4.9584,4.6444,4.7701,385378,0
20051124,5.021,5.021,4.7073,4.7073,189936,0
20051125,4.7073,4.7701,4.7073,4.7701,1179,0
20051128,4.7701,4.9269,4.7701,4.9269,15141,0
20051129,4.9584,5.021,4.8956,4.9584,38506,0
20051130,4.9269,4.9584,4.9269,4.9584,31867,0
20051201,4.9584,4.9584,4.9584,4.9584,320,0
20051202,4.9584,4.9584,4.9584,4.9584,3984,0
20051205,4.7701,4.9897,4.7701,4.9897,16458,0
20051206,5.021,5.0838,4.9584,5.0838,19869,0
20051207,5.1152,5.3349,5.021,5.3349,25986,0
20051208,5.1466,5.1466,5.1152,5.1152,6656,0
20051209,5.1466,5.1466,5.1466,5.1466,1822,0
20051212,5.1466,5.1466,5.021,5.1152,2939,0
20051213,5.021,5.021,4.9269,5.021,12301,0
20051214,4.9584,4.9584,4.8956,4.8956,1833,0
20051215,4.9584,5.1466,4.9584,5.1152,9728,0
20051219,5.021,5.021,4.9897,4.9897,797,0
20051220,4.9584,5.021,4.9584,5.021,1193,0
20051222,5.1466,5.1466,5.0838,5.1152,2118,0
20051223,4.9897,5.0838,4.9584,5.0838,1273,0
20051227,4.9897,4.9897,4.8956,4.8956,2573,0
20051228,5.0838,5.1152,4.9584,5.1152,10435,0
20051229,5.1466,5.1466,5.021,5.1152,13039,0
20051230,5.021,5.1466,4.9269,5.1466,6056,0
20060102,4.8956,5.1152,4.8956,4.9897,3771,0
20060103,5.021,5.0838,5.021,5.0838,568,0
20060104,5.0838,5.1466,5.0525,5.1466,21602,0
20060106,5.1152,5.1466,5.021,5.1152,7397,0
20060109,5.1466,5.1466,5.021,5.021,1316,0
20060111,5.021,5.0838,5.021,5.021,1879,0
20060112,5.0525,5.0525,4.8956,4.9897,3952,0
20060113,4.8956,5.1466,4.8956,5.021,172090,0
20060116,5.0838,5.3035,4.9584,5.2407,39118,0
20060117,5.2722,5.2722,4.9269,5.0838,56138,0
20060118,5.0838,5.1152,4.9897,5.0838,25536,0
20060119,5.0838,5.178,5.0838,5.1466,12681,0
20060120,5.0838,5.0838,4.9897,5.021,9894,0
20060123,5.021,5.021,4.8956,4.8956,2390,0
20060125,4.9269,4.9584,4.8956,4.8956,161869,0
20060126,5.0525,5.1152,5.0525,5.0838,24399,0
20060127,5.0838,5.1152,5.0838,5.1152,5043,0
20060130,5.0838,5.1466,5.0525,5.0838,97902,0
20060131,5.2094,5.2094,5.021,5.021,9474,0
20060201,5.0838,5.3977,5.021,5.3662,73877,0
20060202,5.4291,5.4291,5.178,5.3035,5787,0
20060203,5.3977,5.3977,5.0525,5.2094,4839,0
20060206,5.2094,5.3035,5.1152,5.2407,15797,0
20060207,5.3035,5.3035,5.2407,5.2407,8962,0
20060208,5.2407,5.5859,5.2407,5.3977,31852,0
20060209,5.5232,5.5232,5.3349,5.5232,3414,0
20060210,5.4605,5.4918,5.3349,5.4605,2892,0
20060213,5.5232,5.5232,5.4605,5.5232,2699,0
20060214,5.4605,5.5232,5.2722,5.2722,3926,0
20060215,5.4918,5.7428,5.4918,5.6487,45255,0
20060216,5.837,6.7785,5.837,6.2765,281856,0
20060217,6.3391,6.3391,5.9313,6.1822,38459,0
20060220,6.2765,6.2765,5.9625,6.1509,42757,0
20060221,6.1509,6.1509,5.9625,6.0252,25706,0
20060222,6.0881,6.0881,5.8684,5.9313,35070,0
20060223,5.9625,6.0881,5.837,5.9938,5167,0
20060224,5.9938,6.2765,5.9313,6.2765,50308,0
20060227,6.2765,6.3391,6.0252,6.1509,23250,0
20060228,6.1822,6.1822,5.9625,5.9625,33599,0
20060301,5.9625,6.1822,5.7114,6.1822,204912,0
20060302,6.1822,6.1822,6.0252,6.0566,90063,0
20060303,6.1822,6.1822,5.9938,6.1194,10592,0
20060306,6.245,6.245,6.0252,6.0566,5148,0
20060307,6.0566,6.0566,5.9625,6.0252,16549,0
20060308,5.9625,5.9625,5.8057,5.9313,10298,0
20060309,5.9313,6.0566,5.8057,5.9625,3037,0
20060310,6.0252,6.0252,5.837,5.8999,1779,0
20060313,5.9625,5.9625,5.7428,5.8999,4386,0
20060314,5.7742,5.9625,5.7742,5.9313,4083,0
20060315,5.8999,6.1509,5.8684,6.1509,15693,0
20060316,6.1509,6.3391,6.0252,6.3391,20681,0
20060317,6.3391,6.5274,6.3391,6.5274,18940,0
20060320,6.5902,6.8726,6.5588,6.6842,20847,0
20060321,6.7471,6.7471,6.5274,6.5902,15915,0
20060322,6.4646,6.6529,6.4332,6.6529,18773,0
20060323,6.7785,6.7785,6.6529,6.7157,824,0
20060324,6.5902,6.7471,6.5274,6.7471,13204,0
20060327,6.8726,6.9982,6.7471,6.9982,9168,0
20060328,6.9982,7.4061,6.9982,7.3434,18956,0
20060329,7.3434,7.5315,7.2177,7.5315,88387,0
20060330,7.5315,7.7512,7.5315,7.5628,29279,0
20060331,7.5941,7.5941,7.3434,7.469,34856,0
20060403,7.3434,7.5941,7.3434,7.5003,22266,0
20060404,7.5315,8.0644,7.5315,8.0644,34322,0
20060405,8.0969,8.2846,7.9393,8.1595,227693,0
20060406,8.1278,8.222,7.5941,8.1278,31958,0
20060407,8.1595,8.222,8.1278,8.222,51805,0
