Date,Open,High,Low,Close,Volume,OpenInt
20151215,9.537,11.887,9.537,11.887,1144,0
20151217,11.611,11.611,11.611,11.611,105,0
20151218,11.773,11.773,11.773,11.773,5,0
20151221,10.488,11.107,10.488,11.107,137,0
20151222,10.488,11.231,10.469,11.231,1274,0
20151223,11.421,11.421,11.421,11.421,315,0
20151228,11.421,11.421,11.421,11.421,1429,0
20151229,11.421,11.421,11.421,11.421,3152,0
20151230,11.421,11.897,10.469,11.897,7870,0
20160113,11.611,11.611,11.611,11.611,1,0
20160120,9.518,9.565,9.518,9.565,548,0
20160121,9.518,10.422,9.518,10.422,117,0
20160127,10.469,10.469,9.518,10.469,326,0
20160129,11.469,11.469,11.469,11.469,105,0
20160203,11.421,11.421,11.421,11.421,89,0
20160212,10.469,11.231,10.469,11.231,167,0
20160216,11.231,11.231,11.231,11.231,263,0
20160224,10.469,10.469,9.518,9.518,160,0
20160225,10.469,10.469,10.469,10.469,525,0
20160229,10.469,10.469,10.469,10.469,105,0
20160304,10.279,10.279,10.279,10.279,132,0
20160309,10.279,10.279,10.279,10.279,105,0
20160310,10.279,10.326,10.279,10.279,447,0
20160311,10.279,10.279,10.279,10.279,420,0
20160316,10.279,10.945,10.279,10.945,223,0
20160317,11.421,11.516,11.421,11.421,105385,0
20160318,11.231,11.469,11.231,11.469,762,0
20160321,11.535,12.278,11.535,12.23,4334,0
20160322,11.983,11.983,11.983,11.983,55,0
20160323,11.802,11.802,11.802,11.802,18,0
20160329,11.792,11.792,11.783,11.783,336,0
20160330,11.849,11.849,11.849,11.849,5,0
20160331,11.849,11.849,11.849,11.849,50,0
20160401,11.992,11.992,11.992,11.992,336,0
20160405,11.983,11.992,11.983,11.983,691,0
20160406,11.944,11.983,11.944,11.983,479,0
20160407,11.897,11.983,11.897,11.983,21019,0
20160411,11.992,11.992,11.992,11.992,107,0
20160412,11.992,11.992,11.992,11.992,179,0
20160413,12.0016,12.23,12.0016,12.23,1261,0
20160414,12.1348,12.1348,12.1348,12.1348,24,0
20160415,12.1348,12.23,12.0682,12.23,8579,0
20160418,12.2,12.55,12.2,12.5,4089,0
20160419,12.55,12.55,12.2,12.55,2913,0
20160422,12.4,12.4,12.4,12.4,250,0
20160425,12.3,12.3,12.3,12.3,200,0
20160426,12.3,12.3,12.29,12.3,3961,0
20160427,12.55,12.75,12.55,12.6,17011,0
20160428,12.6,12.65,12.6,12.6,6218,0
20160429,12.65,12.85,12.65,12.85,13972,0
20160502,12.9,12.9,12.85,12.85,972,0
20160504,12.85,12.85,12.81,12.85,1907,0
20160505,12.85,12.85,12.85,12.85,444,0
20160506,12.9,12.9,12.65,12.85,1409,0
20160509,12.85,12.85,12.85,12.85,1070,0
20160510,12.85,12.85,12.85,12.85,228,0
20160511,12.85,12.85,12.56,12.7,7594,0
20160512,12.84,12.84,12.84,12.84,410,0
20160513,12.83,12.83,12.79,12.79,726,0
20160516,12.85,12.85,12.57,12.8,586,0
20160518,12.57,12.65,12.55,12.65,810,0
20160519,12.2,12.6,12.2,12.59,341,0
20160520,12.21,12.65,12.21,12.65,709,0
20160525,12.11,12.65,12.11,12.65,51,0
20160527,12.6,12.6,12.6,12.6,400,0
20160530,12.6,12.85,12.6,12.85,5421,0
20160531,12.89,12.9,12.66,12.9,11685,0
20160603,12.9,12.95,12.9,12.95,5160,0
20160606,12.95,12.95,12.95,12.95,100,0
20160607,12.85,12.85,12.85,12.85,200,0
20160608,12.5,12.95,12.5,12.94,820,0
20160613,12.34,12.91,12.34,12.91,176,0
20160614,12.91,12.91,12.32,12.88,325,0
20160616,12.22,12.59,12,12,1575,0
20160617,12.86,12.86,12.86,12.86,5,0
20160624,11.61,12.4,11.38,12.4,2423,0
20160627,12.5,12.5,12,12.48,756,0
20160628,12,12.85,12,12.85,660,0
20160705,12.8,12.8,12.6,12.79,1096,0
20160711,12.3,12.75,12.3,12.75,660,0
20160712,12.01,12.6,12,12.6,750,0
20160714,12.3,12.6,12.25,12.46,970,0
20160715,12.46,13.05,12.35,13,16585,0
20160718,13.2,13.85,12.65,13.85,9483,0
20160719,13.85,13.85,13.55,13.56,1281,0
20160720,13.7,13.84,13.7,13.84,310,0
20160721,13.84,13.84,13.84,13.84,85,0
20160725,13.82,14,13.82,14,5638,0
20160726,14.49,14.49,13.8,14.39,3331,0
20160727,14.86,14.86,14.86,14.86,121,0
20160728,14.7,14.7,14.7,14.7,21,0
20160729,14.7,14.7,14.7,14.7,6,0
20160801,13.96,14.64,13.96,14.63,295,0
20160804,14.3,14.55,14.3,14.55,1649,0
20160808,14.1,14.49,14.1,14.49,1011,0
20160810,14.49,14.54,14.49,14.54,109,0
20160811,14.12,14.54,14.05,14.54,2450,0
20160812,14.5,14.5,14.5,14.5,130,0
20160816,14.49,14.5,14,14.5,15203,0
20160817,14.5,14.5,14.5,14.5,560,0
20160823,14.49,14.49,14.1,14.48,441,0
20160824,14.06,14.45,14.06,14.45,179,0
20160825,14.39,14.39,14.39,14.39,200,0
