Date,Open,High,Low,Close,Volume,OpenInt
20010516,42.668,42.668,39.23,42.314,3888,0
20010517,40.993,42.227,40.552,42.227,2380,0
20010518,40.64,41.433,40.64,41.433,12,0
20010524,42.314,42.314,42.314,42.314,5,0
20010525,42.668,42.668,42.668,42.668,272,0
20010529,42.579,42.579,42.579,42.579,226,0
20010530,42.403,42.403,42.403,42.403,226,0
20010531,42.403,42.403,42.403,42.403,113,0
20010601,41.963,41.963,41.963,41.963,226,0
20010604,41.874,41.874,41.433,41.433,1929,0
20010605,42.403,42.403,41.433,41.433,386,0
20010606,42.314,42.403,41.433,42.403,280,0
20010607,42.403,42.403,42.403,42.403,454,0
20010608,42.579,42.579,42.579,42.579,113,0
20010611,42.579,42.579,42.579,42.579,56,0
20010612,40.993,42.668,40.993,42.668,283,0
20010615,42.491,42.756,42.314,42.756,3593,0
20010618,42.756,42.756,42.756,42.756,170,0
20010621,41.874,41.874,41.874,41.874,226,0
20010622,42.314,42.314,42.314,42.314,398,0
20010625,42.403,42.403,42.314,42.314,226,0
20010626,42.314,42.314,41.874,41.874,430,0
20010628,43.198,43.198,42.314,42.668,680,0
20010629,43.198,43.198,43.198,43.198,783,0
20010702,42.403,42.403,42.403,42.403,434,0
20010703,42.668,43.108,42.668,42.668,760,0
20010704,42.756,42.932,42.756,42.843,793,0
20010705,42.756,42.756,42.756,42.756,400,0
20010706,43.02,43.198,43.02,43.198,488,0
20010709,43.285,43.285,43.285,43.285,341,0
20010710,43.198,43.285,43.198,43.198,545,0
20010711,43.198,43.198,43.198,43.198,759,0
20010712,43.198,43.373,43.198,43.373,1668,0
20010713,43.198,43.198,43.198,43.198,56,0
20010716,43.462,43.462,43.462,43.462,328,0
20010717,43.285,43.462,43.285,43.462,885,0
20010718,43.637,43.725,43.637,43.725,977,0
20010719,43.725,43.99,43.725,43.99,2780,0
20010720,44.078,44.078,44.078,44.078,244,0
20010723,44.959,45.136,44.959,45.136,436,0
20010724,44.519,45.4,44.519,45.4,793,0
20010725,45.841,45.841,45.841,45.841,56,0
20010727,45.754,45.754,45.754,45.754,10,0
20010730,45.4,45.841,45.4,45.841,478,0
20010731,45.488,45.488,45.488,45.488,10,0
20010801,45.488,45.488,45.488,45.488,10,0
20010802,46.282,46.282,44.078,46.282,498,0
20010803,45.841,46.282,45.841,46.282,215,0
20010806,46.193,46.193,46.193,46.193,160,0
20010807,45.4,45.4,45.4,45.4,10,0
20010808,44.078,45.312,43.814,43.814,840,0
20010809,45.4,45.666,45.4,45.666,498,0
20010810,44.959,44.959,44.959,44.959,226,0
20010813,44.959,44.959,44.872,44.872,454,0
20010814,45.312,45.312,45.224,45.224,116,0
20010816,45.136,45.136,45.136,45.136,226,0
20010817,44.959,45.048,44.959,45.048,273,0
20010820,45.4,45.4,45.4,45.4,113,0
20010821,45.4,45.4,45.4,45.4,46,0
20010822,44.959,44.959,44.959,44.959,93,0
20010823,45.754,45.754,45.754,45.754,197,0
20010824,44.872,44.872,44.872,44.872,226,0
20010827,45.224,45.312,44.872,45.312,1112,0
20010828,44.783,45.312,44.783,45.312,707,0
20010829,45.4,45.841,44.431,45.841,684,0
20010830,45.4,45.4,44.783,44.783,226,0
20010831,44.608,44.608,44.519,44.519,454,0
20010903,44.519,44.519,44.166,44.166,454,0
20010904,44.078,44.783,44.078,44.783,552,0
20010906,44.166,44.166,44.166,44.166,46,0
20010907,44.166,44.166,44.166,44.166,226,0
20010910,44.519,44.519,44.519,44.519,226,0
20010912,44.078,44.078,44.078,44.078,341,0
20010913,44.431,44.431,44.431,44.431,170,0
20010917,44.431,44.431,44.431,44.431,170,0
20010918,43.373,43.373,43.198,43.198,454,0
20010919,42.756,43.198,42.756,43.198,398,0
20010920,41.874,42.756,41.874,42.756,629,0
20010921,41.433,42.403,41.433,42.403,153,0
20010924,42.579,42.668,42.579,42.668,373,0
20010926,42.668,42.668,42.668,42.668,344,0
20010927,42.843,42.932,42.843,42.932,344,0
20010928,43.02,43.02,43.02,43.02,450,0
20011001,43.285,43.373,43.285,43.373,450,0
20011002,43.373,43.462,43.373,43.462,370,0
20011003,42.756,43.198,42.756,43.198,8542,0
20011004,43.198,43.549,43.198,43.549,341,0
20011005,43.285,43.637,42.756,42.756,6035,0
20011008,43.549,43.637,42.403,43.637,480,0
20011009,42.403,44.608,42.403,44.608,597,0
20011010,44.431,44.608,44.343,44.608,567,0
20011011,44.783,44.959,44.431,44.959,488,0
20011012,44.783,45.048,44.783,45.048,460,0
20011015,44.783,45.048,43.637,45.048,567,0
20011018,44.608,44.959,44.608,44.959,231,0
20011019,44.078,44.166,44.078,44.166,398,0
20011022,43.725,43.725,43.198,43.198,355,0
20011023,42.756,44.166,42.756,44.166,235,0
20011024,42.843,44.519,42.843,44.519,462,0
20011025,44.959,44.959,43.198,44.872,142,0
20011029,42.756,44.519,42.314,44.519,328,0
20011030,44.519,45.136,44.519,44.959,617,0
20011031,44.608,44.608,44.608,44.608,226,0
20011102,42.756,44.519,42.756,44.519,244,0
20011105,44.519,44.519,44.519,44.519,454,0
20011106,44.519,44.959,44.519,44.959,680,0
20011107,44.519,44.519,44.519,44.519,226,0
20011109,44.608,44.608,44.608,44.608,224,0
20011113,44.608,44.608,44.519,44.519,314,0
20011114,44.695,44.695,44.695,44.695,440,0
20011115,45.224,45.224,44.519,45.224,403,0
20011116,45.224,45.754,45.224,45.754,388,0
20011119,45.312,45.312,45.312,45.312,226,0
20011120,45.312,45.312,45.312,45.312,226,0
20011121,45.4,45.577,45.4,45.577,226,0
20011122,45.841,45.841,45.841,45.841,10,0
20011123,45.93,46.722,45.93,46.722,238,0
20011126,46.282,46.282,46.282,46.282,137,0
20011127,46.193,46.193,46.193,46.193,226,0
20011128,46.193,46.193,46.193,46.193,226,0
20011129,46.546,46.546,45.93,45.93,455,0
20011130,46.546,46.546,46.018,46.018,228,0
20011203,46.105,46.105,46.105,46.105,226,0
20011204,46.546,49.102,46.546,46.987,1751,0
20011205,46.282,46.282,46.282,46.282,70,0
20011206,46.282,46.282,46.282,46.282,743,0
20011207,46.282,47.076,46.282,47.076,359,0
20011210,46.987,48.045,46.987,48.045,510,0
20011211,48.926,48.926,48.926,48.926,170,0
20011212,47.692,50.248,47.692,48.926,254,0
20011213,49.19,49.19,49.19,49.19,193,0
20011217,51.219,51.219,50.426,50.426,171,0
20011218,52.542,52.542,52.542,52.542,454,0
20011219,52.542,52.542,52.542,52.542,226,0
20011220,52.453,54.216,52.453,54.216,462,0
20011227,55.538,55.538,55.538,55.538,174,0
20011228,57.302,57.302,57.302,57.302,4,0
20011231,57.126,57.126,57.126,57.126,10,0
20020102,57.126,57.126,57.126,57.126,10,0
20020107,56.42,56.42,56.42,56.42,262,0
20020108,56.596,57.302,56.596,57.302,250,0
20020109,57.302,59.329,57.302,59.329,277,0
20020111,57.39,57.39,57.39,57.39,674,0
20020114,57.477,57.477,57.477,57.477,70,0
20020115,57.477,57.477,57.477,57.477,113,0
20020116,57.302,57.302,57.302,57.302,41,0
20020117,57.39,57.39,57.39,57.39,113,0
20020118,57.655,57.655,57.655,57.655,113,0
20020121,57.477,57.477,57.477,57.477,226,0
20020122,59.329,59.329,59.329,59.329,135,0
20020123,58.536,58.536,58.536,58.536,135,0
20020124,58.712,58.712,58.712,58.712,56,0
20020125,59.152,60.828,59.152,60.828,113,0
20020128,60.916,60.916,60.916,60.916,226,0
20020129,61.093,61.093,61.093,61.093,205,0
20020130,61.004,61.004,61.004,61.004,113,0
20020131,62.414,62.414,62.149,62.149,198,0
20020201,61.885,61.885,61.885,61.885,56,0
20020204,64.883,64.883,64.883,64.883,33,0
20020205,64.794,64.883,64.794,64.883,308,0
20020206,64.354,64.354,64.354,64.354,189,0
20020207,64.354,64.354,64.354,64.354,170,0
20020208,63.472,63.472,63.472,63.472,23,0
20020211,61.885,61.885,61.885,61.885,170,0
20020212,62.238,62.238,62.238,62.238,208,0
20020213,62.327,62.327,62.238,62.327,275,0
20020214,62.238,62.238,62.238,62.238,238,0
20020215,64.794,64.794,64.794,64.794,118,0
20020218,64.354,64.354,62.943,62.943,80,0
20020219,63.208,67.792,63.208,64.443,274,0
20020220,64.883,64.883,64.53,64.883,335,0
20020221,65.324,65.324,65.324,65.324,113,0
20020222,66.206,66.206,66.206,66.206,113,0
20020225,66.999,66.999,66.999,66.999,105,0
20020226,68.409,70.525,66.999,67.88,1108,0
20020227,67.88,67.88,67.88,67.88,14,0
20020228,71.848,74.933,71.848,74.933,75,0
20020304,78.547,82.338,78.458,81.456,456,0
20020305,83.22,84.101,83.22,83.66,325,0
20020306,83.66,83.66,83.66,83.66,166,0
20020307,79.252,79.252,73.169,76.784,282,0
20020308,74.14,74.14,74.051,74.051,70,0
20020311,74.14,74.14,74.051,74.051,348,0
20020312,74.051,75.374,74.051,75.374,15,0
20020314,76.696,76.696,76.696,76.696,23,0
20020315,76.696,76.696,76.696,76.696,23,0
20020318,76.696,76.696,76.696,76.696,23,0
20020319,76.696,76.696,76.696,76.696,16,0
20020320,76.696,79.341,76.696,79.341,88,0
20020321,82.867,84.542,82.867,84.542,450,0
