Date,Open,High,Low,Close,Volume,OpenInt
19960110,28.9,28.9,28.9,28.9,34793,0
19960111,28.7,28.7,28.7,28.7,35155,0
19960112,27.5,27.5,27.5,27.5,14864,0
19960115,28.3,28.3,28.3,28.3,13535,0
19960116,27.5,27.5,27.5,27.5,5513,0
19960117,28.1,28.1,28.1,28.1,11498,0
19960118,27.5,27.5,27.5,27.5,3257,0
19960119,26.6,26.6,26.6,26.6,4165,0
19960122,25.4,25.4,25.4,25.4,2535,0
19960123,25.9,25.9,25.9,25.9,4302,0
19960124,27.7,27.7,27.7,27.7,8026,0
19960125,26.9,26.9,26.9,26.9,7847,0
19960126,27.2,27.2,27.2,27.2,9195,0
19960129,27.5,27.5,27.5,27.5,6168,0
19960130,27.6,27.6,27.6,27.6,13310,0
19960131,28.6,28.6,28.6,28.6,9169,0
19960201,28.2,28.2,28.2,28.2,4308,0
19960202,28.1,28.1,28.1,28.1,5823,0
19960205,27.5,27.5,27.5,27.5,2929,0
19960206,27.6,27.6,27.6,27.6,7846,0
19960207,27.5,27.5,27.5,27.5,2729,0
19960208,27.8,27.8,27.8,27.8,2694,0
19960209,28.1,28.1,28.1,28.1,3506,0
19960212,30.7,30.7,30.7,30.7,15377,0
19960213,29,29,29,29,5111,0
19960214,29,29,29,29,23936,0
19960215,29,29,29,29,15126,0
19960216,29.8,29.8,29.8,29.8,4130,0
19960219,29.8,29.8,29.8,29.8,2317,0
19960220,29.3,29.3,29.3,29.3,13643,0
19960221,29.5,29.5,29.5,29.5,1117,0
19960222,30.6,30.6,30.6,30.6,4556,0
19960223,30,30,30,30,12298,0
19960226,30.4,30.4,30.4,30.4,7161,0
19960227,30.6,30.6,30.6,30.6,5879,0
19960228,29.8,29.8,29.8,29.8,1915,0
19960229,30.6,30.6,30.6,30.6,13066,0
19960301,30.6,30.6,30.6,30.6,10159,0
19960304,31.2,31.2,31.2,31.2,7562,0
19960305,32.8,32.8,32.8,32.8,8587,0
19960306,32.9,32.9,32.9,32.9,10093,0
19960307,33.6,33.6,33.6,33.6,5560,0
19960308,33.6,33.6,33.6,33.6,9023,0
19960311,33.6,33.6,33.6,33.6,3835,0
19960312,31.9,31.9,31.9,31.9,861,0
19960313,32.9,32.9,32.9,32.9,3390,0
19960314,32.9,32.9,32.9,32.9,13937,0
19960315,33.6,33.6,33.6,33.6,7924,0
19960318,35.3,35.3,35.3,35.3,12102,0
19960319,35.3,35.3,35.3,35.3,22011,0
19960320,35.3,35.3,35.3,35.3,6781,0
19960321,36,36,36,36,21397,0
19960322,35,35,35,35,2575,0
19960325,34.2,34.2,34.2,34.2,1125,0
19960326,32.9,32.9,32.9,32.9,501,0
19960327,33.1,33.1,33.1,33.1,3514,0
19960328,31.5,31.5,31.5,31.5,11287,0
19960329,31.3,31.3,31.3,31.3,7339,0
19960401,31.5,31.5,31.5,31.5,2479,0
19960402,31.8,31.8,31.8,31.8,3206,0
19960403,31.7,31.7,31.7,31.7,1782,0
19960404,31.7,31.7,31.7,31.7,2225,0
19960405,32.2,32.2,32.2,32.2,3107,0
19960409,31.5,31.5,31.5,31.5,2369,0
19960410,31.7,31.7,31.7,31.7,1924,0
19960411,31.8,31.8,31.8,31.8,2891,0
19960412,31.5,31.5,31.5,31.5,937,0
19960415,31.7,31.7,31.7,31.7,711,0
19960416,31.9,31.9,31.9,31.9,2708,0
19960417,32.2,32.2,32.2,32.2,3278,0
19960418,32.4,32.4,32.4,32.4,1650,0
19960419,32.3,32.3,32.3,32.3,5479,0
19960422,33,33,33,33,9704,0
19960423,34.4,34.4,34.4,34.4,4919,0
19960424,34.6,34.6,34.6,34.6,5664,0
19960425,34.4,34.4,34.4,34.4,4615,0
19960426,33.4,33.4,33.4,33.4,2635,0
19960429,33.7,33.7,33.7,33.7,1970,0
19960430,34.2,34.2,34.2,34.2,3302,0
19960506,34.7,34.7,34.7,34.7,3298,0
19960507,37.4,37.4,37.4,37.4,10398,0
19960508,37.4,37.4,37.4,37.4,7025,0
19960509,38.6,38.6,38.6,38.6,15659,0
19960510,39.8,39.8,39.8,39.8,14808,0
19960513,43.4,43.4,43.4,43.4,14173,0
19960514,42.2,42.2,42.2,42.2,15799,0
19960515,40.6,40.6,40.6,40.6,13402,0
19960516,40.1,40.1,40.1,40.1,1096,0
19960517,40.1,40.1,40.1,40.1,6442,0
19960520,41.3,41.3,41.3,41.3,2420,0
19960521,41.3,41.3,41.3,41.3,3714,0
19960522,40.1,40.1,40.1,40.1,1782,0
19960523,38.6,38.6,38.6,38.6,3267,0
19960524,36.2,36.2,36.2,36.2,3430,0
19960527,36.2,36.2,36.2,36.2,1950,0
19960528,36.2,36.2,36.2,36.2,6761,0
19960529,36.5,36.5,36.5,36.5,5655,0
19960530,36.5,36.5,36.5,36.5,3492,0
19960531,37,37,37,37,9254,0
19960603,37,37,37,37,10960,0
19960604,34.7,34.7,34.7,34.7,6928,0
19960605,33.9,33.9,33.9,33.9,3853,0
19960607,34.1,34.1,34.1,34.1,3006,0
19960610,35.8,35.8,35.8,35.8,3002,0
19960611,36.6,36.6,36.6,36.6,11735,0
19960612,37,37,37,37,16751,0
