Date,Open,High,Low,Close,Volume,OpenInt
19970508,2.8356,2.8356,2.8356,2.8356,1570402,0
19970509,3.1195,3.1195,3.1195,3.1195,1853879,0
19970512,3.2646,3.2646,3.2646,3.2646,1762524,0
19970513,3.137,3.137,3.137,3.137,258104,0
19970514,2.9982,2.9982,2.9982,2.9982,418991,0
19970515,2.8786,2.8786,2.8786,2.8786,439273,0
19970516,2.8436,2.8436,2.8436,2.8436,634288,0
19970519,2.9217,2.9217,2.9217,2.9217,72555,0
19970520,2.8786,2.8786,2.8786,2.8786,104741,0
19970521,2.8275,2.8275,2.8275,2.8275,227793,0
19970522,2.7494,2.7494,2.7494,2.7494,184970,0
19970523,2.6633,2.6633,2.6633,2.6633,1052275,0
19970526,2.6203,2.6203,2.6203,2.6203,1234381,0
19970527,2.5773,2.5773,2.5773,2.5773,450084,0
19970528,2.5341,2.5341,2.5341,2.5341,138864,0
19970530,2.5773,2.5773,2.5773,2.5773,65944,0
19970602,2.5773,2.5773,2.5773,2.5773,157881,0
19970603,2.491,2.491,2.491,2.491,297767,0
19970604,2.4496,2.4496,2.4496,2.4496,192733,0
19970605,2.4225,2.4225,2.4225,2.4225,267009,0
19970606,2.491,2.491,2.491,2.491,100917,0
19970609,2.5773,2.5773,2.5773,2.5773,442619,0
19970610,2.6633,2.6633,2.6633,2.6633,426299,0
19970611,2.759,2.759,2.759,2.759,172576,0
19970612,2.8786,2.8786,2.8786,2.8786,312486,0
19970613,2.8786,2.8786,2.8786,2.8786,234481,0
19970616,2.8786,2.8786,2.8786,2.8786,161776,0
19970617,2.8611,2.8611,2.8611,2.8611,123106,0
19970618,2.8356,2.8356,2.8356,2.8356,256568,0
19970619,2.9473,2.9473,2.9473,2.9473,241073,0
19970620,2.9727,2.9727,2.9727,2.9727,318354,0
19970623,2.8356,2.8356,2.8356,2.8356,229932,0
19970624,2.7494,2.7494,2.7494,2.7494,102369,0
19970625,2.7925,2.7925,2.7925,2.7925,142875,0
19970626,2.7064,2.7064,2.7064,2.7064,142833,0
19970627,2.6809,2.6809,2.6809,2.6809,33759,0
19970630,2.7846,2.7846,2.7846,2.7846,42358,0
19970701,2.6809,2.6809,2.6809,2.6809,47659,0
19970702,2.7064,2.7064,2.7064,2.7064,114709,0
19970703,2.7238,2.7238,2.7238,2.7238,150565,0
19970704,2.7925,2.7925,2.7925,2.7925,115313,0
19970707,2.8356,2.8356,2.8356,2.8356,261678,0
19970708,2.9041,2.9041,2.9041,2.9041,131532,0
19970709,2.9297,2.9297,2.9297,2.9297,160581,0
19970710,2.9041,2.9041,2.9041,2.9041,95891,0
19970711,2.9137,2.9137,2.9137,2.9137,169933,0
19970714,2.9217,2.9217,2.9217,2.9217,833642,0
19970715,3.0412,3.0412,3.0412,3.0412,362123,0
19970716,3.1098,3.1098,3.1098,3.1098,262645,0
19970717,3.2566,3.2566,3.2566,3.2566,775879,0
19970718,3.18,3.18,3.18,3.18,323183,0
19970721,3.18,3.18,3.18,3.18,287320,0
19970722,3.2311,3.2311,3.2311,3.2311,73499,0
19970723,3.2741,3.2741,3.2741,3.2741,256275,0
19970724,3.2996,3.2996,3.2996,3.2996,591883,0
19970725,3.3076,3.3076,3.3076,3.3076,471250,0
19970728,3.2646,3.2646,3.2646,3.2646,378683,0
19970729,3.2646,3.2646,3.2646,3.2646,393222,0
19970730,3.2566,3.2566,3.2566,3.2566,386588,0
19970731,3.2215,3.2215,3.2215,3.2215,450298,0
19970801,3.2134,3.2134,3.2134,3.2134,355824,0
19970804,3.2215,3.2215,3.2215,3.2215,482581,0
19970805,3.2134,3.2134,3.2134,3.2134,467690,0
19970806,3.3076,3.3076,3.3076,3.3076,235175,0
19970807,3.2996,3.2996,3.2996,3.2996,312611,0
19970808,3.3506,3.3506,3.3506,3.3506,577714,0
19970811,3.4289,3.4289,3.4289,3.4289,697975,0
19970812,3.3937,3.3937,3.3937,3.3937,296877,0
19970813,3.4114,3.4114,3.4114,3.4114,608131,0
19970814,3.4369,3.4369,3.4369,3.4369,546974,0
19970818,3.4114,3.4114,3.4114,3.4114,457153,0
19970819,3.4369,3.4369,3.4369,3.4369,246289,0
19970820,3.5659,3.5659,3.5659,3.5659,196294,0
19970821,3.6011,3.6011,3.6011,3.6011,113042,0
19970822,3.4464,3.4464,3.4464,3.4464,95330,0
19970825,3.4798,3.4798,3.4798,3.4798,109027,0
19970826,3.4895,3.4895,3.4895,3.4895,172910,0
19970827,3.523,3.523,3.523,3.523,114835,0
19970828,3.609,3.609,3.609,3.609,149240,0
19970829,3.7382,3.7382,3.7382,3.7382,253132,0
19970901,3.6951,3.6951,3.6951,3.6951,87686,0
19970902,3.8674,3.8674,3.8674,3.8674,180140,0
