Date,Open,High,Low,Close,Volume,OpenInt
20140411,18.008,18.008,16.943,17.271,146509,0
20140414,17.168,17.168,16.664,16.803,39675,0
20140415,16.803,16.963,16.71,16.795,3548,0
20140416,16.795,16.926,16.71,16.71,3489,0
20140417,16.618,16.99,16.618,16.803,3806,0
20140422,17.074,17.355,16.85,17.317,2316,0
20140423,17.271,17.364,17.178,17.317,7517,0
20140424,17.317,17.317,17.308,17.308,975,0
20140425,17.158,17.271,16.803,17.271,9461,0
20140428,17.317,17.317,16.813,17.261,876,0
20140429,17.261,17.261,16.803,17.261,1564,0
20140430,17.317,17.317,16.803,17.168,3351,0
20140502,17.252,17.252,16.803,16.803,3844,0
20140505,17.178,17.233,16.897,16.897,740,0
20140506,16.897,17.084,16.803,16.897,1305,0
20140507,16.803,16.813,16.598,16.748,7179,0
20140508,16.748,16.756,16.719,16.719,1645,0
20140509,16.729,16.729,16.524,16.524,773,0
20140512,16.524,16.608,15.608,16.057,62194,0
20140513,16.234,16.234,15.871,16.038,2708,0
20140514,15.889,15.889,15.777,15.889,14915,0
20140515,15.871,16.337,15.871,16.337,325,0
20140516,16.327,16.337,15.871,16.327,2457,0
20140519,16.29,16.29,16.29,16.29,10,0
20140520,15.973,16.01,15.571,15.982,1622,0
20140521,15.973,15.991,15.544,15.916,833,0
20140522,16.001,16.748,15.871,16.748,3415,0
20140523,16.664,16.795,16.664,16.795,1083,0
20140526,16.795,16.85,16.795,16.85,5,0
20140527,16.803,16.803,16.571,16.785,716,0
20140528,16.795,16.795,16.795,16.795,10,0
20140529,16.618,16.618,16.43,16.524,464,0
20140530,16.43,17.261,16.15,17.261,5407,0
20140602,17.224,17.224,16.618,16.748,1237,0
20140603,16.803,16.803,15.908,16.664,268,0
20140604,16.057,16.664,16.057,16.618,762,0
20140605,16.243,16.477,16.243,16.477,414,0
20140606,16.618,17.037,16.449,16.449,12506,0
20140609,16.748,17.131,16.337,17.131,4326,0
20140610,17.242,17.252,17.084,17.084,3021,0
20140611,17.084,17.084,16.803,17.018,1191,0
20140612,17.018,17.018,16.99,17.01,337,0
20140613,16.803,17,16.803,17,796,0
20140616,16.99,16.99,16.43,16.934,1033,0
20140617,17,17,16.635,16.99,1767,0
20140618,16.98,17.037,16.98,16.99,479,0
20140620,17.037,17.037,16.99,17.037,376,0
20140623,16.99,16.99,16.99,16.99,36,0
20140624,17.064,17.064,16.71,17.027,597,0
20140625,17.057,17.057,16.99,16.99,473,0
20140626,16.393,16.98,16.393,16.98,2682,0
20140627,16.99,16.99,16.897,16.897,15,0
20140630,16.972,16.972,16.626,16.803,468,0
20140701,16.803,16.803,16.43,16.43,174,0
20140702,16.664,16.71,16.196,16.71,3898,0
20140703,16.71,16.71,16.71,16.71,10,0
20140704,16.71,16.71,16.71,16.71,10,0
20140707,16.71,16.71,16.702,16.702,1618,0
20140708,16.71,16.71,16.618,16.682,2180,0
20140709,16.682,16.682,16.243,16.672,1105,0
20140710,16.672,16.672,16.196,16.645,2696,0
20140711,16.645,16.645,16.243,16.524,1463,0
20140714,16.159,16.588,16.159,16.588,1425,0
20140715,16.588,16.588,16.216,16.477,689,0
20140716,16.588,16.588,16.02,16.281,1104,0
20140717,16.374,16.374,15.871,16.337,1870,0
20140718,16.327,16.588,15.963,16.588,1188,0
20140721,16.337,16.337,15.871,16.196,1961,0
20140722,16.234,16.356,16.15,16.15,70,0
20140723,16.057,16.15,16.057,16.15,239,0
20140724,16.15,16.15,16.094,16.094,1943,0
20140725,16.318,16.318,15.945,16.029,9870,0
20140728,16.412,16.412,16.29,16.29,3217,0
20140729,15.737,16.166,15.737,15.976,8839,0
20140730,16.014,16.014,15.832,15.928,266,0
20140731,15.909,15.909,15.718,15.909,2506,0
20140801,15.976,15.976,15.26,15.956,4675,0
20140804,15.832,16.118,15.832,16.062,4246,0
20140805,16.214,16.214,15.451,15.451,815,0
20140806,15.499,15.499,15.26,15.26,5404,0
20140807,15.25,15.25,14.306,14.936,17789,0
20140808,14.936,14.936,13.734,14.497,9855,0
20140811,14.679,14.679,14.487,14.497,2108,0
20140812,14.726,14.726,14.306,14.487,89,0
20140813,14.717,14.717,14.497,14.497,111,0
20140814,14.726,14.726,14.068,14.497,363,0
20140818,14.726,14.726,14.164,14.593,514,0
20140819,14.583,14.583,14.306,14.497,760,0
20140820,14.497,14.497,14.116,14.497,1124,0
20140821,14.497,14.497,14.306,14.306,139,0
20140822,14.354,14.497,14.354,14.497,587,0
