Date,Open,High,Low,Close,Volume,OpenInt
20071001,42.401,45.228,39.47,41.458,29312,0
20071002,41.458,41.458,39.574,39.574,11814,0
20071003,40.516,42.392,38.651,42.392,8887,0
20071004,42.392,44.266,42.392,43.814,5425,0
20071005,43.343,43.343,41.93,41.93,2068,0
20071008,43.296,43.296,40.988,41.458,4848,0
20071009,42.09,42.09,41.458,41.93,1577,0
20071010,41.882,41.882,40.516,40.516,642,0
20071011,40.516,41.458,40.121,40.988,3997,0
20071012,41.364,42.024,41.364,42.024,2409,0
20071015,42.024,42.024,40.893,40.893,623,0
20071016,40.046,40.516,40.046,40.506,1758,0
20071017,39.122,40.516,39.122,40.046,204,0
20071018,39.122,39.574,39.103,39.574,728,0
20071019,40.14,40.14,39.574,39.668,1075,0
20071022,38.632,39.998,38.632,39.988,264,0
20071023,39.998,41.45,39.574,41.45,10882,0
20071024,41.93,41.93,40.799,41.364,5815,0
20071025,41.355,41.355,41.176,41.261,382,0
20071026,41.082,41.45,40.988,41.364,31128,0
20071029,40.988,41.364,40.988,41.355,3939,0
20071030,41.176,41.176,41.082,41.176,94,0
20071031,40.046,40.046,40.046,40.046,32,0
20071102,40.516,40.516,40.516,40.516,2567,0
20071105,39.584,40.988,39.564,40.988,880,0
20071106,40.988,40.988,40.988,40.988,531,0
20071107,39.574,39.574,37.69,37.69,1465,0
20071108,36.276,37.69,36.276,37.69,1043,0
20071109,38.161,38.161,38.161,38.161,1273,0
20071112,38.538,38.538,36.748,38.152,1512,0
20071113,37.501,38.255,37.501,38.255,477,0
20071114,37.699,37.699,37.69,37.69,477,0
20071115,37.69,37.69,36.276,37.69,1708,0
20071116,35.852,37.69,35.852,37.69,754,0
20071119,37.972,38.02,37.972,38.02,191,0
20071120,36.748,38.066,36.748,38.066,2441,0
20071121,37.972,37.972,37.972,37.972,58,0
20071122,37.218,37.737,37.218,37.737,365,0
20071126,37.963,37.963,37.642,37.879,280,0
20071127,37.963,37.963,37.869,37.879,319,0
20071128,37.784,37.784,37.784,37.784,24,0
20071129,37.972,37.972,37.69,37.69,457,0
20071130,37.114,37.114,36.795,36.795,242,0
20071203,37.03,37.03,37.03,37.03,106,0
20071204,37.963,37.963,36.748,37.642,159,0
20071205,37.596,37.596,37.492,37.501,205,0
20071206,36.748,36.748,36.748,36.748,53,0
20071207,37.68,37.68,37.501,37.501,186,0
20071210,37.69,37.972,37.69,37.972,174,0
20071211,37.972,37.972,37.69,37.69,849,0
20071214,37.784,37.972,37.784,37.972,1245,0
20071217,36.841,37.218,36.841,37.218,849,0
20071218,36.559,37.69,36.559,37.69,472,0
20071219,36.748,38.161,36.748,38.161,8331,0
20071220,37.972,38.642,37.879,38.632,1608,0
20071221,38.443,38.632,38.443,38.632,492,0
20071227,39.376,39.376,39.376,39.376,37,0
20071228,39.376,40.036,39.376,39.574,12356,0
20080102,39.857,39.857,39.857,39.857,1308,0
20080103,39.857,39.857,39.574,39.857,1613,0
20080104,39.103,39.103,39.103,39.103,158,0
20080107,37.699,37.699,37.69,37.69,159,0
20080109,37.69,37.69,36.748,37.69,608,0
20080110,36.465,36.465,36.465,36.465,257,0
20080111,35.805,35.805,34.674,34.674,1470,0
20080114,33.921,33.921,32.696,33.921,1339,0
20080115,32.979,32.979,31.848,32.979,8427,0
20080116,31.942,31.942,30.812,31.848,596,0
20080117,31.848,31.848,30.906,30.906,1240,0
20080118,30.812,30.812,29.964,30.812,826,0
20080121,30.717,30.717,29.869,29.869,133,0
20080122,28.267,28.267,28.267,28.267,531,0
20080123,27.608,28.267,27.608,28.267,5034,0
20080124,29.209,29.209,29.209,29.209,531,0
20080125,29.681,29.681,28.267,28.267,793,0
20080128,27.325,27.325,27.325,27.325,357,0
20080129,26.854,28.362,26.854,28.362,897,0
20080130,29.209,29.209,28.267,28.644,870,0
20080201,31.471,31.471,29.37,29.37,303,0
20080205,29.209,29.398,29.209,29.398,55,0
20080206,29.209,29.209,28.267,28.267,81,0
20080207,28.635,28.635,28.635,28.635,22,0
20080208,27.89,28.833,27.89,28.833,55,0
20080211,27.89,28.267,27.325,28.267,852,0
20080213,28.456,28.456,28.456,28.456,1,0
20080215,28.267,28.644,27.749,28.644,776,0
20080218,28.644,29.681,28.644,29.681,1592,0
20080219,30.151,30.151,30.151,30.151,15,0
20080220,29.681,29.681,29.681,29.681,106,0
20080221,30.057,30.057,29.209,29.209,538,0
20080222,29.209,29.209,29.209,29.209,212,0
20080225,29.681,29.681,29.681,29.681,73,0
20080226,29.681,29.681,29.681,29.681,615,0
20080227,30.151,30.151,29.209,29.209,154,0
20080229,28.267,28.267,28.267,28.267,531,0
20080303,27.325,27.325,25.441,25.441,3340,0
20080304,25.441,27.325,25.441,27.325,1305,0
20080305,27.514,28.267,27.325,27.325,1443,0
20080306,26.948,27.042,25.441,27.042,1069,0
20080307,26.383,27.325,26.383,27.325,43,0
20080310,27.796,27.796,26.194,26.854,799,0
20080311,26.835,27.608,26.675,27.608,9105,0
20080312,27.325,27.984,27.042,27.042,473,0
20080313,26.854,26.854,26.392,26.854,1061,0
20080317,25.921,26.854,25.912,25.912,639,0
20080318,26.383,26.383,26.383,26.383,15,0
20080319,26.854,26.854,26.854,26.854,33,0
20080325,26.854,26.854,26.854,26.854,22,0
20080328,26.854,26.854,26.854,26.854,42,0
20080331,26.383,26.383,26.383,26.383,159,0
20080401,26.383,26.383,26.383,26.383,10,0
20080402,26.383,26.572,26.383,26.572,116,0
20080403,25.912,25.912,25.912,25.912,38,0
20080404,25.912,25.912,25.534,25.534,103,0
20080407,25.723,25.723,25.723,25.723,53,0
20080408,25.912,25.912,25.252,25.817,241,0
20080409,26.383,26.43,25.629,25.629,7506,0
20080411,25.441,25.912,25.441,25.912,191,0
20080414,25.441,25.817,25.064,25.064,821,0
20080415,25.629,25.629,24.969,25.629,233,0
20080416,24.781,24.969,24.781,24.781,608,0
20080417,24.969,24.969,24.969,24.969,28,0
20080418,24.969,24.969,24.969,24.969,21,0
20080421,24.216,24.969,24.216,24.969,136,0
20080422,24.969,25.441,24.969,25.441,744,0
20080423,24.498,25.158,24.498,24.498,1425,0
20080424,24.498,24.498,24.498,24.498,32,0
20080425,25.064,25.064,25.064,25.064,128,0
20080428,25.355,25.355,25.355,25.355,85,0
20080429,24.404,25.158,24.404,25.158,28,0
20080505,24.592,24.592,24.498,24.592,58,0
20080506,24.969,24.969,24.592,24.592,85,0
20080507,24.687,24.687,24.687,24.687,42,0
20080508,24.771,24.771,24.498,24.498,393,0
20080509,24.771,26.383,24.498,24.498,861,0
20080513,25.064,25.064,25.064,25.064,73,0
20080514,24.584,24.584,24.584,24.584,30,0
20080515,24.969,24.969,24.969,24.969,52,0
20080516,24.498,24.498,24.498,24.498,107,0
20080519,24.687,24.687,24.498,24.498,531,0
20080521,24.498,24.498,23.763,24.498,2123,0
20080523,24.857,24.857,24.857,24.857,42,0
20080529,24.404,24.404,24.404,24.404,106,0
20080530,24.498,24.498,24.498,24.498,33,0
20080602,24.122,24.122,24.122,24.122,455,0
20080603,23.556,23.556,23.499,23.499,159,0
20080604,23.499,23.499,23.499,23.499,106,0
20080605,23.085,23.085,23.085,23.085,106,0
20080606,22.897,23.104,22.519,23.104,244,0
20080609,22.614,22.897,22.142,22.897,716,0
20080610,22.425,22.425,21.718,22.425,1775,0
20080611,22.425,22.425,22.142,22.425,401,0
20080612,22.614,22.614,22.614,22.614,670,0
20080616,22.897,22.897,22.897,22.897,1,0
20080619,22.897,22.897,22.897,22.897,32,0
20080624,22.142,22.614,22.142,22.614,132,0
20080625,22.802,22.802,22.425,22.425,719,0
20080626,22.897,22.897,22.897,22.897,583,0
20080627,22.897,22.897,22.425,22.897,719,0
20080701,22.237,22.237,22.237,22.237,690,0
20080703,21.483,21.483,21.483,21.483,48,0
20080707,20.918,20.918,20.918,20.918,29,0
20080708,20.918,20.918,20.73,20.73,85,0
20080714,20.738,20.738,20.738,20.738,144,0
20080715,20.541,20.541,20.541,20.541,148,0
20080716,20.258,20.258,20.258,20.258,170,0
20080718,20.918,20.918,20.918,20.918,27,0
20080721,20.541,20.541,20.541,20.541,79,0
20080723,20.541,20.541,20.541,20.541,531,0
20080728,20.069,20.069,20.069,20.069,265,0
20080730,20.164,20.164,20.164,20.164,212,0
20080731,19.599,19.788,19.599,19.788,22,0
20080801,19.505,19.505,19.505,19.505,319,0
20080804,19.824,19.824,19.824,19.824,49,0
20080818,19.788,19.788,19.788,19.788,180,0
20080819,19.316,19.316,19.316,19.316,32,0
20080820,19.505,19.505,19.505,19.505,22,0
20080821,19.788,19.788,19.788,19.788,30,0
20080822,20.069,20.069,20.069,20.069,1,0
20080901,19.505,19.505,19.505,19.505,42,0
20080904,19.41,19.41,19.41,19.41,69,0
20080915,19.505,19.505,19.505,19.505,42,0
20080916,19.033,19.033,19.033,19.033,159,0
20080917,19.033,19.505,18.939,18.939,244,0
20080918,18.374,18.939,16.536,16.536,29483,0
20080919,17.055,17.055,17.055,17.055,74,0
20080922,17.554,17.554,14.605,17.526,3776,0
20080924,16.772,16.96,16.301,16.96,30323,0
20080925,17.432,17.432,17.432,17.432,53,0
20080926,17.526,17.997,17.338,17.902,1574,0
20080929,18.374,18.374,16.489,17.243,2855,0
20080930,16.018,16.395,16.018,16.018,18523,0
20081001,16.348,16.348,16.348,16.348,124,0
20081002,15.924,16.018,15.085,15.547,1870,0
20081003,15.472,15.472,15.472,15.472,143,0
20081006,15.942,16.084,14.416,14.416,1573,0
20081007,14.982,14.982,14.472,14.567,1119,0
20081009,15.113,15.113,13.663,14.04,7700,0
20081010,14.134,14.134,13.945,13.945,1475,0
20081013,13.945,14.227,13.003,13.663,23742,0
20081014,14.322,14.322,13.954,13.954,433,0
20081016,14.322,14.623,14.134,14.416,2249,0
20081017,14.426,14.426,11.496,14.416,12206,0
20081020,14.51,14.51,14.02,14.51,26,0
20081021,14.51,14.51,13.191,13.945,3731,0
20081022,13.38,13.38,13.38,13.38,1167,0
20081023,13.022,13.022,13.022,13.022,53,0
20081030,13.191,13.191,13.191,13.191,1167,0
20081031,12.795,12.795,12.795,12.795,212,0
20081104,13.239,13.285,13.239,13.285,1698,0
20081105,13.596,13.596,13.201,13.201,1822,0
20081106,12.928,12.928,12.928,12.928,22,0
20081110,13.361,13.361,13.361,13.361,4,0
20081112,12.909,12.909,11.307,11.317,7896,0
20081113,11.496,12.202,10.186,10.186,1583,0
20081114,10.723,10.723,9.3751,9.668,29071,0
20081117,9.743,10.082,9.4315,9.611,3122,0
20081118,9.781,9.781,9.781,9.781,84322,0
20081119,9.799,11.307,9.799,9.893,4522,0
20081120,9.743,9.941,9.62,9.62,2229,0
20081121,9.4227,9.752,9.4227,9.705,16556,0
20081124,9.62,11.024,9.611,11.024,24142,0
20081125,10.93,10.93,10.082,10.365,21292,0
20081126,10.158,10.553,9.658,10.553,2750,0
20081127,10.459,10.77,10.176,10.77,3716,0
20081128,10.459,10.817,10.459,10.817,108,0
20081201,10.459,10.544,9.611,9.781,6944,0
20081202,9.752,10.365,9.705,10.365,4262,0
20081203,9.893,10.035,9.705,10.035,1795,0
20081204,10.035,10.176,10.026,10.176,1275,0
20081205,10.233,10.233,9.4315,10.233,1713,0
20081208,9.658,10.365,9.4509,10.365,3824,0
20081209,10.092,10.365,9.582,10.035,25781,0
20081210,10.271,10.628,9.63,9.63,458,0
20081211,9.931,9.931,9.611,9.611,1260,0
20081212,10.562,10.562,9.507,9.507,33,0
20081215,10.365,10.365,9.526,9.526,35,0
20081216,10.355,10.6,10.261,10.6,2463,0
20081217,10.365,10.742,9.771,9.818,5170,0
20081218,9.827,9.827,9.1397,9.4227,5347,0
20081219,9.0455,9.413,9.0455,9.0644,2395,0
20081222,9.0644,9.0644,8.6686,9.0644,329,0
20081223,8.6686,9.507,8.4802,9.507,2006,0
20081229,8.4802,9.2339,8.009,8.8571,1988,0
20081230,8.8571,8.8571,8.4802,8.4802,26820,0
20081231,8.5649,8.6686,7.7264,8.6686,13055,0
20090105,8.386,8.678,8.386,8.6686,581,0
20090106,8.6686,8.6686,8.4896,8.6404,1786,0
20090107,8.4802,8.6027,8.4802,8.6027,1699,0
20090108,8.5932,8.6027,8.5932,8.6027,38,0
