Date,Open,High,Low,Close,Volume,OpenInt
20070418,10.863,10.863,8.5712,8.737,1339943,0
20070419,8.7554,9.4825,8.6541,9.2342,312507,0
20070420,9.3906,9.519,9.1053,9.4825,122334,0
20070423,9.759,9.759,9.1148,9.2153,50056,0
20070424,9.1603,9.1603,8.9764,9.0219,22588,0
20070425,9.0219,9.2987,8.8383,9.2892,31695,0
20070426,9.2987,9.2987,9.0504,9.1423,20044,0
20070427,9.1148,9.2617,9.0039,9.2067,48180,0
20070430,9.437,9.574,9.3081,9.4825,42727,0
20070502,9.4825,9.566,9.4001,9.4086,14204,0
20070504,9.4001,9.667,9.2987,9.667,49348,0
20070507,9.667,9.667,9.3906,9.593,27328,0
20070508,9.492,9.492,9.2067,9.2067,28941,0
20070509,9.2067,9.3356,9.1423,9.2067,9866,0
20070510,9.2987,9.2987,9.0219,9.1878,18536,0
20070511,9.1878,9.1878,8.6173,9.1878,62709,0
20070514,9.1973,9.2067,9.0219,9.1148,5977,0
20070515,9.1508,9.2067,9.0219,9.1878,19217,0
20070516,9.1973,9.1973,9.0219,9.1698,2848,0
20070517,9.0779,9.0779,8.8567,8.9303,17906,0
20070518,9.0684,9.0684,8.7738,8.8383,5683,0
20070521,8.8659,8.9764,8.8567,8.8567,7313,0
20070522,8.9395,8.9395,8.8106,8.8751,24834,0
20070523,8.8659,8.8659,8.8014,8.8383,8688,0
20070524,8.7462,8.8842,8.7278,8.8383,11684,0
20070525,8.8014,9.0959,8.8014,9.0959,2823,0
20070528,9.0684,9.437,9.0684,9.3442,23442,0
20070529,9.3442,9.3442,9.1603,9.2067,34345,0
20070530,9.1148,9.2067,8.8659,9.2067,13912,0
20070531,9.0314,9.3906,8.9764,9.3442,48594,0
20070601,9.2067,9.4086,9.2067,9.3167,26538,0
20070604,9.2067,9.473,9.2067,9.437,21917,0
20070605,9.529,9.574,9.3906,9.437,13617,0
20070606,9.4825,9.759,9.3906,9.556,53615,0
20070608,9.437,9.437,9.2342,9.2797,25067,0
20070611,9.2987,9.4825,9.2987,9.437,28126,0
20070612,9.437,9.437,9.3726,9.3906,57335,0
20070613,9.492,9.584,9.3536,9.4825,35725,0
20070614,9.529,9.529,9.437,9.4825,20765,0
20070615,9.547,9.547,9.2067,9.3906,20444,0
20070618,9.4645,9.473,9.3536,9.3906,42234,0
20070619,9.3906,10.081,9.3536,10.035,84937,0
20070620,9.99,10.127,9.51,9.667,71501,0
20070621,9.566,9.667,9.437,9.519,49396,0
20070622,9.529,9.648,9.529,9.574,55944,0
20070625,9.676,9.676,9.529,9.658,42382,0
20070626,9.574,9.74,9.574,9.74,10760,0
20070627,9.796,9.796,9.556,9.556,18329,0
20070628,9.556,9.897,9.556,9.574,36438,0
20070629,9.574,9.574,9.4825,9.501,15671,0
20070702,9.4456,9.4456,9.4086,9.4086,11467,0
20070703,9.3906,9.851,9.3906,9.824,108507,0
20070704,9.805,9.805,9.667,9.759,12446,0
20070705,9.805,9.805,9.667,9.685,17953,0
20070706,9.759,9.759,9.713,9.75,8874,0
20070709,9.805,9.805,9.667,9.713,26585,0
20070710,9.667,9.713,9.574,9.593,12730,0
20070711,9.574,9.574,9.2153,9.529,6681,0
20070712,9.621,9.685,9.519,9.602,14392,0
20070713,9.501,9.621,9.501,9.621,11235,0
20070716,9.519,9.519,9.2987,9.437,10834,0
20070717,9.3356,9.529,9.3081,9.529,5704,0
20070718,9.437,9.501,9.3906,9.501,7164,0
20070719,9.4086,9.658,9.4086,9.658,8276,0
20070720,9.667,9.667,9.2712,9.2712,12421,0
20070723,9.3726,9.3726,9.2437,9.2522,51645,0
20070724,9.3536,9.3726,9.3536,9.3536,5703,0
20070725,9.2522,9.2522,8.7462,9.2067,12435,0
20070726,9.1148,9.1148,8.6541,8.7002,105967,0
20070727,8.2859,8.5161,8.1938,8.5161,41587,0
20070730,8.6081,8.8383,8.5253,8.6081,13309,0
20070731,8.6173,8.7462,8.47,8.6081,21348,0
20070801,8.5161,8.5161,8.2859,8.2859,13957,0
20070802,8.3135,8.4884,8.2859,8.4884,5963,0
20070803,8.5712,8.5712,8.4056,8.47,3453,0
20070806,8.5528,8.6541,8.3964,8.5436,13994,0
20070807,8.5989,9.0219,8.5989,8.8383,26805,0
20070808,8.9303,9.0959,8.8475,8.8475,8487,0
20070809,8.9395,8.9395,8.7922,8.7922,8891,0
20070810,8.2859,8.3779,8.2859,8.3319,23785,0
20070813,8.3226,8.4608,8.3226,8.3687,14714,0
20070814,8.3226,8.47,8.2859,8.3779,16993,0
20070816,8.0557,8.2859,7.8256,8.2859,33640,0
20070817,7.8256,8.2859,7.7611,8.2859,8848,0
20070820,8.2859,8.5345,7.844,8.3135,20758,0
20070821,8.2859,8.2859,7.9176,8.157,7777,0
20070822,8.0557,8.3226,8.0557,8.3226,22506,0
20070823,8.3779,8.6725,8.3319,8.4608,21600,0
20070824,8.5068,8.5068,8.2306,8.3595,7825,0
20070827,8.4056,8.4056,8.2582,8.3043,6636,0
20070828,8.3687,8.3687,8.1017,8.1017,28335,0
20070829,8.0096,8.1478,8.0096,8.1478,7253,0
20070830,8.2306,8.2306,8.0557,8.0557,10813,0
20070831,8.1201,8.1201,7.9729,8.1201,2922,0
20070903,8.0373,8.1201,8.0373,8.1017,20411,0
20070904,8.0649,8.0926,7.9637,8.0926,11633,0
20070905,8.0096,8.0834,7.9729,7.9729,2499,0
20070906,7.89,8.0096,7.7795,7.7795,8323,0
20070907,7.8256,7.8256,7.5493,7.7703,11107,0
20070910,7.6874,7.7243,7.4113,7.4113,4560,0
20070911,7.4941,7.5585,7.4573,7.4757,4040,0
20070912,7.3929,7.4573,7.1811,7.1811,10557,0
