Date,Open,High,Low,Close,Volume,OpenInt
20080724,3.3011,3.3011,1.913,1.9575,298969,0
20080725,2.0732,2.438,1.8953,2.438,38965,0
20080728,2.4558,2.4647,2.0554,2.3134,6168,0
20080729,2.3045,2.3045,2.0643,2.1978,2605,0
20080730,2.269,2.269,1.8864,2.1711,18053,0
20080731,2.1355,2.1355,1.7084,1.8241,18546,0
20080801,1.9575,1.9575,1.7173,1.913,3007,0
20080804,1.913,1.9575,1.6995,1.9308,4858,0
20080805,1.9041,1.9041,1.7796,1.8864,2744,0
20080806,1.8864,1.9041,1.7796,1.9041,4169,0
20080807,1.8953,1.8953,1.7084,1.8864,1494,0
20080812,1.8775,1.8775,1.7796,1.8152,2091,0
20080813,1.8152,1.8152,1.6906,1.7796,2673,0
20080814,1.7351,1.7351,1.566,1.6906,589,0
20080818,1.6461,1.6906,1.6016,1.6906,971,0
20080819,1.6906,1.6906,1.6906,1.6906,1,0
20080820,1.6906,1.9575,1.6906,1.9575,1472,0
20080821,1.8864,1.8864,1.8864,1.8864,28,0
20080822,1.913,1.913,1.8775,1.8775,888,0
20080825,1.8775,1.8775,1.7796,1.8775,444,0
20080826,1.8775,1.8775,1.7173,1.8686,1147,0
20080827,1.8686,1.8686,1.7173,1.8686,584,0
20080828,1.8686,1.8686,1.8686,1.8686,12,0
20080829,1.6906,1.8419,1.6906,1.8419,629,0
20080901,1.8419,1.8419,1.6016,1.8152,1686,0
20080902,1.7796,1.7796,1.7796,1.7796,12,0
20080903,1.7796,1.7796,1.7796,1.7796,2709,0
20080904,1.7796,1.7796,1.6016,1.7262,2371,0
20080905,1.7262,1.7262,1.4148,1.4771,7383,0
20080908,1.4682,1.5126,1.4682,1.5126,2920,0
20080909,1.5126,1.7618,1.3525,1.6728,121947,0
20080910,1.7351,1.7351,1.3881,1.5482,375996,0
20080911,1.6016,1.913,1.4504,1.913,249531,0
20080912,1.913,2.1711,1.6016,1.8597,148707,0
20080915,1.6728,1.9397,1.5215,1.7707,184575,0
20080916,1.7618,1.7618,1.5126,1.6817,161213,0
20080917,1.566,1.7707,1.4237,1.6728,343439,0
20080918,1.6372,1.6372,1.4682,1.6283,10262,0
20080919,1.5838,1.7173,1.3347,1.5126,213114,0
20080922,1.5037,1.6906,1.4059,1.6194,364498,0
20080923,1.5215,1.6906,1.4593,1.6817,155705,0
20080924,1.6995,1.913,1.655,1.7796,84401,0
20080925,1.7262,1.8686,1.6105,1.7173,132096,0
20080926,1.6283,1.7885,1.5571,1.7262,233722,0
20080929,1.7173,1.7796,1.6728,1.7796,8860,0
20080930,1.7796,1.7796,1.5838,1.7529,202686,0
20081001,1.7529,1.8063,1.6194,1.7262,96977,0
20081002,1.744,1.744,1.6639,1.7262,4356,0
20081003,1.744,1.744,1.5304,1.5304,40849,0
20081006,1.5393,1.5393,1.3792,1.3792,11860,0
20081007,1.4237,1.4593,1.2457,1.2457,3013,0
20081008,1.3347,1.3347,1.0678,1.3079,30403,0
20081009,1.3347,1.5571,1.2902,1.3881,108039,0
20081010,1.2635,1.4237,1.2635,1.4237,6131,0
20081013,1.4059,1.4593,1.2813,1.4237,17710,0
20081014,1.4237,1.4593,1.2991,1.4059,61067,0
20081015,1.4237,1.486,1.219,1.3079,130013,0
20081016,1.2813,1.486,1.1745,1.2813,183671,0
20081017,1.3168,1.3168,1.2012,1.2724,2706,0
20081020,1.2724,1.3168,1.1567,1.2012,50757,0
20081021,1.2012,1.2012,1.0055,1.0589,11414,0
20081022,1.0589,1.2457,0.8898,0.8898,134769,0
20081023,0.9699,0.9788,0.8453,0.9432,20709,0
20081024,0.9342,0.9342,0.783,0.8987,42497,0
20081027,0.8809,0.8809,0.7563,0.8631,32144,0
20081028,0.8631,0.8631,0.8631,0.8631,12,0
20081029,0.8809,0.8809,0.8453,0.8809,6747,0
20081030,0.8809,1.2635,0.8008,1.2635,181176,0
20081031,1.397,1.6639,1.1211,1.1834,158906,0
20081103,1.13,1.6906,1.1033,1.6906,122167,0
20081104,1.7707,2.1177,1.6995,1.9308,41981,0
20081105,1.9486,1.9486,1.7974,1.9486,5969,0
20081106,2.0465,2.0465,1.6995,2.002,17987,0
20081107,1.9575,2.0911,1.7885,2.0911,36115,0
20081110,2.0821,2.349,1.6461,1.6461,120684,0
20081112,1.8063,1.8063,1.4682,1.5838,5189,0
20081113,1.6817,1.6817,1.3525,1.3792,8108,0
20081114,1.4504,1.6372,1.4504,1.6283,7045,0
20081117,1.6016,1.6016,1.3347,1.4237,13019,0
20081118,1.397,1.397,1.1211,1.1834,68566,0
20081119,1.2279,1.2279,0.8987,1.1211,41916,0
20081120,0.9432,1.1211,0.9432,1.0856,8925,0
20081121,0.9699,1.2813,0.9699,1.2813,29994,0
20081124,1.2635,1.4949,1.2368,1.4237,32238,0
20081125,1.4504,1.4504,1.3436,1.4326,6532,0
20081126,1.3881,1.3881,1.1567,1.2813,18466,0
20081127,1.2457,1.2457,1.1211,1.2012,5494,0
20081128,1.0945,1.2279,1.0144,1.1122,28785,0
20081201,1.0945,1.0945,0.9966,1.0856,9404,0
20081202,1.05,1.1567,1.05,1.1478,3721,0
20081203,1.2012,1.2368,1.1122,1.1567,5344,0
20081204,1.1389,1.2279,1.0678,1.1923,4139,0
20081205,1.1834,1.3792,1.1834,1.3792,51464,0
20081208,1.3079,1.4771,1.1567,1.2012,68584,0
20081209,1.3258,1.3258,1.2457,1.3168,822,0
20081210,1.2902,1.2902,1.219,1.2813,1452,0
20081211,1.219,1.2724,1.1567,1.2635,7932,0
20081212,1.2457,1.2724,1.2012,1.2724,1603,0
20081215,1.2902,1.2902,1.2902,1.2902,12,0
20081216,1.2813,1.3079,1.2012,1.3079,6264,0
20081217,1.2991,1.2991,1.2012,1.2635,3326,0
20081218,1.2635,1.2635,1.2635,1.2635,12,0
20081219,1.2635,1.2724,1.2101,1.2724,1031,0
20081222,1.2635,1.2724,1.2635,1.2724,6282,0
20081223,1.2902,1.2902,1.2279,1.2724,10932,0
20081229,1.2813,1.2813,1.2813,1.2813,28,0
20081230,1.2813,1.2813,1.2813,1.2813,65,0
20081231,1.2813,1.2813,1.2279,1.2724,2275,0
20090105,1.1033,1.2724,1.1033,1.2012,764,0
20090106,1.1745,1.1745,1.1122,1.1567,900,0
20090107,1.1567,1.2457,1.1567,1.2457,2178,0
20090108,1.2457,1.2457,1.2457,1.2457,12,0
20090109,1.2101,1.2457,1.2101,1.2457,123,0
20090112,1.2368,1.2368,1.2368,1.2368,5721,0
20090113,1.2457,1.2457,1.2368,1.2368,629,0
20090114,1.2457,1.2457,1.2457,1.2457,12,0
20090115,1.2279,1.2279,1.2279,1.2279,12,0
20090116,1.2279,1.2279,1.1656,1.219,1135,0
20090119,1.219,1.219,1.0678,1.1834,3960,0
20090120,1.1923,1.2012,0.9966,1.1389,9461,0
20090121,1.0767,1.1211,1.0767,1.1211,123,0
20090122,1.1122,1.1122,0.9966,1.1033,1383,0
20090123,1.0055,1.0589,0.9164,1.0589,5456,0
20090126,1.05,1.05,1.05,1.05,23,0
20090127,1.05,1.05,1.05,1.05,12,0
20090128,1.0678,1.0678,0.8987,1.05,8887,0
20090129,1.0233,1.0233,1.0233,1.0233,1,0
20090130,0.9342,1.05,0.9342,1.05,28,0
20090202,1.0233,1.0233,0.8898,0.9877,1135,0
20090203,1.0767,1.0767,0.8453,0.8898,2837,0
20090204,0.8987,0.9699,0.8542,0.8542,51068,0
20090205,0.9521,0.961,0.872,0.9075,43428,0
20090206,0.9075,1.0411,0.9075,1.0144,1643,0
20090209,1.0589,1.0589,0.8809,0.8898,11940,0
20090210,0.8898,0.961,0.8898,0.9521,2876,0
20090211,0.9521,0.9521,0.8898,0.9342,5901,0
20090212,0.9342,0.9342,0.8809,0.8809,1697,0
20090213,0.8809,0.8809,0.8809,0.8809,393,0
20090216,0.8809,0.8809,0.8809,0.8809,2,0
20090217,0.8898,0.9253,0.8898,0.9253,6906,0
20090218,0.9164,0.9164,0.9164,0.9164,12,0
20090219,0.9253,1.0144,0.9253,1.0144,2576,0
20090220,1.0055,1.1389,0.9432,1.1389,11199,0
20090223,1.1211,1.2457,1.1211,1.2457,7963,0
20090224,1.2546,1.2546,1.2368,1.2368,1022,0
20090225,1.2546,1.4148,1.2546,1.4148,6939,0
20090226,1.3881,1.4059,1.3258,1.4059,832,0
20090227,1.3703,1.6372,1.3703,1.6372,28737,0
20090302,1.6016,1.7618,1.6016,1.7618,5743,0
20090303,1.744,1.7529,1.5126,1.5126,1913,0
20090304,1.6639,1.6639,1.6461,1.6639,2326,0
20090305,1.6016,1.6016,1.6016,1.6016,23,0
20090306,1.5393,1.5393,1.5393,1.5393,1050,0
20090309,1.5393,1.6728,1.5393,1.6728,518,0
20090310,1.5838,1.6639,1.5571,1.6639,2326,0
20090311,1.6105,1.6639,1.6105,1.6639,1563,0
20090312,1.6283,1.6639,1.4682,1.6639,3643,0
20090313,1.6639,1.6639,1.6639,1.6639,12,0
20090316,1.6639,1.6639,1.3436,1.655,1166,0
20090317,1.655,1.655,1.655,1.655,12,0
20090318,1.6639,1.6639,1.6639,1.6639,12,0
20090319,1.6461,1.6461,1.6461,1.6461,12,0
20090320,1.6639,1.6639,1.6639,1.6639,248,0
20090323,1.6639,1.6639,1.6639,1.6639,12,0
20090324,1.6639,1.6639,1.6639,1.6639,12,0
20090325,1.6639,1.6639,1.6639,1.6639,135,0
20090326,1.6639,1.6639,1.3347,1.5304,23686,0
20090327,1.486,1.5215,1.486,1.5037,6217,0
20090330,1.5482,1.5482,1.3168,1.3168,101,0
20090331,1.5482,1.5482,1.4593,1.5393,4646,0
20090401,1.5482,1.5482,1.5393,1.5482,663,0
20090402,1.5482,1.5482,1.4949,1.5215,259,0
20090403,1.5482,1.5927,1.4682,1.5927,1768,0
20090406,1.5927,1.5927,1.5927,1.5927,12,0
20090407,1.5393,1.5393,1.5393,1.5393,12,0
20090408,1.5393,1.5393,1.5393,1.5393,12,0
20090409,1.5393,1.5393,1.5126,1.5126,1354,0
20090414,1.5393,1.5927,1.5393,1.5927,86736,0
20090415,1.5927,1.5927,1.5927,1.5927,2259,0
20090416,1.5749,1.5927,1.4326,1.5927,4292,0
20090417,1.5927,1.5927,1.5927,1.5927,562,0
20090420,1.5927,1.5927,1.5838,1.5927,1095,0
20090421,1.5749,1.6461,1.566,1.6461,5226,0
20090422,1.5571,1.6461,1.3792,1.6105,5847,0
20090423,1.6105,1.6461,1.6105,1.6461,7530,0
20090424,1.6461,1.6461,1.3792,1.6461,155,0
20090427,1.6283,1.6461,1.397,1.6461,687,0
20090428,1.6461,1.6461,1.6194,1.6194,686,0
20090429,1.6194,1.6194,1.397,1.6105,234,0
20090430,1.6016,1.6016,1.4237,1.4237,13,0
20090504,1.4326,1.6016,1.3792,1.5927,5959,0
20090505,1.5927,1.5927,1.5927,1.5927,12,0
20090506,1.5838,1.5838,1.3881,1.5838,15184,0
20090507,1.5838,1.5838,1.3792,1.5393,4245,0
20090508,1.5482,1.5482,1.5393,1.5393,13,0
20090511,1.5393,1.5393,1.3436,1.5126,686,0
20090512,1.2635,1.5304,1.2457,1.3347,2758,0
20090513,1.4504,1.4504,1.4504,1.4504,1,0
20090514,1.4059,1.4504,1.4059,1.4504,452,0
20090515,1.4504,1.4504,1.4504,1.4504,12,0
20090518,1.4504,1.4504,1.4504,1.4504,12,0
20090519,1.4504,1.4504,1.4504,1.4504,12,0
20090520,1.4504,1.4504,1.2813,1.4504,798,0
20090521,1.3792,1.3792,1.3792,1.3792,123,0
20090522,1.3614,1.3792,1.3614,1.3792,1167,0
20090525,1.3792,1.3792,1.2457,1.3703,171,0
20090526,1.3792,1.3792,1.3792,1.3792,12,0
20090527,1.3703,1.4504,1.3703,1.4504,180,0
20090528,1.4504,1.4504,1.4504,1.4504,12,0
20090529,1.4237,1.4237,1.4237,1.4237,12,0
20090601,1.4237,1.4237,1.4237,1.4237,23,0
20090602,1.4237,1.4237,1.4237,1.4237,12,0
20090603,1.4237,1.4237,1.4237,1.4237,12,0
20090604,1.4237,1.4237,1.4237,1.4237,12,0
20090605,1.4059,1.4059,1.3347,1.3881,449,0
20090608,1.3881,1.3881,1.3881,1.3881,12,0
20090609,1.3347,1.3347,1.2457,1.3347,17,0
20090610,1.3347,1.4504,1.3347,1.4504,809,0
20090612,1.4504,1.4504,1.4504,1.4504,56,0
20090615,1.4504,1.4504,1.1834,1.4237,32,0
20090616,1.4237,1.4237,1.4237,1.4237,12,0
20090617,1.4237,1.4237,1.4237,1.4237,12,0
20090618,1.4237,1.4237,1.4237,1.4237,12,0
