Date,Open,High,Low,Close,Volume,OpenInt
20070719,18.826,23.834,18.826,22.431,3124610,0
20070720,22.431,22.431,20.829,20.829,345356,0
20070723,20.228,21.229,20.089,20.429,90465,0
20070724,20.408,21.209,20.027,20.829,84761,0
20070725,21.029,21.029,19.827,20.027,248905,0
20070726,20.228,20.228,19.466,19.632,33722,0
20070727,19.627,19.627,18.506,19.627,42601,0
20070730,19.227,19.387,18.826,19.227,10346,0
20070731,19.227,20.629,19.227,20.268,195341,0
20070801,20.268,20.268,18.906,19.928,21258,0
20070802,20.027,20.148,19.667,19.667,221623,0
20070803,19.988,20.008,19.627,19.627,3247,0
20070806,19.227,19.227,18.426,18.426,15167,0
20070807,18.826,19.387,18.426,19.066,163897,0
20070808,19.227,19.547,19.106,19.146,3805,0
20070809,19.387,19.387,18.987,19.006,15358,0
20070810,18.306,18.867,17.425,18.426,25498,0
20070813,18.426,19.227,18.426,19.187,2889,0
20070814,19.267,19.267,18.565,18.565,832,0
20070816,17.4,17.504,15.665,16.022,41935,0
20070817,16.022,16.503,15.622,16.022,30066,0
20070820,17.224,17.224,16.022,16.022,9292,0
20070821,16.424,16.424,15.134,15.622,5583,0
20070822,15.622,17.625,15.622,17.224,67909,0
20070823,18.626,18.626,17.904,17.904,176511,0
20070824,18.626,18.626,18.345,18.385,3106,0
20070827,18.345,19.146,18.025,18.426,6866,0
20070828,18.826,18.826,17.625,18.345,1239,0
20070829,17.224,18.021,17.224,17.904,19836,0
20070830,18.025,18.073,18.025,18.065,14353,0
20070831,17.665,18.225,17.665,18.07,1494,0
20070903,18.426,18.626,18.306,18.626,5650,0
20070904,18.666,18.666,18.426,18.626,4900,0
20070905,18.306,18.586,18.306,18.586,6604,0
20070906,18.626,18.786,18.025,18.786,123354,0
20070907,18.826,18.826,17.425,18.826,6231,0
20070910,17.268,18.626,17.268,18.626,4196,0
20070911,18.747,18.747,18.747,18.747,1473,0
20070912,18.029,18.582,18.025,18.582,126,0
20070913,18.702,18.702,18.222,18.618,1546,0
20070914,18.426,18.426,17.704,18.225,971,0
20070917,18.025,18.422,18.025,18.422,426,0
20070918,18.106,18.586,18.106,18.586,1344,0
20070919,18.586,18.618,17.845,18.225,4863,0
20070920,17.904,18.181,17.665,18.165,705,0
20070921,18.025,18.465,18.025,18.426,4793,0
20070924,18.426,19.026,18.426,18.506,13681,0
20070925,18.626,18.626,18.506,18.621,1543,0
20070926,18.621,18.826,18.465,18.626,2536,0
20070927,18.822,18.826,18.506,18.506,2045,0
20070928,18.626,18.906,18.626,18.706,134411,0
20071001,18.626,18.987,18.626,18.826,3863,0
20071002,18.666,18.666,18.666,18.666,798,0
20071003,18.086,18.626,18.086,18.265,565,0
20071004,18.426,18.426,17.957,17.957,2030,0
20071005,17.668,18.426,17.665,18.426,8341,0
20071008,17.684,17.684,17.684,17.684,36,0
20071009,18.586,18.586,18.025,18.106,89671,0
20071010,17.784,18.106,17.704,18.101,2249,0
20071011,17.825,18.586,17.825,18.582,5114,0
20071012,18.025,18.822,18.025,18.822,7890,0
20071015,18.065,19.227,18.025,19.026,4570,0
20071016,19.187,19.187,18.065,18.225,8658,0
20071017,18.206,19.022,18.206,18.974,11004,0
20071018,18.309,18.626,18.309,18.626,10463,0
20071019,18.826,19.194,18.826,19.194,7056,0
20071022,19.194,19.194,18.225,19.182,250120,0
20071023,19.106,19.367,19.106,19.367,4344,0
